sedan2door_-20_40_-20_0_20_240_20_400 gt:['-20', '40', '-20', '0', '20'] pred:[20.       46.746803 20.       14.743726 17.789633]
hatchback_-20_20_-20_20_0_240_80_450 gt:['-20', '20', '-20', '20', '0'] pred:[17.2546    22.411877  21.087934  17.653326   2.2944665]
hybrid_0_20_-40_0_40_240_80_400 gt:['0', '20', '-40', '0', '40'] pred:[ 2.937494 21.148478 27.317753 37.367073 43.186184]
sedan4door_-40_0_0_0_20_80_20_400 gt:['-40', '0', '0', '0', '20'] pred:[43.95318    0.         4.1440825  0.        20.       ]
suv_0_40_0_40_0_80_20_400 gt:['0', '40', '0', '40', '0'] pred:[ 1.7041698 40.         4.606606  40.         0.       ]
suv_-40_40_-40_0_20_240_80_450 gt:['-40', '40', '-40', '0', '20'] pred:[40.0432    43.395004  40.441517   3.1633925 23.120132 ]
suv_0_40_0_20_20_240_40_450 gt:['0', '40', '0', '20', '20'] pred:[ 0.       44.646324  0.       16.98559  18.368387]
suv_-40_20_-20_0_20_360_20_450 gt:['-40', '20', '-20', '0', '20'] pred:[42.823883 20.       17.81316   0.       20.      ]
hatchback_-40_0_0_0_0_0_60_450 gt:['-40', '0', '0', '0', '0'] pred:[41.120857   2.3903599  7.2005134  0.         2.7223213]
hatchback_-40_40_0_40_20_200_60_400 gt:['-40', '40', '0', '40', '20'] pred:[39.122772 44.030994  0.       40.125015 19.079319]
hybrid_-20_0_0_0_40_80_40_400 gt:['-20', '0', '0', '0', '40'] pred:[18.272308   1.9963089 13.080745   0.        40.       ]
suv_0_0_-20_40_0_320_20_450 gt:['0', '0', '-20', '40', '0'] pred:[ 2.5938108  0.        17.090601  40.         1.1502286]
sedan4door_-40_20_-20_0_20_40_60_450 gt:['-40', '20', '-20', '0', '20'] pred:[42.657127 22.741182 15.744199  0.       11.416491]
hybrid_0_20_-40_20_20_240_80_400 gt:['0', '20', '-40', '20', '20'] pred:[ 2.0591886 18.905048  30.46837   26.537952  22.155397 ]
hatchback_-40_20_-40_20_0_160_20_400 gt:['-40', '20', '-40', '20', '0'] pred:[40.       23.258665 40.       13.997546  0.      ]
sedan4door_-40_0_-20_40_40_200_40_400 gt:['-40', '0', '-20', '40', '40'] pred:[40.         3.1162822 20.        34.896572  42.51126  ]
hybrid_-20_40_-40_20_40_160_20_400 gt:['-20', '40', '-40', '20', '40'] pred:[20.       48.42248  40.       18.688173 40.      ]
hybrid_-20_0_0_0_0_360_40_450 gt:['-20', '0', '0', '0', '0'] pred:[17.114742   0.        13.108648   0.         2.8996553]
sedan4door_-20_0_-40_20_20_160_60_450 gt:['-20', '0', '-40', '20', '20'] pred:[16.462566   2.9942825 40.        16.266241  22.08675  ]
hybrid_-40_20_-40_40_40_0_60_400 gt:['-40', '20', '-40', '40', '40'] pred:[41.04026  21.971039 19.825918 40.       39.561684]
hybrid_0_20_-40_40_40_240_20_450 gt:['0', '20', '-40', '40', '40'] pred:[ 0.       21.214615 40.       11.179536 42.39782 ]
suv_-20_20_0_0_0_280_40_450 gt:['-20', '20', '0', '0', '0'] pred:[21.689436  20.4548     2.949584   4.461154   1.3900639]
hatchback_0_0_0_20_20_280_60_450 gt:['0', '0', '0', '20', '20'] pred:[ 3.3382788  6.01222    2.9957275 19.082907  17.913395 ]
suv_-20_20_-40_20_20_280_20_450 gt:['-20', '20', '-40', '20', '20'] pred:[17.49401  20.       46.484882 20.       19.710855]
hybrid_-40_0_-40_20_20_0_80_400 gt:['-40', '0', '-40', '20', '20'] pred:[41.779507  4.259649 20.166763 25.51756  18.951872]
sedan4door_-40_40_-20_40_0_360_40_400 gt:['-40', '40', '-20', '40', '0'] pred:[42.458954  40.        18.814     40.         1.8823327]
sedan4door_-20_40_0_40_0_120_80_400 gt:['-20', '40', '0', '40', '0'] pred:[18.01905   40.804565   4.6640325 40.75677    1.831852 ]
suv_0_40_-40_0_40_40_20_450 gt:['0', '40', '-40', '0', '40'] pred:[ 2.8232083 40.        47.511467   0.        40.       ]
hatchback_-40_40_-40_0_20_240_80_400 gt:['-40', '40', '-40', '0', '20'] pred:[38.90113  42.27668  43.99324   3.599321 25.64543 ]
sedan4door_0_20_-40_40_20_40_60_400 gt:['0', '20', '-40', '40', '20'] pred:[ 4.802978 23.78705  40.27053  40.       13.646814]
sedan2door_0_0_0_0_0_360_20_450 gt:['0', '0', '0', '0', '0'] pred:[ 1.0914888  0.        11.852476   0.         0.       ]
hybrid_-20_40_0_40_0_200_20_400 gt:['-20', '40', '0', '40', '0'] pred:[20.        49.26266    0.        12.380104   1.5866283]
sedan4door_-20_40_-40_40_40_160_20_450 gt:['-20', '40', '-40', '40', '40'] pred:[20.       43.92111  40.       38.873848 40.      ]
hatchback_-20_0_0_0_20_80_60_450 gt:['-20', '0', '0', '0', '20'] pred:[15.868365   2.822283   5.493368   4.8641777 17.750734 ]
sedan2door_0_20_0_40_40_360_80_450 gt:['0', '20', '0', '40', '40'] pred:[ 3.0048616 21.471292  23.744755  17.689184  40.902138 ]
hybrid_-40_20_-40_20_40_0_80_450 gt:['-40', '20', '-40', '20', '40'] pred:[41.3165   23.411032 14.330236 23.181194 41.433365]
hybrid_-20_0_-40_40_20_360_20_400 gt:['-20', '0', '-40', '40', '20'] pred:[18.438833  0.       22.095089 40.       20.      ]
suv_0_0_0_40_20_40_40_450 gt:['0', '0', '0', '40', '20'] pred:[ 2.2871351  0.         4.3736277 40.        26.53221  ]
hybrid_-20_40_0_0_40_120_40_400 gt:['-20', '40', '0', '0', '40'] pred:[20.       43.9867    0.       26.779087 40.      ]
sedan4door_0_0_-40_40_0_0_40_450 gt:['0', '0', '-40', '40', '0'] pred:[ 1.6936544  0.        42.691616  40.         1.493281 ]
sedan2door_0_20_0_0_0_160_40_400 gt:['0', '20', '0', '0', '0'] pred:[ 0.        19.922812   0.        31.890106   2.2093697]
sedan2door_-20_0_-40_20_40_120_20_400 gt:['-20', '0', '-40', '20', '40'] pred:[20.         4.4392614 40.        14.467621  40.       ]
hybrid_-40_40_0_0_0_200_40_450 gt:['-40', '40', '0', '0', '0'] pred:[40.        44.73257    0.        28.517103   1.7195854]
sedan2door_-20_20_-40_0_40_80_60_400 gt:['-20', '20', '-40', '0', '40'] pred:[20.784353 22.571379  8.156479 16.013163 41.28085 ]
hatchback_-40_40_-40_20_40_200_40_400 gt:['-40', '40', '-40', '20', '40'] pred:[40.       42.260715 40.       17.383568 37.93004 ]
hatchback_-40_40_0_0_0_200_60_400 gt:['-40', '40', '0', '0', '0'] pred:[36.543877  43.332733   0.         4.4814816  2.708355 ]
suv_0_20_0_40_40_120_20_400 gt:['0', '20', '0', '40', '40'] pred:[ 0.       16.33044   0.       38.676357 40.      ]
sedan4door_-20_0_-40_40_40_320_80_400 gt:['-20', '0', '-40', '40', '40'] pred:[19.854986   4.0109577 43.467842  39.733543  39.883827 ]
sedan4door_-20_40_-20_20_0_280_20_450 gt:['-20', '40', '-20', '20', '0'] pred:[15.132543 40.       16.765148 20.        1.901002]
sedan4door_-40_0_-20_40_20_120_80_450 gt:['-40', '0', '-20', '40', '20'] pred:[44.762524  5.536049 20.121515 40.545788 24.615568]
hatchback_-40_0_-20_40_40_0_20_450 gt:['-40', '0', '-20', '40', '40'] pred:[43.260124  0.       14.964934 40.       40.      ]
hatchback_-40_40_-20_40_20_280_80_400 gt:['-40', '40', '-20', '40', '20'] pred:[40.974445 42.61494  19.051338 35.48066  24.278963]
sedan2door_-40_40_-20_20_40_120_60_400 gt:['-40', '40', '-20', '20', '40'] pred:[42.715973 38.242546 20.       15.907291 37.690083]
sedan2door_-20_0_0_20_0_200_20_450 gt:['-20', '0', '0', '20', '0'] pred:[20.         2.3623428  0.        18.799568   1.7473173]
suv_-20_0_-40_0_40_280_20_400 gt:['-20', '0', '-40', '0', '40'] pred:[21.215557  0.       40.674522  0.       40.875614]
hybrid_-20_0_-20_40_40_200_40_450 gt:['-20', '0', '-20', '40', '40'] pred:[20.         3.8064704 20.        32.607735  44.56855  ]
sedan2door_-40_20_-40_0_0_0_20_450 gt:['-40', '20', '-40', '0', '0'] pred:[39.635265 20.       15.524503  0.        0.      ]
suv_-20_20_-40_20_0_80_20_450 gt:['-20', '20', '-40', '20', '0'] pred:[14.877741 20.       46.90846  20.        0.      ]
sedan4door_-40_20_-40_0_20_200_40_450 gt:['-40', '20', '-40', '0', '20'] pred:[40.        23.85101   40.         3.0682817 19.554209 ]
hatchback_-20_0_-20_40_0_360_40_450 gt:['-20', '0', '-20', '40', '0'] pred:[17.285723   0.        20.121983  40.         3.5132136]
sedan2door_-40_20_-40_20_0_240_60_450 gt:['-40', '20', '-40', '20', '0'] pred:[38.088696  22.089642   9.039507  12.356023   1.3790054]
sedan4door_-40_0_0_20_0_80_60_450 gt:['-40', '0', '0', '20', '0'] pred:[44.147167   4.3253202  4.8011622 18.634      3.742853 ]
hatchback_-40_20_-40_20_40_200_20_400 gt:['-40', '20', '-40', '20', '40'] pred:[40.       24.601011 40.       18.480797 40.668587]
hybrid_0_40_-20_20_0_280_20_400 gt:['0', '40', '-20', '20', '0'] pred:[ 1.2310848 40.        12.468179  20.         2.351122 ]
hatchback_0_40_-20_40_0_80_60_450 gt:['0', '40', '-20', '40', '0'] pred:[ 3.9930632 41.508083  16.761908  38.413746   3.6413147]
hatchback_0_40_-20_20_40_240_60_400 gt:['0', '40', '-20', '20', '40'] pred:[ 4.7240963 41.598557  17.849936  15.721505  42.70412  ]
suv_-20_20_-20_40_0_320_20_450 gt:['-20', '20', '-20', '40', '0'] pred:[18.673594  20.        22.522406  40.         1.7821075]
hatchback_-40_40_0_0_0_200_20_450 gt:['-40', '40', '0', '0', '0'] pred:[40.        48.33816    0.         3.7271745  2.0238943]
sedan4door_0_40_-40_40_20_80_80_450 gt:['0', '40', '-40', '40', '20'] pred:[ 4.5623937 44.7183    39.237064  43.547363  20.       ]
sedan4door_-20_0_0_20_20_0_20_400 gt:['-20', '0', '0', '20', '20'] pred:[15.898792   0.         3.3009024 20.        20.       ]
suv_-40_20_-20_0_40_0_20_450 gt:['-40', '20', '-20', '0', '40'] pred:[41.654797 20.       19.880257  0.       40.      ]
suv_-40_20_0_40_0_120_80_450 gt:['-40', '20', '0', '40', '0'] pred:[38.028625  25.155699   2.6674545 41.75363    2.048997 ]
suv_-40_20_0_40_0_200_20_450 gt:['-40', '20', '0', '40', '0'] pred:[40.        20.275349   0.        45.497845   1.0762324]
hybrid_-40_0_-40_40_0_240_80_450 gt:['-40', '0', '-40', '40', '0'] pred:[44.91002    2.6459687 15.199621  19.67358    4.05044  ]
suv_-40_40_-20_20_40_320_20_400 gt:['-40', '40', '-20', '20', '40'] pred:[46.251656 40.       13.654238 20.       43.648632]
hybrid_-40_0_0_20_20_240_20_450 gt:['-40', '0', '0', '20', '20'] pred:[40.        3.37041   0.       31.677872 23.223934]
hybrid_-20_40_0_40_20_200_20_400 gt:['-20', '40', '0', '40', '20'] pred:[20.       46.797413  0.       19.065098 23.609398]
hatchback_-20_40_0_0_40_360_60_400 gt:['-20', '40', '0', '0', '40'] pred:[21.77834  42.181316  3.384393  0.       41.212627]
hybrid_-20_20_-40_20_0_360_60_400 gt:['-20', '20', '-40', '20', '0'] pred:[20.843924 19.424591 14.92688  20.        1.397731]
sedan2door_0_0_0_20_40_0_40_400 gt:['0', '0', '0', '20', '40'] pred:[ 1.6334853  0.        19.302223  20.        41.8002   ]
hybrid_-20_20_-40_40_0_280_40_450 gt:['-20', '20', '-40', '40', '0'] pred:[16.66262   21.52086   15.349216  36.78515    2.2642689]
sedan4door_-20_0_-20_0_0_280_40_450 gt:['-20', '0', '-20', '0', '0'] pred:[12.328527   1.3840816 18.580978   3.720485   3.6566353]
sedan4door_-40_0_-20_0_40_320_40_450 gt:['-40', '0', '-20', '0', '40'] pred:[40.570873  0.       19.17441   0.       38.73129 ]
sedan2door_-20_0_0_20_40_80_40_400 gt:['-20', '0', '0', '20', '40'] pred:[19.277182  3.610636  9.064647 20.       40.      ]
hatchback_-20_20_-40_40_20_320_80_400 gt:['-20', '20', '-40', '40', '20'] pred:[17.090775 19.421621 40.099472 37.949097 24.955252]
sedan4door_0_0_-20_0_0_280_40_450 gt:['0', '0', '-20', '0', '0'] pred:[ 1.6370232  0.6022101 21.975716   4.7156405  2.6948376]
suv_-20_20_-20_0_40_240_20_450 gt:['-20', '20', '-20', '0', '40'] pred:[20.        18.178822  20.         2.9830508 42.521797 ]
hatchback_-40_0_0_40_40_320_40_450 gt:['-40', '0', '0', '40', '40'] pred:[37.9203    0.        6.505376 40.       35.681675]
hybrid_-20_20_-40_0_0_200_60_450 gt:['-20', '20', '-40', '0', '0'] pred:[17.027355 20.502552 40.       17.569206  3.53517 ]
suv_0_0_-40_20_20_160_20_450 gt:['0', '0', '-40', '20', '20'] pred:[ 0.        4.095477 40.       11.023082 20.      ]
sedan4door_0_40_-20_20_0_0_60_400 gt:['0', '40', '-20', '20', '0'] pred:[ 3.4280586 42.41823   21.958967  20.         1.7885371]
hatchback_-20_0_-40_0_0_320_40_400 gt:['-20', '0', '-40', '0', '0'] pred:[17.568316  0.       45.105602  0.        1.016086]
hybrid_-40_40_-40_0_40_80_20_400 gt:['-40', '40', '-40', '0', '40'] pred:[43.783203 40.       21.440737  0.       40.      ]
sedan2door_-20_20_-40_20_40_240_20_450 gt:['-20', '20', '-40', '20', '40'] pred:[20.       24.073032 40.       13.075677 42.34327 ]
hybrid_0_20_-20_0_20_200_40_450 gt:['0', '20', '-20', '0', '20'] pred:[ 0.       24.39441  20.       15.579114 22.3645  ]
sedan4door_0_20_-40_40_0_240_40_400 gt:['0', '20', '-40', '40', '0'] pred:[ 0.        13.621828  40.        42.47512    1.3358877]
hybrid_0_20_-20_0_20_360_60_450 gt:['0', '20', '-20', '0', '20'] pred:[ 2.9135756 21.238718  18.02313    0.        23.291834 ]
sedan4door_-40_20_0_0_20_120_60_400 gt:['-40', '20', '0', '0', '20'] pred:[41.151524  25.504606   0.         4.9612513 24.050594 ]
suv_-20_20_-40_0_0_120_40_400 gt:['-20', '20', '-40', '0', '0'] pred:[20.      27.23374 40.       4.27431  0.     ]
hybrid_0_20_-40_20_40_160_40_400 gt:['0', '20', '-40', '20', '40'] pred:[ 0.       23.116018 40.       21.348545 44.305145]
hybrid_-20_0_-20_40_0_160_80_450 gt:['-20', '0', '-20', '40', '0'] pred:[21.724173   3.6512206 27.434202  15.370341   3.0633657]
sedan4door_-20_20_-20_0_0_360_40_400 gt:['-20', '20', '-20', '0', '0'] pred:[21.002314  20.        20.209372   0.         2.0059235]
hatchback_0_0_0_40_40_160_60_400 gt:['0', '0', '0', '40', '40'] pred:[ 2.273291  4.735922  0.       43.761185 40.747982]
hatchback_-20_20_0_0_40_280_20_450 gt:['-20', '20', '0', '0', '40'] pred:[18.722519 20.        5.10052   0.       41.224174]
hatchback_-40_20_0_0_40_40_80_400 gt:['-40', '20', '0', '0', '40'] pred:[34.56538   20.642109   7.419483   3.7315722 40.56275  ]
sedan2door_-40_20_-40_40_40_40_60_450 gt:['-40', '20', '-40', '40', '40'] pred:[41.810852 21.809566 18.219755 40.       40.409092]
hatchback_-40_20_0_40_40_240_80_450 gt:['-40', '20', '0', '40', '40'] pred:[44.606647 18.998486  7.14525  30.676023 41.034412]
hybrid_-40_40_-20_20_20_160_60_400 gt:['-40', '40', '-20', '20', '20'] pred:[43.461075 42.1403   20.       17.54821  22.724201]
sedan4door_-40_0_0_20_0_160_60_400 gt:['-40', '0', '0', '20', '0'] pred:[40.654873   3.1312103  0.        20.131384   3.2371802]
sedan4door_-20_20_-20_40_40_200_20_400 gt:['-20', '20', '-20', '40', '40'] pred:[20.       20.613598 20.       46.318413 38.01617 ]
sedan2door_-40_40_-40_40_20_200_60_450 gt:['-40', '40', '-40', '40', '20'] pred:[43.803005 41.358658 40.       21.356377 23.036087]
hatchback_-20_20_-40_20_40_280_20_400 gt:['-20', '20', '-40', '20', '40'] pred:[14.860465 20.       48.7782   20.       38.904396]
sedan2door_-20_40_-20_0_40_200_60_450 gt:['-20', '40', '-20', '0', '40'] pred:[18.609644 44.682487 20.       25.47636  39.73438 ]
sedan2door_-20_0_-20_40_0_120_80_400 gt:['-20', '0', '-20', '40', '0'] pred:[16.940392   2.913859  17.579687  22.086672   2.4844103]
suv_-20_0_-40_20_40_320_20_450 gt:['-20', '0', '-40', '20', '40'] pred:[19.495667  0.       46.29901  20.       39.900627]
hybrid_-40_20_0_40_20_360_80_450 gt:['-40', '20', '0', '40', '20'] pred:[39.33074  21.425453 16.454319 30.09976  22.50514 ]
sedan4door_0_40_-40_0_0_0_40_450 gt:['0', '40', '-40', '0', '0'] pred:[ 2.021147  40.        43.966503   0.         1.7488446]
sedan4door_-20_0_-40_0_0_240_40_400 gt:['-20', '0', '-40', '0', '0'] pred:[20.         3.4261703 40.         2.1891708  1.7042174]
sedan4door_-20_40_-40_40_20_80_60_450 gt:['-20', '40', '-40', '40', '20'] pred:[15.129794 42.330738 39.896465 40.243843 14.469803]
sedan2door_0_40_0_40_40_160_60_450 gt:['0', '40', '0', '40', '40'] pred:[ 2.4044085 44.654694   0.        23.652262  42.56619  ]
hybrid_0_0_0_20_40_120_20_450 gt:['0', '0', '0', '20', '40'] pred:[ 0.         4.1467175  0.        16.849415  40.       ]
sedan4door_-40_0_-20_0_20_320_20_450 gt:['-40', '0', '-20', '0', '20'] pred:[42.194557  0.       21.512112  0.       19.634857]
sedan4door_0_20_0_0_0_40_80_450 gt:['0', '20', '0', '0', '0'] pred:[ 2.3970332 23.382063   2.37807    5.707523   4.3998523]
sedan2door_-40_40_-40_0_20_0_20_400 gt:['-40', '40', '-40', '0', '20'] pred:[43.06568  40.       15.981989  0.       20.      ]
hybrid_-20_0_0_20_0_0_20_450 gt:['-20', '0', '0', '20', '0'] pred:[19.513521  0.       27.368645 20.        0.      ]
sedan4door_0_40_-40_0_20_160_40_450 gt:['0', '40', '-40', '0', '20'] pred:[ 0.        42.091934  40.         3.8623478 20.694103 ]
sedan4door_-20_20_-20_40_20_360_40_400 gt:['-20', '20', '-20', '40', '20'] pred:[21.44572  20.       19.805286 40.       20.46541 ]
hybrid_0_20_0_40_0_0_80_400 gt:['0', '20', '0', '40', '0'] pred:[ 3.2767305 23.359886  16.188766  14.63771    1.7840455]
hybrid_0_0_0_20_0_320_80_400 gt:['0', '0', '0', '20', '0'] pred:[ 1.8593237  3.288405  24.736877  37.17035    2.0314448]
sedan2door_-40_0_-40_40_0_40_60_450 gt:['-40', '0', '-40', '40', '0'] pred:[45.844048   2.837409  14.498918  40.         2.5491035]
sedan2door_-40_40_-40_40_20_40_40_450 gt:['-40', '40', '-40', '40', '20'] pred:[45.89754  40.        6.626956 40.       22.676264]
suv_-40_40_-20_20_40_160_80_450 gt:['-40', '40', '-20', '20', '40'] pred:[41.664066 40.948456 19.188267 14.677588 40.59712 ]
sedan4door_0_20_-40_40_40_120_80_400 gt:['0', '20', '-40', '40', '40'] pred:[ 4.0518484 22.940508  46.023804  39.75318   39.578224 ]
hybrid_0_20_-40_40_40_40_80_450 gt:['0', '20', '-40', '40', '40'] pred:[ 4.075549 24.882025 13.783592 19.926685 40.746765]
sedan2door_-20_0_-40_40_0_0_80_450 gt:['-20', '0', '-40', '40', '0'] pred:[17.015095   2.3220928 21.717384  11.127192   2.3915048]
suv_-40_20_0_20_40_0_60_400 gt:['-40', '20', '0', '20', '40'] pred:[41.211456  18.724972   3.8715568 20.        39.54275  ]
hatchback_-20_20_-20_40_0_240_40_450 gt:['-20', '20', '-20', '40', '0'] pred:[20.        20.040588  20.        42.253365   3.5660446]
sedan4door_-20_40_-40_0_40_80_40_400 gt:['-20', '40', '-40', '0', '40'] pred:[18.079268 45.352028 47.057953  0.       40.      ]
sedan2door_0_40_-20_20_20_0_40_400 gt:['0', '40', '-20', '20', '20'] pred:[ 1.6455467 40.        25.468575  20.        19.251678 ]
hybrid_0_0_0_20_40_240_60_450 gt:['0', '0', '0', '20', '40'] pred:[ 2.1132636  3.0929408 31.715384  38.086296  44.520576 ]
sedan2door_-20_40_-20_20_0_200_80_400 gt:['-20', '40', '-20', '20', '0'] pred:[16.387945 42.35954  27.55481  19.627302  3.002283]
hatchback_-40_0_0_40_40_120_60_400 gt:['-40', '0', '0', '40', '40'] pred:[38.811745   7.0086856  0.        43.410404  36.270336 ]
sedan2door_0_0_-40_20_20_280_20_400 gt:['0', '0', '-40', '20', '20'] pred:[ 4.005847  0.       27.594696 20.       30.07733 ]
hybrid_-40_20_-40_40_40_0_60_400 gt:['-40', '20', '-40', '40', '40'] pred:[41.04026  21.971039 19.825918 40.       39.561684]
suv_-40_40_-40_40_20_80_60_400 gt:['-40', '40', '-40', '40', '20'] pred:[43.63153  44.657333 39.32139  38.44692  18.018105]
sedan2door_0_40_0_0_20_160_60_450 gt:['0', '40', '0', '0', '20'] pred:[ 2.6964157 44.388836   0.        27.547106  19.742447 ]
suv_-20_0_-40_20_20_240_40_450 gt:['-20', '0', '-40', '20', '20'] pred:[20.         4.6490045 40.        16.56755   16.848186 ]
hatchback_0_40_0_20_20_280_20_400 gt:['0', '40', '0', '20', '20'] pred:[ 3.6337063 40.         2.4047253 20.        17.372433 ]
hatchback_-40_20_-40_40_0_0_40_400 gt:['-40', '20', '-40', '40', '0'] pred:[40.343807  20.        42.661427  40.         1.7759719]
hybrid_0_20_0_40_20_160_80_450 gt:['0', '20', '0', '40', '20'] pred:[ 3.0063508 22.24002   25.534029  17.301315  18.656803 ]
hybrid_0_40_-20_20_0_200_80_450 gt:['0', '40', '-20', '20', '0'] pred:[ 2.0384142 45.72675   16.80625   17.139711   2.982462 ]
sedan4door_0_20_-20_20_20_120_20_450 gt:['0', '20', '-20', '20', '20'] pred:[ 0.       21.100029 20.       14.855623 20.      ]
sedan4door_0_20_-40_40_0_360_60_450 gt:['0', '20', '-40', '40', '0'] pred:[ 2.8297596 18.626675  40.87324   40.         1.6907302]
hybrid_-20_0_0_0_0_120_80_450 gt:['-20', '0', '0', '0', '0'] pred:[16.100548   5.0317097 27.076082  21.261414   3.0370643]
sedan4door_-40_0_-40_0_20_120_80_450 gt:['-40', '0', '-40', '0', '20'] pred:[39.541935   3.399937  45.32836    4.8158474 23.902063 ]
suv_-40_40_-40_0_0_200_40_400 gt:['-40', '40', '-40', '0', '0'] pred:[40.        41.62822   40.         3.024567   3.1041532]
hatchback_0_20_0_40_40_240_20_400 gt:['0', '20', '0', '40', '40'] pred:[ 0.      17.38443  0.      44.60658 38.72311]
sedan2door_0_0_-20_40_40_80_40_450 gt:['0', '0', '-20', '40', '40'] pred:[ 2.4206727  2.718259  23.824     40.        40.       ]
hybrid_-20_0_-20_0_20_320_40_450 gt:['-20', '0', '-20', '0', '20'] pred:[19.917574  0.        9.78696   0.       16.201551]
suv_0_40_0_20_0_280_60_400 gt:['0', '40', '0', '20', '0'] pred:[ 3.167203   43.87079     4.7071643  13.105552    0.92331666]
hatchback_-40_40_-20_20_0_320_40_450 gt:['-40', '40', '-20', '20', '0'] pred:[42.68072   40.        12.525511  20.         2.6537168]
sedan4door_-40_0_0_20_40_200_40_450 gt:['-40', '0', '0', '20', '40'] pred:[40.        3.819028  0.       19.828588 44.240955]
sedan4door_-20_40_-20_40_0_40_60_400 gt:['-20', '40', '-20', '40', '0'] pred:[14.892337 44.64234  16.637247 40.        2.479146]
hatchback_-40_40_-40_40_40_160_60_450 gt:['-40', '40', '-40', '40', '40'] pred:[47.028484 41.466587 40.       37.01449  39.79485 ]
sedan4door_0_20_-20_0_20_120_20_450 gt:['0', '20', '-20', '0', '20'] pred:[ 0.        24.740187  20.         2.3179066 20.       ]
hybrid_-20_20_-40_0_0_160_40_400 gt:['-20', '20', '-40', '0', '0'] pred:[20.        20.324434  40.        27.245691   2.2642336]
sedan2door_0_20_-20_0_20_0_20_450 gt:['0', '20', '-20', '0', '20'] pred:[ 2.0818148 20.        11.4869795  0.        20.       ]
hybrid_0_20_-20_20_0_240_40_400 gt:['0', '20', '-20', '20', '0'] pred:[ 0.        20.695074  20.        18.677343   0.9544224]
suv_0_40_-40_20_20_240_20_450 gt:['0', '40', '-40', '20', '20'] pred:[ 0.       45.956394 40.       17.724186 18.152409]
hatchback_-40_40_-40_20_0_40_40_450 gt:['-40', '40', '-40', '20', '0'] pred:[41.772316  40.        36.090355  20.         4.3623405]
suv_-20_0_0_0_0_160_80_450 gt:['-20', '0', '0', '0', '0'] pred:[18.890923   2.3992372  2.2470999  4.0211487  1.0619944]
hatchback_0_20_0_20_20_160_20_400 gt:['0', '20', '0', '20', '20'] pred:[ 0.       27.248945  0.       16.042126 20.      ]
sedan2door_0_20_-40_0_20_160_40_450 gt:['0', '20', '-40', '0', '20'] pred:[ 0.       21.681427 40.       12.011755 20.888227]
hybrid_-40_0_-40_40_0_160_80_400 gt:['-40', '0', '-40', '40', '0'] pred:[44.65999   4.095784 10.36707  27.257528  2.409323]
suv_-40_40_-40_0_40_120_40_400 gt:['-40', '40', '-40', '0', '40'] pred:[40.        41.853897  40.         4.8579426 40.       ]
sedan2door_-20_20_-20_40_20_360_60_450 gt:['-20', '20', '-20', '40', '20'] pred:[18.25778  19.742846 27.647728 40.       22.868866]
sedan4door_-40_0_-20_20_40_120_60_400 gt:['-40', '0', '-20', '20', '40'] pred:[42.04425    5.6888933 20.        21.891298  38.82402  ]
hatchback_-40_20_0_40_0_80_60_450 gt:['-40', '20', '0', '40', '0'] pred:[42.35007   23.214142   5.1044974 38.92268    3.8290648]
hatchback_0_40_-40_0_40_0_20_400 gt:['0', '40', '-40', '0', '40'] pred:[ 3.2778482 40.        42.027218   0.        40.       ]
sedan2door_-40_0_-40_20_40_240_40_400 gt:['-40', '0', '-40', '20', '40'] pred:[40.        2.490638 40.       29.8623   41.727356]
hybrid_0_40_0_20_20_280_80_450 gt:['0', '40', '0', '20', '20'] pred:[ 2.5491052 45.552338  29.372713  25.871845  18.904282 ]
suv_-20_20_-40_0_0_320_40_400 gt:['-20', '20', '-40', '0', '0'] pred:[14.221995  20.        46.506783   0.         1.3554832]
sedan2door_-40_0_-20_0_20_360_60_450 gt:['-40', '0', '-20', '0', '20'] pred:[42.933395   3.3521426 18.723745   0.        21.852947 ]
suv_0_40_0_20_0_200_40_400 gt:['0', '40', '0', '20', '0'] pred:[ 0.       44.47531   0.       18.7938    2.260462]
sedan2door_-40_20_-40_0_40_0_60_400 gt:['-40', '20', '-40', '0', '40'] pred:[40.95164  16.901827 18.878849  0.       40.81394 ]
suv_-40_0_0_0_40_160_20_400 gt:['-40', '0', '0', '0', '40'] pred:[40.         4.259089   0.         2.3645265 40.       ]
suv_-40_0_-20_40_0_320_60_400 gt:['-40', '0', '-20', '40', '0'] pred:[43.158066   4.9533625 18.698812  37.01297    2.9669836]
hybrid_-40_40_-40_0_40_320_20_450 gt:['-40', '40', '-40', '0', '40'] pred:[41.081963 40.       18.786682  0.       41.77875 ]
sedan4door_-20_40_-40_20_20_240_80_450 gt:['-20', '40', '-40', '20', '20'] pred:[20.741602 41.26048  39.866974 18.30538  17.4802  ]
suv_-40_0_-40_40_20_360_80_400 gt:['-40', '0', '-40', '40', '20'] pred:[39.649464   4.3881445 41.89147   39.42504   19.415188 ]
sedan4door_0_20_0_40_20_80_20_400 gt:['0', '20', '0', '40', '20'] pred:[ 2.5557084 20.         2.621479  40.        20.       ]
suv_0_40_-40_0_0_280_40_400 gt:['0', '40', '-40', '0', '0'] pred:[ 5.7733297 41.537914  41.520935   2.680787   2.3207974]
suv_0_40_0_20_20_40_60_450 gt:['0', '40', '0', '20', '20'] pred:[ 2.419405 47.848553  5.43023  20.       21.308222]
