Hatchback_-20_20_0_0_20_80_20_400 gt:['-20', '20', '0', '0', '20'] pred:[15.958702  20.        12.422634   0.         1.3404418]
Hatchback_-20_0_0_0_0_240_20_400 gt:['-20', '0', '0', '0', '0'] pred:[20.        11.426542  18.584633   6.857572   2.8257816]
Sedan4Door_0_0_0_0_0_240_60_400 gt:['0', '0', '0', '0', '0'] pred:[17.76561     5.10148     0.          0.36494595  6.9518576 ]
Hybrid_0_0_-20_0_20_160_60_450 gt:['0', '0', '-20', '0', '20'] pred:[ 0.        15.429319  20.         0.         3.0989668]
Suv_0_0_0_20_0_240_20_400 gt:['0', '0', '0', '20', '0'] pred:[15.793739 12.067087  9.680203  5.338546 19.313992]
Hybrid_-20_0_0_0_20_160_60_450 gt:['-20', '0', '0', '0', '20'] pred:[ 6.646381   5.706398   6.4026065 13.67608    4.737837 ]
Hatchback_-20_20_-20_0_20_0_60_450 gt:['-20', '20', '-20', '0', '20'] pred:[ 8.279939 29.645006 47.590595 13.296333 14.372502]
Sedan2Door_0_20_0_0_0_0_20_450 gt:['0', '20', '0', '0', '0'] pred:[ 8.386654  20.         8.278994   0.         1.7574314]
Suv_-20_0_-20_20_0_0_60_450 gt:['-20', '0', '-20', '20', '0'] pred:[18.616236  0.       34.66168  20.       23.1521  ]
Sedan2Door_0_20_-20_20_20_320_60_400 gt:['0', '20', '-20', '20', '20'] pred:[ 5.984606  14.502629   3.0965586  3.3145454  2.6001444]
Suv_0_20_-20_0_20_160_20_400 gt:['0', '20', '-20', '0', '20'] pred:[ 6.423314 10.526768  2.770702 12.081503 20.480711]
Suv_0_0_0_20_20_0_60_400 gt:['0', '0', '0', '20', '20'] pred:[18.123268 15.328703  7.862275 20.       16.073044]
Sedan2Door_0_0_0_20_20_160_60_450 gt:['0', '0', '0', '20', '20'] pred:[3.8021774  1.6901306  2.468041   1.2787482  0.02950246]
Sedan2Door_0_20_0_20_20_160_60_450 gt:['0', '20', '0', '20', '20'] pred:[ 8.91859  10.958426 17.01431  20.       10.413247]
Hybrid_-20_0_0_0_0_320_60_400 gt:['-20', '0', '0', '0', '0'] pred:[ 3.76901    23.555037   12.068747    0.          0.31271574]
Hatchback_-20_0_0_20_20_80_60_400 gt:['-20', '0', '0', '20', '20'] pred:[10.100519   26.348108    6.882407    5.767679    0.97781885]
Sedan2Door_0_0_0_20_20_240_20_450 gt:['0', '0', '0', '20', '20'] pred:[22.49206  13.638664  0.       20.        5.780387]
Sedan4Door_0_20_-20_0_20_160_60_450 gt:['0', '20', '-20', '0', '20'] pred:[ 6.5516796  6.5483828  2.7672544  3.178255  31.9138   ]
Sedan2Door_0_0_-20_20_20_160_20_400 gt:['0', '0', '-20', '20', '20'] pred:[ 0.        16.744202   1.3258338 20.        42.563354 ]
Hatchback_0_20_0_20_0_0_20_400 gt:['0', '20', '0', '20', '0'] pred:[13.403812   20.         13.210462   20.          0.03858864]
Hatchback_0_20_-20_20_20_240_20_400 gt:['0', '20', '-20', '20', '20'] pred:[11.919715  12.451913   1.0576428 21.889416  29.1144   ]
Sedan4Door_-20_0_0_0_20_0_20_400 gt:['-20', '0', '0', '0', '20'] pred:[17.679592   0.         1.3907051  0.        16.10745  ]
Hybrid_-20_20_0_20_0_240_60_450 gt:['-20', '20', '0', '20', '0'] pred:[12.656107 19.749989  0.       20.       11.110733]
Sedan4Door_-20_0_0_20_20_80_20_450 gt:['-20', '0', '0', '20', '20'] pred:[19.040009  0.        9.728747 20.       20.      ]
Sedan2Door_0_20_-20_0_20_240_20_450 gt:['0', '20', '-20', '0', '20'] pred:[16.151566  15.339863   1.3633642  0.        42.902187 ]
Sedan4Door_0_0_-20_20_20_160_20_450 gt:['0', '0', '-20', '20', '20'] pred:[ 5.226742   4.3372827  3.533744  10.813259  20.       ]
Sedan2Door_0_20_-20_20_20_320_20_450 gt:['0', '20', '-20', '20', '20'] pred:[ 8.818515  20.        20.        20.         0.9404346]
Suv_-20_0_-20_0_0_0_60_400 gt:['-20', '0', '-20', '0', '0'] pred:[2.4106047e+01 7.3502660e+00 1.8891579e+01 0.0000000e+00 9.8190270e-03]
Sedan2Door_0_20_-20_0_0_320_60_450 gt:['0', '20', '-20', '0', '0'] pred:[ 3.0039895 20.1681    20.         2.483362   1.3674749]
Sedan4Door_-20_0_-20_20_20_0_20_400 gt:['-20', '0', '-20', '20', '20'] pred:[26.380438  0.       19.092514 20.       10.399629]
Hybrid_0_20_0_0_0_0_60_400 gt:['0', '20', '0', '0', '0'] pred:[ 7.4188747 17.094208   6.9669914  0.         3.7298934]
Sedan2Door_-20_0_0_20_0_160_60_400 gt:['-20', '0', '0', '20', '0'] pred:[18.663723   3.2215474  0.        20.        14.016113 ]
Sedan2Door_-20_20_-20_20_20_240_20_450 gt:['-20', '20', '-20', '20', '20'] pred:[33.04307  23.517544 20.       20.       21.298183]
Sedan4Door_0_20_-20_0_20_0_60_400 gt:['0', '20', '-20', '0', '20'] pred:[ 9.540718    8.090133   12.234229    0.          0.09443352]
Hatchback_0_20_-20_20_20_160_60_400 gt:['0', '20', '-20', '20', '20'] pred:[11.1918955 11.951992  11.698066   6.5766387  6.3003473]
Hatchback_-20_20_-20_20_0_0_60_400 gt:['-20', '20', '-20', '20', '0'] pred:[19.720976 30.171759 43.36956  20.        8.997054]
Suv_0_0_0_20_0_80_60_400 gt:['0', '0', '0', '20', '0'] pred:[16.895481 12.109441  8.875029 19.356392  8.272882]
Hatchback_-20_20_0_20_20_160_60_400 gt:['-20', '20', '0', '20', '20'] pred:[16.12187    10.514801   13.086404   17.767124    0.21501839]
Hatchback_-20_20_0_0_0_160_60_400 gt:['-20', '20', '0', '0', '0'] pred:[13.852521    3.101121    2.7550752  14.3657255   0.04706424]
Sedan4Door_-20_20_-20_20_20_80_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[25.769794  22.532969  27.484402   6.311026   3.1724262]
Hybrid_-20_20_-20_0_20_160_60_450 gt:['-20', '20', '-20', '0', '20'] pred:[ 4.633283    5.8923426  14.188655    0.          0.10006804]
Suv_0_20_0_20_20_80_20_400 gt:['0', '20', '0', '20', '20'] pred:[13.286333  20.         3.309154  20.         2.3000314]
Hybrid_0_0_0_20_0_0_60_450 gt:['0', '0', '0', '20', '0'] pred:[12.183974  0.       46.025475 20.        0.668527]
Suv_-20_20_-20_20_20_0_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[20.423656  13.776409  14.444737  20.         0.8433151]
Hatchback_0_20_-20_20_20_320_60_450 gt:['0', '20', '-20', '20', '20'] pred:[11.746993  13.102327   1.5340002 30.39854    2.3027391]
Sedan4Door_0_20_-20_0_20_240_60_400 gt:['0', '20', '-20', '0', '20'] pred:[10.162287   9.085589   3.4474332  5.26328   36.33538  ]
Suv_-20_20_0_20_0_0_20_450 gt:['-20', '20', '0', '20', '0'] pred:[21.753344  20.         7.3578    20.         0.5364276]
Sedan2Door_0_20_-20_20_0_160_60_450 gt:['0', '20', '-20', '20', '0'] pred:[11.821578   5.6013055 21.044268  20.         2.292621 ]
Suv_0_0_-20_0_0_240_60_400 gt:['0', '0', '-20', '0', '0'] pred:[19.392778    7.6686664   2.1157403   1.0280809   0.12006953]
Suv_0_0_0_20_0_320_20_450 gt:['0', '0', '0', '20', '0'] pred:[11.272238    0.         34.93669    20.          0.38900268]
Hatchback_-20_20_-20_0_20_160_20_400 gt:['-20', '20', '-20', '0', '20'] pred:[20.       12.463956 20.        4.472788 22.330585]
Sedan2Door_0_0_0_0_0_0_60_400 gt:['0', '0', '0', '0', '0'] pred:[23.273651    4.859498   14.042413    0.          0.03218565]
Suv_-20_0_0_20_0_80_60_450 gt:['-20', '0', '0', '20', '0'] pred:[16.007347    3.11295    15.482574   17.547363    0.34799072]
Hatchback_-20_20_0_20_0_240_20_450 gt:['-20', '20', '0', '20', '0'] pred:[20.          7.720272    0.         10.162909    0.47471547]
Hatchback_0_20_-20_20_0_160_60_400 gt:['0', '20', '-20', '20', '0'] pred:[1.6514507e+01 4.2802935e+00 6.2048858e-01 6.3189678e+00 5.8408985e-03]
Sedan4Door_0_0_0_20_0_80_20_400 gt:['0', '0', '0', '20', '0'] pred:[8.1420498e+00 0.0000000e+00 4.0370941e+01 2.0000000e+01 1.8139381e-02]
Hatchback_0_0_0_0_0_80_20_450 gt:['0', '0', '0', '0', '0'] pred:[30.293316    0.          7.5390286   0.          0.05868244]
Suv_-20_20_0_20_20_240_60_450 gt:['-20', '20', '0', '20', '20'] pred:[ 2.8503833  5.217676   3.4254763  5.13422   14.133707 ]
Hybrid_0_20_0_20_0_160_60_450 gt:['0', '20', '0', '20', '0'] pred:[0.         3.0203588  3.5083842  2.8987572  0.18435729]
Hatchback_0_0_0_20_20_240_60_450 gt:['0', '0', '0', '20', '20'] pred:[26.641638   8.950828   6.1226354  1.708039  42.00107  ]
Hybrid_-20_0_-20_20_0_80_60_450 gt:['-20', '0', '-20', '20', '0'] pred:[14.038071 10.535849 18.08367  12.756141 29.278397]
Hybrid_-20_0_0_0_20_0_60_400 gt:['-20', '0', '0', '0', '20'] pred:[12.366521   11.870549   20.990969    0.          0.05718425]
Sedan4Door_-20_0_0_0_0_0_20_450 gt:['-20', '0', '0', '0', '0'] pred:[29.688177   0.         5.2347746  0.         0.       ]
Sedan4Door_-20_20_0_20_0_160_60_450 gt:['-20', '20', '0', '20', '0'] pred:[13.634536   10.266344    0.          9.417536    0.25852227]
Suv_0_20_0_20_0_80_20_450 gt:['0', '20', '0', '20', '0'] pred:[1.7436089e+01 2.0000000e+01 3.0355242e+01 2.0000000e+01 9.2990557e-04]
Hybrid_0_0_-20_0_20_0_60_450 gt:['0', '0', '-20', '0', '20'] pred:[13.645735  0.       41.73203   0.        4.690142]
Sedan2Door_-20_0_0_20_20_320_20_450 gt:['-20', '0', '0', '20', '20'] pred:[15.343537  0.        0.       20.        4.950785]
Hybrid_-20_0_0_20_0_80_60_450 gt:['-20', '0', '0', '20', '0'] pred:[1.5919655e+01 2.4468622e+00 8.8306780e+00 9.9265060e+00 1.8808796e-03]
Suv_-20_0_-20_0_20_320_60_450 gt:['-20', '0', '-20', '0', '20'] pred:[ 7.1893783 32.1217    27.850243  26.014399   3.9806633]
Hatchback_-20_0_0_0_20_240_20_400 gt:['-20', '0', '0', '0', '20'] pred:[27.99277    3.0127294  1.2165427 18.333006   8.963867 ]
Sedan4Door_-20_20_-20_0_0_320_60_450 gt:['-20', '20', '-20', '0', '0'] pred:[13.000128 17.332191 12.882216  0.        8.935024]
Sedan4Door_-20_20_0_20_0_160_60_400 gt:['-20', '20', '0', '20', '0'] pred:[14.48959     2.747119    5.5768147  22.276554    0.06104419]
Sedan2Door_0_0_0_0_20_320_20_450 gt:['0', '0', '0', '0', '20'] pred:[ 6.9446335  0.         1.3109705  0.        29.066872 ]
Suv_-20_0_-20_20_20_80_20_400 gt:['-20', '0', '-20', '20', '20'] pred:[ 9.813259    0.         13.661896   20.          0.03265641]
Suv_0_0_-20_20_20_240_60_450 gt:['0', '0', '-20', '20', '20'] pred:[ 6.461408   5.608361   2.0732734  1.2424265 13.468523 ]
Hybrid_0_20_0_20_0_0_20_400 gt:['0', '20', '0', '20', '0'] pred:[12.745351 20.        0.       20.        0.      ]
Sedan4Door_0_0_-20_20_20_320_20_450 gt:['0', '0', '-20', '20', '20'] pred:[12.528065   0.         2.881272  20.         2.8651755]
Hatchback_0_20_0_20_0_80_20_450 gt:['0', '20', '0', '20', '0'] pred:[11.027901  20.         9.69331   20.         2.2093053]
Hatchback_0_0_-20_0_0_320_20_450 gt:['0', '0', '-20', '0', '0'] pred:[21.598585  0.        9.272101  0.        1.7266  ]
Hybrid_0_0_0_0_0_240_60_450 gt:['0', '0', '0', '0', '0'] pred:[20.305096   5.2688613  1.1074054  1.303298  13.626672 ]
Hybrid_0_20_0_0_20_320_60_450 gt:['0', '20', '0', '0', '20'] pred:[13.910216   6.9497457  1.0706495  5.9565535 29.649574 ]
Sedan2Door_0_20_0_20_20_0_20_450 gt:['0', '20', '0', '20', '20'] pred:[11.500479 20.        0.       20.       12.006523]
Hatchback_-20_20_0_20_20_160_20_400 gt:['-20', '20', '0', '20', '20'] pred:[20.        12.777713   8.365764   6.2860966  5.827697 ]
Sedan2Door_-20_20_-20_20_20_320_20_450 gt:['-20', '20', '-20', '20', '20'] pred:[ 2.495348  20.        20.        20.         0.0993391]
Sedan2Door_-20_20_-20_0_20_0_60_450 gt:['-20', '20', '-20', '0', '20'] pred:[ 9.575182   6.4051843  8.977283  11.225928   4.379709 ]
Hatchback_-20_0_0_20_20_320_60_400 gt:['-20', '0', '0', '20', '20'] pred:[ 5.441931  13.470366   9.955761   6.323137   0.6035488]
Hatchback_0_20_-20_0_20_0_20_400 gt:['0', '20', '-20', '0', '20'] pred:[14.243963   20.          0.54817015  0.          1.4152611 ]
Hybrid_0_20_0_0_20_320_60_400 gt:['0', '20', '0', '0', '20'] pred:[ 2.0963533 20.        22.3931     0.        15.527848 ]
Suv_-20_0_-20_20_20_160_20_450 gt:['-20', '0', '-20', '20', '20'] pred:[ 3.2170444  9.414829  10.957762   8.358638  13.970256 ]
Hybrid_-20_0_0_0_0_320_60_450 gt:['-20', '0', '0', '0', '0'] pred:[6.6451635 0.        5.1316547 0.        3.6966355]
Hybrid_0_0_0_20_0_320_20_400 gt:['0', '0', '0', '20', '0'] pred:[ 3.0577135  0.        16.501188  20.         0.2372869]
Hybrid_-20_20_-20_20_0_80_20_450 gt:['-20', '20', '-20', '20', '0'] pred:[17.681805  20.        16.046087  20.         5.7779326]
Sedan4Door_0_20_0_0_20_320_20_450 gt:['0', '20', '0', '0', '20'] pred:[12.402104   20.          0.93193096  0.         12.483272  ]
Hatchback_0_0_-20_20_0_240_20_450 gt:['0', '0', '-20', '20', '0'] pred:[15.900977    5.228113    0.14468384 13.096453   30.455822  ]
Suv_0_0_0_0_0_320_60_450 gt:['0', '0', '0', '0', '0'] pred:[3.161909 0.       4.925004 0.       2.428164]
Sedan4Door_-20_20_-20_0_0_80_20_450 gt:['-20', '20', '-20', '0', '0'] pred:[26.30569 20.      38.62832  0.       0.     ]
Hatchback_-20_20_0_20_0_320_20_400 gt:['-20', '20', '0', '20', '0'] pred:[14.010098  20.         7.4622617 20.         4.4618063]
Sedan4Door_-20_20_0_0_20_80_60_400 gt:['-20', '20', '0', '0', '20'] pred:[18.511465   4.2541595 18.670952   3.4811475  0.0209754]
Hatchback_0_20_-20_20_20_160_20_400 gt:['0', '20', '-20', '20', '20'] pred:[26.054754   7.803231   3.5251575  6.9038754  2.1879206]
Hatchback_-20_20_0_0_0_240_20_400 gt:['-20', '20', '0', '0', '0'] pred:[18.356571  21.80558    0.        14.038998   3.9627283]
Hatchback_0_0_-20_20_0_0_20_450 gt:['0', '0', '-20', '20', '0'] pred:[ 9.265475   0.         2.2060368 20.         6.494919 ]
Hybrid_-20_0_0_0_0_0_60_450 gt:['-20', '0', '0', '0', '0'] pred:[10.909033   0.        15.0936     2.5458188  1.2726642]
Suv_-20_0_-20_0_0_80_20_450 gt:['-20', '0', '-20', '0', '0'] pred:[13.282661  0.       25.839092  8.860953  0.      ]
Hatchback_0_20_-20_0_20_320_60_400 gt:['0', '20', '-20', '0', '20'] pred:[ 1.2078755 18.250347   9.145432   8.34758    3.1801395]
Suv_-20_20_0_0_20_320_20_400 gt:['-20', '20', '0', '0', '20'] pred:[ 5.1806693 20.        23.332596   0.        10.817306 ]
Hatchback_-20_0_0_0_0_0_60_400 gt:['-20', '0', '0', '0', '0'] pred:[1.2331339e+01 8.3858671e+00 1.3082926e+01 0.0000000e+00 8.6720809e-03]
Sedan4Door_-20_20_-20_0_20_160_60_400 gt:['-20', '20', '-20', '0', '20'] pred:[15.2376795 11.60686    3.300465  16.43851   21.408943 ]
Suv_0_20_0_0_0_0_20_400 gt:['0', '20', '0', '0', '0'] pred:[ 3.2535858 20.         8.761298   0.         0.       ]
Suv_-20_0_-20_20_0_160_20_450 gt:['-20', '0', '-20', '20', '0'] pred:[ 1.9347328   5.6121287  11.381729    5.690835    0.62974644]
Sedan2Door_-20_20_0_0_20_320_60_400 gt:['-20', '20', '0', '0', '20'] pred:[14.857019 12.70871   9.583631 15.467434 39.6185  ]
Sedan4Door_-20_20_0_0_0_320_60_450 gt:['-20', '20', '0', '0', '0'] pred:[30.456451 19.145716  9.144445 27.718792 53.431553]
Sedan2Door_-20_0_0_0_0_240_60_400 gt:['-20', '0', '0', '0', '0'] pred:[27.859165    2.4325435   3.8215952   8.15389     0.52038205]
Sedan2Door_-20_20_-20_20_0_160_60_400 gt:['-20', '20', '-20', '20', '0'] pred:[10.417705 22.638044 11.111822 20.       29.785423]
Hatchback_-20_20_-20_20_20_0_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[19.200045 12.328472 11.307713 35.882797 29.419014]
Sedan4Door_-20_20_0_0_0_240_20_450 gt:['-20', '20', '0', '0', '0'] pred:[17.533989  10.359478   4.1194034  1.6061699 12.367077 ]
Hybrid_0_20_-20_0_0_240_60_400 gt:['0', '20', '-20', '0', '0'] pred:[27.502785    8.266621    9.50803     0.          0.19031438]
Sedan2Door_0_20_-20_20_0_240_20_450 gt:['0', '20', '-20', '20', '0'] pred:[0.        5.274381  1.1859396 4.188795  7.938829 ]
Hybrid_0_0_0_20_20_320_20_400 gt:['0', '0', '0', '20', '20'] pred:[18.076374   0.         0.        20.         2.7884285]
Sedan4Door_-20_20_0_0_20_320_60_450 gt:['-20', '20', '0', '0', '20'] pred:[12.393454 19.350897  2.235008  0.        5.192105]
Hatchback_-20_0_-20_0_0_80_20_450 gt:['-20', '0', '-20', '0', '0'] pred:[24.532341  0.       26.043797  0.        1.229327]
Suv_-20_20_0_0_20_320_60_450 gt:['-20', '20', '0', '0', '20'] pred:[ 5.998428  29.391495   8.914165   4.6988134  7.954069 ]
Sedan4Door_-20_20_0_0_0_240_60_450 gt:['-20', '20', '0', '0', '0'] pred:[31.847723    7.511809    4.662964    9.113677    0.22706737]
Sedan2Door_0_0_0_20_20_320_60_400 gt:['0', '0', '0', '20', '20'] pred:[ 1.2591031  12.937279    3.6091642   6.060134    0.23523742]
Sedan2Door_-20_20_-20_0_0_0_60_400 gt:['-20', '20', '-20', '0', '0'] pred:[18.45077    6.4131236 34.906937  31.72839    1.1037136]
Sedan4Door_-20_20_0_20_20_160_20_400 gt:['-20', '20', '0', '20', '20'] pred:[ 4.4286957 14.185566   1.7778152  8.3031435 11.845    ]
Suv_0_0_0_20_0_320_20_400 gt:['0', '0', '0', '20', '0'] pred:[ 3.9091353  0.        21.9022    20.        15.606651 ]
Sedan2Door_-20_20_0_0_20_80_60_400 gt:['-20', '20', '0', '0', '20'] pred:[12.944823   7.6399145  9.150202   0.         1.3183378]
Sedan4Door_0_0_-20_0_0_160_60_400 gt:['0', '0', '-20', '0', '0'] pred:[6.0621891e+00 1.7711400e+00 1.0663787e+01 2.4885614e+00 2.0689040e-03]
Sedan2Door_0_0_-20_0_0_0_20_400 gt:['0', '0', '-20', '0', '0'] pred:[ 5.560587  0.       20.        0.        0.      ]
Hybrid_0_20_-20_20_20_80_20_450 gt:['0', '20', '-20', '20', '20'] pred:[12.366143 20.       16.409693 20.       20.      ]
Sedan4Door_0_20_0_0_20_0_20_400 gt:['0', '20', '0', '0', '20'] pred:[ 8.24521   20.        13.327679   0.         0.6452255]
Suv_0_20_-20_20_0_160_20_400 gt:['0', '20', '-20', '20', '0'] pred:[ 0.        20.143122   7.0513678 24.746355  32.28158  ]
Hybrid_-20_0_-20_20_20_320_60_400 gt:['-20', '0', '-20', '20', '20'] pred:[ 3.8266983  15.120154    9.765863   20.          0.42586416]
Suv_-20_0_0_20_0_80_20_400 gt:['-20', '0', '0', '20', '0'] pred:[ 9.765332    0.         15.753992   20.          0.50297415]
Sedan2Door_-20_0_-20_0_20_160_20_450 gt:['-20', '0', '-20', '0', '20'] pred:[ 2.6995378 19.857073   4.339312  13.830355  20.       ]
Sedan2Door_-20_20_-20_20_0_80_60_400 gt:['-20', '20', '-20', '20', '0'] pred:[21.702553  24.073793  22.428791  20.         1.8454537]
Sedan2Door_0_0_-20_20_20_80_20_400 gt:['0', '0', '-20', '20', '20'] pred:[23.207577    0.         12.01689    20.          0.06995452]
Hatchback_0_0_0_0_0_0_60_400 gt:['0', '0', '0', '0', '0'] pred:[23.076992    3.865233    8.595332    4.3062015   0.13770735]
Suv_0_0_0_20_20_80_60_450 gt:['0', '0', '0', '20', '20'] pred:[13.958452   18.287819   11.243108   10.507704    0.84093213]
Sedan4Door_0_20_0_0_20_160_20_400 gt:['0', '20', '0', '0', '20'] pred:[ 7.1335015 13.451427   1.1946594  3.9788952  5.508733 ]
Suv_0_0_-20_20_20_160_60_400 gt:['0', '0', '-20', '20', '20'] pred:[ 9.921764   3.1638744 11.380127  18.54573   43.862686 ]
Hatchback_0_20_0_0_0_160_60_400 gt:['0', '20', '0', '0', '0'] pred:[21.986256    2.6419988   5.1662145   7.6731687   0.13285677]
Sedan2Door_-20_20_0_0_20_80_20_400 gt:['-20', '20', '0', '0', '20'] pred:[ 8.289336 20.        0.        0.       20.      ]
Hybrid_0_0_0_0_0_0_20_400 gt:['0', '0', '0', '0', '0'] pred:[33.938717   0.         0.         0.         1.7681434]
Suv_-20_0_0_20_20_240_60_400 gt:['-20', '0', '0', '20', '20'] pred:[ 7.287363  10.471574   2.5914512  2.4268904 23.127535 ]
Sedan2Door_0_20_-20_20_20_160_60_400 gt:['0', '20', '-20', '20', '20'] pred:[ 8.032475   8.071471  10.581876  20.         5.1071215]
Hybrid_-20_0_0_20_20_80_20_400 gt:['-20', '0', '0', '20', '20'] pred:[19.461071  0.        0.       20.        5.764673]
Hatchback_0_0_0_0_20_320_20_450 gt:['0', '0', '0', '0', '20'] pred:[ 8.970308  0.       10.753833  0.       26.154259]
Suv_0_20_-20_20_20_160_60_450 gt:['0', '20', '-20', '20', '20'] pred:[10.118238   1.3078942  4.5855803 12.664435   1.1611702]
Hatchback_0_20_-20_20_20_0_60_450 gt:['0', '20', '-20', '20', '20'] pred:[ 7.1637     7.9992237  9.254816  20.         2.4457355]
Suv_0_0_0_20_0_0_60_450 gt:['0', '0', '0', '20', '0'] pred:[ 8.551249  0.       12.753647 20.        1.387175]
Suv_-20_20_-20_20_20_320_60_400 gt:['-20', '20', '-20', '20', '20'] pred:[ 1.0916166 18.67051    4.909748   9.148758  35.850235 ]
Suv_-20_20_-20_20_20_80_60_450 gt:['-20', '20', '-20', '20', '20'] pred:[1.2733329e+01 1.9087480e+00 2.7721735e+01 5.3481731e+00 9.8193169e-04]
Suv_0_0_-20_20_20_320_60_450 gt:['0', '0', '-20', '20', '20'] pred:[ 2.3897605 13.000907  11.753125  10.401766   3.0250113]
Sedan2Door_0_20_-20_0_0_240_20_450 gt:['0', '20', '-20', '0', '0'] pred:[ 0.        17.75535    2.3630247  0.        12.38068  ]
Hatchback_-20_20_-20_0_0_0_20_400 gt:['-20', '20', '-20', '0', '0'] pred:[13.288721 20.       11.936064  0.        0.      ]
Hybrid_-20_20_-20_0_20_320_60_450 gt:['-20', '20', '-20', '0', '20'] pred:[10.304088  8.409012  7.156708  0.       37.6476  ]
Hybrid_-20_0_0_20_20_160_20_400 gt:['-20', '0', '0', '20', '20'] pred:[20.         6.0982437  0.         4.127933  20.       ]
Suv_0_20_-20_20_0_160_60_450 gt:['0', '20', '-20', '20', '0'] pred:[ 3.7000842  9.255027  15.398446  12.977324   0.271537 ]
Sedan2Door_-20_0_-20_20_20_240_20_400 gt:['-20', '0', '-20', '20', '20'] pred:[20.       32.087414 20.       20.       39.69666 ]
Hatchback_0_20_-20_0_0_240_20_400 gt:['0', '20', '-20', '0', '0'] pred:[ 0.          7.551674   20.         12.157782    0.70095766]
Hatchback_0_20_0_20_20_0_20_400 gt:['0', '20', '0', '20', '20'] pred:[13.7061405 20.         4.479337  20.         1.0722156]
Sedan4Door_0_0_-20_0_20_160_60_400 gt:['0', '0', '-20', '0', '20'] pred:[ 7.230275    7.75112    17.622725    3.0230353   0.06615506]
Hatchback_0_0_0_20_20_320_60_450 gt:['0', '0', '0', '20', '20'] pred:[12.985255  17.50003    0.7569041  9.228893   8.013947 ]
Sedan2Door_-20_20_-20_20_20_160_20_400 gt:['-20', '20', '-20', '20', '20'] pred:[ 6.42452   3.432475  4.775601 20.       13.435671]
Hatchback_0_20_0_20_20_240_20_400 gt:['0', '20', '0', '20', '20'] pred:[25.164232   11.119117    0.53681386  8.84024     4.6634626 ]
Suv_-20_0_0_0_20_320_60_450 gt:['-20', '0', '0', '0', '20'] pred:[13.705654  0.        9.790563  0.       32.93477 ]
Suv_-20_0_0_20_20_160_60_450 gt:['-20', '0', '0', '20', '20'] pred:[7.468249  2.0866249 8.656275  6.6875086 8.781014 ]
Hybrid_-20_20_-20_20_0_240_60_400 gt:['-20', '20', '-20', '20', '0'] pred:[ 2.5472822   5.5258217   1.863931   20.          0.08502901]
Hatchback_-20_0_-20_20_20_240_60_450 gt:['-20', '0', '-20', '20', '20'] pred:[32.287518   9.593656   9.032128   7.1787477 24.38358  ]
Hatchback_-20_0_0_0_0_0_20_450 gt:['-20', '0', '0', '0', '0'] pred:[24.056656  0.       11.730258  0.        0.      ]
Sedan4Door_-20_0_0_0_20_240_60_450 gt:['-20', '0', '0', '0', '20'] pred:[10.406285    9.369647    4.727253    0.85627186  0.541888  ]
Sedan2Door_0_0_-20_20_20_240_60_400 gt:['0', '0', '-20', '20', '20'] pred:[29.096256    2.2045255   8.632937   20.          0.09956801]
Hatchback_-20_0_0_0_20_80_20_450 gt:['-20', '0', '0', '0', '20'] pred:[23.990738    0.          3.525584    0.          0.46400717]
Hybrid_0_0_0_20_0_80_20_450 gt:['0', '0', '0', '20', '0'] pred:[12.872839  0.       13.074856 20.        0.      ]
Suv_-20_20_-20_20_0_240_60_450 gt:['-20', '20', '-20', '20', '0'] pred:[ 6.5233684 13.556566   2.6951773  5.559571  10.2032795]
Suv_0_20_-20_20_0_160_20_450 gt:['0', '20', '-20', '20', '0'] pred:[ 0.         20.098928    3.1984649  12.585425    0.46426186]
Hatchback_0_0_-20_20_20_320_60_450 gt:['0', '0', '-20', '20', '20'] pred:[13.92409    6.324328   2.776051   6.583712   5.3849635]
Hybrid_-20_0_0_0_0_80_60_400 gt:['-20', '0', '0', '0', '0'] pred:[32.770924   7.9991884 13.623422  26.555954   0.496758 ]
Sedan2Door_0_20_-20_0_0_80_20_400 gt:['0', '20', '-20', '0', '0'] pred:[12.493637 20.       18.732132  0.       11.202316]
Suv_-20_20_-20_0_0_0_20_450 gt:['-20', '20', '-20', '0', '0'] pred:[23.397772  20.         2.0818977  0.         0.       ]
Sedan2Door_0_0_0_20_0_320_20_450 gt:['0', '0', '0', '20', '0'] pred:[ 7.017241   0.         2.3514268 20.         4.607397 ]
Sedan2Door_0_20_0_20_20_240_20_450 gt:['0', '20', '0', '20', '20'] pred:[12.291789  10.246065   0.9293268 20.        21.89087  ]
Suv_0_0_0_0_0_160_20_400 gt:['0', '0', '0', '0', '0'] pred:[0.        4.957245  4.8598814 1.7335453 9.631218 ]
Sedan4Door_-20_20_0_0_0_160_60_400 gt:['-20', '20', '0', '0', '0'] pred:[16.593412   8.354739   8.593016  12.64258    8.2963705]
Suv_-20_0_0_0_20_80_20_400 gt:['-20', '0', '0', '0', '20'] pred:[3.5581890e+01 0.0000000e+00 1.6101994e+01 0.0000000e+00 2.8658280e-02]
Sedan2Door_0_0_0_20_0_80_20_400 gt:['0', '0', '0', '20', '0'] pred:[15.238366   0.         8.559057  20.         0.7569597]
Suv_-20_20_-20_0_20_320_20_450 gt:['-20', '20', '-20', '0', '20'] pred:[11.219141  20.        31.984581   0.         0.5893922]
