hybrid_-17_23_-36_35_15_50_70_420 gt:['-17', '23', '-36', '35', '15'] pred:[18.111662 20.86531  15.695008 15.619887 23.892725]
sedan4door_-17_23_-4_10_28_230_70_420 gt:['-17', '23', '-4', '10', '28'] pred:[27.377642  4.291048  3.281689 12.043657 12.289491]
suv_-17_23_-22_48_15_140_70_420 gt:['-17', '23', '-22', '48', '15'] pred:[ 5.157521 17.60529  12.193787 29.047346 11.273359]
sedan4door_-30_45_-36_10_15_20_70_420 gt:['-30', '45', '-36', '10', '15'] pred:[37.858418  26.303677  28.50459   10.         2.7586527]
hatchback_-50_23_-36_35_15_20_30_420 gt:['-50', '23', '-36', '35', '15'] pred:[44.409767 23.       26.225868 35.        3.211513]
suv_-30_23_-22_48_46_20_30_420 gt:['-30', '23', '-22', '48', '46'] pred:[44.75495   23.        41.383213  48.         2.3900397]
hatchback_-50_23_-36_10_28_20_70_420 gt:['-50', '23', '-36', '10', '28'] pred:[37.283936 19.556297 29.854645 10.       17.411417]
hatchback_-30_23_-4_35_15_20_30_420 gt:['-30', '23', '-4', '35', '15'] pred:[43.54833   23.        26.71926   35.         1.2333345]
suv_-17_45_-22_48_15_230_30_420 gt:['-17', '45', '-22', '48', '15'] pred:[17.       33.30477  22.       21.766802  8.826912]
hybrid_-17_23_-4_35_15_50_70_420 gt:['-17', '23', '-4', '35', '15'] pred:[18.140268 20.886017 16.142195 15.703683 23.356524]
hatchback_-50_23_-4_48_15_20_30_420 gt:['-50', '23', '-4', '48', '15'] pred:[43.73119   23.        16.129927  48.         3.2650776]
sedan2door_-50_15_-4_10_28_20_70_420 gt:['-50', '15', '-4', '10', '28'] pred:[39.263268 14.843354  4.132957 20.078547 10.469576]
sedan4door_-30_45_-4_35_46_20_70_420 gt:['-30', '45', '-4', '35', '46'] pred:[36.562813 29.069986  6.669475 35.        6.623458]
sedan2door_-30_15_-4_35_15_140_70_420 gt:['-30', '15', '-4', '35', '15'] pred:[ 8.765436   7.9584494 10.563756  30.525066   7.367036 ]
hatchback_-30_23_-36_48_15_140_30_420 gt:['-30', '23', '-36', '48', '15'] pred:[30.       22.108109 36.       38.934475 15.      ]
suv_-50_45_-36_48_46_230_30_420 gt:['-50', '45', '-36', '48', '46'] pred:[50.       36.36655  36.       38.86767  30.930294]
hatchback_-30_15_-36_48_28_50_30_420 gt:['-30', '15', '-36', '48', '28'] pred:[3.2387306e+01 1.5000000e+01 3.4470177e+01 4.8000000e+01 3.4342472e-02]
suv_-30_15_-36_35_28_50_70_420 gt:['-30', '15', '-36', '35', '28'] pred:[10.914695 18.098013 38.809517 10.775978 15.658058]
suv_-50_15_-4_48_46_50_70_420 gt:['-50', '15', '-4', '48', '46'] pred:[19.669596 29.757513 11.122337  9.094838 19.390266]
hatchback_-17_23_-22_35_46_140_70_420 gt:['-17', '23', '-22', '35', '46'] pred:[ 5.2090893  9.7438345 22.        16.463682  14.238531 ]
hatchback_-50_45_-36_35_46_20_70_420 gt:['-50', '45', '-36', '35', '46'] pred:[41.208668 29.051725 30.681353 35.       23.502676]
suv_-17_23_-4_35_46_230_70_420 gt:['-17', '23', '-4', '35', '46'] pred:[ 2.5850458 18.839918  11.43259   10.250566  23.553667 ]
suv_-30_15_-36_35_15_20_70_420 gt:['-30', '15', '-36', '35', '15'] pred:[31.674286  23.05795   14.1410885 35.        11.492492 ]
hybrid_-50_45_-4_10_15_140_70_420 gt:['-50', '45', '-4', '10', '15'] pred:[38.56288  34.79608   4.        8.142351 13.754929]
hybrid_-17_15_-36_35_46_20_30_420 gt:['-17', '15', '-36', '35', '46'] pred:[37.004833 15.       26.509155 35.        5.143838]
hatchback_-17_23_-4_48_15_50_70_420 gt:['-17', '23', '-4', '48', '15'] pred:[16.287218 11.205677  9.59739  16.202887 23.57133 ]
sedan2door_-50_15_-4_10_15_50_70_420 gt:['-50', '15', '-4', '10', '15'] pred:[34.88457  15.431226  8.134627 21.746391 16.474306]
suv_-30_15_-36_10_15_140_70_420 gt:['-30', '15', '-36', '10', '15'] pred:[ 6.0352807  9.492445   3.446598  17.874403  10.514103 ]
suv_-50_23_-4_10_46_230_30_420 gt:['-50', '23', '-4', '10', '46'] pred:[50.       20.32801   4.       25.083744 25.71629 ]
hybrid_-30_15_-4_10_28_230_70_420 gt:['-30', '15', '-4', '10', '28'] pred:[34.38046    9.553269  13.863974  13.3571005 16.239338 ]
suv_-17_23_-36_10_15_50_30_420 gt:['-17', '23', '-36', '10', '15'] pred:[14.74465  23.       40.204987 10.       15.      ]
hatchback_-50_45_-4_35_15_230_70_420 gt:['-50', '45', '-4', '35', '15'] pred:[42.834023  24.886705   1.5914003 13.467642   3.5092015]
sedan2door_-50_45_-4_35_28_140_70_420 gt:['-50', '45', '-4', '35', '28'] pred:[37.801144 27.878101  8.187885 16.32092  17.309072]
suv_-17_15_-36_10_28_20_30_420 gt:['-17', '15', '-36', '10', '28'] pred:[27.976038  15.        36.331097  10.         4.4889054]
sedan4door_-30_23_-22_48_46_140_70_420 gt:['-30', '23', '-22', '48', '46'] pred:[23.207893  12.3327265 22.        19.562103  16.610405 ]
sedan2door_-50_15_-36_10_15_20_30_420 gt:['-50', '15', '-36', '10', '15'] pred:[43.942097 15.       17.52829  10.       10.286884]
suv_-30_15_-36_10_28_140_30_420 gt:['-30', '15', '-36', '10', '28'] pred:[30.        8.352217 36.        6.233034 28.      ]
sedan4door_-30_23_-36_35_46_50_70_420 gt:['-30', '23', '-36', '35', '46'] pred:[20.715088 17.099758 28.507082 16.216408 14.847199]
suv_-17_15_-36_10_46_140_30_420 gt:['-17', '15', '-36', '10', '46'] pred:[17.        8.764582 36.        6.068701 46.      ]
hatchback_-30_23_-22_10_46_140_70_420 gt:['-30', '23', '-22', '10', '46'] pred:[11.181344 13.110875 22.       10.737741 17.301592]
sedan4door_-50_15_-4_35_15_230_30_420 gt:['-50', '15', '-4', '35', '15'] pred:[50.       12.991256  4.       18.74802  23.363987]
suv_-17_15_-36_10_15_230_30_420 gt:['-17', '15', '-36', '10', '15'] pred:[17.        20.316652  36.         4.995058   2.6623137]
sedan2door_-50_15_-4_10_15_140_70_420 gt:['-50', '15', '-4', '10', '15'] pred:[21.501265  8.615596 12.124693 21.28262   5.84009 ]
hatchback_-30_23_-4_48_28_140_30_420 gt:['-30', '23', '-4', '48', '28'] pred:[30.       24.572279  4.       36.035717 28.      ]
sedan4door_-50_15_-22_35_46_50_70_420 gt:['-50', '15', '-22', '35', '46'] pred:[32.729893 18.98667  19.766077 18.987885 16.524565]
suv_-50_15_-22_35_46_230_30_420 gt:['-50', '15', '-22', '35', '46'] pred:[50.       23.612278 22.       38.708786 29.851809]
sedan4door_-30_45_-4_35_46_230_30_420 gt:['-30', '45', '-4', '35', '46'] pred:[30.       36.59677   4.       19.579453 34.185482]
hybrid_-17_23_-36_48_28_50_70_420 gt:['-17', '23', '-36', '48', '28'] pred:[15.735463 21.377491 16.305159 15.473428 29.40505 ]
sedan4door_-17_23_-22_10_46_140_70_420 gt:['-17', '23', '-22', '10', '46'] pred:[11.193627  8.22439  22.        6.664617 19.713549]
sedan4door_-17_23_-22_10_46_50_30_420 gt:['-17', '23', '-22', '10', '46'] pred:[27.234854  25.666407  16.329126   3.9071305 46.       ]
suv_-50_15_-36_48_46_50_30_420 gt:['-50', '15', '-36', '48', '46'] pred:[30.833134 15.       38.017586 48.       46.      ]
suv_-17_23_-4_48_46_50_30_420 gt:['-17', '23', '-4', '48', '46'] pred:[10.874775 23.       11.495455 48.       46.      ]
sedan2door_-17_45_-4_48_28_140_30_420 gt:['-17', '45', '-4', '48', '28'] pred:[17.      25.23727  4.      16.82701 28.     ]
suv_-50_45_-36_35_46_50_30_420 gt:['-50', '45', '-36', '35', '46'] pred:[34.17695 45.      34.5859  35.      46.     ]
hybrid_-50_23_-36_48_46_50_70_420 gt:['-50', '23', '-36', '48', '46'] pred:[28.463755 27.226223 12.357097 15.462985 29.535536]
hybrid_-30_23_-4_48_15_230_70_420 gt:['-30', '23', '-4', '48', '15'] pred:[37.25328    7.9173455 12.93045   19.111664   7.515319 ]
hatchback_-50_45_-36_48_28_20_70_420 gt:['-50', '45', '-36', '48', '28'] pred:[41.06558  30.719845 33.155056 48.       16.742346]
hybrid_-30_15_-4_35_15_230_70_420 gt:['-30', '15', '-4', '35', '15'] pred:[34.799194   8.89732   14.543758  16.603516   7.8064513]
suv_-50_15_-22_10_15_20_30_420 gt:['-50', '15', '-22', '10', '15'] pred:[49.050877 15.       28.366768 10.        5.250286]
suv_-30_45_-4_35_15_140_30_420 gt:['-30', '45', '-4', '35', '15'] pred:[30.       22.526142  4.       28.19194  15.      ]
sedan2door_-17_15_-22_35_15_230_70_420 gt:['-17', '15', '-22', '35', '15'] pred:[17.897858   3.7943509 27.354284  16.339058   3.9721696]
hybrid_-17_45_-4_10_28_140_30_420 gt:['-17', '45', '-4', '10', '28'] pred:[17.       26.08941   4.       14.278044 28.      ]
hatchback_-30_23_-4_48_15_230_30_420 gt:['-30', '23', '-4', '48', '15'] pred:[30.        14.5545025  4.        11.132442  16.712234 ]
hatchback_-50_23_-22_10_46_140_70_420 gt:['-50', '23', '-22', '10', '46'] pred:[24.085493 17.60892  22.        8.192659 19.893314]
sedan2door_-17_23_-4_10_46_230_30_420 gt:['-17', '23', '-4', '10', '46'] pred:[17.       22.46008   4.       22.752728 24.954378]
sedan2door_-50_23_-22_48_15_140_30_420 gt:['-50', '23', '-22', '48', '15'] pred:[50.       25.788006 22.        9.666854 15.      ]
sedan4door_-50_23_-36_48_46_140_30_420 gt:['-50', '23', '-36', '48', '46'] pred:[50.       13.348672 36.       25.721899 46.      ]
hybrid_-30_15_-36_48_46_50_30_420 gt:['-30', '15', '-36', '48', '46'] pred:[21.432232   15.         30.394577   48.          0.13219471]
hybrid_-50_15_-36_35_15_20_70_420 gt:['-50', '15', '-36', '35', '15'] pred:[35.14468  21.423338  8.702118 35.       17.572376]
suv_-50_15_-22_35_15_20_70_420 gt:['-50', '15', '-22', '35', '15'] pred:[37.906784  16.22061   12.314975   4.9335136 10.932483 ]
hatchback_-17_15_-4_48_28_50_70_420 gt:['-17', '15', '-4', '48', '28'] pred:[12.681512   7.9698596 10.282446  24.837523  20.31613  ]
suv_-17_23_-4_48_46_50_70_420 gt:['-17', '23', '-4', '48', '46'] pred:[ 5.9108634 28.19579   16.327927   6.7947874 14.340391 ]
sedan4door_-17_23_-22_10_46_20_30_420 gt:['-17', '23', '-22', '10', '46'] pred:[43.047512 23.       25.467659 10.       12.716856]
sedan2door_-17_45_-36_35_15_140_70_420 gt:['-17', '45', '-36', '35', '15'] pred:[ 9.807636 20.76591  12.523661 26.298424 12.556065]
suv_-30_23_-4_35_46_20_70_420 gt:['-30', '23', '-4', '35', '46'] pred:[25.48953   23.76326    6.7380643  6.17986   21.077024 ]
hatchback_-50_45_-4_35_46_50_30_420 gt:['-50', '45', '-4', '35', '46'] pred:[32.89328  22.717472 24.758615 35.       46.      ]
sedan4door_-17_45_-36_10_15_50_70_420 gt:['-17', '45', '-36', '10', '15'] pred:[21.67981   32.375847  21.87419    6.2221007  3.8139985]
suv_-50_15_-36_10_46_140_30_420 gt:['-50', '15', '-36', '10', '46'] pred:[50.        10.187577  36.         5.4508247 46.       ]
sedan4door_-30_45_-36_48_15_50_70_420 gt:['-30', '45', '-36', '48', '15'] pred:[27.231768  23.754936  20.964909  15.928406   2.7621434]
sedan4door_-30_23_-22_35_28_20_70_420 gt:['-30', '23', '-22', '35', '28'] pred:[34.35369  16.48778  12.859654 35.        5.183605]
hybrid_-17_23_-36_35_15_140_70_420 gt:['-17', '23', '-36', '35', '15'] pred:[ 7.712111 15.607342 36.        8.044261 11.124735]
sedan4door_-17_45_-4_35_46_20_70_420 gt:['-17', '45', '-4', '35', '46'] pred:[34.42201   25.087355  10.003359  35.         4.6694145]
sedan4door_-30_23_-22_48_28_140_30_420 gt:['-30', '23', '-22', '48', '28'] pred:[30.       14.043743 22.       30.532347 28.      ]
sedan2door_-17_45_-22_48_28_50_30_420 gt:['-17', '45', '-22', '48', '28'] pred:[19.967855 45.       11.040037 48.       28.      ]
hybrid_-17_45_-4_35_46_50_70_420 gt:['-17', '45', '-4', '35', '46'] pred:[18.458279 33.922836 10.739881 16.219902 33.82053 ]
hybrid_-30_23_-22_48_46_140_30_420 gt:['-30', '23', '-22', '48', '46'] pred:[30.        8.643915 22.       18.688007 46.      ]
sedan4door_-30_45_-36_48_46_50_30_420 gt:['-30', '45', '-36', '48', '46'] pred:[31.349487 36.168476 28.08269  48.       46.      ]
hatchback_-30_15_-36_35_46_230_70_420 gt:['-30', '15', '-36', '35', '46'] pred:[29.849123  4.613852 16.04652  10.960768 28.958775]
sedan2door_-30_15_-4_10_15_50_30_420 gt:['-30', '15', '-4', '10', '15'] pred:[24.488499 15.       13.975425 10.       15.      ]
hatchback_-30_45_-22_10_28_230_70_420 gt:['-30', '45', '-22', '10', '28'] pred:[29.858011  14.565666   6.2368073  6.3235645 10.327129 ]
sedan2door_-17_15_-4_48_46_50_70_420 gt:['-17', '15', '-4', '48', '46'] pred:[11.283178 15.896262 18.435085 24.496067 29.911364]
hybrid_-50_23_-36_48_15_140_30_420 gt:['-50', '23', '-36', '48', '15'] pred:[50.       10.464846 36.       14.428009 15.      ]
suv_-17_45_-36_48_46_50_70_420 gt:['-17', '45', '-36', '48', '46'] pred:[ 7.772068  29.266914  29.410847   7.7010727 15.353502 ]
sedan4door_-30_23_-4_35_28_20_70_420 gt:['-30', '23', '-4', '35', '28'] pred:[33.861034  18.117058   6.2347126 35.         4.2212963]
hybrid_-30_15_-36_35_28_20_70_420 gt:['-30', '15', '-36', '35', '28'] pred:[31.641409  17.691637  14.341286  35.         9.2444515]
suv_-17_45_-4_48_46_20_30_420 gt:['-17', '45', '-4', '48', '46'] pred:[30.313751  45.        26.447817  48.         2.6713455]
suv_-17_45_-22_10_28_20_70_420 gt:['-17', '45', '-22', '10', '28'] pred:[24.296082 31.540775 13.298167  1.662331 14.350644]
suv_-50_45_-36_10_28_20_70_420 gt:['-50', '45', '-36', '10', '28'] pred:[35.136482  35.56513    9.697415   1.4630728 17.83537  ]
hybrid_-17_45_-22_35_46_50_70_420 gt:['-17', '45', '-22', '35', '46'] pred:[18.533316 33.054176 10.904825 17.063393 33.611397]
suv_-17_15_-4_10_15_140_30_420 gt:['-17', '15', '-4', '10', '15'] pred:[17.         7.1675057  4.         7.428235  15.       ]
hybrid_-30_45_-22_35_28_140_30_420 gt:['-30', '45', '-22', '35', '28'] pred:[30.       25.727057 22.       11.205999 28.      ]
sedan2door_-50_23_-36_48_46_140_70_420 gt:['-50', '23', '-36', '48', '46'] pred:[35.235756  12.2834425 36.        15.8103485 28.998062 ]
sedan2door_-30_15_-22_35_46_50_70_420 gt:['-30', '15', '-22', '35', '46'] pred:[19.341335  8.723017 17.68779  27.348759 30.349968]
sedan2door_-30_45_-36_10_15_140_70_420 gt:['-30', '45', '-36', '10', '15'] pred:[18.541672 26.769573  8.497262 27.22345  12.115339]
hybrid_-17_15_-36_10_15_20_70_420 gt:['-17', '15', '-36', '10', '15'] pred:[34.02953  14.564483 18.442516 10.        4.30864 ]
suv_-17_23_-36_35_28_50_30_420 gt:['-17', '23', '-36', '35', '28'] pred:[15.505192 23.       37.019287 35.       28.      ]
hybrid_-17_15_-36_10_46_20_30_420 gt:['-17', '15', '-36', '10', '46'] pred:[36.313293  15.        26.202366  10.         4.9044747]
sedan2door_-17_45_-4_10_15_20_30_420 gt:['-17', '45', '-4', '10', '15'] pred:[38.565884 45.       13.762622 10.        9.134828]
hatchback_-30_45_-4_48_15_50_30_420 gt:['-30', '45', '-4', '48', '15'] pred:[28.22372  24.559435 16.574265 48.       15.      ]
suv_-30_23_-4_48_15_140_30_420 gt:['-30', '23', '-4', '48', '15'] pred:[30.       20.512285  4.       26.238165 15.      ]
hybrid_-30_45_-36_10_15_140_30_420 gt:['-30', '45', '-36', '10', '15'] pred:[30.       24.531681 36.       12.131305 15.      ]
hybrid_-17_45_-36_35_46_50_70_420 gt:['-17', '45', '-36', '35', '46'] pred:[18.44378  33.415813 11.099573 16.73361  33.380547]
hybrid_-30_15_-36_35_15_20_30_420 gt:['-30', '15', '-36', '35', '15'] pred:[39.301346  15.        17.81651   35.         2.9267945]
sedan4door_-17_15_-22_35_46_20_30_420 gt:['-17', '15', '-22', '35', '46'] pred:[35.613033 15.       28.44425  35.        9.229854]
hybrid_-30_23_-36_35_46_230_30_420 gt:['-30', '23', '-36', '35', '46'] pred:[30.        23.383556  36.         6.5745654 32.031033 ]
hatchback_-50_23_-22_10_28_20_70_420 gt:['-50', '23', '-22', '10', '28'] pred:[36.690308 17.142103 32.0786   10.       17.833483]
sedan4door_-50_15_-36_35_15_140_30_420 gt:['-50', '15', '-36', '35', '15'] pred:[50.        4.983153 36.       22.361292 15.      ]
sedan4door_-50_45_-4_48_28_230_70_420 gt:['-50', '45', '-4', '48', '28'] pred:[50.83688   25.699657   1.5491755 21.131084  10.280887 ]
sedan4door_-30_15_-36_48_46_20_30_420 gt:['-30', '15', '-36', '48', '46'] pred:[38.204872  15.        27.742064  48.         7.2451696]
sedan2door_-30_15_-4_10_28_50_30_420 gt:['-30', '15', '-4', '10', '28'] pred:[23.892382 15.       15.116137 10.       28.      ]
sedan2door_-30_15_-4_35_28_230_30_420 gt:['-30', '15', '-4', '35', '28'] pred:[30.       18.154993  4.       15.215308 20.128836]
hatchback_-17_45_-22_10_46_20_30_420 gt:['-17', '45', '-22', '10', '46'] pred:[40.784424 45.       24.501963 10.        6.475457]
sedan2door_-30_45_-4_10_46_140_70_420 gt:['-30', '45', '-4', '10', '46'] pred:[18.928991 24.383419  6.435999 21.721798 31.894516]
hatchback_-17_45_-4_48_28_20_70_420 gt:['-17', '45', '-4', '48', '28'] pred:[29.407257 27.049696 22.24348  48.       14.405954]
hybrid_-17_15_-36_48_28_20_70_420 gt:['-17', '15', '-36', '48', '28'] pred:[31.617119  12.541966  19.46962   48.         5.6671376]
sedan4door_-17_23_-36_35_46_140_70_420 gt:['-17', '23', '-36', '35', '46'] pred:[15.493049  9.452445 36.       11.760349 19.253122]
hybrid_-30_23_-22_48_28_50_30_420 gt:['-30', '23', '-22', '48', '28'] pred:[18.28117   23.        23.506824  48.         0.1376556]
suv_-30_45_-36_10_28_50_70_420 gt:['-30', '45', '-36', '10', '28'] pred:[10.136747  34.04318   29.10877    4.2193384 14.505346 ]
hybrid_-50_45_-36_10_15_50_30_420 gt:['-50', '45', '-36', '10', '15'] pred:[22.884117  45.        37.246593  10.         3.9796987]
suv_-50_15_-22_48_46_20_70_420 gt:['-50', '15', '-22', '48', '46'] pred:[36.5042    13.634181  16.127604   4.4035826 20.561865 ]
suv_-50_15_-36_10_15_140_30_420 gt:['-50', '15', '-36', '10', '15'] pred:[50.        9.86252  36.        7.415978 15.      ]
hybrid_-50_45_-4_35_15_20_30_420 gt:['-50', '45', '-4', '35', '15'] pred:[44.84526  45.       14.823181 35.        4.498962]
hybrid_-30_15_-4_48_46_230_30_420 gt:['-30', '15', '-4', '48', '46'] pred:[30.        23.64865    4.         7.7822785 28.313614 ]
hatchback_-17_15_-22_35_46_140_30_420 gt:['-17', '15', '-22', '35', '46'] pred:[17.       20.971703 22.       17.99116  46.      ]
sedan2door_-30_23_-22_10_15_20_30_420 gt:['-30', '23', '-22', '10', '15'] pred:[39.368526 23.       15.635991 10.        9.471818]
hatchback_-50_45_-22_10_46_230_70_420 gt:['-50', '45', '-22', '10', '46'] pred:[37.195465 15.474511  5.668118  7.391351 34.55578 ]
sedan4door_-17_15_-4_35_15_50_30_420 gt:['-17', '15', '-4', '35', '15'] pred:[23.145988  15.        10.838188   4.2966847 15.       ]
hatchback_-17_15_-36_10_15_20_30_420 gt:['-17', '15', '-36', '10', '15'] pred:[38.85132   15.        36.553417  10.         1.2234708]
suv_-50_45_-36_35_46_20_30_420 gt:['-50', '45', '-36', '35', '46'] pred:[44.46256   45.        29.112898  35.         5.9539075]
hatchback_-30_45_-36_48_15_140_30_420 gt:['-30', '45', '-36', '48', '15'] pred:[30.       29.22961  36.       36.463726 15.      ]
suv_-50_45_-4_10_28_140_30_420 gt:['-50', '45', '-4', '10', '28'] pred:[50.       17.21708   4.       15.131534 28.      ]
hatchback_-17_23_-4_48_28_50_70_420 gt:['-17', '23', '-4', '48', '28'] pred:[15.010134 12.573771  9.401341 16.265131 23.773237]
suv_-17_45_-36_10_28_140_30_420 gt:['-17', '45', '-36', '10', '28'] pred:[17.        12.1455555 36.        18.96152   28.       ]
suv_-17_45_-22_10_46_20_30_420 gt:['-17', '45', '-22', '10', '46'] pred:[33.51529  45.       35.056496 10.        5.483419]
hybrid_-50_15_-4_10_46_20_30_420 gt:['-50', '15', '-4', '10', '46'] pred:[46.346966 15.       14.349783 10.        7.467235]
hybrid_-30_45_-4_48_28_20_30_420 gt:['-30', '45', '-4', '48', '28'] pred:[30.842772  45.        10.018906  48.         7.6420536]
hatchback_-17_23_-22_10_28_230_30_420 gt:['-17', '23', '-22', '10', '28'] pred:[17.        11.939899  22.         5.4814944 18.895807 ]
suv_-17_15_-22_10_28_50_30_420 gt:['-17', '15', '-22', '10', '28'] pred:[ 9.889118 15.       30.738304 10.       28.      ]
suv_-17_15_-4_35_46_50_70_420 gt:['-17', '15', '-4', '35', '46'] pred:[ 5.3770065 23.045639  18.904854   7.787742  15.417025 ]
hybrid_-50_45_-22_35_28_20_30_420 gt:['-50', '45', '-22', '35', '28'] pred:[40.47314  45.       12.311449 35.        8.098293]
hatchback_-17_45_-36_35_15_50_30_420 gt:['-17', '45', '-36', '35', '15'] pred:[30.959497 33.185528 31.074286 35.       15.      ]
sedan4door_-50_15_-36_10_46_50_70_420 gt:['-50', '15', '-36', '10', '46'] pred:[27.138332 15.787047 27.271797 15.698639 18.332369]
hybrid_-50_45_-36_48_15_140_30_420 gt:['-50', '45', '-36', '48', '15'] pred:[50.       25.593094 36.       10.587312 15.      ]
suv_-50_45_-22_48_28_50_70_420 gt:['-50', '45', '-22', '48', '28'] pred:[25.183199 33.97467  13.554142  8.277247 16.200268]
suv_-17_45_-22_48_15_20_30_420 gt:['-17', '45', '-22', '48', '15'] pred:[35.86593   45.        30.715141  48.         4.0954175]
suv_-30_15_-36_35_46_230_70_420 gt:['-30', '15', '-36', '35', '46'] pred:[21.258654 12.019378 28.007473 12.428062 22.132555]
hatchback_-30_15_-22_10_46_20_30_420 gt:['-30', '15', '-22', '10', '46'] pred:[41.3721    15.        29.737377  10.         3.6532805]
sedan2door_-50_45_-4_35_28_140_30_420 gt:['-50', '45', '-4', '35', '28'] pred:[50.       24.54325   4.       10.087816 28.      ]
hybrid_-30_15_-22_48_46_50_70_420 gt:['-30', '15', '-22', '48', '46'] pred:[18.344229 18.474836 10.927209 20.653093 35.820194]
hatchback_-17_45_-22_48_46_20_70_420 gt:['-17', '45', '-22', '48', '46'] pred:[28.652697 21.665903 35.70857  48.       21.959845]
suv_-17_23_-22_48_28_230_30_420 gt:['-17', '23', '-22', '48', '28'] pred:[17.        32.103233  22.        32.81685    7.4004216]
sedan4door_-30_15_-36_48_15_50_70_420 gt:['-30', '15', '-36', '48', '15'] pred:[21.960167 14.626997 30.27161  23.064613  5.54305 ]
suv_-30_45_-36_35_28_50_30_420 gt:['-30', '45', '-36', '35', '28'] pred:[24.446074 45.       35.77022  35.       28.      ]
sedan4door_-30_15_-22_35_46_20_70_420 gt:['-30', '15', '-22', '35', '46'] pred:[34.11971  10.288193 14.488981 35.        8.434953]
hatchback_-17_45_-36_10_28_230_70_420 gt:['-17', '45', '-36', '10', '28'] pred:[17.374092  13.125571   7.9872713  6.1106277  7.528031 ]
sedan2door_-50_23_-36_35_28_230_70_420 gt:['-50', '23', '-36', '35', '28'] pred:[39.77598    7.17095   11.039243  11.775069  11.6949415]
sedan2door_-50_23_-4_10_15_50_30_420 gt:['-50', '23', '-4', '10', '15'] pred:[33.150692 23.       20.77271  10.       15.      ]
suv_-30_23_-4_35_28_230_70_420 gt:['-30', '23', '-4', '35', '28'] pred:[16.837742 20.78712   9.102829 13.507562 21.219584]
sedan4door_-30_23_-22_35_15_140_70_420 gt:['-30', '23', '-22', '35', '15'] pred:[20.290676  13.2084875 22.        18.277832   2.6369715]
sedan2door_-50_23_-36_35_15_230_30_420 gt:['-50', '23', '-36', '35', '15'] pred:[50.       17.540884 36.       16.992706  7.708765]
suv_-30_23_-36_35_46_140_70_420 gt:['-30', '23', '-36', '35', '46'] pred:[ 8.743283 15.416452  9.635949 16.115952 21.698227]
sedan2door_-17_23_-36_48_46_20_30_420 gt:['-17', '23', '-36', '48', '46'] pred:[41.61675  23.       12.61682  48.        8.317361]
suv_-50_15_-4_10_46_20_30_420 gt:['-50', '15', '-4', '10', '46'] pred:[47.169746 15.       17.266521 10.        5.105014]
suv_-50_23_-22_48_46_50_30_420 gt:['-50', '23', '-22', '48', '46'] pred:[31.52715  23.       29.607103 48.       46.      ]
hatchback_-50_15_-4_10_28_50_30_420 gt:['-50', '15', '-4', '10', '28'] pred:[33.811745 25.473274 28.36318  10.       28.      ]
sedan4door_-30_15_-36_10_28_20_70_420 gt:['-30', '15', '-36', '10', '28'] pred:[37.036003  9.220003 25.979986 10.        6.535282]
sedan2door_-17_23_-22_10_46_50_30_420 gt:['-17', '23', '-22', '10', '46'] pred:[23.155504 23.       13.82445  10.       46.      ]
hybrid_-17_15_-36_35_28_50_70_420 gt:['-17', '15', '-36', '35', '28'] pred:[14.972435 14.215378 15.351668 18.919643 31.609987]
sedan4door_-50_23_-4_48_46_50_30_420 gt:['-50', '23', '-4', '48', '46'] pred:[36.700794 27.9186   28.829979 48.       46.      ]
sedan4door_-17_45_-22_48_28_50_30_420 gt:['-17', '45', '-22', '48', '28'] pred:[28.992905 34.67733  14.67189  48.       28.      ]
sedan4door_-17_23_-22_48_28_50_30_420 gt:['-17', '23', '-22', '48', '28'] pred:[28.599676  25.274708  19.509678   5.3569674 28.       ]
sedan2door_-30_23_-4_48_15_20_30_420 gt:['-30', '23', '-4', '48', '15'] pred:[39.116474 23.       16.874556 48.        9.301683]
suv_-50_45_-36_35_46_230_30_420 gt:['-50', '45', '-36', '35', '46'] pred:[50.       42.66062  36.       32.00019  30.777197]
sedan4door_-30_15_-36_48_28_230_70_420 gt:['-30', '15', '-36', '48', '28'] pred:[44.918636  7.782459 28.892624 25.275515  7.198544]
sedan2door_-50_23_-22_10_46_20_70_420 gt:['-50', '23', '-22', '10', '46'] pred:[40.07785   19.741955   4.0983334 16.92529   19.641176 ]
sedan4door_-30_45_-22_10_15_230_70_420 gt:['-30', '45', '-22', '10', '15'] pred:[35.346786  15.879852  13.135718  10.305063   2.4570687]
sedan4door_-50_15_-36_10_46_140_70_420 gt:['-50', '15', '-36', '10', '46'] pred:[24.349478   7.7675514 36.         7.6586046 15.781816 ]
sedan2door_-50_15_-4_10_15_50_30_420 gt:['-50', '15', '-4', '10', '15'] pred:[32.827255 15.       20.164955 10.       15.      ]
sedan4door_-50_15_-22_48_28_20_30_420 gt:['-50', '15', '-22', '48', '28'] pred:[40.629826 15.       25.340425 48.       15.088552]
suv_-17_15_-22_35_46_230_70_420 gt:['-17', '15', '-22', '35', '46'] pred:[ 5.6089315  8.500124  21.191547  11.632029  16.829998 ]
sedan4door_-30_15_-36_10_15_50_30_420 gt:['-30', '15', '-36', '10', '15'] pred:[33.07958  27.230684 33.59824  10.       15.      ]
sedan4door_-50_23_-36_10_28_50_70_420 gt:['-50', '23', '-36', '10', '28'] pred:[25.18428  22.781013 22.533829 14.221625 14.535743]
