hybrid_0_20_-40_0_40_320_20_400:gt ['0', '20', '-40', '0', '40']:pred [ 0.22642326 20.         40.          0.         42.36026   ]
hybrid_0_20_-20_40_20_160_60_400:gt ['0', '20', '-20', '40', '20']:pred [ 0.       19.645018 20.       40.       19.883987]
hatchback_0_0_0_0_20_240_80_400:gt ['0', '0', '0', '0', '20']:pred [ 1.6652459  1.1570885  3.2537603  2.8228679 26.142359 ]
sedan4door_0_20_0_40_40_80_40_450:gt ['0', '20', '0', '40', '40']:pred [ 0.42719957 18.677225    1.5190489  40.         40.        ]
sedan4door_-40_0_0_0_20_240_80_400:gt ['-40', '0', '0', '0', '20']:pred [43.588814   2.8385222  2.5336373  3.5560362  2.536888 ]
sedan4door_-40_20_0_20_0_320_40_450:gt ['-40', '20', '0', '20', '0']:pred [40.766426  20.         0.6546859 20.         3.017466 ]
hatchback_-40_0_-40_0_0_240_80_400:gt ['-40', '0', '-40', '0', '0']:pred [43.431942   3.2868195 44.935932   5.710375   8.8418   ]
suv_-20_0_-20_0_40_240_40_450:gt ['-20', '0', '-20', '0', '40']:pred [20.         0.8771426 20.         5.6232033 42.01466  ]
sedan4door_-20_20_-20_0_0_320_20_450:gt ['-20', '20', '-20', '0', '0']:pred [20.66903   20.        20.478601   0.         1.1915827]
hybrid_-40_40_-20_20_0_240_80_400:gt ['-40', '40', '-20', '20', '0']:pred [40.851597  38.740818  20.        20.         2.4464316]
sedan4door_-40_0_-40_40_40_160_20_400:gt ['-40', '0', '-40', '40', '40']:pred [40.         0.7936878 40.        41.023148  40.       ]
sedan2door_-20_40_0_20_40_160_80_400:gt ['-20', '40', '0', '20', '40']:pred [19.498857 40.015415  0.       20.       23.26973 ]
hybrid_-40_40_-20_0_20_0_60_400:gt ['-40', '40', '-20', '0', '20']:pred [38.329453 39.4161   20.        0.       16.936205]
hybrid_0_20_-20_40_40_320_40_450:gt ['0', '20', '-20', '40', '40']:pred [ 0.7222254 20.        20.        40.        36.567085 ]
hatchback_-20_0_-40_40_40_160_60_400:gt ['-20', '0', '-40', '40', '40']:pred [ 0.6913875  5.6103163 40.        30.485928  34.739407 ]
suv_-40_20_-40_20_20_0_40_400:gt ['-40', '20', '-40', '20', '20']:pred [40.381214 20.       38.575333 20.       23.45383 ]
sedan2door_-20_0_-40_40_20_320_60_400:gt ['-20', '0', '-40', '40', '20']:pred [17.538857  2.6563   40.       40.       30.811615]
hybrid_-20_20_-40_20_40_80_20_450:gt ['-20', '20', '-40', '20', '40']:pred [15.113624 20.       40.       20.       40.      ]
hatchback_-40_0_0_20_20_80_80_400:gt ['-40', '0', '0', '20', '20']:pred [40.504593   1.302688   1.5235134 14.147934  20.       ]
hatchback_-20_20_0_40_40_320_60_450:gt ['-20', '20', '0', '40', '40']:pred [21.493095  15.107691   1.2329347 38.289795  36.142136 ]
hybrid_0_40_0_40_20_240_80_400:gt ['0', '40', '0', '40', '20']:pred [ 2.2939045 41.993557   0.        40.        10.354784 ]
hybrid_0_0_-20_20_0_240_40_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.         0.7925011 20.        20.         1.189393 ]
hybrid_-40_40_-40_40_20_320_60_450:gt ['-40', '40', '-40', '40', '20']:pred [41.600433 42.089424 40.       40.       10.470473]
hybrid_-40_20_0_20_20_80_20_400:gt ['-40', '20', '0', '20', '20']:pred [35.697784 20.        0.       20.       20.      ]
hatchback_0_40_0_40_0_160_20_400:gt ['0', '40', '0', '40', '0']:pred [ 0.       41.158047  0.       41.963272  0.      ]
hybrid_-20_20_0_20_40_160_20_400:gt ['-20', '20', '0', '20', '40']:pred [20.       17.596357  0.       20.       40.      ]
suv_-40_0_-20_40_0_160_40_400:gt ['-40', '0', '-20', '40', '0']:pred [40.          1.5042775  20.         41.229515    0.84373116]
hatchback_-40_20_0_40_0_320_20_450:gt ['-40', '20', '0', '40', '0']:pred [38.161396   20.          0.51409084 40.          0.21430396]
sedan4door_-20_20_-20_0_40_0_80_400:gt ['-20', '20', '-20', '0', '40']:pred [12.880447  27.567553  25.439087   2.6883256 35.721775 ]
sedan2door_-20_20_0_0_20_320_80_450:gt ['-20', '20', '0', '0', '20']:pred [22.644855  18.72684    0.         0.         7.0992804]
sedan4door_-20_40_0_20_40_240_40_450:gt ['-20', '40', '0', '20', '40']:pred [20.       40.818703  0.       28.186365 39.115833]
suv_-40_40_-20_40_0_240_20_450:gt ['-40', '40', '-20', '40', '0']:pred [40.        39.758842  20.        41.011074   0.1856091]
suv_-40_0_-40_0_40_240_20_450:gt ['-40', '0', '-40', '0', '40']:pred [40.        1.683814 40.        2.479604 33.999863]
hybrid_-20_40_-40_40_20_80_60_450:gt ['-20', '40', '-40', '40', '20']:pred [19.895311  37.67121   40.        40.         2.4864683]
hybrid_0_40_-20_0_20_240_80_400:gt ['0', '40', '-20', '0', '20']:pred [ 0.9511176 40.86633   20.         0.        10.583737 ]
suv_-20_0_-40_40_0_240_20_450:gt ['-20', '0', '-40', '40', '0']:pred [20.        10.880962  40.        46.910675   3.5374866]
hybrid_-20_0_-20_40_0_320_60_400:gt ['-20', '0', '-20', '40', '0']:pred [19.191488    0.         20.         40.          0.81213784]
hybrid_0_20_-40_20_0_240_80_450:gt ['0', '20', '-40', '20', '0']:pred [ 1.6452879 23.448751  40.        20.         2.2277436]
hybrid_0_40_0_20_40_160_40_400:gt ['0', '40', '0', '20', '40']:pred [ 0.       38.925045  0.       20.       40.61695 ]
sedan2door_0_20_0_20_20_240_20_450:gt ['0', '20', '0', '20', '20']:pred [ 0.       20.589846  0.       20.       22.254438]
hybrid_0_0_0_40_40_0_80_400:gt ['0', '0', '0', '40', '40']:pred [ 4.7401767  2.897534   0.        40.        35.155025 ]
hatchback_0_0_-40_20_0_80_80_400:gt ['0', '0', '-40', '20', '0']:pred [ 2.0741792  1.3482405 33.104942  10.328278   0.       ]
sedan2door_0_40_-20_20_40_80_60_400:gt ['0', '40', '-20', '20', '40']:pred [ 2.6467948 42.414314  20.        20.        36.497677 ]
hybrid_0_0_0_40_40_320_20_450:gt ['0', '0', '0', '40', '40']:pred [ 0.30914226  0.          0.         40.         38.44268   ]
hatchback_0_20_-20_40_40_160_80_450:gt ['0', '20', '-20', '40', '40']:pred [ 1.6851618 18.553652  10.442108  36.710197  41.0188   ]
suv_-40_0_-20_20_40_80_80_450:gt ['-40', '0', '-20', '20', '40']:pred [38.17179    1.3581952 14.893685  14.737251  40.       ]
hatchback_0_0_-20_0_40_320_40_450:gt ['0', '0', '-20', '0', '40']:pred [ 0.7760315  0.        18.161903   0.        46.616962 ]
sedan4door_-40_0_0_40_20_320_40_450:gt ['-40', '0', '0', '40', '20']:pred [38.123024   0.         1.5625547 40.        29.608496 ]
hybrid_0_0_0_40_40_0_80_400:gt ['0', '0', '0', '40', '40']:pred [ 4.7401767  2.897534   0.        40.        35.155025 ]
suv_0_40_-40_40_20_80_60_400:gt ['0', '40', '-40', '40', '20']:pred [ 4.016171  39.27999   39.017246  38.733326   5.3945265]
hybrid_-40_40_0_40_0_80_60_450:gt ['-40', '40', '0', '40', '0']:pred [36.99346 40.30677  0.      40.       9.08311]
hybrid_0_40_-20_40_0_80_20_450:gt ['0', '40', '-20', '40', '0']:pred [ 0.48571414 40.         20.         40.          0.        ]
hatchback_-40_0_-20_40_0_240_60_400:gt ['-40', '0', '-20', '40', '0']:pred [42.5295     2.3716862 23.024199  41.872543   4.443376 ]
hybrid_-40_0_-20_40_40_0_40_450:gt ['-40', '0', '-20', '40', '40']:pred [38.38572   0.       20.       40.       41.037647]
hatchback_-20_40_0_40_40_80_20_400:gt ['-20', '40', '0', '40', '40']:pred [20.236214 40.        0.       40.       40.      ]
hatchback_-20_0_-40_20_20_0_40_450:gt ['-20', '0', '-40', '20', '20']:pred [18.897345  0.       36.493027 20.       16.198269]
hybrid_-40_0_0_0_20_0_60_450:gt ['-40', '0', '0', '0', '20']:pred [40.088062  0.        0.        0.       20.366465]
sedan2door_-40_0_-40_40_40_160_60_450:gt ['-40', '0', '-40', '40', '40']:pred [35.394524   2.0626097 40.        40.        48.9149   ]
hybrid_-20_20_0_0_40_0_20_400:gt ['-20', '20', '0', '0', '40']:pred [22.041094 20.        0.        0.       40.      ]
sedan4door_-20_0_0_40_20_0_60_450:gt ['-20', '0', '0', '40', '20']:pred [15.879148  4.451838  2.96733  40.       21.602325]
hatchback_-40_20_0_0_40_240_80_450:gt ['-40', '20', '0', '0', '40']:pred [41.207256  35.578964  11.974342   3.8873336 43.381683 ]
sedan4door_0_20_0_0_40_320_20_450:gt ['0', '20', '0', '0', '40']:pred [ 0.12123553 20.          1.0916563   0.         48.642467  ]
hatchback_-40_40_0_20_20_0_40_450:gt ['-40', '40', '0', '20', '20']:pred [36.937263   40.          0.76064616 20.         11.239653  ]
hybrid_-20_0_-20_20_40_240_80_450:gt ['-20', '0', '-20', '20', '40']:pred [14.131011   4.6393585 20.        20.        34.27511  ]
suv_-20_40_-20_0_0_240_20_450:gt ['-20', '40', '-20', '0', '0']:pred [20.        40.376297  20.         2.7120662  0.9629545]
hatchback_0_40_-40_20_20_0_60_400:gt ['0', '40', '-40', '20', '20']:pred [ 1.1745898 42.743546  40.039234  20.        16.959091 ]
sedan2door_0_40_-40_40_0_0_80_400:gt ['0', '40', '-40', '40', '0']:pred [ 0.5420235 36.669712  40.        40.         3.9549968]
sedan2door_-20_20_-40_20_40_80_80_450:gt ['-20', '20', '-40', '20', '40']:pred [14.7211485 16.822748  40.        20.        40.       ]
sedan4door_-40_0_-40_20_40_80_20_450:gt ['-40', '0', '-40', '20', '40']:pred [44.144867  0.       39.289925 20.       40.      ]
sedan2door_-40_20_0_20_40_160_40_450:gt ['-40', '20', '0', '20', '40']:pred [40.       15.566241  0.       20.       38.300144]
suv_0_0_-40_20_20_0_20_400:gt ['0', '0', '-40', '20', '20']:pred [ 0.15153477  0.         39.84316    20.         20.        ]
sedan2door_-20_20_-40_20_0_160_80_400:gt ['-20', '20', '-40', '20', '0']:pred [17.44493    23.896336   40.         20.          0.79196507]
sedan2door_0_0_0_40_40_0_40_450:gt ['0', '0', '0', '40', '40']:pred [ 0.93170524  0.          0.         40.         30.473639  ]
sedan4door_-40_40_-20_0_20_320_20_400:gt ['-40', '40', '-20', '0', '20']:pred [42.03012  40.       21.466974  0.       17.748398]
hatchback_0_20_-20_0_20_80_80_450:gt ['0', '20', '-20', '0', '20']:pred [ 1.5417162 19.972218  16.94715    5.7176175 20.       ]
sedan4door_-20_20_-40_0_20_160_40_400:gt ['-20', '20', '-40', '0', '20']:pred [20.        19.285582  40.         3.3977299  3.20027  ]
sedan2door_-20_40_-20_0_0_80_80_400:gt ['-20', '40', '-20', '0', '0']:pred [13.909571 39.024937 20.        0.        0.      ]
sedan2door_-40_20_-40_0_20_0_40_450:gt ['-40', '20', '-40', '0', '20']:pred [41.818886 20.       40.        0.       16.221552]
sedan2door_0_20_-40_0_20_240_40_450:gt ['0', '20', '-40', '0', '20']:pred [ 0.      19.93375 40.       0.      24.77275]
sedan4door_-40_40_-40_40_20_0_20_400:gt ['-40', '40', '-40', '40', '20']:pred [42.065212 40.       37.89042  40.       20.      ]
sedan2door_-40_0_0_40_40_0_40_450:gt ['-40', '0', '0', '40', '40']:pred [42.016544  0.        0.       40.       39.60928 ]
suv_-20_40_-40_20_0_320_40_400:gt ['-20', '40', '-40', '20', '0']:pred [12.724297   40.         41.8069     20.          0.71261954]
suv_-20_20_0_20_20_0_20_400:gt ['-20', '20', '0', '20', '20']:pred [16.214771  20.         0.7011142 20.        20.       ]
hatchback_0_0_-40_20_0_160_40_400:gt ['0', '0', '-40', '20', '0']:pred [ 0.         1.3044503 40.         9.843437   2.3361692]
suv_0_20_-40_20_20_240_20_400:gt ['0', '20', '-40', '20', '20']:pred [ 0.       18.123007 40.       24.026644 14.428011]
sedan4door_-40_40_-20_40_0_80_40_400:gt ['-40', '40', '-20', '40', '0']:pred [42.40217  43.020744 27.918402 40.        0.      ]
sedan2door_-40_0_0_40_20_80_60_400:gt ['-40', '0', '0', '40', '20']:pred [43.48609    1.8367589  0.        40.        42.994278 ]
suv_-20_0_-40_20_40_240_80_400:gt ['-20', '0', '-40', '20', '40']:pred [12.943761   4.1753907 40.04399   28.345741  36.294983 ]
hybrid_-40_20_0_20_20_320_20_450:gt ['-40', '20', '0', '20', '20']:pred [39.475883 20.        0.       20.       19.026165]
hatchback_-40_20_-20_40_40_80_20_450:gt ['-40', '20', '-20', '40', '40']:pred [38.178604 20.       10.844528 40.       40.      ]
hatchback_0_40_-40_20_0_240_80_450:gt ['0', '40', '-40', '20', '0']:pred [ 1.6684325 40.159325  42.956627  15.74863    5.0871315]
hatchback_-20_20_-20_20_40_320_60_400:gt ['-20', '20', '-20', '20', '40']:pred [18.502848 24.883461 26.825178 16.895086 40.181957]
hatchback_-20_0_0_20_0_240_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.         1.9439594  0.        19.968437   1.7357022]
sedan2door_-40_20_0_20_40_80_60_400:gt ['-40', '20', '0', '20', '40']:pred [38.487137 16.564007  0.       20.       31.657236]
suv_0_20_0_40_40_160_80_450:gt ['0', '20', '0', '40', '40']:pred [ 0.30288258 30.385502    0.         45.02823    46.33709   ]
sedan4door_-40_40_0_40_20_320_80_400:gt ['-40', '40', '0', '40', '20']:pred [36.917473 40.37767   6.257836 47.554543  5.271192]
sedan2door_-40_40_-40_40_20_240_60_450:gt ['-40', '40', '-40', '40', '20']:pred [42.249325 43.667076 40.       40.       19.931175]
hybrid_-20_20_0_40_40_160_20_450:gt ['-20', '20', '0', '40', '40']:pred [20.       23.167404  0.       40.       40.      ]
hatchback_-20_40_-20_0_20_80_20_400:gt ['-20', '40', '-20', '0', '20']:pred [15.561472 40.       17.389568  0.       20.      ]
sedan4door_0_0_-40_0_0_320_20_400:gt ['0', '0', '-40', '0', '0']:pred [ 1.3122036  0.        38.950623   0.         3.9669197]
sedan4door_0_40_0_0_20_80_60_400:gt ['0', '40', '0', '0', '20']:pred [ 0.7645299 37.902176   1.2658752  4.5532784 21.64377  ]
sedan4door_-20_20_-20_40_20_160_40_400:gt ['-20', '20', '-20', '40', '20']:pred [20.       19.753452 20.       40.226334 15.164488]
hatchback_-20_40_0_0_0_240_40_400:gt ['-20', '40', '0', '0', '0']:pred [20.         41.88133     0.          3.7439075   0.71388584]
sedan4door_0_0_-40_20_0_0_20_450:gt ['0', '0', '-40', '20', '0']:pred [ 0.7682198  0.        44.6785    20.         0.       ]
sedan2door_-40_20_-20_0_40_240_40_400:gt ['-40', '20', '-20', '0', '40']:pred [40.       20.415234 20.        0.       39.778236]
hatchback_-20_40_-40_0_40_320_80_450:gt ['-20', '40', '-40', '0', '40']:pred [21.094675  43.80865   39.687443   4.9855576 39.12522  ]
sedan2door_-20_0_-20_20_40_240_20_450:gt ['-20', '0', '-20', '20', '40']:pred [20.         4.6956644 20.        20.        40.64132  ]
hybrid_0_40_0_0_0_240_20_400:gt ['0', '40', '0', '0', '0']:pred [ 0.        36.92533    0.         0.         2.3770618]
sedan4door_-40_20_-40_20_20_160_40_450:gt ['-40', '20', '-40', '20', '20']:pred [40.       24.473755 40.       20.648573 19.008966]
sedan2door_-20_0_0_40_20_240_60_400:gt ['-20', '0', '0', '40', '20']:pred [12.608086   1.0463613  0.        40.        15.311864 ]
sedan2door_0_0_-20_20_0_80_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 0.5098473  0.        20.        20.         0.       ]
hatchback_-20_20_-20_0_20_0_80_450:gt ['-20', '20', '-20', '0', '20']:pred [15.256158 20.892778 17.10715   5.620083 25.851204]
hybrid_0_20_-40_20_0_160_40_450:gt ['0', '20', '-40', '20', '0']:pred [ 0.        17.879086  40.        20.         2.7981634]
hybrid_-40_0_-20_0_40_240_80_450:gt ['-40', '0', '-20', '0', '40']:pred [36.12073    2.0513632 20.         0.        49.95526  ]
sedan2door_-20_20_0_0_40_240_20_450:gt ['-20', '20', '0', '0', '40']:pred [20.       21.920006  0.        0.       39.256874]
sedan4door_-20_0_-40_40_0_0_40_400:gt ['-20', '0', '-40', '40', '0']:pred [20.709896   0.        41.135555  40.         3.1738822]
sedan2door_0_40_0_40_0_320_20_400:gt ['0', '40', '0', '40', '0']:pred [ 0.22720473 40.          0.         40.          0.3636853 ]
suv_-20_0_-40_0_40_0_60_400:gt ['-20', '0', '-40', '0', '40']:pred [23.93974   0.       37.630196  0.       46.162273]
hatchback_-40_40_0_40_20_240_60_450:gt ['-40', '40', '0', '40', '20']:pred [39.275738 37.306957  0.       42.27368  20.987131]
hatchback_-40_20_0_0_0_0_80_450:gt ['-40', '20', '0', '0', '0']:pred [41.85155   16.77456    4.01179    9.871463   2.1672862]
hatchback_0_20_-40_20_20_0_80_450:gt ['0', '20', '-40', '20', '20']:pred [ 1.3221859 15.733677  43.358086  18.191164  13.289657 ]
hatchback_0_0_-20_40_20_320_40_450:gt ['0', '0', '-20', '40', '20']:pred [ 1.1198716  0.        11.952027  40.        15.011893 ]
hybrid_-40_40_0_0_0_240_20_400:gt ['-40', '40', '0', '0', '0']:pred [40.        44.73794    0.         0.         1.7182546]
sedan4door_0_40_0_0_0_80_80_400:gt ['0', '40', '0', '0', '0']:pred [ 3.6522768 41.42294    1.4888988  1.0623158  0.       ]
sedan4door_0_40_-20_40_0_240_80_400:gt ['0', '40', '-20', '40', '0']:pred [ 1.3560725 39.54511   17.84832   38.048195  12.966088 ]
suv_-20_20_-20_20_0_320_80_450:gt ['-20', '20', '-20', '20', '0']:pred [12.742336  25.502354  19.507229  15.940882   7.4953465]
hatchback_0_20_-20_20_0_160_80_450:gt ['0', '20', '-20', '20', '0']:pred [ 2.6056175 16.301199   9.63927   16.206892  17.376583 ]
sedan4door_0_40_0_20_20_240_80_400:gt ['0', '40', '0', '20', '20']:pred [ 1.2265047 41.633347   2.7598653 18.973312  20.089203 ]
hybrid_-20_0_-20_0_40_0_60_400:gt ['-20', '0', '-20', '0', '40']:pred [20.7647   0.      20.       0.      41.35451]
suv_-40_0_-40_20_20_80_60_450:gt ['-40', '0', '-40', '20', '20']:pred [39.230755   2.5730228 42.590233  13.391569  12.9916935]
hatchback_-40_20_0_20_40_160_20_400:gt ['-40', '20', '0', '20', '40']:pred [40.       19.362514  0.       16.569826 40.      ]
hybrid_0_20_-20_0_40_160_60_450:gt ['0', '20', '-20', '0', '40']:pred [ 0.       18.378735 20.        0.       37.107273]
sedan4door_0_40_0_20_40_160_60_400:gt ['0', '40', '0', '20', '40']:pred [ 1.3669202 43.19583    0.        28.5655    34.040512 ]
hatchback_-20_20_0_20_0_320_40_400:gt ['-20', '20', '0', '20', '0']:pred [17.350367  20.         0.3196534 20.         5.7985964]
sedan2door_-20_40_0_20_0_80_20_450:gt ['-20', '40', '0', '20', '0']:pred [18.829002 40.        0.       20.        0.      ]
suv_0_20_-40_0_20_240_20_450:gt ['0', '20', '-40', '0', '20']:pred [ 0.        18.87865   40.         3.4427917 15.395604 ]
suv_0_0_-20_40_0_0_40_400:gt ['0', '0', '-20', '40', '0']:pred [ 0.33177823  0.         28.592556   40.          0.7995295 ]
suv_0_40_-20_40_0_160_80_400:gt ['0', '40', '-20', '40', '0']:pred [ 3.2610404 41.07762   19.499731  42.280334   1.6420132]
sedan2door_-40_0_-20_20_40_320_80_450:gt ['-40', '0', '-20', '20', '40']:pred [38.058865 14.893995 20.       20.       35.474716]
suv_-40_40_-20_20_0_0_20_450:gt ['-40', '40', '-20', '20', '0']:pred [34.954227 40.       23.433353 20.        0.      ]
hybrid_-40_20_0_0_0_160_20_450:gt ['-40', '20', '0', '0', '0']:pred [40.       17.016088  0.        0.        0.      ]
sedan2door_-40_20_-40_0_20_320_60_450:gt ['-40', '20', '-40', '0', '20']:pred [39.412697 23.005434 40.        0.       17.79669 ]
sedan4door_0_40_-20_20_40_240_40_450:gt ['0', '40', '-20', '20', '40']:pred [ 0.       37.21894  20.       22.925682 29.749573]
hatchback_-20_0_0_0_20_80_40_450:gt ['-20', '0', '0', '0', '20']:pred [25.018187   4.3581705  5.0010366  0.        20.       ]
sedan4door_-40_20_0_20_40_240_20_400:gt ['-40', '20', '0', '20', '40']:pred [40.       16.71725   0.       15.743036 28.457388]
hybrid_0_0_0_0_0_80_80_400:gt ['0', '0', '0', '0', '0']:pred [0.88830054 0.7688047  0.         0.         0.        ]
suv_-40_0_-40_20_40_160_60_450:gt ['-40', '0', '-40', '20', '40']:pred [40.328365   3.3990963 40.        18.048878  34.776566 ]
hatchback_-40_20_-40_0_40_80_60_450:gt ['-40', '20', '-40', '0', '40']:pred [37.553135  5.906031 45.24892  17.568483 32.082314]
sedan2door_0_0_0_0_40_160_80_400:gt ['0', '0', '0', '0', '40']:pred [ 0.14167202  1.6381874   0.          0.         37.2798    ]
hybrid_-40_0_-40_40_20_160_20_450:gt ['-40', '0', '-40', '40', '20']:pred [40.         2.8216326 40.        40.        20.       ]
suv_-20_40_-20_20_0_0_40_400:gt ['-20', '40', '-20', '20', '0']:pred [19.65753    40.         22.902065   20.          0.67970264]
hybrid_-20_40_-40_20_20_160_80_400:gt ['-20', '40', '-40', '20', '20']:pred [23.762222 41.369465 40.       20.       18.246159]
suv_-40_40_0_20_0_160_60_450:gt ['-40', '40', '0', '20', '0']:pred [45.092278  39.950542   0.        15.116059   1.8261377]
sedan4door_-20_40_-20_0_0_80_60_450:gt ['-20', '40', '-20', '0', '0']:pred [24.582233 44.050533 16.296167 12.017352 13.646142]
sedan2door_-40_40_-40_40_20_240_40_450:gt ['-40', '40', '-40', '40', '20']:pred [40.       40.20028  40.       40.       21.128864]
suv_0_20_0_0_20_160_80_400:gt ['0', '20', '0', '0', '20']:pred [ 1.3130872 19.283455   0.         2.6500802 11.4727335]
hatchback_-40_20_-20_40_40_160_40_450:gt ['-40', '20', '-20', '40', '40']:pred [40.       27.782938 20.       31.988104 45.761417]
sedan4door_0_20_-20_20_40_0_40_450:gt ['0', '20', '-20', '20', '40']:pred [ 0.69253427 20.         21.50008    20.         41.13366   ]
sedan2door_-40_20_-20_20_20_80_80_450:gt ['-40', '20', '-20', '20', '20']:pred [39.56431  12.946267 20.       20.       20.      ]
hatchback_-20_40_-40_40_40_160_40_400:gt ['-20', '40', '-40', '40', '40']:pred [20.       37.305225 40.       34.83614  34.05288 ]
hybrid_-40_40_-20_0_0_240_60_400:gt ['-40', '40', '-20', '0', '0']:pred [44.35071   37.802666  20.         0.         0.3728483]
suv_-20_40_-20_20_20_320_60_400:gt ['-20', '40', '-20', '20', '20']:pred [19.875885 41.976086 17.250622 17.94757  25.837103]
hatchback_0_20_-40_20_0_80_60_400:gt ['0', '20', '-40', '20', '0']:pred [ 3.2328415 26.233067  42.69157   19.937468   5.1033864]
suv_0_20_0_20_40_320_60_400:gt ['0', '20', '0', '20', '40']:pred [ 4.811949  18.263453   2.7919774 23.579971  31.65388  ]
hatchback_0_0_-40_20_40_80_40_400:gt ['0', '0', '-40', '20', '40']:pred [ 2.7395272  1.1554596 42.79174   20.        40.       ]
hybrid_-20_20_-20_20_20_0_60_400:gt ['-20', '20', '-20', '20', '20']:pred [19.183683 19.934752 20.       20.       21.018476]
sedan4door_-20_0_-20_0_20_0_60_450:gt ['-20', '0', '-20', '0', '20']:pred [19.441936   4.0570717 24.511774   0.        18.894983 ]
hatchback_-40_0_-20_20_20_160_60_450:gt ['-40', '0', '-20', '20', '20']:pred [38.437912   3.5120196 20.        20.800795  12.157915 ]
hatchback_-20_20_-20_20_0_160_20_450:gt ['-20', '20', '-20', '20', '0']:pred [20.       10.876298 20.       10.254556  0.      ]
sedan4door_0_40_0_0_20_160_60_400:gt ['0', '40', '0', '0', '20']:pred [ 2.8845668 39.10801    0.         2.8044815 14.925014 ]
hatchback_0_20_-40_0_0_0_20_450:gt ['0', '20', '-40', '0', '0']:pred [ 2.5459514 20.        41.23478    0.         0.       ]
suv_-20_40_0_20_0_320_80_400:gt ['-20', '40', '0', '20', '0']:pred [22.842434  39.806065   7.4840264 20.370653   2.9217913]
hybrid_-40_40_-40_20_40_240_60_450:gt ['-40', '40', '-40', '20', '40']:pred [38.583042 41.213814 40.       20.       32.527527]
sedan2door_0_0_0_20_40_0_60_400:gt ['0', '0', '0', '20', '40']:pred [ 2.849213   4.6076484  0.        20.        39.484417 ]
hatchback_-20_20_-20_40_0_320_60_400:gt ['-20', '20', '-20', '40', '0']:pred [23.9712    17.136633  19.626623  41.52112    1.3290224]
hatchback_-40_20_-20_40_20_80_20_400:gt ['-40', '20', '-20', '40', '20']:pred [39.842113 20.       21.484982 40.       20.      ]
suv_-40_40_-20_40_0_240_20_400:gt ['-40', '40', '-20', '40', '0']:pred [40.       42.40466  20.       40.910465  0.94866 ]
hatchback_0_0_-40_0_0_80_80_400:gt ['0', '0', '-40', '0', '0']:pred [ 1.8070796   0.38812956 40.637302    1.7560104   0.        ]
hatchback_-40_40_0_20_40_240_80_450:gt ['-40', '40', '0', '20', '40']:pred [39.20466  41.80947   5.041755 14.778157 39.008976]
hybrid_-20_40_-40_20_0_240_20_450:gt ['-20', '40', '-40', '20', '0']:pred [20.        34.983246  40.        20.         3.1642516]
hybrid_-40_20_-20_40_20_80_80_450:gt ['-40', '20', '-20', '40', '20']:pred [43.434853 19.438023 20.       40.       20.      ]
suv_-20_20_-40_20_20_0_20_450:gt ['-20', '20', '-40', '20', '20']:pred [17.408464 20.       40.261944 20.       20.      ]
sedan4door_-40_0_-20_40_20_0_20_400:gt ['-40', '0', '-20', '40', '20']:pred [40.065323  0.       15.031489 40.       20.      ]
suv_0_20_0_0_40_0_80_450:gt ['0', '20', '0', '0', '40']:pred [ 2.3030574 18.920364   1.4217683  0.        45.42928  ]
hybrid_0_0_0_20_0_80_40_450:gt ['0', '0', '0', '20', '0']:pred [ 0.9831674  0.         0.        20.         0.       ]
sedan2door_-40_20_-20_20_40_320_60_450:gt ['-40', '20', '-20', '20', '40']:pred [43.202686 21.136902 20.       20.       43.604824]
sedan4door_-20_20_-20_40_20_240_60_450:gt ['-20', '20', '-20', '40', '20']:pred [17.764975 24.098183 16.629637 36.992954 14.965351]
sedan4door_-20_40_-20_0_40_160_60_400:gt ['-20', '40', '-20', '0', '40']:pred [16.869621 41.331287 20.        4.036466 39.90035 ]
sedan2door_-40_0_-40_0_0_160_20_400:gt ['-40', '0', '-40', '0', '0']:pred [40.         1.7323663 40.         0.         0.       ]
sedan4door_0_20_-20_0_40_240_20_400:gt ['0', '20', '-20', '0', '40']:pred [ 0.         16.482557   20.          0.84846807 40.901558  ]
suv_-40_20_-20_0_0_80_80_450:gt ['-40', '20', '-20', '0', '0']:pred [41.197094 18.134739 20.289778  5.070423  0.      ]
sedan2door_-40_0_-40_0_0_240_40_400:gt ['-40', '0', '-40', '0', '0']:pred [40.         1.1045074 40.         0.         5.0466704]
hybrid_-20_40_0_40_40_160_80_450:gt ['-20', '40', '0', '40', '40']:pred [24.02934  40.95904   0.       40.       40.871784]
sedan2door_0_40_-40_40_0_160_60_400:gt ['0', '40', '-40', '40', '0']:pred [ 9.652172 42.32449  40.       40.        4.752708]
suv_-20_40_0_0_20_160_60_400:gt ['-20', '40', '0', '0', '20']:pred [14.807406   40.395786    0.          0.61370397 20.423807  ]
hybrid_-40_20_-20_40_20_160_40_400:gt ['-40', '20', '-20', '40', '20']:pred [40.       29.282076 20.       40.       18.7038  ]
suv_0_20_-20_20_40_240_20_450:gt ['0', '20', '-20', '20', '40']:pred [ 0.       20.358019 20.       23.85267  39.49614 ]
hatchback_-40_20_0_0_0_0_80_400:gt ['-40', '20', '0', '0', '0']:pred [45.458496   25.001055    1.5967174   0.          0.98838294]
