hybrid_-40_40_-40_40_20_360_80_400 gt:['-40', '40', '-40', '40', '20'] pred:[41.40255  41.323326 40.       40.       18.985538]
hybrid_-40_0_-20_40_0_320_60_450 gt:['-40', '0', '-20', '40', '0'] pred:[42.854034   0.        20.        40.         1.9752232]
sedan4door_-40_0_-40_20_40_120_20_400 gt:['-40', '0', '-40', '20', '40'] pred:[40.         1.9795055 40.        21.473133  40.       ]
hybrid_0_0_0_0_0_280_40_450 gt:['0', '0', '0', '0', '0'] pred:[2.836091  0.        0.        0.        0.4467757]
hybrid_-40_20_-40_20_0_280_60_450 gt:['-40', '20', '-40', '20', '0'] pred:[41.842083  22.681784  40.        20.         2.1399415]
hybrid_0_0_0_0_0_240_60_450 gt:['0', '0', '0', '0', '0'] pred:[0.        4.9767213 0.        0.        0.5243898]
suv_-20_40_-20_0_20_200_20_400 gt:['-20', '40', '-20', '0', '20'] pred:[20.        47.335583  20.         2.5434732 21.137352 ]
sedan2door_0_20_0_0_0_360_20_450 gt:['0', '20', '0', '0', '0'] pred:[ 0.8625205 20.         0.         0.         0.       ]
suv_-20_40_0_20_0_200_60_400 gt:['-20', '40', '0', '20', '0'] pred:[17.204586  44.609894   0.        16.508015   1.6281797]
suv_0_20_0_0_20_40_40_400 gt:['0', '20', '0', '0', '20'] pred:[ 2.0695498 20.         3.1300786  0.        19.825232 ]
sedan4door_0_40_-20_0_0_240_40_450 gt:['0', '40', '-20', '0', '0'] pred:[ 0.        45.707912  20.         2.4237134  1.2498846]
sedan2door_-40_20_-20_0_0_320_80_450 gt:['-40', '20', '-20', '0', '0'] pred:[39.924385  21.155704  20.         0.         1.6455564]
hybrid_-40_0_-40_40_20_280_20_400 gt:['-40', '0', '-40', '40', '20'] pred:[46.036934  0.       40.       40.       20.147245]
hatchback_0_20_0_20_20_160_80_450 gt:['0', '20', '0', '20', '20'] pred:[ 3.1272898 19.945179   5.005813  20.568115  18.251661 ]
hatchback_-20_20_-20_20_0_120_60_450 gt:['-20', '20', '-20', '20', '0'] pred:[18.394318  22.243637  20.        19.128155   2.6496375]
hatchback_-20_40_-40_40_40_320_20_400 gt:['-20', '40', '-40', '40', '40'] pred:[15.079731 40.       45.323837 40.       41.547062]
sedan4door_-40_40_-20_20_40_0_40_400 gt:['-40', '40', '-20', '20', '40'] pred:[38.2787   40.       17.634987 20.       41.435356]
sedan2door_-20_0_-40_20_0_120_20_400 gt:['-20', '0', '-40', '20', '0'] pred:[20.        2.823283 40.       20.        0.      ]
sedan2door_-40_0_0_0_20_240_60_450 gt:['-40', '0', '0', '0', '20'] pred:[44.443073  2.879938  0.        0.       19.706291]
hatchback_-40_40_-40_40_40_320_60_400 gt:['-40', '40', '-40', '40', '40'] pred:[36.843567 40.172276 44.23516  42.624783 39.472134]
suv_-40_20_-40_0_20_120_40_400 gt:['-40', '20', '-40', '0', '20'] pred:[40.       19.102821 40.        8.845399 20.      ]
hatchback_-40_20_-40_20_40_320_40_400 gt:['-40', '20', '-40', '20', '40'] pred:[42.768135 20.       44.17327  20.       41.53609 ]
hatchback_-40_0_-20_0_0_200_20_400 gt:['-40', '0', '-20', '0', '0'] pred:[40.         1.6576699 20.         1.5327082  1.3384356]
sedan2door_-40_40_-20_0_0_40_60_400 gt:['-40', '40', '-20', '0', '0'] pred:[42.303116 43.3981   20.        0.        2.045197]
sedan2door_-40_20_-40_20_40_80_20_450 gt:['-40', '20', '-40', '20', '40'] pred:[45.060394 20.       40.       20.       40.      ]
sedan4door_-20_40_-20_0_0_40_60_400 gt:['-20', '40', '-20', '0', '0'] pred:[15.181816  45.678574  18.940575   0.         2.8335788]
hybrid_-20_40_-40_20_40_320_40_400 gt:['-20', '40', '-40', '20', '40'] pred:[17.678177 40.       40.       20.       41.47641 ]
hatchback_-20_20_-40_0_40_120_40_400 gt:['-20', '20', '-40', '0', '40'] pred:[20.      19.43191 40.       5.06605 40.     ]
suv_-20_40_-40_40_0_80_60_450 gt:['-20', '40', '-40', '40', '0'] pred:[19.263996  41.684517  37.959087  41.398056   2.3640795]
sedan4door_-40_20_0_20_0_0_20_450 gt:['-40', '20', '0', '20', '0'] pred:[42.5439   20.        2.303818 20.        0.      ]
sedan4door_-40_40_0_40_0_240_80_450 gt:['-40', '40', '0', '40', '0'] pred:[39.418686  41.273514   3.9420931 40.868584   2.2811186]
hatchback_-40_40_0_20_20_0_20_400 gt:['-40', '40', '0', '20', '20'] pred:[43.432938  40.         3.8078065 20.        20.       ]
hatchback_0_20_-20_40_20_200_80_400 gt:['0', '20', '-20', '40', '20'] pred:[ 2.003004 15.802133 24.22464  44.758575 17.59851 ]
sedan4door_-20_0_-40_40_0_80_40_400 gt:['-20', '0', '-40', '40', '0'] pred:[20.487537   5.3139925 43.987164  40.         0.       ]
sedan2door_-40_40_-20_0_20_160_20_400 gt:['-40', '40', '-20', '0', '20'] pred:[40.       47.020786 20.        0.       20.      ]
suv_-20_40_0_20_20_160_40_400 gt:['-20', '40', '0', '20', '20'] pred:[20.       41.53751   0.       18.027035 22.679344]
sedan4door_-40_40_-20_0_0_320_40_400 gt:['-40', '40', '-20', '0', '0'] pred:[41.63807   40.        22.869177   0.         1.4068208]
suv_0_20_-40_0_20_360_20_450 gt:['0', '20', '-40', '0', '20'] pred:[ 4.8160477 20.        45.981815   0.        20.       ]
sedan2door_0_40_0_20_0_160_60_450 gt:['0', '40', '0', '20', '0'] pred:[ 2.056929  45.040855   0.        20.         1.8825028]
sedan2door_-20_40_-20_0_40_320_40_450 gt:['-20', '40', '-20', '0', '40'] pred:[15.248031 40.       20.        0.       41.17988 ]
sedan2door_-40_40_-40_20_40_320_60_400 gt:['-40', '40', '-40', '20', '40'] pred:[42.162975 42.888077 40.       20.       39.51705 ]
suv_-20_0_-40_20_0_360_40_450 gt:['-20', '0', '-40', '20', '0'] pred:[23.74219   0.       44.21478  20.        1.125862]
suv_0_40_0_40_0_200_20_450 gt:['0', '40', '0', '40', '0'] pred:[ 0.        44.81146    0.        43.581448   1.6527797]
suv_-20_0_0_20_40_40_20_450 gt:['-20', '0', '0', '20', '40'] pred:[13.903358  0.        7.388188 20.       40.      ]
sedan2door_-40_20_0_0_40_320_20_450 gt:['-40', '20', '0', '0', '40'] pred:[41.564743 20.        0.        0.       41.46704 ]
sedan2door_-40_0_-20_0_40_280_40_450 gt:['-40', '0', '-20', '0', '40'] pred:[42.370865   3.8142827 20.         0.        43.4621   ]
suv_0_20_-40_20_40_40_20_450 gt:['0', '20', '-40', '20', '40'] pred:[ 2.578058 20.       49.62306  20.       40.      ]
suv_0_40_-40_40_20_240_60_450 gt:['0', '40', '-40', '40', '20'] pred:[ 4.6107383 42.422153  34.229034  44.8907    18.63689  ]
hybrid_-40_20_-20_20_20_120_60_400 gt:['-40', '20', '-20', '20', '20'] pred:[39.470154 20.352148 20.       20.       17.361143]
sedan4door_-40_40_-40_20_20_80_20_450 gt:['-40', '40', '-40', '20', '20'] pred:[41.066376 40.       43.723186 20.       20.      ]
hybrid_0_20_-20_40_20_200_60_400 gt:['0', '20', '-20', '40', '20'] pred:[ 0.       19.967596 20.       40.       15.363105]
sedan4door_0_40_-20_40_40_40_40_450 gt:['0', '40', '-20', '40', '40'] pred:[ 1.9376419 40.        14.656622  40.        44.50754  ]
sedan4door_-40_40_-20_0_0_200_20_450 gt:['-40', '40', '-20', '0', '0'] pred:[40.        43.45912   20.         2.3637972  2.311241 ]
hatchback_0_20_-40_20_20_40_80_450 gt:['0', '20', '-40', '20', '20'] pred:[ 5.11913  18.743664 44.457264 19.040022 18.35508 ]
suv_0_20_-40_40_0_40_40_400 gt:['0', '20', '-40', '40', '0'] pred:[ 3.2854156 20.        41.241684  40.         3.4561007]
hatchback_-40_0_-20_20_0_120_20_450 gt:['-40', '0', '-20', '20', '0'] pred:[40.         2.4744768 20.        12.500422   0.       ]
sedan4door_-40_0_-20_0_0_320_40_400 gt:['-40', '0', '-20', '0', '0'] pred:[42.306313    0.         26.536053    0.          0.81154746]
suv_-40_40_-40_0_40_280_80_450 gt:['-40', '40', '-40', '0', '40'] pred:[39.86182   38.51393   37.285294   3.5613825 43.56517  ]
suv_0_40_0_40_40_200_60_400 gt:['0', '40', '0', '40', '40'] pred:[13.553765 37.117546  0.       36.23106  37.91053 ]
sedan2door_-20_40_-20_40_20_120_60_400 gt:['-20', '40', '-20', '40', '20'] pred:[18.30489  44.01581  20.       40.       17.449764]
suv_0_40_0_40_40_280_60_450 gt:['0', '40', '0', '40', '40'] pred:[ 3.1633685 38.589493   3.5291798 43.481415  42.556866 ]
hatchback_-20_40_0_20_40_80_80_450 gt:['-20', '40', '0', '20', '40'] pred:[13.258826 45.46026   4.658988 16.689594 40.      ]
hatchback_-40_20_0_20_20_240_40_450 gt:['-40', '20', '0', '20', '20'] pred:[40.       24.648897  0.       17.311993 18.27249 ]
hybrid_-20_20_-40_20_0_80_20_450 gt:['-20', '20', '-40', '20', '0'] pred:[19.20678 20.      40.      20.       0.     ]
hybrid_-20_20_-20_20_40_280_40_400 gt:['-20', '20', '-20', '20', '40'] pred:[19.226538 24.29036  20.       20.       40.93779 ]
sedan4door_-40_20_-40_0_40_280_80_400 gt:['-40', '20', '-40', '0', '40'] pred:[41.298813  21.209627  39.53027    2.6283853 40.44722  ]
sedan2door_-20_40_-40_20_40_240_60_450 gt:['-20', '40', '-40', '20', '40'] pred:[16.713602 42.634068 40.       20.       40.91331 ]
hybrid_-20_0_-40_0_0_240_40_450 gt:['-20', '0', '-40', '0', '0'] pred:[20.         2.8199158 40.         0.         0.7246509]
sedan2door_-20_40_-20_20_40_200_40_400 gt:['-20', '40', '-20', '20', '40'] pred:[20.       43.546024 20.       20.       40.800106]
hybrid_-20_40_-20_20_0_360_80_400 gt:['-20', '40', '-20', '20', '0'] pred:[19.7998    41.67233   20.        20.         1.0184305]
hatchback_0_0_-20_40_20_120_80_450 gt:['0', '0', '-20', '40', '20'] pred:[ 2.8619628  3.8155863 22.625334  47.3694    16.300404 ]
hybrid_-20_20_-40_20_20_280_60_400 gt:['-20', '20', '-40', '20', '20'] pred:[24.390362 21.801386 40.       20.       18.314604]
sedan4door_-20_20_-40_0_40_280_20_400 gt:['-20', '20', '-40', '0', '40'] pred:[22.403883 20.       42.86358   0.       37.428905]
suv_-40_40_0_40_40_120_40_400 gt:['-40', '40', '0', '40', '40'] pred:[40.       43.873898  0.       37.550446 40.      ]
hybrid_-20_0_0_40_40_120_80_450 gt:['-20', '0', '0', '40', '40'] pred:[22.243027  4.076945  0.       40.       40.003696]
suv_0_0_-20_0_0_320_40_400 gt:['0', '0', '-20', '0', '0'] pred:[ 2.7290983   0.         20.157578    0.          0.86608523]
hatchback_0_0_0_20_20_360_60_450 gt:['0', '0', '0', '20', '20'] pred:[ 2.3687804  1.8467404  2.4141476 20.        20.594704 ]
hatchback_-40_40_-20_0_0_320_80_400 gt:['-40', '40', '-20', '0', '0'] pred:[37.440495  40.44729   23.93279    4.734709   1.2217743]
sedan4door_0_20_-40_20_0_280_40_400 gt:['0', '20', '-40', '20', '0'] pred:[ 4.1314893 20.943415  37.65441   24.402523   1.2158298]
sedan2door_-40_20_0_40_40_240_40_400 gt:['-40', '20', '0', '40', '40'] pred:[40.       22.134958  0.       40.       39.614292]
hybrid_0_40_-20_20_20_360_60_400 gt:['0', '40', '-20', '20', '20'] pred:[ 3.993373 44.355576 20.       20.       21.339903]
suv_0_20_-40_0_20_240_40_400 gt:['0', '20', '-40', '0', '20'] pred:[ 0.        19.64813   40.         3.0088718 21.83478  ]
suv_-40_0_-20_0_40_40_60_400 gt:['-40', '0', '-20', '0', '40'] pred:[42.24795    4.2906184 22.580645   0.        38.331444 ]
sedan2door_-20_40_0_0_0_360_80_400 gt:['-20', '40', '0', '0', '0'] pred:[18.329891  43.332687   0.         0.         1.3780131]
sedan4door_-40_40_0_20_0_200_20_450 gt:['-40', '40', '0', '20', '0'] pred:[40.        44.83573    0.        19.369297   2.1863885]
sedan4door_-40_20_-40_0_40_160_60_450 gt:['-40', '20', '-40', '0', '40'] pred:[40.587585  25.324686  40.         3.0618935 41.820606 ]
sedan2door_-20_40_-20_40_0_0_60_450 gt:['-20', '40', '-20', '40', '0'] pred:[19.111156  43.266537  20.        40.         1.3320981]
hatchback_0_20_-20_20_40_40_20_450 gt:['0', '20', '-20', '20', '40'] pred:[ 2.2400715 20.        26.73948   20.        40.       ]
suv_-20_0_-40_40_20_0_40_450 gt:['-20', '0', '-40', '40', '20'] pred:[23.240498  0.       44.681767 40.       17.176664]
hatchback_-40_40_-40_40_20_320_40_400 gt:['-40', '40', '-40', '40', '20'] pred:[42.846157 40.       38.019783 40.       18.586895]
hatchback_-40_20_0_40_0_80_40_400 gt:['-40', '20', '0', '40', '0'] pred:[42.042088  21.866873   1.7865716 40.         0.       ]
hybrid_0_0_-20_0_20_160_40_450 gt:['0', '0', '-20', '0', '20'] pred:[ 0.         3.9101462 20.         0.        23.039171 ]
suv_-20_0_-40_0_20_240_40_450 gt:['-20', '0', '-40', '0', '20'] pred:[20.         3.390515  40.         1.7954792 17.864351 ]
suv_0_20_-40_40_20_0_20_450 gt:['0', '20', '-40', '40', '20'] pred:[ 4.947078 20.       45.102745 40.       20.      ]
sedan4door_0_20_-20_40_20_80_60_400 gt:['0', '20', '-20', '40', '20'] pred:[ 2.7281551 20.677065  20.306143  43.144882  22.121819 ]
hatchback_-40_20_0_40_0_200_40_450 gt:['-40', '20', '0', '40', '0'] pred:[40.        20.376165   0.        43.64774    1.0955584]
suv_-40_20_0_0_0_280_20_400 gt:['-40', '20', '0', '0', '0'] pred:[42.72096    20.          0.          0.          0.74204165]
hatchback_-40_0_0_0_20_120_20_450 gt:['-40', '0', '0', '0', '20'] pred:[40.         2.7316155  0.         1.2255284 20.       ]
sedan4door_0_20_-40_40_40_40_20_400 gt:['0', '20', '-40', '40', '40'] pred:[ 4.3726377 20.        51.620678  40.        40.       ]
suv_0_0_0_40_0_80_20_450 gt:['0', '0', '0', '40', '0'] pred:[ 1.8427067  0.         0.        40.         0.       ]
sedan2door_0_20_-20_40_20_320_20_450 gt:['0', '20', '-20', '40', '20'] pred:[ 2.6630921 20.        20.        40.        23.771427 ]
hybrid_0_40_-20_20_40_80_20_450 gt:['0', '40', '-20', '20', '40'] pred:[ 2.0698748 40.        20.        20.        40.       ]
hatchback_0_0_0_0_20_40_40_400 gt:['0', '0', '0', '0', '20'] pred:[ 2.4344213  0.         3.0224333  0.        25.441843 ]
sedan2door_0_0_-20_20_0_120_80_400 gt:['0', '0', '-20', '20', '0'] pred:[ 1.7378654  3.5980122 20.        20.         1.5663447]
suv_-40_40_0_0_20_360_80_450 gt:['-40', '40', '0', '0', '20'] pred:[40.07558   43.42281    3.3337271  0.        20.309536 ]
suv_-40_40_-20_0_40_240_60_400 gt:['-40', '40', '-20', '0', '40'] pred:[35.808018  34.77026   15.282882   3.4060547 38.101353 ]
suv_0_20_0_20_20_360_40_400 gt:['0', '20', '0', '20', '20'] pred:[ 2.6221542 20.         1.6862262 20.        16.77917  ]
sedan2door_-40_20_-40_0_40_160_60_450 gt:['-40', '20', '-40', '0', '40'] pred:[43.63513  22.316082 40.        0.       42.043076]
hatchback_0_20_-40_40_40_240_80_400 gt:['0', '20', '-40', '40', '40'] pred:[ 4.9712048 19.113253  38.08188   40.85727   40.873356 ]
hatchback_-20_0_0_0_40_0_40_450 gt:['-20', '0', '0', '0', '40'] pred:[20.71838    0.         2.6972573  0.        43.710068 ]
suv_0_40_-40_20_40_40_80_450 gt:['0', '40', '-40', '20', '40'] pred:[ 6.3865314 42.331867  42.77446   18.114004  38.04329  ]
hybrid_0_20_-20_40_0_200_20_400 gt:['0', '20', '-20', '40', '0'] pred:[ 0.        21.245285  20.        40.         1.8395661]
sedan4door_-20_20_-20_20_40_80_20_400 gt:['-20', '20', '-20', '20', '40'] pred:[19.965021 20.       19.010963 20.       40.      ]
sedan4door_-40_40_-40_20_0_80_80_400 gt:['-40', '40', '-40', '20', '0'] pred:[38.685402 41.630257 40.288353 19.198298  0.      ]
sedan2door_0_40_-40_20_40_120_80_400 gt:['0', '40', '-40', '20', '40'] pred:[ 2.9482598 46.76287   40.        20.        37.89227  ]
hybrid_-20_40_0_20_40_200_20_400 gt:['-20', '40', '0', '20', '40'] pred:[20.       39.322903  0.       20.       43.983395]
suv_-20_20_0_40_40_80_40_400 gt:['-20', '20', '0', '40', '40'] pred:[19.107132 13.982449  4.397999 40.       40.      ]
hatchback_-40_20_-20_40_0_0_80_450 gt:['-40', '20', '-20', '40', '0'] pred:[44.118988  22.803797  23.249928  40.56443    2.3280125]
hatchback_-20_20_0_0_20_200_40_400 gt:['-20', '20', '0', '0', '20'] pred:[20.        25.855568   0.         2.4692852 22.248226 ]
sedan4door_-40_20_-20_0_40_120_40_450 gt:['-40', '20', '-20', '0', '40'] pred:[40.       20.537006 20.        1.85213  40.      ]
sedan4door_-40_0_-40_20_0_160_60_400 gt:['-40', '0', '-40', '20', '0'] pred:[44.09623    2.83819   40.        20.156294   2.9129426]
hatchback_0_40_-20_40_0_120_80_400 gt:['0', '40', '-20', '40', '0'] pred:[ 2.4045215 43.847904  19.530668  44.538193   1.7789539]
hybrid_0_20_-20_0_0_0_40_400 gt:['0', '20', '-20', '0', '0'] pred:[ 2.709849  20.        20.         0.         1.9007599]
sedan4door_-40_40_-40_20_0_160_80_400 gt:['-40', '40', '-40', '20', '0'] pred:[39.63643   46.68943   43.33606   18.466639   2.3872683]
sedan2door_-40_20_0_0_0_360_20_450 gt:['-40', '20', '0', '0', '0'] pred:[42.839554 20.        0.        0.        0.      ]
hybrid_-20_20_0_40_0_0_40_400 gt:['-20', '20', '0', '40', '0'] pred:[20.144209  20.         0.        40.         1.5918192]
sedan4door_0_20_-40_20_20_200_80_450 gt:['0', '20', '-40', '20', '20'] pred:[ 4.1454377 25.414444  37.40331   13.869344  22.032951 ]
sedan4door_0_20_0_40_0_280_40_400 gt:['0', '20', '0', '40', '0'] pred:[ 3.1408772 20.467964   1.8694651 45.24312    0.9920744]
sedan2door_-40_20_-20_0_0_0_40_450 gt:['-40', '20', '-20', '0', '0'] pred:[42.16441  20.       20.        0.        1.611873]
sedan2door_-40_40_0_20_40_280_20_400 gt:['-40', '40', '0', '20', '40'] pred:[42.84446  40.        0.       20.       41.032394]
sedan4door_-20_0_-20_20_0_360_20_450 gt:['-20', '0', '-20', '20', '0'] pred:[18.138239  0.       25.625317 20.        0.      ]
sedan4door_0_0_-40_0_40_320_60_450 gt:['0', '0', '-40', '0', '40'] pred:[ 2.7358184  1.8069526 44.73512    0.        40.797256 ]
sedan4door_-20_40_0_40_20_320_60_450 gt:['-20', '40', '0', '40', '20'] pred:[18.185179  37.609196   3.8443658 45.9592    14.971288 ]
suv_-20_0_-40_20_0_40_80_400 gt:['-20', '0', '-40', '20', '0'] pred:[15.289625   2.2613237 41.350094  19.420206   2.6147711]
hybrid_0_40_-20_0_20_80_60_450 gt:['0', '40', '-20', '0', '20'] pred:[ 2.2547987 44.64082   20.         0.        22.67173  ]
hybrid_0_20_-20_40_0_320_60_450 gt:['0', '20', '-20', '40', '0'] pred:[ 2.9703503 18.651184  20.        40.         1.1200116]
suv_0_20_0_20_20_320_80_450 gt:['0', '20', '0', '20', '20'] pred:[ 2.7302632 17.500015   3.8008864 20.441738  19.659182 ]
sedan4door_-40_0_-40_40_40_160_40_450 gt:['-40', '0', '-40', '40', '40'] pred:[40.         3.2650783 40.        47.04617   37.233707 ]
suv_-20_0_-20_40_40_240_40_450 gt:['-20', '0', '-20', '40', '40'] pred:[20.         5.0796475 20.        40.169136  41.48618  ]
sedan2door_-20_0_0_0_0_240_80_450 gt:['-20', '0', '0', '0', '0'] pred:[21.494036   3.3385508  0.         0.         1.7581592]
sedan4door_0_20_-40_40_20_40_80_450 gt:['0', '20', '-40', '40', '20'] pred:[ 3.3165221 19.118013  42.00291   42.73868   20.997437 ]
hatchback_-40_0_-40_0_40_200_20_400 gt:['-40', '0', '-40', '0', '40'] pred:[40.         2.182264  40.         1.5784175 44.55853  ]
sedan4door_0_20_-40_0_0_320_40_450 gt:['0', '20', '-40', '0', '0'] pred:[ 3.2627645 20.        43.866188   0.         1.896811 ]
suv_0_40_-20_0_20_280_20_400 gt:['0', '40', '-20', '0', '20'] pred:[11.402166 40.       20.429678  0.       21.332153]
hybrid_-20_0_0_40_40_320_20_450 gt:['-20', '0', '0', '40', '40'] pred:[19.599567  0.        0.       40.       46.00221 ]
hybrid_0_0_-40_20_0_120_60_450 gt:['0', '0', '-40', '20', '0'] pred:[ 1.9768292  1.2429076 40.        20.         1.0812979]
suv_-40_40_0_20_40_280_80_400 gt:['-40', '40', '0', '20', '40'] pred:[41.18713   44.217937   2.7158775 17.214626  41.630272 ]
hatchback_-40_40_0_20_40_0_60_400 gt:['-40', '40', '0', '20', '40'] pred:[41.92825   42.628906   2.7935953 20.        38.97473  ]
hatchback_-40_0_-40_40_0_120_40_400 gt:['-40', '0', '-40', '40', '0'] pred:[40.         2.9735594 40.        48.207657   0.       ]
suv_-40_0_-40_20_40_40_60_450 gt:['-40', '0', '-40', '20', '40'] pred:[41.58234    3.1057987 43.594063  20.        42.508305 ]
sedan2door_-20_0_-20_40_40_280_20_400 gt:['-20', '0', '-20', '40', '40'] pred:[19.551323  0.       20.       40.       41.87745 ]
sedan2door_-20_20_-20_40_40_360_60_400 gt:['-20', '20', '-20', '40', '40'] pred:[21.188171 22.35454  20.       40.       38.121246]
hatchback_-20_40_-40_0_0_200_40_450 gt:['-20', '40', '-40', '0', '0'] pred:[20.        41.39454   40.         2.7521617  1.9505625]
suv_0_0_0_0_20_280_60_400 gt:['0', '0', '0', '0', '20'] pred:[ 3.9418736  1.5316038  2.3458154  0.        16.49035  ]
sedan2door_-20_40_-40_20_0_240_60_400 gt:['-20', '40', '-40', '20', '0'] pred:[17.15938   44.093845  40.        20.         1.4663892]
sedan4door_-40_20_0_40_20_40_40_450 gt:['-40', '20', '0', '40', '20'] pred:[39.150146 20.        5.653908 40.       11.199309]
hybrid_0_0_-40_40_20_280_40_400 gt:['0', '0', '-40', '40', '20'] pred:[ 5.1451626  0.        40.        40.        20.202253 ]
sedan4door_0_20_-40_40_20_280_80_400 gt:['0', '20', '-40', '40', '20'] pred:[ 4.500573 21.839571 39.341854 40.509254 16.732332]
sedan2door_-40_0_0_20_40_0_60_400 gt:['-40', '0', '0', '20', '40'] pred:[42.846928   3.2022202  0.        20.        37.57477  ]
sedan2door_0_20_0_20_0_120_60_400 gt:['0', '20', '0', '20', '0'] pred:[ 2.2755408 20.019257   0.        20.         1.1651051]
sedan4door_-20_0_0_40_20_0_20_400 gt:['-20', '0', '0', '40', '20'] pred:[24.211521   0.         1.5816798 40.        20.       ]
hatchback_-20_40_-20_20_40_0_40_450 gt:['-20', '40', '-20', '20', '40'] pred:[17.746899 40.       20.826382 20.       42.984726]
hatchback_-20_0_-40_20_0_160_80_450 gt:['-20', '0', '-40', '20', '0'] pred:[17.26715    3.0007899 43.26082   15.844901   2.4570887]
suv_-20_40_-20_20_40_200_40_400 gt:['-20', '40', '-20', '20', '40'] pred:[20.       45.031277 20.       14.666184 42.302517]
suv_0_40_-20_20_0_320_80_400 gt:['0', '40', '-20', '20', '0'] pred:[ 3.9248085 42.464016  14.566415  23.370007   0.903844 ]
suv_-20_20_-20_20_0_80_20_400 gt:['-20', '20', '-20', '20', '0'] pred:[15.612375 20.       24.656658 20.        0.      ]
hybrid_-40_0_-40_0_20_0_60_400 gt:['-40', '0', '-40', '0', '20'] pred:[41.542397  0.       40.        0.       18.172024]
suv_0_0_0_0_40_280_40_450 gt:['0', '0', '0', '0', '40'] pred:[ 3.2656813  0.         1.7809181  0.        43.99817  ]
sedan4door_0_40_-20_40_40_200_60_400 gt:['0', '40', '-20', '40', '40'] pred:[ 3.9741433 44.29164   20.        45.32714   42.313107 ]
sedan2door_0_0_0_20_0_0_60_400 gt:['0', '0', '0', '20', '0'] pred:[ 2.2941885  3.7431712  0.        20.         1.318019 ]
sedan4door_-40_40_-40_40_0_120_80_400 gt:['-40', '40', '-40', '40', '0'] pred:[42.06152   33.19809   39.5043    40.47944    2.6324704]
suv_-40_40_-20_40_20_120_60_450 gt:['-40', '40', '-20', '40', '20'] pred:[39.06191  39.891426 20.       41.514584 20.346292]
sedan2door_-40_20_-20_0_20_280_60_400 gt:['-40', '20', '-20', '0', '20'] pred:[45.27264  19.396988 20.        0.       20.225603]
sedan2door_-40_20_-40_40_20_80_40_400 gt:['-40', '20', '-40', '40', '20'] pred:[41.718742 18.025063 40.       40.       20.      ]
hybrid_-20_40_-40_40_0_40_20_450 gt:['-20', '40', '-40', '40', '0'] pred:[20.408861 40.       40.       40.        0.      ]
sedan4door_-40_20_0_0_40_360_20_450 gt:['-40', '20', '0', '0', '40'] pred:[43.80555   20.         2.7721074  0.        40.       ]
hybrid_-20_40_-20_40_20_160_60_400 gt:['-20', '40', '-20', '40', '20'] pred:[22.854286 41.56372  20.       40.       18.222815]
hybrid_-20_0_-20_20_40_80_80_400 gt:['-20', '0', '-20', '20', '40'] pred:[17.361818  3.184482 20.       20.       40.      ]
suv_-40_40_0_0_40_200_20_450 gt:['-40', '40', '0', '0', '40'] pred:[40.       46.1948    0.        2.163636 43.665073]
sedan4door_0_40_0_20_40_40_60_400 gt:['0', '40', '0', '20', '40'] pred:[ 1.8998973 46.610676   2.176305  20.        41.872684 ]
sedan4door_0_0_-20_40_40_360_40_400 gt:['0', '0', '-20', '40', '40'] pred:[ 3.3222942  0.        26.953396  40.        41.322998 ]
suv_-20_40_0_20_20_40_60_450 gt:['-20', '40', '0', '20', '20'] pred:[18.51361   39.465763   4.5730896 20.        21.074469 ]
suv_-40_0_0_0_40_40_40_400 gt:['-40', '0', '0', '0', '40'] pred:[43.245804   0.         2.7455063  0.        45.233353 ]
sedan2door_0_40_-20_40_40_200_80_400 gt:['0', '40', '-20', '40', '40'] pred:[ 2.4194505 44.13692   20.        40.        38.998566 ]
sedan4door_-40_40_0_0_40_280_80_450 gt:['-40', '40', '0', '0', '40'] pred:[41.320473  40.124325   5.576723   2.8052437 41.613396 ]
hatchback_-20_40_0_40_40_120_20_450 gt:['-20', '40', '0', '40', '40'] pred:[20.       43.525955  0.       40.5952   40.      ]
sedan2door_0_20_-20_0_40_40_20_400 gt:['0', '20', '-20', '0', '40'] pred:[ 1.5580833 20.        20.         0.        40.       ]
suv_-40_40_-20_40_20_160_20_400 gt:['-40', '40', '-20', '40', '20'] pred:[40.       46.311443 20.       44.160183 20.      ]
suv_-40_40_-20_20_20_240_60_400 gt:['-40', '40', '-20', '20', '20'] pred:[39.28062  37.831326 18.87491  17.191137 22.688457]
hatchback_-40_20_0_40_0_240_40_450 gt:['-40', '20', '0', '40', '0'] pred:[40.       21.431288  0.       43.04727   1.150667]
suv_0_40_0_40_20_0_80_400 gt:['0', '40', '0', '40', '20'] pred:[ 2.8655229 44.805355   2.354023  45.82513   19.841206 ]
sedan2door_0_0_-40_20_0_320_20_400 gt:['0', '0', '-40', '20', '0'] pred:[ 2.3015802  0.        40.        20.         1.1209527]
sedan4door_0_20_-20_40_0_40_20_450 gt:['0', '20', '-20', '40', '0'] pred:[ 1.6094387 20.        31.609047  40.         0.       ]
hatchback_0_0_-40_0_20_360_80_450 gt:['0', '0', '-40', '0', '20'] pred:[ 4.332987   1.3993384 43.163757   3.54688   17.710533 ]
hatchback_-40_40_0_0_20_160_20_450 gt:['-40', '40', '0', '0', '20'] pred:[40.       43.42196   0.        4.357815 20.      ]
suv_-40_20_-40_40_40_200_40_400 gt:['-40', '20', '-40', '40', '40'] pred:[40.       26.610723 40.       40.723587 44.003532]
