hatchback_-30_23_-36_48_15_50_70_420:gt ['-30', '23', '-36', '48', '15']:pred [22.140604 32.98356  23.272306 27.071785 17.089697]
hatchback_-17_45_-4_35_46_20_30_420:gt ['-17', '45', '-4', '35', '46']:pred [14.437608 45.       20.743465 35.       40.45375 ]
hatchback_-30_15_-36_35_46_230_70_420:gt ['-30', '15', '-36', '35', '46']:pred [38.734146 25.903402 25.33357  32.81229  33.5719  ]
sedan2door_-17_45_-36_48_15_50_30_420:gt ['-17', '45', '-36', '48', '15']:pred [28.68057 45.      36.      48.      15.     ]
hybrid_-50_23_-22_10_15_20_70_420:gt ['-50', '23', '-22', '10', '15']:pred [34.354412 28.927757 12.022089 10.       13.176477]
hybrid_-30_23_-36_10_46_230_70_420:gt ['-30', '23', '-36', '10', '46']:pred [33.443924 17.809605 36.       10.       28.711878]
suv_-50_45_-22_35_46_230_70_420:gt ['-50', '45', '-22', '35', '46']:pred [36.645905 41.31007  31.807987 31.080004 27.826122]
sedan4door_-50_45_-22_10_15_20_70_420:gt ['-50', '45', '-22', '10', '15']:pred [38.998653  22.614624   7.4716477 17.982477  16.241932 ]
sedan4door_-30_15_-4_48_46_50_70_420:gt ['-30', '15', '-4', '48', '46']:pred [26.793764 27.095972 13.750682 48.       11.6744  ]
hatchback_-17_45_-4_48_28_230_30_420:gt ['-17', '45', '-4', '48', '28']:pred [17.       39.739433  4.       33.618565 33.546734]
hatchback_-30_23_-22_48_15_140_30_420:gt ['-30', '23', '-22', '48', '15']:pred [ 8.8223   11.507389 22.       38.490204 15.244499]
sedan4door_-17_15_-36_48_46_50_70_420:gt ['-17', '15', '-36', '48', '46']:pred [30.744356 26.58908  17.40511  11.363532 12.517603]
hybrid_-17_15_-4_48_28_50_70_420:gt ['-17', '15', '-4', '48', '28']:pred [ 8.677645 17.03653   4.       48.       21.919628]
sedan4door_-17_45_-22_35_15_20_30_420:gt ['-17', '45', '-22', '35', '15']:pred [35.11159  45.       12.933567 35.       19.282322]
suv_-17_15_-4_10_15_20_30_420:gt ['-17', '15', '-4', '10', '15']:pred [12.530807 15.        7.043037 10.       24.553677]
sedan4door_-30_23_-4_10_46_230_70_420:gt ['-30', '23', '-4', '10', '46']:pred [32.830776  14.06582    4.7063284  7.8120446 36.42041  ]
sedan2door_-30_45_-4_35_46_230_70_420:gt ['-30', '45', '-4', '35', '46']:pred [30.989239 29.094099  4.       35.       21.827507]
hatchback_-30_15_-36_35_28_20_30_420:gt ['-30', '15', '-36', '35', '28']:pred [20.578327 15.       23.531836 35.       23.601093]
sedan2door_-30_45_-4_10_15_20_30_420:gt ['-30', '45', '-4', '10', '15']:pred [36.579933 45.        4.       10.       32.940723]
suv_-17_45_-36_35_15_230_70_420:gt ['-17', '45', '-36', '35', '15']:pred [22.990145 34.65169  45.039967 31.488214 14.737578]
hatchback_-30_23_-4_48_15_230_70_420:gt ['-30', '23', '-4', '48', '15']:pred [36.839672 24.664997 10.47868  39.09811   8.200332]
suv_-17_23_-22_35_46_50_30_420:gt ['-17', '23', '-22', '35', '46']:pred [14.531606 23.       22.203457 35.       10.174232]
sedan4door_-17_45_-22_48_46_230_30_420:gt ['-17', '45', '-22', '48', '46']:pred [17.       43.59454  22.       40.040672 43.550655]
suv_-50_23_-4_35_46_20_30_420:gt ['-50', '23', '-4', '35', '46']:pred [30.047829 23.       20.943857 35.       27.126501]
sedan4door_-30_15_-22_35_28_20_30_420:gt ['-30', '15', '-22', '35', '28']:pred [28.714012 15.       20.337755 35.       28.99034 ]
suv_-17_15_-22_35_28_140_70_420:gt ['-17', '15', '-22', '35', '28']:pred [29.374298   3.5747766 28.10871   14.808231  23.533176 ]
suv_-50_15_-36_35_46_140_70_420:gt ['-50', '15', '-36', '35', '46']:pred [25.461184   5.1061754 18.10625   22.152653  37.013283 ]
suv_-50_15_-36_35_46_230_70_420:gt ['-50', '15', '-36', '35', '46']:pred [38.547913 19.297054 42.672142 34.78566  24.699047]
suv_-50_15_-22_10_28_140_30_420:gt ['-50', '15', '-22', '10', '28']:pred [14.9566345  7.028768  22.        17.958878   5.5289207]
sedan2door_-30_15_-22_35_46_50_30_420:gt ['-30', '15', '-22', '35', '46']:pred [23.222824 15.       22.       35.       46.      ]
hybrid_-50_45_-4_48_28_20_30_420:gt ['-50', '45', '-4', '48', '28']:pred [22.21778  45.       18.788702 48.       25.994755]
sedan2door_-50_15_-4_10_15_20_30_420:gt ['-50', '15', '-4', '10', '15']:pred [31.800634 15.        4.       10.       20.386076]
sedan4door_-30_45_-22_35_15_50_70_420:gt ['-30', '45', '-22', '35', '15']:pred [29.876242 32.19644  21.416956 35.       13.124727]
suv_-50_15_-4_10_46_140_70_420:gt ['-50', '15', '-4', '10', '46']:pred [20.07715    4.7140927 10.175471  11.714594  41.01955  ]
sedan2door_-50_15_-22_35_15_140_70_420:gt ['-50', '15', '-22', '35', '15']:pred [26.288813  8.124366  5.066601 10.912077 14.184635]
hybrid_-30_15_-22_35_46_230_30_420:gt ['-30', '15', '-22', '35', '46']:pred [30.        9.506414 22.       35.       41.99524 ]
hybrid_-50_45_-36_35_28_140_30_420:gt ['-50', '45', '-36', '35', '28']:pred [ 7.6876645 27.75759   36.        35.         8.94528  ]
sedan2door_-17_45_-22_10_28_50_30_420:gt ['-17', '45', '-22', '10', '28']:pred [28.418896 45.       22.       10.       28.      ]
hatchback_-30_15_-22_35_15_230_30_420:gt ['-30', '15', '-22', '35', '15']:pred [30.         7.0013223 22.        20.503044  18.344784 ]
hybrid_-50_23_-22_35_46_50_30_420:gt ['-50', '23', '-22', '35', '46']:pred [16.247412 13.743499 22.       35.       16.221434]
sedan2door_-30_23_-4_48_46_50_70_420:gt ['-30', '23', '-4', '48', '46']:pred [19.896273  25.970333   5.6168156 48.        23.67124  ]
sedan2door_-17_23_-22_10_15_230_70_420:gt ['-17', '23', '-22', '10', '15']:pred [11.591315  14.675629  22.        10.         6.2079515]
suv_-17_15_-36_10_15_50_30_420:gt ['-17', '15', '-36', '10', '15']:pred [16.897337 15.       16.693441 10.        7.636984]
hybrid_-50_23_-4_10_46_140_30_420:gt ['-50', '23', '-4', '10', '46']:pred [ 5.6505322 12.598586   4.        10.        13.292373 ]
hatchback_-30_23_-4_35_28_50_30_420:gt ['-30', '23', '-4', '35', '28']:pred [21.736807 23.        7.599458 35.       28.      ]
hatchback_-30_45_-36_48_15_230_70_420:gt ['-30', '45', '-36', '48', '15']:pred [39.427673 40.507095 35.989113 38.249928 10.124941]
suv_-17_23_-4_10_28_50_30_420:gt ['-17', '23', '-4', '10', '28']:pred [12.6197605 23.        22.797844  10.         7.707656 ]
suv_-17_15_-36_48_46_230_30_420:gt ['-17', '15', '-36', '48', '46']:pred [17.       26.414494 36.       36.23422  32.06612 ]
hybrid_-30_23_-22_35_46_50_70_420:gt ['-30', '23', '-22', '35', '46']:pred [17.540976  29.68679    7.7944503 16.237715  22.880491 ]
hatchback_-17_45_-22_48_28_50_70_420:gt ['-17', '45', '-22', '48', '28']:pred [30.627361 30.461147 18.324972 26.472517 23.475832]
sedan2door_-17_23_-22_10_15_20_70_420:gt ['-17', '23', '-22', '10', '15']:pred [22.107199 22.613165 22.       10.       24.54803 ]
sedan4door_-30_45_-36_35_15_20_70_420:gt ['-30', '45', '-36', '35', '15']:pred [30.24299  36.687614 21.556734 19.18521  26.745777]
sedan4door_-50_45_-22_10_46_140_70_420:gt ['-50', '45', '-22', '10', '46']:pred [19.674763 16.917755 23.16503  22.939823 26.85063 ]
sedan4door_-50_23_-4_35_28_50_70_420:gt ['-50', '23', '-4', '35', '28']:pred [30.099163 30.919115 12.054189 23.943747  6.888268]
sedan2door_-50_15_-4_35_15_140_70_420:gt ['-50', '15', '-4', '35', '15']:pred [25.88099    8.028703   5.3236456 10.956436  14.429892 ]
sedan4door_-17_15_-22_48_46_50_70_420:gt ['-17', '15', '-22', '48', '46']:pred [28.926397 23.469275 14.300203 48.       12.292349]
sedan2door_-17_45_-4_10_15_50_70_420:gt ['-17', '45', '-4', '10', '15']:pred [35.524044 25.26371   4.       10.       19.361286]
sedan4door_-50_45_-22_48_28_140_30_420:gt ['-50', '45', '-22', '48', '28']:pred [15.352117 28.446766 22.       30.615807  9.53951 ]
hatchback_-50_23_-22_10_28_140_70_420:gt ['-50', '23', '-22', '10', '28']:pred [22.224125  7.974826 13.571088 16.379671 34.445515]
hybrid_-50_23_-22_48_46_230_70_420:gt ['-50', '23', '-22', '48', '46']:pred [33.155228 22.861881 22.       48.       23.819683]
hybrid_-30_45_-4_35_28_50_70_420:gt ['-30', '45', '-4', '35', '28']:pred [25.726788 26.234158  4.       35.       23.67295 ]
hybrid_-17_23_-36_10_46_20_30_420:gt ['-17', '23', '-36', '10', '46']:pred [10.790012 23.       17.928871 10.       36.25103 ]
sedan4door_-17_23_-36_10_28_230_70_420:gt ['-17', '23', '-36', '10', '28']:pred [21.988997 12.712049 27.134958  8.033    29.263477]
sedan4door_-17_45_-4_10_15_20_30_420:gt ['-17', '45', '-4', '10', '15']:pred [31.63922  45.        8.226416 10.       21.768536]
hybrid_-50_45_-4_48_15_230_70_420:gt ['-50', '45', '-4', '48', '15']:pred [33.486355 35.54606   4.       48.        9.614009]
suv_-30_45_-4_48_28_50_70_420:gt ['-30', '45', '-4', '48', '28']:pred [23.03721  33.10037  19.6033   13.585485 16.05012 ]
sedan4door_-30_45_-4_10_15_50_70_420:gt ['-30', '45', '-4', '10', '15']:pred [28.212214 29.954721 20.068104 10.       10.283019]
hatchback_-30_23_-4_48_28_50_30_420:gt ['-30', '23', '-4', '48', '28']:pred [23.488377  23.         7.1021876 48.        28.       ]
suv_-30_45_-4_10_46_230_30_420:gt ['-30', '45', '-4', '10', '46']:pred [30.       39.82702   4.       16.721941 39.637573]
hybrid_-30_45_-4_35_46_50_70_420:gt ['-30', '45', '-4', '35', '46']:pred [23.883087 30.349445  9.616271 35.       28.028145]
hatchback_-17_15_-22_48_46_20_70_420:gt ['-17', '15', '-22', '48', '46']:pred [10.699899 20.113218 12.513729 48.       38.35263 ]
hybrid_-30_45_-4_10_15_20_30_420:gt ['-30', '45', '-4', '10', '15']:pred [12.950459 45.        4.       10.       19.04212 ]
sedan4door_-17_45_-22_48_46_20_30_420:gt ['-17', '45', '-22', '48', '46']:pred [32.50476  45.       12.615144 48.       26.94895 ]
hatchback_-17_23_-36_10_15_230_30_420:gt ['-17', '23', '-36', '10', '15']:pred [17.        7.140594 36.       11.768435 24.331928]
suv_-17_15_-36_10_46_20_70_420:gt ['-17', '15', '-36', '10', '46']:pred [22.21262  28.372625 30.704082 10.       33.909107]
hybrid_-17_45_-22_48_15_50_30_420:gt ['-17', '45', '-22', '48', '15']:pred [26.098509 13.292596 22.       48.       16.861826]
hybrid_-50_45_-36_48_46_140_30_420:gt ['-50', '45', '-36', '48', '46']:pred [ 8.262541 28.993233 36.       48.       14.366643]
hybrid_-50_45_-22_48_28_20_30_420:gt ['-50', '45', '-22', '48', '28']:pred [22.20694  45.       18.411871 48.       26.139214]
suv_-30_23_-4_10_46_20_30_420:gt ['-30', '23', '-4', '10', '46']:pred [24.376879 23.       12.166235 10.       34.239357]
hatchback_-50_15_-4_35_15_20_70_420:gt ['-50', '15', '-4', '35', '15']:pred [28.575407 22.181795 14.013694 17.608284 12.593205]
hybrid_-30_15_-4_10_28_230_30_420:gt ['-30', '15', '-4', '10', '28']:pred [30.        5.779585  4.       10.       29.09729 ]
suv_-30_15_-22_35_15_140_30_420:gt ['-30', '15', '-22', '35', '15']:pred [ 7.989555   4.709262  22.        25.80646    3.5013375]
sedan2door_-17_15_-4_10_15_230_70_420:gt ['-17', '15', '-4', '10', '15']:pred [13.03996    8.945202   4.        10.         7.5190706]
hybrid_-50_23_-22_48_15_230_70_420:gt ['-50', '23', '-22', '48', '15']:pred [35.596306 21.321426 22.       48.        9.298518]
sedan4door_-17_23_-22_35_15_230_70_420:gt ['-17', '23', '-22', '35', '15']:pred [17.039124  16.33952   23.445938  22.669182  12.0398655]
hatchback_-17_15_-36_48_46_50_70_420:gt ['-17', '15', '-36', '48', '46']:pred [17.48317  25.778723 18.187145 17.110798 17.348219]
hybrid_-17_45_-36_48_15_230_30_420:gt ['-17', '45', '-36', '48', '15']:pred [17.       33.36274  36.       48.       12.738377]
sedan2door_-30_15_-22_10_15_230_70_420:gt ['-30', '15', '-22', '10', '15']:pred [35.97624  12.221377 22.       10.        5.875968]
sedan4door_-17_45_-22_10_46_20_70_420:gt ['-17', '45', '-22', '10', '46']:pred [33.478645  24.694012   6.0155687 10.        33.128338 ]
suv_-50_15_-22_35_28_20_30_420:gt ['-50', '15', '-22', '35', '28']:pred [26.738771 15.       24.158289 35.       31.27    ]
suv_-50_45_-22_48_28_230_30_420:gt ['-50', '45', '-22', '48', '28']:pred [50.       37.278927 22.       26.364979 25.215448]
suv_-30_15_-22_35_46_230_30_420:gt ['-30', '15', '-22', '35', '46']:pred [30.       22.604214 22.       22.973265 35.091858]
hatchback_-50_45_-36_10_28_50_30_420:gt ['-50', '45', '-36', '10', '28']:pred [28.785025 45.        9.072287 10.       28.      ]
sedan4door_-30_45_-4_10_46_50_30_420:gt ['-30', '45', '-4', '10', '46']:pred [28.666359   9.293799   3.9186962 10.        46.       ]
sedan4door_-30_15_-36_48_28_230_30_420:gt ['-30', '15', '-36', '48', '28']:pred [30.       16.39164  36.       27.722025 27.188114]
hybrid_-30_15_-4_35_28_20_30_420:gt ['-30', '15', '-4', '35', '28']:pred [13.3140545 15.         4.        35.        30.644932 ]
sedan2door_-17_45_-36_48_46_20_70_420:gt ['-17', '45', '-36', '48', '46']:pred [26.391264 26.607128 36.       48.       37.8463  ]
sedan4door_-30_15_-22_10_15_140_70_420:gt ['-30', '15', '-22', '10', '15']:pred [30.900736   5.8791428 14.340823  12.163601  15.749193 ]
sedan4door_-30_45_-36_10_28_230_70_420:gt ['-30', '45', '-36', '10', '28']:pred [42.428783 31.756933 25.022495 14.811715 25.614952]
sedan2door_-30_15_-4_35_46_140_30_420:gt ['-30', '15', '-4', '35', '46']:pred [ 7.246116  6.270725  4.       35.        8.308539]
sedan4door_-30_45_-22_48_46_50_30_420:gt ['-30', '45', '-22', '48', '46']:pred [32.755997 45.        9.509962 48.       46.      ]
sedan2door_-50_23_-22_48_46_20_70_420:gt ['-50', '23', '-22', '48', '46']:pred [31.837048 26.847538 22.       48.       27.708132]
suv_-50_45_-36_35_28_50_70_420:gt ['-50', '45', '-36', '35', '28']:pred [15.809201 44.89528  20.785187 22.099688 14.605565]
sedan2door_-30_45_-4_10_28_50_30_420:gt ['-30', '45', '-4', '10', '28']:pred [30.200672 45.        4.       10.       28.      ]
suv_-50_15_-36_48_28_140_30_420:gt ['-50', '15', '-36', '48', '28']:pred [12.053231   7.311655  36.        37.901234   5.7973366]
hybrid_-30_15_-4_48_15_140_70_420:gt ['-30', '15', '-4', '48', '15']:pred [25.01753   7.127631  7.423132 48.       20.799395]
sedan4door_-50_45_-4_48_15_20_70_420:gt ['-50', '45', '-4', '48', '15']:pred [40.0799   25.135405  9.540318 17.721022 16.725239]
hybrid_-30_23_-36_48_28_230_30_420:gt ['-30', '23', '-36', '48', '28']:pred [30.        8.349245 36.       48.       24.662676]
hatchback_-17_45_-4_10_15_230_30_420:gt ['-17', '45', '-4', '10', '15']:pred [17.       37.578148  4.       20.433882 22.792318]
sedan2door_-17_23_-36_10_15_230_30_420:gt ['-17', '23', '-36', '10', '15']:pred [17.       12.543077 36.       10.        7.824534]
sedan2door_-30_15_-22_48_46_20_70_420:gt ['-30', '15', '-22', '48', '46']:pred [24.892578  22.257513   5.7172747 48.        26.038727 ]
suv_-30_15_-36_48_15_230_30_420:gt ['-30', '15', '-36', '48', '15']:pred [30.       15.31193  36.       32.612183  8.151085]
sedan2door_-17_15_-4_10_28_50_70_420:gt ['-17', '15', '-4', '10', '28']:pred [29.174314 18.069817  4.       10.       19.278694]
sedan4door_-50_23_-22_35_28_140_70_420:gt ['-50', '23', '-22', '35', '28']:pred [26.61178   7.697989 15.149211 21.071968 28.48505 ]
suv_-50_15_-4_48_28_140_70_420:gt ['-50', '15', '-4', '48', '28']:pred [26.865692   7.5065813 12.216866  32.016327  30.155375 ]
hatchback_-50_45_-36_48_46_50_30_420:gt ['-50', '45', '-36', '48', '46']:pred [30.902023 45.        8.97733  48.       46.      ]
sedan4door_-50_45_-22_10_28_20_30_420:gt ['-50', '45', '-22', '10', '28']:pred [37.340046  45.        14.6667185 10.        20.207502 ]
suv_-50_15_-4_48_15_230_70_420:gt ['-50', '15', '-4', '48', '15']:pred [31.089159 15.274948 19.594797 36.464523  9.977804]
sedan4door_-50_45_-36_48_46_140_30_420:gt ['-50', '45', '-36', '48', '46']:pred [16.184765 26.95955  36.       29.9037    9.89712 ]
sedan4door_-50_45_-36_48_46_50_70_420:gt ['-50', '45', '-36', '48', '46']:pred [25.768507 35.9987   24.308796 23.742275 15.338332]
sedan2door_-30_45_-36_48_15_230_70_420:gt ['-30', '45', '-36', '48', '15']:pred [34.475014 28.939949 36.       48.        5.650912]
hatchback_-50_45_-22_10_46_230_70_420:gt ['-50', '45', '-22', '10', '46']:pred [37.499996 37.142956 18.662113 19.067074 30.992077]
hybrid_-17_45_-36_48_28_20_70_420:gt ['-17', '45', '-36', '48', '28']:pred [23.007044  22.257236   4.0750256 48.        40.41155  ]
hybrid_-30_45_-4_10_46_20_30_420:gt ['-30', '45', '-4', '10', '46']:pred [12.911563 45.       14.008031 10.       34.112873]
hybrid_-50_15_-22_10_28_230_70_420:gt ['-50', '15', '-22', '10', '28']:pred [37.00255  14.105906 22.       10.       22.498835]
hybrid_-17_23_-36_48_15_20_70_420:gt ['-17', '23', '-36', '48', '15']:pred [19.289024 28.331776 36.       48.       20.08637 ]
sedan4door_-30_45_-4_48_15_50_70_420:gt ['-30', '45', '-4', '48', '15']:pred [32.004932 30.725616 21.688374 48.       11.257583]
sedan4door_-17_45_-36_35_15_20_70_420:gt ['-17', '45', '-36', '35', '15']:pred [30.082066 34.936913 18.706303 24.253403 24.598999]
sedan4door_-50_23_-36_35_46_20_30_420:gt ['-50', '23', '-36', '35', '46']:pred [27.340458 23.       19.08141  35.       20.301418]
hatchback_-50_23_-36_35_28_20_70_420:gt ['-50', '23', '-36', '35', '28']:pred [33.50594  26.275614 18.410448 16.581123 26.374306]
sedan4door_-30_23_-36_35_28_140_70_420:gt ['-30', '23', '-36', '35', '28']:pred [38.73171    7.3149047 22.28278   13.882489  24.742554 ]
suv_-17_15_-36_35_28_50_30_420:gt ['-17', '15', '-36', '35', '28']:pred [16.68273   15.        16.977804  35.         8.5383005]
hatchback_-50_23_-22_48_46_230_70_420:gt ['-50', '23', '-22', '48', '46']:pred [33.766815 26.184282 21.371996 37.79264  30.148756]
suv_-50_23_-4_10_15_20_70_420:gt ['-50', '23', '-4', '10', '15']:pred [37.845837 19.307568  6.024783 10.       14.27633 ]
suv_-30_15_-22_35_28_230_70_420:gt ['-30', '15', '-22', '35', '28']:pred [39.80945   14.0471735 43.247     27.43488   18.600563 ]
hatchback_-30_15_-4_48_28_20_70_420:gt ['-30', '15', '-4', '48', '28']:pred [27.436089 23.91174  11.623166 48.       32.192486]
sedan4door_-50_15_-4_35_28_20_70_420:gt ['-50', '15', '-4', '35', '28']:pred [34.255062 17.154526  8.293361 16.70117  18.289526]
sedan2door_-30_15_-4_10_28_50_70_420:gt ['-30', '15', '-4', '10', '28']:pred [19.892181 25.304264  5.167635 10.       20.180672]
hatchback_-50_15_-22_48_46_50_70_420:gt ['-50', '15', '-22', '48', '46']:pred [19.775503 34.152412 14.001455 27.67912  17.3223  ]
sedan4door_-30_15_-22_10_46_230_70_420:gt ['-30', '15', '-22', '10', '46']:pred [36.76523   10.241984  14.171085   7.0267005 36.611286 ]
suv_-30_45_-4_35_15_20_30_420:gt ['-30', '45', '-4', '35', '15']:pred [20.798433 45.        8.067743 35.       18.102406]
hatchback_-17_23_-22_48_46_140_70_420:gt ['-17', '23', '-22', '48', '46']:pred [21.9015     6.3328066 23.863577  26.20371   37.33334  ]
hybrid_-30_45_-22_10_28_140_70_420:gt ['-30', '45', '-22', '10', '28']:pred [24.94517  20.161524 12.432477 23.367884 28.028603]
hybrid_-30_45_-36_48_46_20_30_420:gt ['-30', '45', '-36', '48', '46']:pred [13.148645 45.       13.406506 48.       32.882797]
sedan4door_-30_23_-22_48_46_20_30_420:gt ['-30', '23', '-22', '48', '46']:pred [30.617363 23.       20.728935 48.       28.149818]
suv_-50_15_-36_10_15_50_70_420:gt ['-50', '15', '-36', '10', '15']:pred [13.750666 37.69405  11.530532 32.030296 10.398575]
sedan4door_-17_45_-22_35_15_230_30_420:gt ['-17', '45', '-22', '35', '15']:pred [17.       40.066933 22.       36.35327  16.84163 ]
suv_-17_15_-36_48_46_20_30_420:gt ['-17', '15', '-36', '48', '46']:pred [17.678831 15.       27.110777 48.       28.298616]
hybrid_-30_23_-22_35_28_50_30_420:gt ['-30', '23', '-22', '35', '28']:pred [26.333025 23.       22.       35.       10.922163]
hatchback_-50_23_-36_35_46_140_30_420:gt ['-50', '23', '-36', '35', '46']:pred [ 8.443533 11.457775 36.       36.72277  26.426365]
hatchback_-50_15_-4_10_28_140_30_420:gt ['-50', '15', '-4', '10', '28']:pred [10.905107 13.334347  4.       20.88688  14.566759]
suv_-30_15_-36_10_46_20_70_420:gt ['-30', '15', '-36', '10', '46']:pred [29.904062 30.393751 32.455017 29.29226  33.75692 ]
hybrid_-17_15_-36_48_15_230_30_420:gt ['-17', '15', '-36', '48', '15']:pred [17.         4.8484488 36.        48.        13.377498 ]
suv_-50_45_-36_48_46_230_30_420:gt ['-50', '45', '-36', '48', '46']:pred [50.       41.49749  36.       32.92008  36.065933]
hybrid_-17_23_-4_48_46_230_30_420:gt ['-17', '23', '-4', '48', '46']:pred [17.       10.981362  4.       48.       39.66345 ]
sedan4door_-30_15_-4_48_15_20_30_420:gt ['-30', '15', '-4', '48', '15']:pred [29.658674 15.       11.152176 48.       30.142643]
sedan2door_-30_15_-36_48_46_140_70_420:gt ['-30', '15', '-36', '48', '46']:pred [35.270035  9.627378  5.733116  8.629501 16.553766]
sedan4door_-30_23_-22_48_46_230_70_420:gt ['-30', '23', '-22', '48', '46']:pred [35.9671   19.446358 28.249765 36.898296 23.369839]
hybrid_-30_23_-4_10_28_20_30_420:gt ['-30', '23', '-4', '10', '28']:pred [13.834971 23.        4.       10.       31.525362]
sedan2door_-30_45_-4_48_46_20_30_420:gt ['-30', '45', '-4', '48', '46']:pred [33.659092 45.        4.       48.       39.379616]
hatchback_-17_15_-4_48_46_140_30_420:gt ['-17', '15', '-4', '48', '46']:pred [ 8.816435   6.5770426  4.        35.668877  24.646936 ]
hatchback_-30_23_-4_35_46_50_70_420:gt ['-30', '23', '-4', '35', '46']:pred [17.26852  27.54686  22.027992 23.095064 28.173416]
hybrid_-50_45_-22_35_15_230_70_420:gt ['-50', '45', '-22', '35', '15']:pred [33.7059   35.98833  22.       35.        9.628747]
hybrid_-50_15_-4_48_15_50_70_420:gt ['-50', '15', '-4', '48', '15']:pred [ 9.053947 17.261696  4.       48.       14.480272]
sedan4door_-17_15_-36_48_28_20_30_420:gt ['-17', '15', '-36', '48', '28']:pred [23.136562 15.       16.685133 48.       22.942299]
sedan4door_-17_15_-4_48_28_140_70_420:gt ['-17', '15', '-4', '48', '28']:pred [27.795519   5.4851527 15.793468  26.282248  19.034567 ]
sedan4door_-50_45_-22_10_15_50_30_420:gt ['-50', '45', '-22', '10', '15']:pred [22.608107  45.         7.4901533 10.        15.       ]
hatchback_-50_45_-4_48_28_20_70_420:gt ['-50', '45', '-4', '48', '28']:pred [33.48587  35.493366 10.128959 19.720211 27.982243]
sedan2door_-30_23_-4_35_46_140_30_420:gt ['-30', '23', '-4', '35', '46']:pred [ 6.4745965  8.914447   4.        35.         6.9765506]
hatchback_-50_15_-36_35_15_140_30_420:gt ['-50', '15', '-36', '35', '15']:pred [ 8.893023 11.017693 36.       27.733435 14.889677]
suv_-50_23_-4_10_15_20_30_420:gt ['-50', '23', '-4', '10', '15']:pred [30.474258 23.       17.796846 10.       14.937952]
sedan2door_-50_45_-4_10_15_140_30_420:gt ['-50', '45', '-4', '10', '15']:pred [14.557338 27.31917   4.       10.        6.591398]
sedan4door_-17_23_-4_48_15_20_30_420:gt ['-17', '23', '-4', '48', '15']:pred [28.120895  23.        10.7220745 48.        22.818552 ]
hatchback_-50_23_-22_48_28_230_70_420:gt ['-50', '23', '-22', '48', '28']:pred [38.58905  24.922476 17.47016  40.62942  15.487075]
sedan4door_-30_15_-4_35_15_50_30_420:gt ['-30', '15', '-4', '35', '15']:pred [23.060268  15.         6.5647388 35.        15.       ]
hybrid_-50_45_-22_48_15_230_30_420:gt ['-50', '45', '-22', '48', '15']:pred [50.       33.980225 22.       48.       14.997529]
sedan2door_-17_23_-4_10_46_50_70_420:gt ['-17', '23', '-4', '10', '46']:pred [29.394032 18.80072   4.       10.       21.881578]
suv_-50_45_-22_48_15_230_70_420:gt ['-50', '45', '-22', '48', '15']:pred [35.00316  40.2439   33.0362   38.47153  13.614557]
sedan2door_-30_23_-36_48_28_230_70_420:gt ['-30', '23', '-36', '48', '28']:pred [32.57486  18.232498 36.       48.       17.204206]
suv_-30_15_-4_35_28_230_30_420:gt ['-30', '15', '-4', '35', '28']:pred [30.       16.253803  4.       15.205856 24.743137]
hatchback_-17_23_-36_48_46_230_70_420:gt ['-17', '23', '-36', '48', '46']:pred [15.970434 23.903202 34.44798  39.967655 28.742212]
suv_-30_23_-22_10_15_230_70_420:gt ['-30', '23', '-22', '10', '15']:pred [41.446503 18.196606 34.983856 13.192839 12.189252]
hybrid_-50_15_-4_48_46_230_70_420:gt ['-50', '15', '-4', '48', '46']:pred [35.53501  15.397782  4.       48.       28.501207]
sedan2door_-50_45_-4_48_15_140_70_420:gt ['-50', '45', '-4', '48', '15']:pred [24.443428  18.461615   7.6270356 15.234865  12.666626 ]
hybrid_-30_15_-36_48_46_20_30_420:gt ['-30', '15', '-36', '48', '46']:pred [12.794363 15.       36.       48.       34.389576]
sedan2door_-17_23_-4_10_46_20_70_420:gt ['-17', '23', '-4', '10', '46']:pred [21.015133 25.049347  4.       10.       32.246162]
sedan4door_-50_23_-36_10_28_20_70_420:gt ['-50', '23', '-36', '10', '28']:pred [32.706223 28.683388 20.486807 27.20479  22.925163]
hybrid_-50_23_-22_48_28_140_70_420:gt ['-50', '23', '-22', '48', '28']:pred [16.191408 10.683739  9.508539 14.051301 33.17936 ]
sedan2door_-30_45_-22_10_46_20_70_420:gt ['-30', '45', '-22', '10', '46']:pred [31.793196  33.52781    5.6140156 17.530704  30.025267 ]
hatchback_-30_45_-22_10_15_20_70_420:gt ['-30', '45', '-22', '10', '15']:pred [25.809423 27.444431  8.589875  9.420647 20.431654]
hatchback_-30_15_-22_10_15_230_30_420:gt ['-30', '15', '-22', '10', '15']:pred [30.        4.927853 22.       10.640084 22.293526]
hatchback_-50_15_-36_48_15_140_30_420:gt ['-50', '15', '-36', '48', '15']:pred [11.299935 10.368805 36.       31.615072 16.471466]
hybrid_-17_15_-22_10_28_50_30_420:gt ['-17', '15', '-22', '10', '28']:pred [27.604595 12.43377  22.       10.       21.028675]
sedan4door_-17_45_-4_10_15_230_30_420:gt ['-17', '45', '-4', '10', '15']:pred [17.       35.206375  4.       26.991201 24.4129  ]
hybrid_-50_23_-22_10_46_50_70_420:gt ['-50', '23', '-22', '10', '46']:pred [ 9.429119 25.663427  5.057739 10.       28.00208 ]
sedan2door_-50_45_-22_48_46_20_30_420:gt ['-50', '45', '-22', '48', '46']:pred [32.31277  45.       22.       48.       34.669544]
