hatchback_-17_23_-22_35_46_50_30_420 gt:['-17', '23', '-22', '35', '46'] pred:[16.039074  23.        53.794945  38.30845    1.0227133]
sedan2door_-17_45_-36_10_28_140_30_420 gt:['-17', '45', '-36', '10', '28'] pred:[ 7.414915 23.327868 36.       35.415794 28.      ]
hybrid_-17_45_-36_48_46_140_70_420 gt:['-17', '45', '-36', '48', '46'] pred:[ 9.537713  35.865616  36.        14.6566105 34.355835 ]
hybrid_-50_45_-4_10_46_20_70_420 gt:['-50', '45', '-4', '10', '46'] pred:[25.205835 15.777994 27.734365 32.545673 10.580771]
hatchback_-17_23_-4_10_15_140_30_420 gt:['-17', '23', '-4', '10', '15'] pred:[17.       18.700407  4.       33.789455 15.      ]
sedan4door_-50_15_-22_10_28_140_70_420 gt:['-50', '15', '-22', '10', '28'] pred:[31.588482  13.659665  22.        13.5293255  7.862901 ]
hatchback_-50_23_-4_10_28_20_70_420 gt:['-50', '23', '-4', '10', '28'] pred:[32.647186 12.666892 16.451647 20.081734 15.880329]
sedan4door_-50_45_-4_35_28_230_30_420 gt:['-50', '45', '-4', '35', '28'] pred:[50.       38.487057  4.       35.54045  34.00523 ]
hatchback_-17_23_-4_35_46_230_30_420 gt:['-17', '23', '-4', '35', '46'] pred:[17.       20.292107  4.       33.166092 28.559906]
sedan2door_-30_15_-4_10_15_50_30_420 gt:['-30', '15', '-4', '10', '15'] pred:[28.562626 15.       33.751102 10.        5.299898]
suv_-50_15_-36_10_28_230_70_420 gt:['-50', '15', '-36', '10', '28'] pred:[18.65247   11.282652  49.03465    8.5055485  5.567476 ]
sedan2door_-30_23_-36_10_15_140_70_420 gt:['-30', '23', '-36', '10', '15'] pred:[24.380196  23.642265  42.70928    7.7113695 17.730799 ]
suv_-30_23_-22_10_15_50_70_420 gt:['-30', '23', '-22', '10', '15'] pred:[14.801119  31.111958  14.0206995  5.9445615 14.147245 ]
hatchback_-30_23_-36_10_15_20_30_420 gt:['-30', '23', '-36', '10', '15'] pred:[24.92689   23.        55.23044   10.         3.4698842]
sedan2door_-30_23_-22_10_28_20_30_420 gt:['-30', '23', '-22', '10', '28'] pred:[28.286905 23.       39.77904  10.       14.697211]
sedan4door_-50_23_-22_35_28_230_30_420 gt:['-50', '23', '-22', '35', '28'] pred:[50.       29.365604 22.       23.087513 34.100372]
hybrid_-17_23_-22_48_15_50_70_420 gt:['-17', '23', '-22', '48', '15'] pred:[23.820642 14.242313 23.382324 28.87489  23.22744 ]
hybrid_-17_45_-22_10_46_230_70_420 gt:['-17', '45', '-22', '10', '46'] pred:[ 5.083262   6.0517564 39.23021   11.472624  34.59193  ]
hybrid_-30_45_-22_48_46_50_70_420 gt:['-30', '45', '-22', '48', '46'] pred:[27.68459  23.70593  31.28863  16.822203 33.85418 ]
suv_-50_15_-36_48_28_140_70_420 gt:['-50', '15', '-36', '48', '28'] pred:[27.821436 25.68025  38.3498   19.131191 21.157701]
sedan2door_-50_23_-22_48_46_140_70_420 gt:['-50', '23', '-22', '48', '46'] pred:[25.23671   22.189196  29.491793   6.8174715 32.121708 ]
hybrid_-50_23_-4_48_28_140_30_420 gt:['-50', '23', '-4', '48', '28'] pred:[50.       18.787315  4.       17.11389  28.      ]
hybrid_-50_23_-4_35_15_140_70_420 gt:['-50', '23', '-4', '35', '15'] pred:[28.292076 34.034138 26.442749  4.637984  9.124337]
sedan4door_-50_23_-22_48_28_20_70_420 gt:['-50', '23', '-22', '48', '28'] pred:[27.336584  11.167966  33.169254  26.710245  13.6489935]
sedan4door_-30_45_-22_35_46_140_70_420 gt:['-30', '45', '-22', '35', '46'] pred:[26.300999 29.308422 36.34752  15.223021 21.607416]
hatchback_-17_23_-22_10_28_140_70_420 gt:['-17', '23', '-22', '10', '28'] pred:[14.910073 14.066881 30.023987 12.104005  8.580911]
sedan4door_-50_45_-36_35_28_20_30_420 gt:['-50', '45', '-36', '35', '28'] pred:[25.961792 45.       47.15947  35.        5.986888]
suv_-30_23_-4_48_46_230_70_420 gt:['-30', '23', '-4', '48', '46'] pred:[ 7.700093 14.533422 34.732033 20.9287    9.183799]
sedan2door_-50_15_-36_35_15_20_70_420 gt:['-50', '15', '-36', '35', '15'] pred:[30.201662 13.126585 27.71128  19.966484 22.937323]
hatchback_-30_15_-22_48_15_50_30_420 gt:['-30', '15', '-22', '48', '15'] pred:[21.36892  15.       46.98319  48.        2.571769]
sedan2door_-17_23_-22_35_46_50_70_420 gt:['-17', '23', '-22', '35', '46'] pred:[15.054599 25.33059  18.22751  17.706991 33.31838 ]
sedan2door_-30_45_-4_10_28_140_30_420 gt:['-30', '45', '-4', '10', '28'] pred:[ 6.4091225 24.381077   4.        34.55874   28.       ]
sedan4door_-50_45_-36_48_28_20_70_420 gt:['-50', '45', '-36', '48', '28'] pred:[28.399673 23.686539 29.2181   48.        8.973346]
sedan2door_-17_23_-22_48_15_20_70_420 gt:['-17', '23', '-22', '48', '15'] pred:[21.469933 13.425153 23.822357 23.735691 22.127987]
hatchback_-50_23_-36_48_28_230_30_420 gt:['-50', '23', '-36', '48', '28'] pred:[50.       13.075641 36.       45.316708 28.724356]
sedan4door_-30_15_-36_10_15_140_30_420 gt:['-30', '15', '-36', '10', '15'] pred:[30.        8.000101 36.       31.249641 15.      ]
hatchback_-30_15_-4_35_28_230_30_420 gt:['-30', '15', '-4', '35', '28'] pred:[30.       13.515727  4.       31.846415 27.72328 ]
sedan2door_-17_15_-4_48_28_230_70_420 gt:['-17', '15', '-4', '48', '28'] pred:[ 7.0385013  9.456984  29.43947    8.32766   17.594124 ]
sedan4door_-30_23_-4_35_28_140_30_420 gt:['-30', '23', '-4', '35', '28'] pred:[30.       20.493755  4.       40.429897 28.      ]
sedan2door_-30_15_-22_10_28_230_30_420 gt:['-30', '15', '-22', '10', '28'] pred:[30.        15.349955  22.         6.6076064 32.023563 ]
hatchback_-50_15_-36_48_46_50_30_420 gt:['-50', '15', '-36', '48', '46'] pred:[23.634413  15.        55.31296   48.         0.6929623]
sedan4door_-50_23_-22_35_28_230_70_420 gt:['-50', '23', '-22', '35', '28'] pred:[21.401264  18.821836  32.226646  11.9299965 11.244986 ]
sedan2door_-50_15_-22_35_46_20_70_420 gt:['-50', '15', '-22', '35', '46'] pred:[34.09952   9.144415 23.85081  19.00325  38.166954]
hatchback_-17_23_-4_10_28_50_30_420 gt:['-17', '23', '-4', '10', '28'] pred:[15.387458  23.        52.146027  10.         1.4594176]
hybrid_-50_15_-36_10_28_230_30_420 gt:['-50', '15', '-36', '10', '28'] pred:[50.        9.634189 36.       14.252481 29.44775 ]
sedan2door_-17_45_-36_35_15_50_70_420 gt:['-17', '45', '-36', '35', '15'] pred:[17.603546 37.55536  22.907097  8.412828 35.34953 ]
sedan2door_-50_45_-22_10_28_140_30_420 gt:['-50', '45', '-22', '10', '28'] pred:[ 9.293003 24.82818  22.       30.422588 28.      ]
hatchback_-17_23_-4_35_28_140_70_420 gt:['-17', '23', '-4', '35', '28'] pred:[23.074001 15.607334  4.       18.13836   9.995232]
sedan2door_-30_45_-36_35_46_50_70_420 gt:['-30', '45', '-36', '35', '46'] pred:[16.964945 37.225838 17.605743 11.101943 40.425415]
hybrid_-17_23_-22_48_15_230_30_420 gt:['-17', '23', '-22', '48', '15'] pred:[17.        10.8131075 22.         8.33643   17.242529 ]
sedan4door_-17_45_-4_48_15_50_70_420 gt:['-17', '45', '-4', '48', '15'] pred:[26.276085  17.391474  11.26454   10.854542   1.8134806]
suv_-30_23_-4_10_28_230_70_420 gt:['-30', '23', '-4', '10', '28'] pred:[ 8.341051  9.717815 37.308384 12.044698 13.131381]
hybrid_-17_15_-4_10_15_20_70_420 gt:['-17', '15', '-4', '10', '15'] pred:[27.422947   6.5793824 23.400133  10.        20.569853 ]
sedan2door_-17_45_-22_10_15_50_30_420 gt:['-17', '45', '-22', '10', '15'] pred:[22.073364 45.       25.313076 33.71065   5.591659]
hatchback_-50_15_-36_48_28_140_70_420 gt:['-50', '15', '-36', '48', '28'] pred:[28.605206 12.957096 27.181982 28.182148 10.591403]
suv_-50_45_-36_35_15_230_70_420 gt:['-50', '45', '-36', '35', '15'] pred:[15.431154  26.604954  40.43257   10.581877   3.7018585]
sedan4door_-17_23_-4_10_15_50_30_420 gt:['-17', '23', '-4', '10', '15'] pred:[19.460188 23.       38.516186 44.835682 15.      ]
sedan2door_-50_45_-36_10_46_230_30_420 gt:['-50', '45', '-36', '10', '46'] pred:[50.       34.07063  36.       26.772598 38.161892]
sedan2door_-17_15_-4_35_28_140_30_420 gt:['-17', '15', '-4', '35', '28'] pred:[17.       15.256599  4.       32.89264  28.      ]
sedan2door_-30_45_-4_35_46_20_30_420 gt:['-30', '45', '-4', '35', '46'] pred:[24.000452 45.       33.488403 35.       15.917269]
sedan4door_-30_15_-36_48_15_230_30_420 gt:['-30', '15', '-36', '48', '15'] pred:[30.       21.418644 36.       33.677933 32.451206]
sedan4door_-17_23_-4_48_46_140_70_420 gt:['-17', '23', '-4', '48', '46'] pred:[23.47576  14.128163 37.658783 11.368613 23.002853]
hybrid_-50_15_-22_48_46_140_30_420 gt:['-50', '15', '-22', '48', '46'] pred:[50.       18.93746  22.       13.625818 46.      ]
sedan2door_-17_23_-22_10_28_20_30_420 gt:['-17', '23', '-22', '10', '28'] pred:[21.865646 23.       33.58757  10.       19.418901]
sedan4door_-17_23_-22_10_28_140_30_420 gt:['-17', '23', '-22', '10', '28'] pred:[17.       10.854588 22.       41.528584 28.      ]
hatchback_-17_23_-36_35_15_50_30_420 gt:['-17', '23', '-36', '35', '15'] pred:[20.062666   23.         56.895607   35.          0.85369855]
suv_-30_45_-36_35_46_20_70_420 gt:['-30', '45', '-36', '35', '46'] pred:[22.621946 32.367226 33.453365 11.940025 10.389201]
hatchback_-17_23_-36_10_46_20_30_420 gt:['-17', '23', '-36', '10', '46'] pred:[18.519712  23.        53.467464  10.         7.3533416]
sedan4door_-17_23_-36_35_28_50_70_420 gt:['-17', '23', '-36', '35', '28'] pred:[22.319384 22.161097 19.443865 10.413456 11.2149  ]
hybrid_-17_23_-4_48_15_230_70_420 gt:['-17', '23', '-4', '48', '15'] pred:[ 9.141483   3.2669277 27.040318   6.3349276 10.457035 ]
hatchback_-50_45_-4_48_28_20_70_420 gt:['-50', '45', '-4', '48', '28'] pred:[29.393923 25.22388  15.47157  20.776306 15.107333]
hybrid_-50_15_-4_48_28_20_30_420 gt:['-50', '15', '-4', '48', '28'] pred:[20.289286 15.       38.649643 48.       28.33295 ]
hatchback_-17_45_-22_48_28_20_30_420 gt:['-17', '45', '-22', '48', '28'] pred:[13.51409   45.        53.72797   49.144623   5.3798046]
hybrid_-50_15_-4_48_15_50_70_420 gt:['-50', '15', '-4', '48', '15'] pred:[32.943573 14.471531 38.853226 23.837593 23.278185]
suv_-30_15_-4_48_15_140_70_420 gt:['-30', '15', '-4', '48', '15'] pred:[24.303453  14.792917  38.79289   24.81739    7.4748983]
suv_-17_15_-4_48_28_140_70_420 gt:['-17', '15', '-4', '48', '28'] pred:[13.262696 18.056053 42.49497  20.966572 25.718464]
sedan2door_-30_15_-4_48_28_140_30_420 gt:['-30', '15', '-4', '48', '28'] pred:[30.       18.858597  4.       32.270977 28.      ]
sedan2door_-30_15_-36_10_28_230_70_420 gt:['-30', '15', '-36', '10', '28'] pred:[13.412916 11.332588 27.231514 11.598709 19.01651 ]
hatchback_-50_15_-36_35_15_50_70_420 gt:['-50', '15', '-36', '35', '15'] pred:[31.78319  11.47079  39.23615  14.092476 20.545507]
hatchback_-50_45_-22_10_28_140_70_420 gt:['-50', '45', '-22', '10', '28'] pred:[31.212334 30.962584 20.121296 11.901024 11.590276]
sedan4door_-17_45_-4_35_15_20_30_420 gt:['-17', '45', '-4', '35', '15'] pred:[13.778587  45.        37.95293   35.         6.1639943]
hybrid_-30_23_-36_35_28_230_70_420 gt:['-30', '23', '-36', '35', '28'] pred:[10.421378  7.272339 31.295296  8.982929 16.233934]
hybrid_-50_15_-36_10_28_230_70_420 gt:['-50', '15', '-36', '10', '28'] pred:[11.313379 10.335037 25.372574 11.356146 15.062238]
hatchback_-30_23_-22_35_28_140_70_420 gt:['-30', '23', '-22', '35', '28'] pred:[24.23105  16.635328 33.208385 19.48551  12.980896]
hybrid_-30_45_-4_48_28_230_70_420 gt:['-30', '45', '-4', '48', '28'] pred:[ 8.861613  12.160254  29.365398   7.8818965 24.084465 ]
suv_-17_23_-36_10_46_50_70_420 gt:['-17', '23', '-36', '10', '46'] pred:[12.452618 23.884443 22.616306  4.228364 22.561363]
hybrid_-50_23_-36_35_28_20_30_420 gt:['-50', '23', '-36', '35', '28'] pred:[22.992613 23.       38.4145   35.       30.739141]
sedan4door_-17_45_-22_48_15_140_30_420 gt:['-17', '45', '-22', '48', '15'] pred:[ 8.097095 24.559244 29.96204  43.955822 15.      ]
hatchback_-50_23_-22_48_28_230_70_420 gt:['-50', '23', '-22', '48', '28'] pred:[20.828863 10.763912 36.36009  13.322163 18.710964]
sedan4door_-50_15_-36_35_15_230_30_420 gt:['-50', '15', '-36', '35', '15'] pred:[50.       26.632399 36.       21.071108 36.185196]
hatchback_-30_45_-36_10_15_50_30_420 gt:['-30', '45', '-36', '10', '15'] pred:[24.33779    45.         55.18725    10.          0.86609995]
sedan4door_-50_15_-22_35_28_140_70_420 gt:['-50', '15', '-22', '35', '28'] pred:[30.1099    16.388893  33.027653  17.298386   6.6178412]
suv_-30_15_-36_48_15_50_70_420 gt:['-30', '15', '-36', '48', '15'] pred:[ 8.867372 14.812471 37.25835  13.153346 16.13563 ]
sedan4door_-17_15_-22_48_15_230_30_420 gt:['-17', '15', '-22', '48', '15'] pred:[17.       19.509462 22.       32.919235 32.11255 ]
sedan2door_-30_45_-4_10_15_230_70_420 gt:['-30', '45', '-4', '10', '15'] pred:[12.303438  24.972336  18.75673    6.1928496 17.447197 ]
hybrid_-30_45_-22_10_28_20_70_420 gt:['-30', '45', '-22', '10', '28'] pred:[25.742487 20.648726 19.154484 28.78987   9.963251]
sedan4door_-30_15_-22_10_15_140_30_420 gt:['-30', '15', '-22', '10', '15'] pred:[30.        8.122623 22.       31.187132 15.      ]
sedan2door_-17_15_-22_48_15_50_30_420 gt:['-17', '15', '-22', '48', '15'] pred:[23.091055 15.       26.28695  36.457573 11.359444]
sedan4door_-50_45_-36_48_46_20_70_420 gt:['-50', '45', '-36', '48', '46'] pred:[26.214842  21.59022   31.666513  17.643917   9.8124895]
sedan4door_-50_23_-36_48_46_140_30_420 gt:['-50', '23', '-36', '48', '46'] pred:[50.       11.948907 36.       45.3667   46.      ]
sedan4door_-50_15_-36_35_46_140_30_420 gt:['-50', '15', '-36', '35', '46'] pred:[50.        8.601145 36.       37.168606 46.      ]
suv_-30_45_-22_10_28_20_30_420 gt:['-30', '45', '-22', '10', '28'] pred:[20.362492 45.       56.53727  10.        4.750439]
sedan2door_-30_15_-22_10_28_50_70_420 gt:['-30', '15', '-22', '10', '28'] pred:[23.736555  9.476359 15.215431 24.437513 39.834503]
hybrid_-50_15_-36_48_15_20_30_420 gt:['-50', '15', '-36', '48', '15'] pred:[23.028679 15.       41.85402  48.       17.372206]
sedan2door_-50_45_-4_48_28_230_70_420 gt:['-50', '45', '-4', '48', '28'] pred:[ 8.837648 23.215696 19.548166 11.874077 19.159367]
hatchback_-17_15_-22_35_46_230_30_420 gt:['-17', '15', '-22', '35', '46'] pred:[17.       17.389074 22.       28.716112 26.76696 ]
hatchback_-30_45_-4_35_28_20_70_420 gt:['-30', '45', '-4', '35', '28'] pred:[22.60296  19.013174 13.24386  19.741295 10.817795]
suv_-30_45_-4_10_28_50_70_420 gt:['-30', '45', '-4', '10', '28'] pred:[18.8004    21.79316    5.8341875  3.7701962 26.057064 ]
hybrid_-30_45_-4_35_46_20_70_420 gt:['-30', '45', '-4', '35', '46'] pred:[24.606714 17.031954 23.727295 29.290045  8.682283]
suv_-50_23_-36_10_46_50_30_420 gt:['-50', '23', '-36', '10', '46'] pred:[21.458628 23.       53.688747 10.       46.      ]
sedan4door_-50_45_-22_10_46_140_70_420 gt:['-50', '45', '-22', '10', '46'] pred:[33.828236 24.339127 33.881954  8.931189 21.102072]
hatchback_-17_15_-22_48_28_50_70_420 gt:['-17', '15', '-22', '48', '28'] pred:[22.47383   7.726628 30.693022 19.795353 18.272396]
suv_-30_15_-36_10_28_20_30_420 gt:['-30', '15', '-36', '10', '28'] pred:[22.642712 15.       56.526695 10.        6.686396]
sedan4door_-30_45_-36_10_46_50_70_420 gt:['-30', '45', '-36', '10', '46'] pred:[24.496077  25.040283  22.482014   7.4555826 22.385149 ]
sedan2door_-50_45_-22_35_15_140_70_420 gt:['-50', '45', '-22', '35', '15'] pred:[33.80325  27.939768 22.       12.771924 14.245524]
suv_-30_45_-4_48_46_50_70_420 gt:['-30', '45', '-4', '48', '46'] pred:[13.887026  25.603788  11.355921   5.6947494 26.579103 ]
hatchback_-30_15_-4_48_46_230_70_420 gt:['-30', '15', '-4', '48', '46'] pred:[15.426373  8.46517  34.306873 12.398408 38.718784]
suv_-30_23_-4_10_28_50_70_420 gt:['-30', '23', '-4', '10', '28'] pred:[16.498898  30.010406   5.480352   3.3365426 20.369413 ]
hatchback_-17_23_-36_35_46_230_70_420 gt:['-17', '23', '-36', '35', '46'] pred:[ 8.955752  8.894654 45.302143 10.766779 34.208355]
hybrid_-17_15_-36_48_28_140_70_420 gt:['-17', '15', '-36', '48', '28'] pred:[19.00357   20.050587  31.32702   12.221157   6.6274257]
sedan4door_-50_15_-36_48_28_140_70_420 gt:['-50', '15', '-36', '48', '28'] pred:[27.72941   14.7377615 39.266468  26.109053   2.776843 ]
sedan4door_-30_15_-4_48_15_50_30_420 gt:['-30', '15', '-4', '48', '15'] pred:[25.697742    3.565691   30.30049    41.551945    0.71300447]
sedan4door_-30_23_-4_35_46_140_30_420 gt:['-30', '23', '-4', '35', '46'] pred:[30.       16.988176  4.       41.548275 46.      ]
hybrid_-17_23_-36_48_15_230_70_420 gt:['-17', '23', '-36', '48', '15'] pred:[ 9.17981    3.3614311 27.471273   6.3535647 10.947364 ]
hybrid_-17_45_-22_10_46_50_30_420 gt:['-17', '45', '-22', '10', '46'] pred:[12.288734 45.       29.560349 10.       12.65215 ]
sedan4door_-17_15_-22_35_46_50_70_420 gt:['-17', '15', '-22', '35', '46'] pred:[24.92853  17.230446 13.149482 11.662235 17.885754]
suv_-17_45_-22_10_28_20_70_420 gt:['-17', '45', '-22', '10', '28'] pred:[12.499186 31.884209 21.328325  9.031203  7.495118]
sedan4door_-50_15_-4_35_46_20_30_420 gt:['-50', '15', '-4', '35', '46'] pred:[17.430912 15.       43.336308 35.       13.121766]
hybrid_-30_45_-4_35_15_20_30_420 gt:['-30', '45', '-4', '35', '15'] pred:[27.11079  45.       43.380806 35.       13.638211]
suv_-30_23_-4_35_15_230_30_420 gt:['-30', '23', '-4', '35', '15'] pred:[30.       23.300121  4.       46.882957 16.863207]
sedan2door_-17_23_-36_35_28_20_70_420 gt:['-17', '23', '-36', '35', '28'] pred:[22.68572  12.235332 24.909096 31.722038 27.65437 ]
sedan4door_-17_45_-22_10_46_140_70_420 gt:['-17', '45', '-22', '10', '46'] pred:[24.911655 23.174288 22.        9.198308 28.274141]
hybrid_-30_23_-22_35_15_50_30_420 gt:['-30', '23', '-22', '35', '15'] pred:[21.136461 23.       36.550144 35.       17.89852 ]
hybrid_-30_23_-36_35_46_50_30_420 gt:['-30', '23', '-36', '35', '46'] pred:[19.626045 23.       42.180546 35.        9.824337]
hatchback_-50_23_-4_10_28_230_70_420 gt:['-50', '23', '-4', '10', '28'] pred:[16.899887 12.586683 22.117622  8.13253  18.534496]
hybrid_-17_15_-22_10_46_50_30_420 gt:['-17', '15', '-22', '10', '46'] pred:[13.685281 15.       18.729185 10.        3.755723]
hatchback_-17_45_-36_35_46_20_30_420 gt:['-17', '45', '-36', '35', '46'] pred:[16.363329  45.        53.184906  35.         7.2236805]
hybrid_-30_23_-4_48_46_50_30_420 gt:['-30', '23', '-4', '48', '46'] pred:[19.309706 23.       41.032734 48.        9.773902]
hatchback_-17_45_-4_35_46_140_70_420 gt:['-17', '45', '-4', '35', '46'] pred:[20.00034  24.307613 26.046028 16.898594 25.274357]
sedan4door_-30_15_-4_48_28_20_70_420 gt:['-30', '15', '-4', '48', '28'] pred:[33.893024   6.1506467 11.078812  48.        11.77246  ]
hybrid_-50_45_-22_48_15_50_70_420 gt:['-50', '45', '-22', '48', '15'] pred:[33.179974 24.454407 41.15397  24.782948 23.212353]
hybrid_-50_45_-22_10_46_50_70_420 gt:['-50', '45', '-22', '10', '46'] pred:[27.486765 24.898813 42.5035   21.903    35.778008]
sedan4door_-30_15_-22_10_15_50_30_420 gt:['-30', '15', '-22', '10', '15'] pred:[21.759636   4.928717  41.065247  48.147663   1.2122453]
hybrid_-17_45_-22_35_28_20_70_420 gt:['-17', '45', '-22', '35', '28'] pred:[17.891909 15.296588 24.71453  35.       13.82824 ]
sedan2door_-50_23_-22_35_28_230_70_420 gt:['-50', '23', '-22', '35', '28'] pred:[10.911666 15.150392 28.071001 16.175926 14.829468]
hatchback_-17_23_-4_10_15_20_70_420 gt:['-17', '23', '-4', '10', '15'] pred:[23.825163  9.151511 17.767963 17.820242 16.756346]
hybrid_-30_23_-36_10_28_230_30_420 gt:['-30', '23', '-36', '10', '28'] pred:[30.        9.552051 36.       14.694545 31.474808]
suv_-50_15_-22_10_28_50_30_420 gt:['-50', '15', '-22', '10', '28'] pred:[18.65287  15.       42.744213 10.        2.826619]
hatchback_-50_45_-22_35_46_140_70_420 gt:['-50', '45', '-22', '35', '46'] pred:[36.7984   25.587788 21.650911 19.512243 23.552582]
hybrid_-17_15_-36_10_46_20_30_420 gt:['-17', '15', '-36', '10', '46'] pred:[17.93805  15.       47.96823  10.       13.452147]
suv_-30_23_-4_10_46_140_30_420 gt:['-30', '23', '-4', '10', '46'] pred:[30.       17.427406  4.       45.172928 46.      ]
suv_-30_23_-36_35_15_140_30_420 gt:['-30', '23', '-36', '35', '15'] pred:[30.       21.594297 36.       44.99488  15.      ]
suv_-50_15_-36_10_15_20_70_420 gt:['-50', '15', '-36', '10', '15'] pred:[28.16139    9.931463  31.767786  18.197145   4.4313145]
hatchback_-30_23_-22_35_28_230_70_420 gt:['-30', '23', '-22', '35', '28'] pred:[17.382633  9.320433 34.53886  16.394382 22.554407]
hatchback_-50_45_-22_48_46_20_70_420 gt:['-50', '45', '-22', '48', '46'] pred:[23.570738 20.6603   29.637989 28.111683 13.623581]
suv_-50_23_-4_48_15_50_30_420 gt:['-50', '23', '-4', '48', '15'] pred:[26.037163 23.       37.01691  48.       15.      ]
sedan2door_-50_45_-36_48_28_20_30_420 gt:['-50', '45', '-36', '48', '28'] pred:[29.84461  45.       32.307877 48.       18.66328 ]
hybrid_-50_45_-4_35_46_50_70_420 gt:['-50', '45', '-4', '35', '46'] pred:[26.836246 25.188932 42.69771  22.290796 37.009113]
suv_-30_23_-4_35_15_20_30_420 gt:['-30', '23', '-4', '35', '15'] pred:[24.137661 23.       53.32775  35.        8.069528]
sedan4door_-17_15_-4_10_15_140_30_420 gt:['-17', '15', '-4', '10', '15'] pred:[17.        7.586749  4.       34.48731  15.      ]
suv_-50_23_-36_35_28_140_30_420 gt:['-50', '23', '-36', '35', '28'] pred:[50.       16.66604  36.       41.520893 28.      ]
hatchback_-17_45_-4_10_28_20_30_420 gt:['-17', '45', '-4', '10', '28'] pred:[13.049903  45.        51.565685  10.         6.0321198]
suv_-17_23_-36_48_46_230_70_420 gt:['-17', '23', '-36', '48', '46'] pred:[ 5.2557464 12.995938  52.308617  16.19423    6.206211 ]
suv_-50_45_-22_48_15_140_70_420 gt:['-50', '45', '-22', '48', '15'] pred:[36.68888   35.0711    37.28561   17.425917   7.1633396]
suv_-50_45_-36_48_46_50_30_420 gt:['-50', '45', '-36', '48', '46'] pred:[18.315956 45.       54.95547  48.       46.      ]
hatchback_-30_15_-36_10_28_50_30_420 gt:['-30', '15', '-36', '10', '28'] pred:[20.145037   15.         56.644127   10.          0.82575816]
sedan4door_-30_45_-22_48_28_230_30_420 gt:['-30', '45', '-22', '48', '28'] pred:[30.       34.49942  22.       40.38555  25.036934]
sedan4door_-17_23_-22_48_46_50_30_420 gt:['-17', '23', '-22', '48', '46'] pred:[22.131393 23.       50.48005  48.165234 46.      ]
sedan2door_-17_15_-22_10_28_50_70_420 gt:['-17', '15', '-22', '10', '28'] pred:[19.890535 12.690892 16.703857 18.347065 34.90459 ]
hybrid_-17_45_-4_10_15_140_70_420 gt:['-17', '45', '-4', '10', '15'] pred:[11.531818 33.232037 38.70163  15.452469 13.685162]
hybrid_-30_23_-4_35_28_20_30_420 gt:['-30', '23', '-4', '35', '28'] pred:[21.397968 23.       41.74455  35.       22.99218 ]
sedan2door_-50_23_-4_35_46_20_70_420 gt:['-50', '23', '-4', '35', '46'] pred:[33.714664 12.129715 23.310974 20.67964  39.335438]
suv_-17_15_-22_48_28_140_70_420 gt:['-17', '15', '-22', '48', '28'] pred:[11.913068 18.711185 44.117455 22.722094 24.764511]
suv_-30_45_-22_35_15_230_70_420 gt:['-30', '45', '-22', '35', '15'] pred:[10.828678  18.113602  40.662872  13.808218   5.9260955]
sedan2door_-30_23_-36_35_46_20_70_420 gt:['-30', '23', '-36', '35', '46'] pred:[33.52386  13.166807 16.895609 18.908884 39.44499 ]
hatchback_-30_45_-36_10_15_20_30_420 gt:['-30', '45', '-36', '10', '15'] pred:[21.527147  45.        54.07528   10.         3.2474492]
suv_-30_23_-22_48_28_230_70_420 gt:['-30', '23', '-22', '48', '28'] pred:[10.200744  11.119705  48.629654  23.00024    8.2588825]
sedan2door_-30_45_-36_10_28_230_30_420 gt:['-30', '45', '-36', '10', '28'] pred:[30.       33.544712 36.       19.184677 30.924025]
sedan2door_-17_23_-4_48_46_230_30_420 gt:['-17', '23', '-4', '48', '46'] pred:[17.       16.08651   4.       13.978233 37.0685  ]
suv_-50_15_-36_35_15_20_30_420 gt:['-50', '15', '-36', '35', '15'] pred:[25.873014 15.       52.276707 35.        9.040678]
sedan2door_-17_23_-22_48_15_50_70_420 gt:['-17', '23', '-22', '48', '15'] pred:[18.456783 21.853573 16.810099 14.801495 30.891298]
sedan2door_-30_45_-36_10_28_140_70_420 gt:['-30', '45', '-36', '10', '28'] pred:[27.93106  29.44093  41.424458 12.143272 20.118168]
hybrid_-30_15_-4_48_46_20_30_420 gt:['-30', '15', '-4', '48', '46'] pred:[21.12199  15.       46.36317  48.       14.170291]
sedan4door_-30_45_-36_35_28_230_70_420 gt:['-30', '45', '-36', '35', '28'] pred:[12.822153 24.094114 36.9354   12.51032  12.795681]
hatchback_-30_23_-4_35_15_140_70_420 gt:['-30', '23', '-4', '35', '15'] pred:[26.580677 15.070524  4.       17.338238  9.425949]
hybrid_-50_45_-22_10_15_20_30_420 gt:['-50', '45', '-22', '10', '15'] pred:[20.013662 45.       43.33746  10.        8.500883]
suv_-50_23_-4_48_15_50_70_420 gt:['-50', '23', '-4', '48', '15'] pred:[24.143538 29.35135  10.315067  7.113676 10.517785]
hatchback_-50_15_-22_48_28_20_70_420 gt:['-50', '15', '-22', '48', '28'] pred:[25.503569 10.638079 28.127071 32.26217  16.720716]
suv_-17_23_-4_35_46_230_30_420 gt:['-17', '23', '-4', '35', '46'] pred:[17.       23.562483  4.       39.99221  19.383223]
suv_-50_15_-36_48_15_140_70_420 gt:['-50', '15', '-36', '48', '15'] pred:[31.952751  22.702484  33.081146  23.783592   5.6363044]
hybrid_-17_23_-22_35_46_50_70_420 gt:['-17', '23', '-22', '35', '46'] pred:[20.864254 15.571847 25.974466 25.894201 33.858913]
