sedan2door_-40_40_0_0_20_280_40_450 gt:['-40', '40', '0', '0', '20'] pred:[39.060196  42.63761    7.7773824 15.438688  16.695766 ]
suv_-40_20_-20_40_20_120_20_400 gt:['-40', '20', '-20', '40', '20'] pred:[40.       14.99794  20.       45.764904 20.      ]
hatchback_-20_20_-40_20_0_40_40_400 gt:['-20', '20', '-40', '20', '0'] pred:[17.607677  20.        40.668327  20.         3.2425563]
hatchback_0_40_0_40_20_320_80_450 gt:['0', '40', '0', '40', '20'] pred:[ 2.5131123 44.455284   5.3848095 42.356102  19.526447 ]
hybrid_-40_20_0_20_0_0_80_450 gt:['-40', '20', '0', '20', '0'] pred:[41.84838   17.288458  11.533831  10.182326   1.8998066]
sedan4door_-40_0_0_40_0_240_60_400 gt:['-40', '0', '0', '40', '0'] pred:[39.48522    5.9372826  5.8864107 34.36464    1.6042123]
sedan2door_-40_20_-20_40_40_120_60_450 gt:['-40', '20', '-20', '40', '40'] pred:[43.22753  20.752934 20.        6.642419 42.76728 ]
sedan2door_-40_20_-40_0_20_320_60_400 gt:['-40', '20', '-40', '0', '20'] pred:[42.150974 14.574629 11.129455 15.632466 19.18509 ]
hybrid_-40_40_-20_0_20_0_60_450 gt:['-40', '40', '-20', '0', '20'] pred:[42.286995 42.190422 15.624483  0.       19.68178 ]
suv_-20_0_-40_40_0_160_40_450 gt:['-20', '0', '-40', '40', '0'] pred:[20.         2.9068353 40.        40.84034    1.7406087]
sedan2door_-40_0_-40_20_20_240_80_450 gt:['-40', '0', '-40', '20', '20'] pred:[45.99142    2.7830055 12.340081   6.7197843 21.616194 ]
sedan2door_0_0_-40_20_40_200_60_400 gt:['0', '0', '-40', '20', '40'] pred:[ 4.643865   2.0791483 40.        10.085781  40.901264 ]
hybrid_-20_0_-20_40_20_160_80_450 gt:['-20', '0', '-20', '40', '20'] pred:[20.006113   2.2484694  8.699415   4.3212786 19.929037 ]
sedan4door_-40_40_-40_40_0_240_20_450 gt:['-40', '40', '-40', '40', '0'] pred:[40.        43.91966   40.        42.72698    1.1680325]
suv_-40_40_0_40_40_80_40_400 gt:['-40', '40', '0', '40', '40'] pred:[38.088497 44.03232   2.1347   40.       40.      ]
sedan2door_-40_20_-20_40_20_40_80_400 gt:['-40', '20', '-20', '40', '20'] pred:[43.538494 20.348425 12.011787 16.56928  16.93974 ]
sedan2door_-40_20_-40_20_40_240_20_450 gt:['-40', '20', '-40', '20', '40'] pred:[40.       14.835512 40.        9.09583  40.17744 ]
sedan4door_-20_40_-40_40_20_80_60_450 gt:['-20', '40', '-40', '40', '20'] pred:[16.622128 40.013317 39.00788  46.670753 20.470589]
hybrid_-20_20_-20_20_20_280_40_400 gt:['-20', '20', '-20', '20', '20'] pred:[17.169271 21.237423 13.417211 21.372406 19.148436]
hatchback_0_0_-40_20_0_280_20_450 gt:['0', '0', '-40', '20', '0'] pred:[ 5.9761977  0.        42.75339   20.         1.8898978]
sedan4door_0_20_-20_0_0_160_40_400 gt:['0', '20', '-20', '0', '0'] pred:[ 0.        19.160902  20.         4.0661883  1.4999653]
hatchback_-20_40_0_20_20_320_80_450 gt:['-20', '40', '0', '20', '20'] pred:[18.30684  43.725273  5.073063 13.638561 19.310797]
hybrid_-20_0_-20_20_0_320_40_450 gt:['-20', '0', '-20', '20', '0'] pred:[19.20299     0.         10.842206   20.          0.96190405]
hybrid_0_40_0_40_0_160_40_400 gt:['0', '40', '0', '40', '0'] pred:[ 0.        42.702393   0.        16.358822   1.8463662]
hybrid_-20_20_-20_0_20_320_20_400 gt:['-20', '20', '-20', '0', '20'] pred:[18.705626 20.       10.155245  0.       17.170568]
sedan2door_-40_40_-40_20_20_120_60_400 gt:['-40', '40', '-40', '20', '20'] pred:[39.842648 41.831505 40.       13.594863 20.421677]
hybrid_-40_0_-20_0_40_200_20_450 gt:['-40', '0', '-20', '0', '40'] pred:[40.         2.7557082 20.         3.7105782 47.62728  ]
hatchback_0_40_-20_0_20_360_80_400 gt:['0', '40', '-20', '0', '20'] pred:[ 3.1840596 44.291855  16.095798  10.052953  17.20548  ]
hybrid_0_20_-40_40_20_80_40_400 gt:['0', '20', '-40', '40', '20'] pred:[ 1.8252878 19.480095   5.934815  40.        20.       ]
suv_-20_0_-40_20_20_40_20_450 gt:['-20', '0', '-40', '20', '20'] pred:[14.598657  0.       44.99902  20.       20.      ]
sedan4door_-40_40_-20_20_20_280_20_450 gt:['-40', '40', '-20', '20', '20'] pred:[37.179523 40.       11.238656 20.       20.64174 ]
sedan4door_-40_0_0_20_0_280_40_400 gt:['-40', '0', '0', '20', '0'] pred:[42.094543  15.04735    1.5309114 17.830513   1.1082827]
hatchback_-40_0_-40_20_0_280_80_450 gt:['-40', '0', '-40', '20', '0'] pred:[41.172405   3.8168902 45.96488   19.478647   3.5767095]
hybrid_-40_0_-40_20_20_280_60_400 gt:['-40', '0', '-40', '20', '20'] pred:[44.091206   2.9221084 19.1878     4.576191  14.126966 ]
sedan4door_-40_0_0_20_20_120_80_400 gt:['-40', '0', '0', '20', '20'] pred:[43.374428   2.9267426  2.157048  19.939318  18.804846 ]
sedan4door_0_40_0_40_20_40_20_450 gt:['0', '40', '0', '40', '20'] pred:[ 1.2180934 40.         1.5760283 40.        20.       ]
suv_0_40_0_0_20_280_60_400 gt:['0', '40', '0', '0', '20'] pred:[ 1.7085967 44.754223   2.648181   7.9574714 16.242804 ]
sedan2door_-40_0_-40_20_0_40_20_400 gt:['-40', '0', '-40', '20', '0'] pred:[42.34178    0.        12.2186165 20.         0.       ]
sedan4door_-20_20_-20_40_20_80_20_450 gt:['-20', '20', '-20', '40', '20'] pred:[18.531502 20.       15.478295 40.       20.      ]
hatchback_-20_0_0_0_20_200_60_400 gt:['-20', '0', '0', '0', '20'] pred:[13.30427    3.259346   0.         1.8394473 19.211655 ]
sedan2door_0_0_0_0_20_120_40_400 gt:['0', '0', '0', '0', '20'] pred:[ 0.         1.8540522  0.         4.32117   20.       ]
sedan4door_0_20_-20_0_20_280_60_400 gt:['0', '20', '-20', '0', '20'] pred:[ 1.5857434 20.01381   17.969542   2.9482718 19.26016  ]
hybrid_0_20_-40_0_40_0_20_450 gt:['0', '20', '-40', '0', '40'] pred:[ 1.0461285 20.         8.851121   0.        40.       ]
hatchback_-40_20_0_0_0_320_60_400 gt:['-40', '20', '0', '0', '0'] pred:[41.449696  14.923516   4.27754    9.4568815  1.0609459]
sedan2door_0_40_0_40_0_80_60_400 gt:['0', '40', '0', '40', '0'] pred:[ 2.2375596 46.133335  11.547366  11.480413   1.5851355]
suv_-20_20_0_20_40_240_20_400 gt:['-20', '20', '0', '20', '40'] pred:[20.       14.693441  0.       19.687159 40.93631 ]
sedan4door_-40_40_-40_0_0_280_60_450 gt:['-40', '40', '-40', '0', '0'] pred:[39.19566   39.16325   37.187702   4.199561   2.3799841]
sedan2door_-40_20_0_0_20_320_20_400 gt:['-40', '20', '0', '0', '20'] pred:[44.752068 20.        6.2885    0.       18.453682]
hatchback_0_20_-40_0_20_80_40_450 gt:['0', '20', '-40', '0', '20'] pred:[ 2.916208 20.380518 46.345913  0.       20.      ]
hatchback_0_20_-20_40_0_360_20_450 gt:['0', '20', '-20', '40', '0'] pred:[ 1.5504171 20.        13.614089  40.         0.       ]
suv_-20_20_-40_20_0_160_20_450 gt:['-20', '20', '-40', '20', '0'] pred:[20.       17.449509 40.       20.359146  0.      ]
suv_-20_0_-40_20_20_160_60_400 gt:['-20', '0', '-40', '20', '20'] pred:[17.158293   1.5455772 40.        15.005978  19.939995 ]
hatchback_0_20_-40_40_40_80_80_450 gt:['0', '20', '-40', '40', '40'] pred:[ 2.6694546 20.670448  42.863766  38.32974   40.       ]
sedan2door_0_0_-20_20_0_360_60_450 gt:['0', '0', '-20', '20', '0'] pred:[ 1.9247742  1.8507162 10.699423  20.         1.4556103]
suv_-20_40_-20_40_40_360_20_400 gt:['-20', '40', '-20', '40', '40'] pred:[18.647385 40.       17.40085  40.       40.      ]
hatchback_-20_40_-40_0_40_240_80_400 gt:['-20', '40', '-40', '0', '40'] pred:[18.158607  38.895947  42.355778   3.1053061 38.021164 ]
sedan2door_-40_40_-20_20_0_360_80_400 gt:['-40', '40', '-20', '20', '0'] pred:[43.198875  41.124302  14.076839  13.568618   2.2679632]
hatchback_0_0_0_20_0_320_20_400 gt:['0', '0', '0', '20', '0'] pred:[ 1.6910985   0.          1.7554957  20.          0.53588635]
hatchback_-20_40_-20_0_0_40_20_450 gt:['-20', '40', '-20', '0', '0'] pred:[16.760052 40.       20.395052  0.        0.      ]
hatchback_-20_0_-20_0_40_200_60_450 gt:['-20', '0', '-20', '0', '40'] pred:[13.925654   3.258374  20.         1.7625659 41.30654  ]
sedan4door_-20_40_0_20_20_80_80_400 gt:['-20', '40', '0', '20', '20'] pred:[16.840239 42.76686   5.647855 13.466604 20.      ]
suv_0_20_0_40_0_160_80_400 gt:['0', '20', '0', '40', '0'] pred:[ 1.4420677 17.98721    7.0730367 48.503933   2.2967572]
sedan2door_0_20_0_40_40_160_40_400 gt:['0', '20', '0', '40', '40'] pred:[ 0.       19.67047   0.       16.279314 41.75204 ]
suv_0_20_0_20_0_40_40_450 gt:['0', '20', '0', '20', '0'] pred:[ 1.317071  20.         2.6972213 20.         2.2180858]
suv_-20_20_0_20_0_200_60_400 gt:['-20', '20', '0', '20', '0'] pred:[16.964485   20.285067    0.         16.890469    0.97359216]
hatchback_-40_20_-20_0_0_160_60_450 gt:['-40', '20', '-20', '0', '0'] pred:[43.09055  20.15044  20.        2.691204  2.386613]
suv_-20_40_-40_20_0_40_60_400 gt:['-20', '40', '-40', '20', '0'] pred:[17.773039  41.913216  42.56166   20.         2.3208675]
hatchback_-40_20_0_20_0_280_80_400 gt:['-40', '20', '0', '20', '0'] pred:[39.657093  20.687078   1.9903786 19.581148   3.1217055]
hybrid_0_0_0_0_0_320_60_450 gt:['0', '0', '0', '0', '0'] pred:[2.313995   5.001509   5.2024193  7.603248   0.84785044]
hatchback_-40_20_0_40_20_200_40_400 gt:['-40', '20', '0', '40', '20'] pred:[40.       19.273054  0.       44.872494 26.453936]
hybrid_-20_20_-40_40_0_0_20_450 gt:['-20', '20', '-40', '40', '0'] pred:[16.545914 20.       11.985254 40.        0.      ]
suv_0_0_0_0_40_120_80_400 gt:['0', '0', '0', '0', '40'] pred:[ 1.0905657  1.1386098  1.514335   1.399931  42.128464 ]
suv_0_40_-40_20_40_80_80_450 gt:['0', '40', '-40', '20', '40'] pred:[ 2.326339 41.42047  43.25503  19.619856 40.      ]
hybrid_-40_40_-20_20_0_280_60_400 gt:['-40', '40', '-20', '20', '0'] pred:[39.591118   42.93624    13.019506    7.5224752   0.84466577]
hatchback_-40_40_0_40_20_280_40_450 gt:['-40', '40', '0', '40', '20'] pred:[40.388905  39.51875    2.7517061 36.62495   18.969133 ]
suv_0_40_-20_40_0_80_60_400 gt:['0', '40', '-20', '40', '0'] pred:[ 3.136891 39.803356 17.13763  45.366196  2.009231]
hybrid_-40_20_-40_20_20_200_80_450 gt:['-40', '20', '-40', '20', '20'] pred:[41.81848   19.28784    7.4927435 12.741795  20.178167 ]
hatchback_-20_40_0_0_20_320_60_400 gt:['-20', '40', '0', '0', '20'] pred:[15.849697 43.868195  1.713193 10.19283  21.961838]
sedan2door_-40_0_-20_40_40_40_40_400 gt:['-40', '0', '-20', '40', '40'] pred:[40.660015  0.       15.977837 40.       45.87468 ]
sedan2door_-40_40_-40_0_20_0_20_400 gt:['-40', '40', '-40', '0', '20'] pred:[45.84491  40.       18.356419  0.       20.      ]
suv_0_40_-40_40_0_240_80_400 gt:['0', '40', '-40', '40', '0'] pred:[ 2.5009952 45.060757  41.299618  38.542057   2.7189255]
sedan2door_-20_40_-20_40_40_120_40_400 gt:['-20', '40', '-20', '40', '40'] pred:[20.       41.418007 20.       13.285624 40.      ]
hybrid_0_40_-20_20_40_120_40_450 gt:['0', '40', '-20', '20', '40'] pred:[ 0.       44.584774 20.        8.857798 40.      ]
suv_0_0_-20_20_20_360_80_450 gt:['0', '0', '-20', '20', '20'] pred:[ 2.3304503  2.0839067 16.82571   19.483845  20.453371 ]
sedan2door_0_0_-20_40_20_160_80_450 gt:['0', '0', '-20', '40', '20'] pred:[ 1.5522546  1.4802948  7.0138726  7.096902  17.567417 ]
hybrid_-20_20_-40_0_0_200_40_400 gt:['-20', '20', '-40', '0', '0'] pred:[20.       19.68966  40.        8.07928   1.144366]
hybrid_-40_40_-40_0_0_120_40_400 gt:['-40', '40', '-40', '0', '0'] pred:[40.       43.1492   40.        5.516483  0.      ]
suv_0_0_-40_20_20_200_80_450 gt:['0', '0', '-40', '20', '20'] pred:[ 4.4685206  2.3110936 41.754456  25.298918  24.100615 ]
suv_-20_20_-20_20_40_40_40_450 gt:['-20', '20', '-20', '20', '40'] pred:[16.754498 20.       15.913719 20.       41.611137]
sedan2door_0_40_0_20_0_80_80_400 gt:['0', '40', '0', '20', '0'] pred:[ 1.4181294 44.079895   7.868277  13.8292     0.       ]
sedan4door_0_40_-40_20_0_80_60_400 gt:['0', '40', '-40', '20', '0'] pred:[ 3.7082403 44.90219   39.045498  17.54558    1.1586796]
suv_0_40_-20_40_20_320_40_400 gt:['0', '40', '-20', '40', '20'] pred:[ 1.8631313 40.        20.137827  40.        20.60697  ]
suv_0_20_-40_20_0_120_60_450 gt:['0', '20', '-40', '20', '0'] pred:[ 2.3718302 19.303604  40.        17.329268   4.1446986]
hatchback_0_0_-40_0_20_320_20_450 gt:['0', '0', '-40', '0', '20'] pred:[ 4.504685  0.       39.72678   0.       16.650824]
hatchback_0_40_-20_20_0_160_80_450 gt:['0', '40', '-20', '20', '0'] pred:[ 2.0267935 39.743046  11.966258  18.510994   2.480455 ]
sedan4door_-20_0_-40_0_40_360_20_400 gt:['-20', '0', '-40', '0', '40'] pred:[16.972443  0.       43.058403  0.       40.      ]
sedan4door_-20_20_-20_0_20_320_60_400 gt:['-20', '20', '-20', '0', '20'] pred:[21.127129  19.922699  16.278625   5.4463286 19.005507 ]
hybrid_-40_0_-40_0_40_360_80_450 gt:['-40', '0', '-40', '0', '40'] pred:[45.902725   2.5593503 12.254254   5.77191   39.772194 ]
hatchback_-40_20_-40_0_20_360_20_450 gt:['-40', '20', '-40', '0', '20'] pred:[45.477604 20.       44.49279   0.       20.      ]
sedan4door_0_20_-40_40_0_360_60_400 gt:['0', '20', '-40', '40', '0'] pred:[ 2.2212465 19.501078  43.387646  40.         1.1801809]
suv_-40_40_-40_0_40_240_60_450 gt:['-40', '40', '-40', '0', '40'] pred:[39.84062   37.0707    35.94428    2.4932792 40.80981  ]
hybrid_-40_20_-20_20_20_160_20_400 gt:['-40', '20', '-20', '20', '20'] pred:[40.       19.192091 20.       12.48741  20.      ]
hybrid_-20_0_-20_0_20_320_80_400 gt:['-20', '0', '-20', '0', '20'] pred:[17.835833  2.575439  4.99      6.5632   19.094534]
hatchback_-40_0_0_20_40_80_40_450 gt:['-40', '0', '0', '20', '40'] pred:[42.87326    2.5978217  8.0047865 20.        40.       ]
suv_-20_0_0_0_0_200_60_450 gt:['-20', '0', '0', '0', '0'] pred:[13.527784   2.2042043  0.         1.5763524  1.3562294]
hybrid_-20_40_0_40_40_320_20_450 gt:['-20', '40', '0', '40', '40'] pred:[18.662594 40.        8.483845 40.       46.88281 ]
sedan2door_-20_40_0_20_20_200_60_450 gt:['-20', '40', '0', '20', '20'] pred:[15.031363 44.043575  0.       15.108341 20.262648]
sedan2door_-40_40_-20_0_40_40_60_450 gt:['-40', '40', '-20', '0', '40'] pred:[39.45532  45.50408  10.273654  0.       41.10887 ]
hybrid_0_20_-40_40_20_0_40_400 gt:['0', '20', '-40', '40', '20'] pred:[ 1.6488065 20.         9.427117  40.        19.021439 ]
sedan2door_0_40_-40_0_0_200_40_450 gt:['0', '40', '-40', '0', '0'] pred:[ 0.        40.148968  40.        19.805841   1.7238121]
sedan2door_-20_40_-20_40_40_0_60_450 gt:['-20', '40', '-20', '40', '40'] pred:[18.064882 43.93215  16.419123 40.       39.892513]
hatchback_-20_20_-40_40_40_120_80_400 gt:['-20', '20', '-40', '40', '40'] pred:[21.38     20.067856 40.03281  40.266827 39.024345]
hybrid_-40_40_-40_40_20_200_80_450 gt:['-40', '40', '-40', '40', '20'] pred:[43.389374 41.79139  10.64819  14.269084 21.99615 ]
sedan2door_0_0_-40_20_40_120_20_450 gt:['0', '0', '-40', '20', '40'] pred:[ 0.         1.3116877 40.         5.546319  40.       ]
suv_-20_40_-20_40_40_280_80_400 gt:['-20', '40', '-20', '40', '40'] pred:[16.512005 40.11002  19.583464 46.08207  39.917526]
hatchback_-40_0_0_40_20_40_40_450 gt:['-40', '0', '0', '40', '20'] pred:[42.842422  0.        2.58046  40.       17.635378]
hybrid_-20_20_-40_0_0_240_60_450 gt:['-20', '20', '-40', '0', '0'] pred:[15.708665   20.424152   12.884341   13.116718    0.83062124]
sedan4door_-40_20_0_20_20_240_20_450 gt:['-40', '20', '0', '20', '20'] pred:[40.       19.46147   0.       17.306488 18.44882 ]
hatchback_0_40_-40_40_40_360_60_450 gt:['0', '40', '-40', '40', '40'] pred:[ 3.5888374 39.74823   42.20588   40.        41.0936   ]
sedan2door_-40_40_-20_20_20_80_60_450 gt:['-40', '40', '-20', '20', '20'] pred:[36.99482   41.261402   7.9332857 18.023653  14.687096 ]
hatchback_-20_40_-20_0_20_160_80_400 gt:['-20', '40', '-20', '0', '20'] pred:[13.727854  45.722507  17.192646   2.5050516 21.60875  ]
sedan4door_0_0_-20_0_20_160_40_450 gt:['0', '0', '-20', '0', '20'] pred:[ 0.         1.1473914 20.         1.9155307 21.715227 ]
sedan4door_0_40_0_0_20_40_80_450 gt:['0', '40', '0', '0', '20'] pred:[ 1.961877  45.943027   1.7748284  1.7847627 15.832508 ]
hybrid_0_20_-40_40_20_280_20_450 gt:['0', '20', '-40', '40', '20'] pred:[ 7.8411975 20.         4.8884516 40.        15.961016 ]
hybrid_0_20_-40_20_0_280_20_450 gt:['0', '20', '-40', '20', '0'] pred:[13.552     20.        14.876449  20.         0.5108424]
suv_-20_40_-20_0_20_200_80_400 gt:['-20', '40', '-20', '0', '20'] pred:[14.087546  40.526146  19.873795   2.3162668 21.990316 ]
sedan2door_-20_20_-20_40_0_0_60_400 gt:['-20', '20', '-20', '40', '0'] pred:[18.832232  19.107769  14.801264  40.         1.9257523]
sedan4door_0_20_-20_40_0_40_60_450 gt:['0', '20', '-20', '40', '0'] pred:[ 2.820031  20.156971  21.051203  40.         1.4296774]
hatchback_-20_40_-40_0_40_160_80_400 gt:['-20', '40', '-40', '0', '40'] pred:[18.445593  45.547745  42.455776   2.8004541 40.050858 ]
sedan2door_-20_20_-20_0_20_360_60_450 gt:['-20', '20', '-20', '0', '20'] pred:[19.5785   17.446398 14.987001  0.       19.805895]
sedan4door_0_40_-40_20_20_200_80_400 gt:['0', '40', '-40', '20', '20'] pred:[ 3.774688 46.621418 39.504456 13.329086 22.695753]
hybrid_-40_20_-20_20_20_0_80_400 gt:['-40', '20', '-20', '20', '20'] pred:[43.172916 18.404234 15.766239 13.725347 20.15128 ]
hybrid_0_20_0_40_20_160_80_450 gt:['0', '20', '0', '40', '20'] pred:[ 1.8393463 18.243385   5.462801  15.329032  20.456715 ]
sedan2door_0_0_-20_40_20_40_80_450 gt:['0', '0', '-20', '40', '20'] pred:[ 1.8185652  1.8881638  8.462891   7.6370187 19.511211 ]
sedan4door_-40_40_-40_20_40_360_20_450 gt:['-40', '40', '-40', '20', '40'] pred:[43.791862 40.       44.23033  20.       40.      ]
suv_-20_20_-40_40_20_320_20_400 gt:['-20', '20', '-40', '40', '20'] pred:[18.568466 20.       45.444492 40.       20.169546]
hatchback_-20_20_-20_40_0_320_60_400 gt:['-20', '20', '-20', '40', '0'] pred:[20.571089  19.770557  11.941371  43.019753   2.0963836]
sedan4door_-40_20_-40_0_20_40_60_400 gt:['-40', '20', '-40', '0', '20'] pred:[43.666756  14.7956505 45.64072    0.        16.19162  ]
suv_0_40_-40_0_40_40_60_450 gt:['0', '40', '-40', '0', '40'] pred:[ 5.0267396 44.905266  42.737293   0.        38.602665 ]
suv_0_0_-20_20_0_280_40_450 gt:['0', '0', '-20', '20', '0'] pred:[ 4.547446  16.4743    18.469173  22.97712    1.1585288]
hatchback_-40_40_-20_20_40_360_80_400 gt:['-40', '40', '-20', '20', '40'] pred:[37.93318  41.716652 15.469445 19.687075 40.435078]
suv_0_40_0_20_20_240_40_450 gt:['0', '40', '0', '20', '20'] pred:[ 0.       41.978123  0.       16.098783 17.352026]
hatchback_-40_0_-20_40_0_280_80_400 gt:['-40', '0', '-20', '40', '0'] pred:[44.061504   2.760324  18.62779   42.92507    2.8634572]
suv_0_20_-20_0_20_120_40_400 gt:['0', '20', '-20', '0', '20'] pred:[ 0.        15.7864485 20.         3.808145  20.       ]
sedan4door_-40_0_-40_0_40_160_80_400 gt:['-40', '0', '-40', '0', '40'] pred:[40.652493   2.1887736 47.47624    3.1572988 42.50498  ]
hatchback_-20_40_-40_0_0_200_40_400 gt:['-20', '40', '-40', '0', '0'] pred:[20.        40.60672   40.         1.6185905  0.8081353]
hatchback_0_40_-40_20_40_320_20_450 gt:['0', '40', '-40', '20', '40'] pred:[ 3.8209758 40.        45.434788  20.        43.946198 ]
suv_-20_0_0_0_20_0_60_450 gt:['-20', '0', '0', '0', '20'] pred:[21.301762   7.5106053  1.9336921  0.        20.69153  ]
sedan2door_-20_40_-40_0_0_80_20_450 gt:['-20', '40', '-40', '0', '0'] pred:[13.410652 40.       10.092129  0.        0.      ]
hybrid_0_40_-20_40_40_0_20_400 gt:['0', '40', '-20', '40', '40'] pred:[ 1.2443128 40.         9.142957  40.        40.       ]
sedan4door_-20_0_-40_20_20_0_40_400 gt:['-20', '0', '-40', '20', '20'] pred:[21.516472  0.       44.934658 20.       16.88357 ]
hatchback_0_40_0_20_40_240_20_450 gt:['0', '40', '0', '20', '40'] pred:[ 0.       43.16961   0.       19.398838 40.510124]
sedan2door_0_20_0_40_40_80_60_450 gt:['0', '20', '0', '40', '40'] pred:[ 2.5787652 19.515549   9.029398  14.00886   42.754856 ]
hatchback_-20_20_-20_40_40_320_20_400 gt:['-20', '20', '-20', '40', '40'] pred:[15.96084  20.       10.950811 40.       41.913254]
sedan4door_0_20_0_20_40_160_20_450 gt:['0', '20', '0', '20', '40'] pred:[ 0.       17.349909  0.       15.509499 40.      ]
suv_-40_20_-40_40_40_160_80_450 gt:['-40', '20', '-40', '40', '40'] pred:[42.116634 22.126774 36.832058 40.13379  37.804264]
sedan2door_-20_40_0_40_0_80_40_450 gt:['-20', '40', '0', '40', '0'] pred:[18.362799 41.365177  8.627661 40.        0.      ]
suv_-20_40_-40_0_20_240_60_400 gt:['-20', '40', '-40', '0', '20'] pred:[14.687409 42.615738 37.156853  2.111411 19.881634]
suv_-20_20_-20_0_0_120_20_450 gt:['-20', '20', '-20', '0', '0'] pred:[20.       18.42306  20.        6.813336  0.      ]
suv_-40_40_0_20_40_0_40_450 gt:['-40', '40', '0', '20', '40'] pred:[42.514507  40.         2.2951267 20.        40.03007  ]
hybrid_-20_20_-40_20_20_240_60_400 gt:['-20', '20', '-40', '20', '20'] pred:[21.394457 17.8122   14.997036  8.535683 16.13037 ]
hybrid_0_40_-20_20_0_240_60_400 gt:['0', '40', '-20', '20', '0'] pred:[ 4.561236  45.478756  22.466078  13.816592   1.5811534]
suv_0_0_0_0_20_240_60_400 gt:['0', '0', '0', '0', '20'] pred:[ 1.2371066  1.5880721  9.033435   0.9956168 17.816416 ]
sedan2door_-20_40_0_40_40_80_20_400 gt:['-20', '40', '0', '40', '40'] pred:[15.890404 40.       20.901705 40.       40.      ]
suv_-40_0_0_20_20_160_80_450 gt:['-40', '0', '0', '20', '20'] pred:[43.79128    2.875741  11.8362875 15.465554  21.308681 ]
sedan4door_0_20_0_40_0_200_20_400 gt:['0', '20', '0', '40', '0'] pred:[ 0.        17.992792   0.        42.389545   1.5959816]
sedan4door_0_40_0_20_20_80_60_450 gt:['0', '40', '0', '20', '20'] pred:[ 2.7157454 45.367996   1.9201262 12.147356  17.131672 ]
hybrid_-20_40_0_40_0_0_20_400 gt:['-20', '40', '0', '40', '0'] pred:[18.351274  40.         7.6839056 40.         0.       ]
hatchback_-40_0_-20_20_0_120_80_400 gt:['-40', '0', '-20', '20', '0'] pred:[43.378624    3.373496   15.993055   15.779371    0.83410776]
sedan2door_-20_0_-40_0_20_280_60_400 gt:['-20', '0', '-40', '0', '20'] pred:[18.826462   2.9671102  9.897587   5.9673862 16.929298 ]
sedan2door_0_20_0_20_40_280_40_400 gt:['0', '20', '0', '20', '40'] pred:[ 1.8704233 22.785295   7.5732107 23.930939  44.482986 ]
hybrid_-40_0_-40_20_40_80_40_450 gt:['-40', '0', '-40', '20', '40'] pred:[40.298157   5.0943394 14.3355    20.        40.       ]
sedan2door_-20_20_-20_20_20_40_40_450 gt:['-20', '20', '-20', '20', '20'] pred:[22.224234 20.       13.134955 20.       16.262445]
sedan2door_-40_20_0_20_40_120_80_400 gt:['-40', '20', '0', '20', '40'] pred:[43.740486 17.484833 12.3792   16.480356 38.09324 ]
suv_0_0_0_40_20_40_40_450 gt:['0', '0', '0', '40', '20'] pred:[ 1.6269382  0.         3.4207194 40.        19.827917 ]
sedan2door_0_40_-20_20_40_80_80_450 gt:['0', '40', '-20', '20', '40'] pred:[ 1.3841376 49.314785  10.392384  10.500019  40.       ]
hatchback_-20_40_-20_20_0_160_40_400 gt:['-20', '40', '-20', '20', '0'] pred:[20.        45.60534   20.        16.571848   1.9686142]
sedan2door_-20_0_-20_20_0_120_40_450 gt:['-20', '0', '-20', '20', '0'] pred:[20.         2.2498083 20.         4.362948   0.       ]
hatchback_-40_20_-40_40_40_240_40_400 gt:['-40', '20', '-40', '40', '40'] pred:[40.       15.641037 40.       41.95642  43.55667 ]
sedan4door_-40_0_-20_40_40_160_60_400 gt:['-40', '0', '-20', '40', '40'] pred:[44.22935    2.9008093 20.        34.52308   41.127914 ]
hatchback_0_20_-20_40_40_280_40_400 gt:['0', '20', '-20', '40', '40'] pred:[ 2.4934847 17.561357  17.004383  42.600533  44.17664  ]
suv_-20_20_0_0_40_200_60_400 gt:['-20', '20', '0', '0', '40'] pred:[23.044405  17.844126   0.         3.8932462 40.638676 ]
suv_-40_20_-20_0_40_0_20_450 gt:['-40', '20', '-20', '0', '40'] pred:[45.000397 20.       16.17369   0.       40.      ]
suv_-40_40_0_40_40_120_60_450 gt:['-40', '40', '0', '40', '40'] pred:[42.354877 43.112694  0.       41.224773 41.48309 ]
sedan2door_-20_20_-40_40_0_160_60_450 gt:['-20', '20', '-40', '40', '0'] pred:[14.944345  18.999458  40.         7.8866262  1.5862162]
hatchback_0_20_0_20_40_320_40_400 gt:['0', '20', '0', '20', '40'] pred:[ 2.199124  20.         2.5881016 20.        44.452606 ]
hatchback_0_40_-20_0_0_280_40_450 gt:['0', '40', '-20', '0', '0'] pred:[ 2.4155564 48.078007  22.652164  26.798304   1.324871 ]
sedan4door_-20_0_-40_40_0_40_80_450 gt:['-20', '0', '-40', '40', '0'] pred:[21.762215   4.2831154 46.624184  45.564465   3.0477424]
sedan2door_-20_40_-40_0_20_40_40_450 gt:['-20', '40', '-40', '0', '20'] pred:[18.421371 40.        8.860793  0.       17.816069]
suv_-20_40_0_40_20_80_80_400 gt:['-20', '40', '0', '40', '20'] pred:[15.042726  44.804497   5.1747584 41.89183   20.       ]
sedan4door_0_20_-20_40_20_320_20_400 gt:['0', '20', '-20', '40', '20'] pred:[ 2.3541052 20.        16.1696    40.        17.61767  ]
