hatchback_-30_23_-4_35_15_140_70_420:gt ['-30', '23', '-4', '35', '15']:pred [15.760828  14.163528   4.        22.537062   5.9635487]
hybrid_-50_15_-4_35_46_20_70_420:gt ['-50', '15', '-4', '35', '46']:pred [33.589787  8.373889  4.       35.       22.53409 ]
hybrid_-50_15_-36_35_15_140_70_420:gt ['-50', '15', '-36', '35', '15']:pred [39.939133 16.832323 36.       35.        8.331204]
sedan4door_-17_23_-4_10_28_140_30_420:gt ['-17', '23', '-4', '10', '28']:pred [17.        17.052542   4.         3.8274958 28.       ]
sedan2door_-50_45_-36_35_46_140_70_420:gt ['-50', '45', '-36', '35', '46']:pred [33.435177 38.24754  36.       35.       16.217266]
sedan4door_-17_45_-36_10_15_50_30_420:gt ['-17', '45', '-36', '10', '15']:pred [15.868537 45.       46.884693 10.       15.      ]
hatchback_-30_45_-22_48_15_20_30_420:gt ['-30', '45', '-22', '48', '15']:pred [17.941668 45.       21.022177 48.       13.766386]
hatchback_-30_23_-22_48_15_50_30_420:gt ['-30', '23', '-22', '48', '15']:pred [37.391502 23.       39.99565  48.       15.      ]
hybrid_-50_15_-22_35_28_20_70_420:gt ['-50', '15', '-22', '35', '28']:pred [32.739685  8.460133 22.       35.       15.821244]
sedan4door_-17_15_-36_10_46_20_70_420:gt ['-17', '15', '-36', '10', '46']:pred [13.364724  7.72081  38.22381  10.       14.6718  ]
hatchback_-17_23_-4_35_46_140_30_420:gt ['-17', '23', '-4', '35', '46']:pred [17.       23.472324  4.       24.841831 46.      ]
hybrid_-30_45_-22_10_46_140_70_420:gt ['-30', '45', '-22', '10', '46']:pred [30.651495 31.562086 22.       10.       30.515978]
sedan2door_-17_15_-22_35_28_20_70_420:gt ['-17', '15', '-22', '35', '28']:pred [ 7.935316 11.704683 22.       35.       16.527868]
sedan2door_-30_15_-36_48_46_230_70_420:gt ['-30', '15', '-36', '48', '46']:pred [ 7.6616397 13.497196  36.        48.        24.881987 ]
sedan2door_-50_23_-4_10_28_140_30_420:gt ['-50', '23', '-4', '10', '28']:pred [50.       26.634123  4.       10.       28.      ]
hatchback_-30_15_-4_48_28_140_70_420:gt ['-30', '15', '-4', '48', '28']:pred [22.533424 10.897905 16.117332 31.705545 15.579234]
sedan2door_-17_23_-4_35_15_230_70_420:gt ['-17', '23', '-4', '35', '15']:pred [ 3.0313928 26.2259     4.        35.         9.485603 ]
hybrid_-17_45_-4_35_15_20_70_420:gt ['-17', '45', '-4', '35', '15']:pred [ 6.39669   32.89132    4.        35.         7.9959645]
hybrid_-17_15_-36_35_46_230_30_420:gt ['-17', '15', '-36', '35', '46']:pred [17.       10.192482 36.       35.       49.526344]
sedan4door_-17_23_-36_10_46_20_30_420:gt ['-17', '23', '-36', '10', '46']:pred [13.084957 23.       45.201794 10.       22.312708]
hybrid_-17_23_-22_10_15_50_30_420:gt ['-17', '23', '-22', '10', '15']:pred [10.387652 23.       22.       10.       15.      ]
sedan4door_-17_23_-36_48_46_230_70_420:gt ['-17', '23', '-36', '48', '46']:pred [ 5.408092 38.32009  40.228287 42.567127 19.01577 ]
sedan4door_-50_45_-36_35_46_140_70_420:gt ['-50', '45', '-36', '35', '46']:pred [37.87419  30.12033  36.       45.627884 22.234896]
sedan4door_-30_15_-36_48_28_20_70_420:gt ['-30', '15', '-36', '48', '28']:pred [25.291538 29.197666 40.707203 37.68637  12.689298]
hybrid_-50_23_-22_35_46_50_30_420:gt ['-50', '23', '-22', '35', '46']:pred [39.673145 23.       22.       35.       46.      ]
hatchback_-30_23_-4_10_46_50_30_420:gt ['-30', '23', '-4', '10', '46']:pred [29.10992  23.        5.994949 10.       46.      ]
suv_-30_23_-36_10_46_50_70_420:gt ['-30', '23', '-36', '10', '46']:pred [19.482946 30.112017 32.494473 10.       27.824564]
sedan2door_-17_23_-22_10_28_20_30_420:gt ['-17', '23', '-22', '10', '28']:pred [13.377063 23.       22.       10.       29.164045]
hatchback_-50_15_-22_48_46_140_70_420:gt ['-50', '15', '-22', '48', '46']:pred [34.216213 13.898229 22.32712  33.528305 22.671394]
sedan2door_-17_45_-36_48_28_50_30_420:gt ['-17', '45', '-36', '48', '28']:pred [24.18387  45.       36.       48.       11.578933]
hybrid_-17_23_-22_35_46_50_70_420:gt ['-17', '23', '-22', '35', '46']:pred [14.057944 34.291252 22.       35.       27.643549]
hatchback_-50_23_-36_10_28_230_70_420:gt ['-50', '23', '-36', '10', '28']:pred [33.29565  34.51987  43.67472  27.582056 16.963638]
hatchback_-50_15_-4_35_46_50_30_420:gt ['-50', '15', '-4', '35', '46']:pred [40.756042 15.       15.261475 35.       46.      ]
suv_-30_23_-4_10_28_230_30_420:gt ['-30', '23', '-4', '10', '28']:pred [30.       16.921936  4.        6.748128 30.861609]
sedan4door_-17_23_-22_10_46_20_70_420:gt ['-17', '23', '-22', '10', '46']:pred [13.491853 15.417464 28.307478 10.       17.353928]
sedan2door_-17_45_-36_35_15_140_70_420:gt ['-17', '45', '-36', '35', '15']:pred [20.737703 32.278347 36.       35.       15.126717]
hatchback_-17_15_-22_48_46_50_30_420:gt ['-17', '15', '-22', '48', '46']:pred [22.954737 15.       42.960148 48.       46.      ]
sedan2door_-17_23_-36_10_28_50_70_420:gt ['-17', '23', '-36', '10', '28']:pred [14.94422  31.790754 36.       10.       22.426363]
sedan4door_-50_23_-4_10_46_230_30_420:gt ['-50', '23', '-4', '10', '46']:pred [50.       18.855995  4.        7.529852 53.2176  ]
hatchback_-17_15_-4_10_46_230_70_420:gt ['-17', '15', '-4', '10', '46']:pred [ 9.650464 23.153587 32.327858 20.742338 32.940445]
hatchback_-30_15_-4_10_46_230_70_420:gt ['-30', '15', '-4', '10', '46']:pred [25.47452  21.209185 36.394558 22.519598 32.192554]
sedan4door_-17_45_-22_35_15_140_30_420:gt ['-17', '45', '-22', '35', '15']:pred [17.       31.301847 22.       19.195675 15.      ]
hatchback_-17_23_-4_10_28_20_70_420:gt ['-17', '23', '-4', '10', '28']:pred [ 7.88894  17.657784 11.861459 10.       19.638401]
sedan2door_-50_15_-36_35_15_140_30_420:gt ['-50', '15', '-36', '35', '15']:pred [50.       14.080961 36.       35.       15.      ]
suv_-30_15_-4_48_28_140_70_420:gt ['-30', '15', '-4', '48', '28']:pred [27.33627  14.467847  4.       28.053946 13.896083]
hatchback_-50_45_-22_48_15_20_70_420:gt ['-50', '45', '-22', '48', '15']:pred [36.99766  32.221962 32.522694 48.       17.385653]
hatchback_-17_23_-4_48_28_20_70_420:gt ['-17', '23', '-4', '48', '28']:pred [ 8.541467 21.545559 11.652503 39.27205  20.662458]
sedan4door_-50_23_-4_35_15_140_30_420:gt ['-50', '23', '-4', '35', '15']:pred [50.       19.112106  4.       31.91022  15.      ]
suv_-30_23_-4_48_46_140_70_420:gt ['-30', '23', '-4', '48', '46']:pred [29.170916 16.629343  4.       32.098553 23.304071]
hatchback_-50_15_-22_35_46_140_70_420:gt ['-50', '15', '-22', '35', '46']:pred [35.37489  12.171569 19.707947 25.689531 25.12515 ]
hatchback_-50_23_-36_35_15_140_30_420:gt ['-50', '23', '-36', '35', '15']:pred [50.       26.74908  36.       22.047604 15.      ]
hatchback_-30_15_-22_48_15_20_30_420:gt ['-30', '15', '-22', '48', '15']:pred [21.02718  15.       21.308376 48.       12.451275]
sedan4door_-30_23_-36_35_28_50_70_420:gt ['-30', '23', '-36', '35', '28']:pred [17.009958 34.13919  35.985527 35.       15.753937]
hybrid_-50_45_-36_48_15_230_30_420:gt ['-50', '45', '-36', '48', '15']:pred [50.       35.163807 36.       48.       24.230707]
sedan2door_-30_15_-36_35_15_230_30_420:gt ['-30', '15', '-36', '35', '15']:pred [30.         7.6598363 36.        35.        12.465307 ]
hatchback_-17_15_-22_10_28_20_30_420:gt ['-17', '15', '-22', '10', '28']:pred [13.489073 15.       26.465635 10.       29.766949]
suv_-50_23_-4_48_46_50_70_420:gt ['-50', '23', '-4', '48', '46']:pred [27.695053 26.765255 22.546707 48.       29.533602]
sedan2door_-30_23_-36_48_15_50_30_420:gt ['-30', '23', '-36', '48', '15']:pred [42.536648 23.       36.       48.       15.      ]
hatchback_-30_45_-4_48_28_230_70_420:gt ['-30', '45', '-4', '48', '28']:pred [24.473099 37.9888   37.011932 41.375908 17.74286 ]
hybrid_-30_45_-36_48_28_50_30_420:gt ['-30', '45', '-36', '48', '28']:pred [29.03516  45.       36.       48.       12.565721]
sedan4door_-17_23_-36_35_15_20_30_420:gt ['-17', '23', '-36', '35', '15']:pred [12.753273 23.       44.733055 35.       17.337175]
hatchback_-17_23_-4_10_28_140_30_420:gt ['-17', '23', '-4', '10', '28']:pred [17.       27.350988  4.        3.983864 28.      ]
hybrid_-17_45_-4_48_28_50_70_420:gt ['-17', '45', '-4', '48', '28']:pred [16.587605 37.540897  4.       48.       13.362553]
sedan2door_-50_15_-4_10_15_50_70_420:gt ['-50', '15', '-4', '10', '15']:pred [29.868515 19.480816  4.       10.       16.036795]
sedan4door_-50_23_-22_48_15_140_30_420:gt ['-50', '23', '-22', '48', '15']:pred [50.       19.188305 22.       27.141064 15.      ]
sedan4door_-50_45_-36_35_15_50_30_420:gt ['-50', '45', '-36', '35', '15']:pred [39.52764  45.       50.441326 35.       15.      ]
hybrid_-17_15_-22_48_15_50_30_420:gt ['-17', '15', '-22', '48', '15']:pred [10.129064 15.       22.       48.       15.      ]
hybrid_-50_15_-22_35_28_140_70_420:gt ['-50', '15', '-22', '35', '28']:pred [43.906834 16.377968 22.       35.       21.798157]
suv_-17_45_-4_35_28_20_70_420:gt ['-17', '45', '-4', '35', '28']:pred [17.44722  35.543358 13.888344 35.       26.314154]
sedan4door_-50_23_-36_48_15_230_70_420:gt ['-50', '23', '-36', '48', '15']:pred [27.747623  37.170647  46.667225  48.44179    5.1887393]
hybrid_-17_23_-22_48_15_20_30_420:gt ['-17', '23', '-22', '48', '15']:pred [ 9.575011 23.       22.       48.        5.804791]
sedan4door_-50_23_-22_48_28_230_30_420:gt ['-50', '23', '-22', '48', '28']:pred [50.        8.106337 22.       36.12491  45.389008]
hybrid_-17_23_-4_35_15_140_70_420:gt ['-17', '23', '-4', '35', '15']:pred [15.062422  13.348261   4.        35.         7.2542086]
sedan2door_-30_15_-4_10_15_230_30_420:gt ['-30', '15', '-4', '10', '15']:pred [30.        8.118918  4.       10.       13.579671]
hybrid_-17_15_-4_35_28_230_70_420:gt ['-17', '15', '-4', '35', '28']:pred [11.437393 20.58522   4.       35.       17.538263]
hatchback_-17_45_-22_35_28_230_30_420:gt ['-17', '45', '-22', '35', '28']:pred [17.       37.071854 22.       41.043774 34.46866 ]
sedan2door_-30_23_-36_10_28_20_70_420:gt ['-30', '23', '-36', '10', '28']:pred [24.031635 22.99822  36.       10.       16.600874]
hybrid_-17_15_-36_48_15_50_70_420:gt ['-17', '15', '-36', '48', '15']:pred [12.592379  21.489502  36.        48.         7.2816935]
sedan4door_-30_23_-22_48_28_230_70_420:gt ['-30', '23', '-22', '48', '28']:pred [15.393519 36.548973 38.3741   47.52456  11.384201]
sedan2door_-30_45_-36_48_46_230_30_420:gt ['-30', '45', '-36', '48', '46']:pred [30.       33.02754  36.       48.       37.320282]
hatchback_-30_23_-36_10_28_20_30_420:gt ['-30', '23', '-36', '10', '28']:pred [20.159515 23.       35.046047 10.       28.021107]
sedan4door_-50_23_-36_48_15_20_70_420:gt ['-50', '23', '-36', '48', '15']:pred [33.407516 20.642462 41.89273  48.        7.413452]
suv_-30_45_-36_48_15_50_30_420:gt ['-30', '45', '-36', '48', '15']:pred [33.219955 45.       51.434704 48.       15.      ]
hatchback_-50_23_-4_48_46_140_70_420:gt ['-50', '23', '-4', '48', '46']:pred [33.668392 19.363882 16.037888 30.060028 22.42131 ]
hatchback_-30_23_-22_35_28_50_70_420:gt ['-30', '23', '-22', '35', '28']:pred [18.550007 28.12782  29.27668  35.       27.217419]
sedan2door_-30_23_-36_10_28_50_70_420:gt ['-30', '23', '-36', '10', '28']:pred [24.624008 23.619392 36.       10.       21.946726]
sedan2door_-50_15_-4_48_46_50_70_420:gt ['-50', '15', '-4', '48', '46']:pred [29.57732  15.663798 32.09484  48.       19.31219 ]
suv_-50_15_-36_35_28_20_70_420:gt ['-50', '15', '-36', '35', '28']:pred [30.932594 23.56862  45.49439  35.       25.679377]
sedan2door_-50_15_-22_48_46_20_30_420:gt ['-50', '15', '-22', '48', '46']:pred [37.77927  15.       22.       48.       45.463146]
suv_-30_23_-4_48_46_50_30_420:gt ['-30', '23', '-4', '48', '46']:pred [25.20733  23.        9.956019 48.       39.271336]
hatchback_-50_15_-36_35_28_20_30_420:gt ['-50', '15', '-36', '35', '28']:pred [34.974144 15.       38.974888 35.       31.087193]
sedan4door_-17_15_-36_10_28_50_30_420:gt ['-17', '15', '-36', '10', '28']:pred [16.659464 15.       44.100857 10.       28.      ]
sedan4door_-17_15_-4_10_28_140_70_420:gt ['-17', '15', '-4', '10', '28']:pred [26.74381    8.569163   4.         8.739731  12.4155035]
sedan2door_-17_45_-4_35_15_230_30_420:gt ['-17', '45', '-4', '35', '15']:pred [17.      33.84738  4.      35.      19.02045]
hatchback_-17_15_-22_10_46_230_70_420:gt ['-17', '15', '-22', '10', '46']:pred [ 8.248914 22.011936 38.879242 20.063738 33.139923]
sedan2door_-30_15_-36_10_15_230_70_420:gt ['-30', '15', '-36', '10', '15']:pred [ 7.4996567 18.037247  36.        10.         7.6299996]
sedan4door_-50_45_-36_35_15_50_70_420:gt ['-50', '45', '-36', '35', '15']:pred [32.721424 43.305473 40.30771  35.       10.684194]
hybrid_-30_15_-22_10_28_140_70_420:gt ['-30', '15', '-22', '10', '28']:pred [30.792858 15.746224 22.       10.       23.953176]
sedan2door_-30_23_-22_48_46_50_30_420:gt ['-30', '23', '-22', '48', '46']:pred [40.944702 23.       22.       48.       46.      ]
suv_-50_15_-4_10_15_140_30_420:gt ['-50', '15', '-4', '10', '15']:pred [50.       17.826492  4.        5.757066 15.      ]
hybrid_-50_45_-4_10_28_140_70_420:gt ['-50', '45', '-4', '10', '28']:pred [41.00129  33.659985  4.       10.       13.591473]
hybrid_-30_15_-36_48_28_140_30_420:gt ['-30', '15', '-36', '48', '28']:pred [30.       16.664534 36.       48.       28.      ]
hybrid_-30_15_-4_35_28_50_70_420:gt ['-30', '15', '-4', '35', '28']:pred [24.293594 17.256155  4.       35.       21.180101]
sedan4door_-50_23_-36_35_15_50_70_420:gt ['-50', '23', '-36', '35', '15']:pred [29.870049 33.892242 43.20874  35.       11.625769]
hatchback_-50_23_-22_35_15_140_30_420:gt ['-50', '23', '-22', '35', '15']:pred [50.       25.391811 22.       23.18646  15.      ]
hybrid_-17_23_-4_35_15_140_30_420:gt ['-17', '23', '-4', '35', '15']:pred [17.      23.26497  4.      35.      15.     ]
hatchback_-30_45_-36_48_46_50_70_420:gt ['-30', '45', '-36', '48', '46']:pred [16.539524 39.51134  41.03307  48.       29.636862]
hybrid_-30_23_-4_48_28_140_70_420:gt ['-30', '23', '-4', '48', '28']:pred [31.095984 20.404873  4.       48.       20.191105]
hybrid_-17_23_-22_10_28_230_70_420:gt ['-17', '23', '-22', '10', '28']:pred [11.928701 23.897236 22.       10.       19.760313]
suv_-17_15_-4_48_15_230_30_420:gt ['-17', '15', '-4', '48', '15']:pred [17.       12.136009  4.       42.895523 23.822672]
suv_-30_23_-4_10_15_50_30_420:gt ['-30', '23', '-4', '10', '15']:pred [27.376617  23.         7.4109564 10.        26.3248   ]
hatchback_-30_15_-36_48_46_20_70_420:gt ['-30', '15', '-36', '48', '46']:pred [12.495883 21.587332 40.671543 33.742878 30.456831]
hybrid_-50_23_-36_35_28_20_70_420:gt ['-50', '23', '-36', '35', '28']:pred [35.57244  14.198195 36.       35.       17.889091]
suv_-30_23_-22_48_28_230_70_420:gt ['-30', '23', '-22', '48', '28']:pred [ 6.742967 29.906    37.168358 37.02197  14.677639]
sedan4door_-30_45_-36_48_28_50_70_420:gt ['-30', '45', '-36', '48', '28']:pred [20.563257 42.015026 35.07301  48.       15.908097]
hatchback_-17_45_-36_10_46_140_70_420:gt ['-17', '45', '-36', '10', '46']:pred [12.728001 31.89276  19.300161 21.744286 38.789547]
hatchback_-30_23_-4_10_15_20_70_420:gt ['-30', '23', '-4', '10', '15']:pred [16.295198 21.98485  17.451057 10.        8.19672 ]
suv_-17_23_-36_10_28_230_70_420:gt ['-17', '23', '-36', '10', '28']:pred [ 2.2627254 34.770554  37.56634   19.805794  12.814613 ]
hatchback_-50_15_-22_48_28_230_30_420:gt ['-50', '15', '-22', '48', '28']:pred [50.        7.908251 22.       35.40776  42.413956]
hatchback_-50_23_-22_48_15_230_30_420:gt ['-50', '23', '-22', '48', '15']:pred [50.       12.230951 22.       37.949955 34.037865]
hatchback_-30_15_-36_35_15_20_70_420:gt ['-30', '15', '-36', '35', '15']:pred [ 9.975385 18.385878 42.677593 29.001966 16.279266]
sedan2door_-50_23_-36_35_46_140_30_420:gt ['-50', '23', '-36', '35', '46']:pred [50.      24.12117 36.      35.      46.     ]
sedan4door_-50_15_-4_10_28_230_30_420:gt ['-50', '15', '-4', '10', '28']:pred [50.         8.847276   4.         6.9193087 44.278046 ]
hybrid_-50_23_-4_10_28_20_70_420:gt ['-50', '23', '-4', '10', '28']:pred [35.814552 14.186464  4.       10.       18.627144]
sedan2door_-30_15_-36_48_15_20_70_420:gt ['-30', '15', '-36', '48', '15']:pred [25.15541  19.925785 36.       48.       20.757168]
sedan4door_-30_23_-22_48_28_140_30_420:gt ['-30', '23', '-22', '48', '28']:pred [30.       18.648705 22.       23.486303 28.      ]
hatchback_-50_23_-36_35_46_50_30_420:gt ['-50', '23', '-36', '35', '46']:pred [37.038353 23.       46.278503 35.       46.      ]
hybrid_-50_15_-4_10_28_230_70_420:gt ['-50', '15', '-4', '10', '28']:pred [38.54406  16.496906  4.       10.       15.890199]
hybrid_-30_15_-36_10_46_140_30_420:gt ['-30', '15', '-36', '10', '46']:pred [30.       12.969397 36.       10.       46.      ]
sedan2door_-30_45_-36_48_46_230_70_420:gt ['-30', '45', '-36', '48', '46']:pred [12.094688 33.776684 36.       48.       19.136621]
hatchback_-50_15_-4_48_15_140_30_420:gt ['-50', '15', '-4', '48', '15']:pred [50.       28.65873   4.       24.790115 15.      ]
hybrid_-50_15_-22_48_46_20_30_420:gt ['-50', '15', '-22', '48', '46']:pred [34.64932  15.       22.       48.       39.324142]
sedan4door_-17_15_-36_35_28_20_30_420:gt ['-17', '15', '-36', '35', '28']:pred [14.760587 15.       44.05578  35.       19.427105]
suv_-50_15_-22_48_15_230_30_420:gt ['-50', '15', '-22', '48', '15']:pred [50.       12.370372 22.       42.28282  23.154903]
sedan2door_-17_15_-36_10_15_230_70_420:gt ['-17', '15', '-36', '10', '15']:pred [ 3.0412934 18.90821   36.        10.         9.152713 ]
hatchback_-17_23_-36_48_15_230_30_420:gt ['-17', '23', '-36', '48', '15']:pred [17.       13.003932 36.       40.153355 35.282425]
sedan4door_-50_45_-4_48_15_20_30_420:gt ['-50', '45', '-4', '48', '15']:pred [34.087887 45.       20.413937 48.       24.727938]
suv_-30_23_-22_48_46_140_30_420:gt ['-30', '23', '-22', '48', '46']:pred [30.       26.011366 22.       25.951092 46.      ]
sedan2door_-50_45_-4_35_46_50_70_420:gt ['-50', '45', '-4', '35', '46']:pred [32.887753 37.731564  4.       35.       16.097406]
sedan4door_-17_15_-4_10_28_230_70_420:gt ['-17', '15', '-4', '10', '28']:pred [ 2.811115 22.876831 22.194304 17.550667 11.033456]
hatchback_-17_23_-22_48_15_230_30_420:gt ['-17', '23', '-22', '48', '15']:pred [17.       11.786198 22.       36.89413  34.441277]
hybrid_-17_23_-36_10_28_50_70_420:gt ['-17', '23', '-36', '10', '28']:pred [14.4137125 30.099277  36.        10.        13.254189 ]
suv_-17_23_-36_35_28_50_30_420:gt ['-17', '23', '-36', '35', '28']:pred [18.9377   23.       45.81279  35.       23.134995]
suv_-30_23_-4_10_46_230_30_420:gt ['-30', '23', '-4', '10', '46']:pred [30.       17.209724  4.        8.533967 47.411068]
sedan2door_-50_45_-22_10_15_50_30_420:gt ['-50', '45', '-22', '10', '15']:pred [45.420147 45.       46.181046 10.       18.203531]
suv_-30_15_-36_10_15_20_30_420:gt ['-30', '15', '-36', '10', '15']:pred [38.400505 15.       41.31154  10.       25.913326]
hybrid_-17_23_-36_10_46_20_30_420:gt ['-17', '23', '-36', '10', '46']:pred [ 8.672211 23.       36.       10.       37.54737 ]
hatchback_-17_15_-4_35_28_230_30_420:gt ['-17', '15', '-4', '35', '28']:pred [17.        9.059462  4.       35.967773 47.97146 ]
sedan2door_-30_45_-36_10_15_20_30_420:gt ['-30', '45', '-36', '10', '15']:pred [30.30053  45.       36.       10.       17.688675]
suv_-50_23_-4_35_46_50_70_420:gt ['-50', '23', '-4', '35', '46']:pred [28.518978 31.50818  20.458397 35.       25.954664]
sedan2door_-50_15_-4_10_28_140_70_420:gt ['-50', '15', '-4', '10', '28']:pred [39.28877  12.261192  4.       10.       18.424557]
hybrid_-17_23_-4_35_46_20_70_420:gt ['-17', '23', '-4', '35', '46']:pred [ 6.032011 19.041182 22.00201  35.       25.409414]
sedan4door_-17_45_-4_10_46_50_30_420:gt ['-17', '45', '-4', '10', '46']:pred [12.2843895 45.        10.014597  10.        31.0626   ]
hybrid_-30_15_-4_10_46_140_30_420:gt ['-30', '15', '-4', '10', '46']:pred [30.       11.746884  4.       10.       46.      ]
sedan2door_-50_23_-22_48_46_140_30_420:gt ['-50', '23', '-22', '48', '46']:pred [50.      25.24737 22.      48.      46.     ]
hybrid_-17_45_-36_48_28_20_30_420:gt ['-17', '45', '-36', '48', '28']:pred [ 9.864843 45.       36.       48.       19.697956]
sedan4door_-50_15_-22_10_28_140_30_420:gt ['-50', '15', '-22', '10', '28']:pred [50.       10.532657 22.        6.093482 28.      ]
hybrid_-30_15_-36_10_46_50_70_420:gt ['-30', '15', '-36', '10', '46']:pred [22.671963 20.312012 36.       10.       33.04284 ]
sedan4door_-30_23_-36_35_28_20_70_420:gt ['-30', '23', '-36', '35', '28']:pred [30.290157 30.804937 40.738438 32.35678  17.44448 ]
sedan2door_-17_15_-36_48_28_230_30_420:gt ['-17', '15', '-36', '48', '28']:pred [17.        6.554352 36.       48.       26.37798 ]
sedan4door_-50_45_-36_35_28_50_70_420:gt ['-50', '45', '-36', '35', '28']:pred [33.891212 44.709675 37.341263 35.       13.232292]
hatchback_-30_45_-4_35_28_20_70_420:gt ['-30', '45', '-4', '35', '28']:pred [20.375729 34.534378 17.679804 38.02435  20.015514]
hybrid_-17_15_-22_48_15_140_70_420:gt ['-17', '15', '-22', '48', '15']:pred [15.684931  9.86145  22.       48.        9.903462]
sedan4door_-17_45_-36_35_28_50_70_420:gt ['-17', '45', '-36', '35', '28']:pred [12.14252  44.3043   33.68324  35.       15.662171]
sedan2door_-50_45_-4_10_15_20_30_420:gt ['-50', '45', '-4', '10', '15']:pred [36.496944 45.        4.       10.       21.718048]
sedan2door_-30_23_-22_10_28_140_30_420:gt ['-30', '23', '-22', '10', '28']:pred [30.       25.507332 22.       10.       28.      ]
hatchback_-50_15_-36_35_28_50_70_420:gt ['-50', '15', '-36', '35', '28']:pred [27.916578 24.66947  35.79239  34.613167 19.526785]
sedan2door_-17_23_-36_10_15_230_70_420:gt ['-17', '23', '-36', '10', '15']:pred [ 2.9491155 27.515789  36.        10.        10.038921 ]
sedan4door_-30_15_-22_35_15_140_30_420:gt ['-30', '15', '-22', '35', '15']:pred [30.       12.059904 22.       21.685474 15.      ]
hatchback_-50_15_-4_10_46_230_70_420:gt ['-50', '15', '-4', '10', '46']:pred [34.26058  20.069347 38.840378 21.294619 30.336617]
sedan2door_-50_45_-4_35_15_20_30_420:gt ['-50', '45', '-4', '35', '15']:pred [36.437973 45.        4.       35.       20.878067]
hybrid_-50_15_-4_48_15_230_70_420:gt ['-50', '15', '-4', '48', '15']:pred [36.982414  18.11543    4.        48.         7.4824505]
sedan2door_-30_45_-36_10_46_20_70_420:gt ['-30', '45', '-36', '10', '46']:pred [30.593336 42.201332 36.       10.       29.165165]
sedan4door_-17_15_-4_35_15_230_70_420:gt ['-17', '15', '-4', '35', '15']:pred [ 2.190831  20.007868  32.00842   41.083122   3.4088576]
sedan4door_-50_45_-36_48_15_50_30_420:gt ['-50', '45', '-36', '48', '15']:pred [39.380985 45.       50.162666 48.       15.      ]
sedan2door_-50_23_-22_10_28_20_30_420:gt ['-50', '23', '-22', '10', '28']:pred [36.326797 23.       22.       10.       35.394886]
hatchback_-30_45_-36_10_46_20_70_420:gt ['-30', '45', '-36', '10', '46']:pred [13.435671 31.022161 39.09034  35.321716 31.836416]
sedan4door_-50_15_-22_48_46_20_30_420:gt ['-50', '15', '-22', '48', '46']:pred [33.70718 15.      36.62382 48.      29.06535]
hatchback_-17_15_-36_48_15_140_30_420:gt ['-17', '15', '-36', '48', '15']:pred [17.       24.994005 36.       27.751406 15.      ]
sedan2door_-17_15_-22_35_15_20_70_420:gt ['-17', '15', '-22', '35', '15']:pred [ 8.941906 13.411524 22.       35.       18.572922]
hybrid_-30_23_-36_35_28_20_30_420:gt ['-30', '23', '-36', '35', '28']:pred [27.440977 23.       36.       35.       19.19109 ]
hatchback_-50_23_-4_10_28_20_70_420:gt ['-50', '23', '-4', '10', '28']:pred [38.658863 16.925367 18.73998  10.       20.173733]
sedan2door_-17_45_-36_48_15_20_30_420:gt ['-17', '45', '-36', '48', '15']:pred [14.033796 45.       36.       48.       18.440477]
suv_-30_15_-22_48_28_20_70_420:gt ['-30', '15', '-22', '48', '28']:pred [28.483192 27.62326  42.808075 48.       28.592854]
sedan2door_-50_23_-4_35_28_20_70_420:gt ['-50', '23', '-4', '35', '28']:pred [28.50443  11.63984   4.       35.        9.800526]
hatchback_-50_45_-36_48_46_140_30_420:gt ['-50', '45', '-36', '48', '46']:pred [50.       41.8481   36.       39.071526 46.      ]
hybrid_-17_15_-4_35_28_140_70_420:gt ['-17', '15', '-4', '35', '28']:pred [20.65599  11.025158  4.       35.       25.308182]
hybrid_-17_15_-36_35_46_50_30_420:gt ['-17', '15', '-36', '35', '46']:pred [10.632698 15.       36.       35.       29.904448]
suv_-50_23_-22_35_46_230_30_420:gt ['-50', '23', '-22', '35', '46']:pred [50.       11.61606  22.       41.290688 51.95375 ]
hybrid_-50_23_-36_35_46_20_30_420:gt ['-50', '23', '-36', '35', '46']:pred [34.330494 23.       36.       35.       39.35639 ]
hybrid_-17_23_-4_10_28_230_70_420:gt ['-17', '23', '-4', '10', '28']:pred [11.87563  23.742956  4.       10.       20.155628]
sedan2door_-30_15_-36_35_46_230_30_420:gt ['-30', '15', '-36', '35', '46']:pred [30.         7.5378156 36.        35.        25.732801 ]
sedan4door_-50_15_-4_48_46_230_30_420:gt ['-50', '15', '-4', '48', '46']:pred [50.        8.41412   4.       39.159473 50.978443]
hybrid_-50_45_-22_10_46_20_30_420:gt ['-50', '45', '-22', '10', '46']:pred [35.522484 45.       22.       10.       38.454388]
hatchback_-17_15_-22_35_28_230_70_420:gt ['-17', '15', '-22', '35', '28']:pred [ 7.609947 20.126415 36.906536 32.935318 18.23514 ]
sedan2door_-50_23_-4_10_46_20_30_420:gt ['-50', '23', '-4', '10', '46']:pred [36.576996 23.        4.       10.       45.45703 ]
sedan2door_-30_15_-22_48_46_230_30_420:gt ['-30', '15', '-22', '48', '46']:pred [30.         7.8664246 22.        48.        25.085426 ]
sedan4door_-50_15_-36_48_15_140_30_420:gt ['-50', '15', '-36', '48', '15']:pred [50.       12.52824  36.       21.416744 15.      ]
suv_-17_45_-4_35_28_20_30_420:gt ['-17', '45', '-4', '35', '28']:pred [10.524571  45.         5.5657353 35.        34.688084 ]
