7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [ 9.269759   4.1059837  1.1479808 16.215416  44.8137   ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [ 4.1362376  8.4117775 40.        40.         8.303963 ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [41.503826 54.149193 16.036642 14.888184 57.25162 ]
a387407d49e209fdeea60824a43a0b_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [20.126036  19.38716    5.8020706 26.03803    5.4121227]
5ec3322293a39816ad7e7cea4034d226_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [36.98079   7.336025 20.       20.       18.050858]
5ec3322293a39816ad7e7cea4034d226_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [21.860977 11.808133 40.       20.        8.466423]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20.       24.349466  4.613568 10.896109 21.712692]
825fb860d71c78a477c771b4b7eed82c_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [ 4.481244  16.7364     0.7221652 40.        33.6858   ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [ 1.9851432 17.54374   20.        20.         2.7442958]
1a64bf1e658652ddb11647ffa4306609_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [26.075212  18.194645   6.4275064 37.267723  20.       ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [12.296096  30.59981    3.5944242 17.66266   34.055096 ]
4ac021653126a29e98618a1ba17f086b_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [24.055885   5.0498877  0.790552  15.133052  56.735733 ]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [ 0.88714695 13.188217    1.8128253   6.30393    24.23986   ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [ 4.3044863  6.0368357  4.4245095 11.000755  25.811249 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [ 9.701273  29.373262   3.0011907 27.350042  22.569647 ]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [ 2.385565   7.9264426  1.9503024 35.343124  40.217243 ]
d72ffa185738bccd10b75223b5be6dbb_40_40_20_20_20_160_80_400:gt ['40', '40', '20', '20', '20']:pred [ 2.6915271 11.26108   20.        20.        13.182917 ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [ 2.2712524   2.2704124  20.          0.11077953 34.419228  ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [ 7.214277 13.648578 20.       20.       10.958005]
6265f0745d3f40546bcd32c43682e841_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [ 8.812513   2.8837302 40.        20.        18.48341  ]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [ 2.5402758  5.1688905  1.3469512  6.528888  19.601475 ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [ 3.739593 14.578803 40.       40.       25.480145]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [10.098249 28.09216  20.       25.281342 52.647884]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [ 1.0233333  26.239332   22.959631    0.12383224 36.62476   ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.        41.3773    20.        10.9534025 53.900764 ]
a88d69e53a01aab9ff1370452e3a0154_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [ 8.211447  6.953664 13.636327 16.401505 13.569587]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [10.496579  8.194702 12.644127 18.016045 59.469715]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [20.         6.2155504 40.         8.472036   8.489297 ]
c61ec8875746ab78227375499b768057_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [38.814014 35.982353 22.998468  8.853001 39.411694]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [13.680469   2.5542343  2.8053837 11.112852  48.026302 ]
a387407d49e209fdeea60824a43a0b_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [25.472694 21.109093  9.453616 34.852764 10.245092]
1790131f5f74b1ed973aff268eb6b00c_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [ 5.592051  15.142736   1.7773474 18.540285  26.182495 ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [ 3.9902334  5.7545433 20.        20.        17.859652 ]
6265f0745d3f40546bcd32c43682e841_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [ 8.414127   3.1345797 40.        20.         8.804707 ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [ 3.3011005 20.68027    9.708048  14.2932415 52.21876  ]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_20_20_240_40_400:gt ['20', '40', '40', '20', '20']:pred [16.677778  35.78905    4.3038216 26.643192  20.828176 ]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [ 1.9694542 13.131011  20.        20.        11.808831 ]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [ 3.7127934 10.759966  40.        40.         6.8537397]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [11.725052 13.905416 40.       40.       40.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [16.489613 11.802185  5.151988 30.642635 55.866634]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.        10.930974  40.        20.         4.0045567]
216d910f71942f205df3c6413d40ccb2_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [10.812971 54.55351  10.141292 40.       17.216913]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [11.00475   52.293453   4.3404784 28.112272  32.626087 ]
1790131f5f74b1ed973aff268eb6b00c_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [ 1.020085  14.006346   1.6999259  4.762175  22.102512 ]
5e87b04efd58cc8922412d2a728de1d5_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [29.100712  30.986578   7.5363994 20.        20.       ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [10.575982  15.854484   3.2997754  6.5611873 29.854954 ]
1a64bf1e658652ddb11647ffa4306609_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [12.585104   5.3004203 20.        17.773542  57.774307 ]
d72ffa185738bccd10b75223b5be6dbb_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [ 5.1007237  7.297002   3.8863447 20.        16.738613 ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [25.53626    2.9845767 40.        20.        18.249191 ]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       37.253887 13.555069  6.463886 20.524721]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [14.223261  57.41695    6.3084035 20.        33.817776 ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [ 6.3015347 35.831383   6.329745  23.410957  23.06488  ]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [15.866336   7.8858356  5.4884777 11.341474  39.495758 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [5.507341  9.696317  9.310607  4.2892313 6.630162 ]
d0cf2f187acda5736be7348aa770e4ca_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [12.978952  41.44893    4.9733076 12.102535  56.177704 ]
c61ec8875746ab78227375499b768057_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [14.101459 23.72744   9.281675 40.       20.      ]
9d2b7938d426633b28044fe9244db50a_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [ 0.9424508   0.07080211 40.         40.          6.650752  ]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [5.353651  9.978569  8.536459  4.31104   7.6815195]
5ec3322293a39816ad7e7cea4034d226_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [30.336746  9.70315  40.       20.       40.      ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.         6.716563  20.         8.968998   7.2658353]
cde88b5900e8dfba725a7749daae1afa_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [22.91409 19.21997 20.      20.      20.     ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.         7.057829   5.5177426  7.155954  17.00165  ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [ 2.3732977  9.49148    5.6447206  1.7445754 14.032187 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [ 2.8629997 13.1185     2.1101325  5.9563704 33.853554 ]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [3.3393378e+00 2.0010691e+00 4.0000000e+01 3.6502261e-02 2.8373735e+01]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [ 3.3850312  7.8835263  6.2334476  6.262651  54.380783 ]
825fb860d71c78a477c771b4b7eed82c_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [ 5.016546   3.3422883 40.        20.        15.715354 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [10.061387  13.8661375 20.        40.        24.261612 ]
216d910f71942f205df3c6413d40ccb2_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [ 4.3353148  6.4455366  2.0242212 10.485424  57.81472  ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [ 1.7616514  4.2520823  8.479876   3.6683784 51.15348  ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [ 3.8421772  7.1243324  1.7048347 15.101987  31.106976 ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [16.502815  11.1582985  3.2200642 20.        14.025889 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [13.571401  2.258151  2.77551  11.794292 44.971287]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [10.558096  21.995384   2.7429852 12.911633  26.05564  ]
5ec3322293a39816ad7e7cea4034d226_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [28.658564 15.377206 40.       20.        9.82494 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_40_20_40_240_80_400:gt ['40', '40', '40', '20', '40']:pred [12.516281  7.882715 40.       20.       57.27666 ]
1790131f5f74b1ed973aff268eb6b00c_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [20.         8.271668  20.        12.1503    10.2648325]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [ 9.525269  8.084825 40.       40.       47.19988 ]
425ba801e904cb50f3aaed7e86215c7b_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [ 2.2999928   2.641894   40.          0.11387772 33.67648   ]
a115d534edec6f89afe1d4530f4c6e24_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [11.68471  11.429129 20.       20.       50.443226]
d0cf2f187acda5736be7348aa770e4ca_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [13.075769 44.43875   4.95575  11.66309  55.535496]
7c46bfff2f90f11044592db9be5db5c8_40_40_40_20_20_80_80_400:gt ['40', '40', '40', '20', '20']:pred [10.890983  10.4418     1.5020605 34.794155  45.678505 ]
1790131f5f74b1ed973aff268eb6b00c_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [ 1.3574306 15.666473   2.5393302  7.097118  20.278746 ]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [ 1.1953539 18.894184  40.        20.        12.778946 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [ 8.673667   4.206984   1.1869351 18.980686  33.0827   ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [23.651556  10.001353   3.0458717 40.        15.81617  ]
4458ed2a746e61a3b11647ffa4306609_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       12.130444 20.       11.248148 32.37241 ]
216d910f71942f205df3c6413d40ccb2_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [12.485196  12.752069   2.2420924 35.670403  44.32724  ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [ 1.497226 27.537653 40.       40.        5.234627]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [21.966343  6.135004 40.       20.       20.      ]
825fb860d71c78a477c771b4b7eed82c_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [ 3.8362741  6.002414   7.637508  10.257048  46.56007  ]
c61ec8875746ab78227375499b768057_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       21.524807 40.       14.765529  7.611576]
4ac021653126a29e98618a1ba17f086b_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [19.712921  5.350742  1.124308 40.       51.813004]
ffe0a5b165461eb66a2345809e2bb169_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [ 2.609963   5.412637   1.1537135  8.010829  23.281708 ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [ 8.124305 15.252893 40.       20.       38.155544]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.        2.825502  6.093386 15.230635 15.058553]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [30.938166 32.303215 40.       31.089499 59.850113]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [ 3.082325 43.965446 20.948711  5.791737 15.423995]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [ 7.01315   10.2511425 20.        20.         4.593381 ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [ 4.4139075  5.1455603  1.7058072  9.596728  24.738398 ]
4ac021653126a29e98618a1ba17f086b_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [ 7.291459   6.1768336  1.4632881 12.512743  57.328865 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       49.972942 20.       22.961678 55.955486]
c4941d6a2266813c3a2b1a2e5e169910_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [20.        30.486897  20.         5.3636093  5.5158696]
9d2b7938d426633b28044fe9244db50a_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 0.9865338   0.06896973 40.         20.          6.405453  ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [ 2.0490148  3.4659297  8.926803   3.8541994 51.79997  ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [ 2.552677    2.8632772   2.5697687   0.32472184 25.215437  ]
a387407d49e209fdeea60824a43a0b_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 2.3819473 12.923431  15.953377   8.287235  17.262508 ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [ 6.075811  8.166498  8.846117 13.920212 59.250362]
4458ed2a746e61a3b11647ffa4306609_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [12.975662 18.951084  5.169464 25.366646 38.727875]
9c827e532de4967285089a13cc567dbd_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [12.092357 54.083546 11.38896  25.018925 54.19692 ]
4ac021653126a29e98618a1ba17f086b_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [ 7.6395464  3.4766898  2.377375  10.167563  56.37058  ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [ 3.8399403  7.6366076 40.        40.        35.03884  ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [ 7.343929   6.813145   4.1658387  4.7341824 27.653952 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [11.676549  12.15494    5.3086085 19.592758  21.96471  ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [28.913137 28.321396 10.148396 40.       59.55613 ]
216d910f71942f205df3c6413d40ccb2_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [ 9.382145  11.652535   1.5143154 33.31779   42.260807 ]
9d2b7938d426633b28044fe9244db50a_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [ 1.0007181   0.07196379 20.         40.          6.95891   ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       14.487206 40.       23.59532  58.932243]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_40_20_240_40_400:gt ['20', '20', '20', '40', '20']:pred [ 5.1023197  9.819545  20.        12.819603  20.473343 ]
5e87b04efd58cc8922412d2a728de1d5_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [ 6.187905  12.659462   2.2974539  7.6145215 13.926635 ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [ 6.1821566  7.9901495  5.6383963 17.597713  40.716873 ]
aa9f41bc3925ffc4be9358e8c18dc481_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.         4.3518147 40.         7.753603  21.262045 ]
4f17af1ca7ae689d409b2c4484d833cc_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [ 8.946782  39.772724   3.8354394  1.7596785 46.101276 ]
b9786e1b059a1712ca92a4cdad802b45_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [ 6.2669606 18.246756   5.0402555 40.         5.832415 ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [22.028055  45.066048  12.614941   2.9389718 16.484253 ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [ 5.7564573 10.479278   7.6274085  8.865347  43.527046 ]
d72ffa185738bccd10b75223b5be6dbb_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.         3.8315468 20.        40.        12.529262 ]
a88d69e53a01aab9ff1370452e3a0154_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [24.989792  5.961426 10.72691  40.       20.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [ 1.5058678  9.305124   2.794569  20.        29.81713  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [ 4.131799 49.376026 14.701678  7.807608 35.03729 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [ 9.979709  4.171532  6.28661  20.       28.50285 ]
9d2b7938d426633b28044fe9244db50a_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [ 2.4148667   0.16469285 20.         20.          6.213591  ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [18.710882  22.83381    2.5638027 20.        57.067852 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [15.726224   4.9340863  8.434802  20.        20.       ]
5e87b04efd58cc8922412d2a728de1d5_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.        10.957608   3.7655094 16.855001  22.67431  ]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       46.849625 20.       44.502583 55.290085]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [ 4.223736 17.044218 40.       40.       31.231045]
9d2b7938d426633b28044fe9244db50a_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [ 2.0219545   0.11875764 40.         40.          3.1714172 ]
ffe0a5b165461eb66a2345809e2bb169_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [ 8.889168  18.545553   2.2556624 12.434201  53.063538 ]
c61ec8875746ab78227375499b768057_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [13.068625 12.535053  4.391755 40.       14.385162]
216d910f71942f205df3c6413d40ccb2_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [ 2.6370864 29.757593   4.9824553 20.        23.61581  ]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       10.357739 20.       14.62884  14.800334]
4458ed2a746e61a3b11647ffa4306609_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [10.534889   7.6776347  5.5474353 12.2703905  9.962779 ]
5ec3322293a39816ad7e7cea4034d226_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [13.295718   4.0068383 40.        40.        10.333852 ]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [20.        10.58901   40.        12.556789   9.2974825]
b9786e1b059a1712ca92a4cdad802b45_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [11.65441   48.34392   16.911766   2.5935435 23.668776 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [ 3.9312973 17.454052   2.7992206  4.271511  38.973557 ]
216d910f71942f205df3c6413d40ccb2_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [11.024107   6.4120283  3.2078738  8.7829    18.57387  ]
9c827e532de4967285089a13cc567dbd_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [11.969521 36.817177  7.133342 14.987565 45.396896]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [ 1.3666589 11.4831085  0.5291896  3.897235  22.27628  ]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [ 9.14819    5.9833302 20.        40.        52.736828 ]
6265f0745d3f40546bcd32c43682e841_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [ 3.1893773  4.1115975 40.        40.         6.2762227]
d2592adba4e8e62648368c1a2f71c5f3_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [16.244698  29.773373   8.5369005 22.388113  58.885033 ]
fabcb04fc015f822ca8bf2993ca245b_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [13.318117  37.183537   4.4813995 18.165445  20.064526 ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [11.490955 48.734528 14.958961 16.147848 53.384438]
6265f0745d3f40546bcd32c43682e841_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [ 3.1306522  4.2083664 40.        40.         6.229335 ]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.        7.921131  8.945489  4.110279 26.335821]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [ 5.495283   6.7880535  2.8093681  8.44722   11.442975 ]
4ac021653126a29e98618a1ba17f086b_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [10.734813   3.5642421  0.5631417 10.254976  54.76303  ]
