suv_-30_15_-4_10_15_140_30_420:gt ['-30', '15', '-4', '10', '15']:pred [30.        10.4353075  4.         8.330314  15.       ]
hatchback_-30_45_-36_10_15_50_30_420:gt ['-30', '45', '-36', '10', '15']:pred [22.766785 45.       27.007973 10.       15.      ]
suv_-30_15_-4_35_15_140_70_420:gt ['-30', '15', '-4', '35', '15']:pred [34.990887 17.697126  4.       19.96     22.003992]
hybrid_-17_23_-22_10_15_50_30_420:gt ['-17', '23', '-22', '10', '15']:pred [25.068314 23.       22.       10.       15.      ]
sedan2door_-17_23_-4_35_28_50_30_420:gt ['-17', '23', '-4', '35', '28']:pred [29.165073 23.        4.       35.       28.      ]
sedan2door_-30_23_-22_35_46_20_70_420:gt ['-30', '23', '-22', '35', '46']:pred [28.060995 13.178232 22.       35.       31.825794]
sedan2door_-30_45_-36_48_46_230_30_420:gt ['-30', '45', '-36', '48', '46']:pred [30.       47.860138 36.       48.       27.12607 ]
sedan2door_-30_23_-36_35_28_230_70_420:gt ['-30', '23', '-36', '35', '28']:pred [37.616432 25.065895 36.       35.       30.540611]
hatchback_-50_23_-22_35_28_140_30_420:gt ['-50', '23', '-22', '35', '28']:pred [50.       20.995472 22.       18.748106 28.      ]
sedan4door_-17_45_-4_10_15_50_30_420:gt ['-17', '45', '-4', '10', '15']:pred [16.421331 45.       14.930625 10.       15.      ]
hybrid_-50_23_-22_10_28_20_70_420:gt ['-50', '23', '-22', '10', '28']:pred [32.837612 25.162998 22.       10.       26.692394]
hybrid_-50_23_-22_10_46_50_70_420:gt ['-50', '23', '-22', '10', '46']:pred [32.362637 23.960434 22.       10.       25.36249 ]
sedan2door_-30_45_-22_35_46_140_30_420:gt ['-30', '45', '-22', '35', '46']:pred [30.      35.69118 22.      35.      46.     ]
hybrid_-30_23_-36_10_15_140_30_420:gt ['-30', '23', '-36', '10', '15']:pred [30.      16.22826 36.      10.      15.     ]
hatchback_-17_15_-22_10_15_230_30_420:gt ['-17', '15', '-22', '10', '15']:pred [17.        10.0364895 22.        12.362272  13.237807 ]
hatchback_-50_23_-4_10_15_230_70_420:gt ['-50', '23', '-4', '10', '15']:pred [37.533653  27.439142   5.2014074  7.7876573 13.675348 ]
hybrid_-30_45_-4_35_15_230_70_420:gt ['-30', '45', '-4', '35', '15']:pred [35.289494 34.4815    4.       35.       12.650324]
suv_-30_23_-36_48_28_20_70_420:gt ['-30', '23', '-36', '48', '28']:pred [29.17069  26.003    36.777622 48.       31.303726]
hybrid_-50_45_-4_10_15_230_30_420:gt ['-50', '45', '-4', '10', '15']:pred [50.       41.104465  4.       10.       15.607203]
sedan4door_-30_15_-36_10_46_140_30_420:gt ['-30', '15', '-36', '10', '46']:pred [30.        18.779602  36.         9.3515835 46.       ]
hatchback_-50_23_-22_10_46_20_70_420:gt ['-50', '23', '-22', '10', '46']:pred [32.313515 20.772457 27.734125 10.       37.807667]
sedan4door_-30_23_-36_10_46_20_30_420:gt ['-30', '23', '-36', '10', '46']:pred [29.473478 23.       39.521877 10.       25.013273]
sedan2door_-30_15_-4_48_28_230_70_420:gt ['-30', '15', '-4', '48', '28']:pred [36.466778 22.45505   4.       48.       31.127533]
hybrid_-17_23_-36_35_28_230_70_420:gt ['-17', '23', '-36', '35', '28']:pred [24.451315 19.83305  36.       35.       23.77669 ]
hybrid_-17_23_-36_10_15_20_70_420:gt ['-17', '23', '-36', '10', '15']:pred [24.086973 22.757143 36.       10.       21.976513]
sedan2door_-17_15_-36_10_15_230_70_420:gt ['-17', '15', '-36', '10', '15']:pred [23.944994 22.223692 36.       10.        5.512346]
suv_-17_23_-4_35_46_20_30_420:gt ['-17', '23', '-4', '35', '46']:pred [24.359842 23.       11.62556  35.       32.327473]
suv_-50_45_-4_10_28_20_30_420:gt ['-50', '45', '-4', '10', '28']:pred [37.70271  45.       20.70079  10.       26.862173]
hybrid_-17_15_-22_10_15_230_30_420:gt ['-17', '15', '-22', '10', '15']:pred [17.       10.573842 22.       10.       14.213028]
sedan4door_-30_23_-36_35_28_230_70_420:gt ['-30', '23', '-36', '35', '28']:pred [38.569775 19.65911  34.48238  28.543705 31.849325]
hybrid_-17_45_-22_35_15_50_70_420:gt ['-17', '45', '-22', '35', '15']:pred [33.34931  15.179758 22.       35.       20.28325 ]
hybrid_-30_23_-22_10_15_230_70_420:gt ['-30', '23', '-22', '10', '15']:pred [34.188267 18.803202 22.       10.       12.728132]
sedan2door_-17_45_-4_10_28_230_70_420:gt ['-17', '45', '-4', '10', '28']:pred [29.32842  39.701694  4.       10.       29.21407 ]
suv_-30_45_-4_48_28_140_30_420:gt ['-30', '45', '-4', '48', '28']:pred [30.       33.646175  4.       34.742695 28.      ]
hatchback_-17_45_-4_35_15_140_30_420:gt ['-17', '45', '-4', '35', '15']:pred [17.       23.918558  4.       23.839386 15.      ]
suv_-30_15_-36_35_28_230_30_420:gt ['-30', '15', '-36', '35', '28']:pred [30.        8.747846 36.       28.864075 31.350897]
sedan4door_-50_23_-22_35_28_50_30_420:gt ['-50', '23', '-22', '35', '28']:pred [23.75214  23.       40.431995 35.       28.      ]
sedan4door_-30_15_-4_35_15_50_30_420:gt ['-30', '15', '-4', '35', '15']:pred [30.49956  15.       18.805483 35.       15.      ]
hybrid_-50_15_-4_35_46_20_70_420:gt ['-50', '15', '-4', '35', '46']:pred [32.77832  14.063069  4.       35.       34.46618 ]
sedan4door_-50_15_-36_10_28_50_30_420:gt ['-50', '15', '-36', '10', '28']:pred [23.924747 15.       38.76547  10.       28.      ]
hatchback_-50_45_-36_10_28_20_70_420:gt ['-50', '45', '-36', '10', '28']:pred [35.603043 21.280876 40.329517 10.       28.434864]
suv_-30_15_-36_35_28_50_30_420:gt ['-30', '15', '-36', '35', '28']:pred [28.177055 15.       37.14318  35.       28.      ]
sedan2door_-50_15_-4_48_46_140_70_420:gt ['-50', '15', '-4', '48', '46']:pred [27.38092  18.07808   4.       48.       26.133566]
suv_-17_15_-36_10_46_230_70_420:gt ['-17', '15', '-36', '10', '46']:pred [26.299286 16.183704 47.011482 19.548632 37.56374 ]
hybrid_-30_45_-22_10_46_50_70_420:gt ['-30', '45', '-22', '10', '46']:pred [34.702152 28.616404 22.       10.       25.517532]
suv_-30_45_-36_48_46_20_70_420:gt ['-30', '45', '-36', '48', '46']:pred [34.063923 27.93354  34.680252 48.       40.214443]
hatchback_-30_15_-36_10_28_50_70_420:gt ['-30', '15', '-36', '10', '28']:pred [28.10851  21.710884 28.5544   10.       15.333832]
suv_-50_23_-4_10_15_140_70_420:gt ['-50', '23', '-4', '10', '15']:pred [35.601288 18.170347  4.       12.547562 19.831532]
hybrid_-30_23_-22_10_46_20_30_420:gt ['-30', '23', '-22', '10', '46']:pred [36.79122  23.       22.       10.       27.863478]
sedan2door_-50_15_-36_10_15_20_30_420:gt ['-50', '15', '-36', '10', '15']:pred [32.778263 15.       36.       10.       16.878698]
suv_-50_45_-22_10_28_140_30_420:gt ['-50', '45', '-22', '10', '28']:pred [50.       32.771873 22.       17.191269 28.      ]
sedan4door_-30_45_-22_10_46_140_30_420:gt ['-30', '45', '-22', '10', '46']:pred [30.       37.211464 22.       19.436668 46.      ]
sedan2door_-30_15_-22_35_46_230_70_420:gt ['-30', '15', '-22', '35', '46']:pred [36.38253  21.379622 22.       35.       38.581417]
sedan2door_-30_15_-4_48_15_140_70_420:gt ['-30', '15', '-4', '48', '15']:pred [30.433147 18.048695  4.       48.       20.32353 ]
hatchback_-17_23_-22_10_28_50_30_420:gt ['-17', '23', '-22', '10', '28']:pred [16.987    23.       21.374361 10.       28.      ]
hatchback_-17_15_-22_35_28_230_70_420:gt ['-17', '15', '-22', '35', '28']:pred [23.64607  17.58482  30.241274 28.335594 26.884651]
hybrid_-30_45_-36_10_28_50_30_420:gt ['-30', '45', '-36', '10', '28']:pred [25.293022 45.       36.       10.       28.      ]
hybrid_-30_15_-36_10_28_230_30_420:gt ['-30', '15', '-36', '10', '28']:pred [30.        8.791486 36.       10.       32.942024]
suv_-30_23_-36_10_46_50_70_420:gt ['-30', '23', '-36', '10', '46']:pred [25.496513 24.19926  30.792446 10.       20.641417]
hatchback_-50_15_-22_35_15_230_30_420:gt ['-50', '15', '-22', '35', '15']:pred [50.         9.5858345 22.        22.781586  17.799152 ]
suv_-50_45_-36_35_28_230_70_420:gt ['-50', '45', '-36', '35', '28']:pred [41.987682 38.809006 33.487347 36.690674 30.953289]
suv_-17_45_-4_10_15_230_70_420:gt ['-17', '45', '-4', '10', '15']:pred [25.97938  37.695618 18.871416 19.921228 15.669925]
suv_-30_45_-36_35_46_50_70_420:gt ['-30', '45', '-36', '35', '46']:pred [26.88288  33.97519  26.788471 35.       20.412514]
sedan2door_-30_15_-4_35_46_230_70_420:gt ['-30', '15', '-4', '35', '46']:pred [35.850616 21.43722   4.       35.       38.67201 ]
hybrid_-50_45_-36_35_28_50_70_420:gt ['-50', '45', '-36', '35', '28']:pred [36.394997 32.329113 36.       35.       19.688099]
hybrid_-30_15_-4_48_46_50_30_420:gt ['-30', '15', '-4', '48', '46']:pred [30.084707 15.        4.       48.       46.      ]
sedan2door_-30_45_-36_35_28_140_30_420:gt ['-30', '45', '-36', '35', '28']:pred [30.       36.514294 36.       35.       28.      ]
sedan4door_-50_45_-22_35_15_20_30_420:gt ['-50', '45', '-22', '35', '15']:pred [32.77518  45.       24.34629  35.       22.108807]
hybrid_-50_45_-36_35_15_50_30_420:gt ['-50', '45', '-36', '35', '15']:pred [23.489437 45.       36.       35.       15.      ]
hybrid_-17_45_-22_48_28_20_30_420:gt ['-17', '45', '-22', '48', '28']:pred [19.889606 45.       22.       48.       29.790262]
hatchback_-50_15_-4_48_46_20_30_420:gt ['-50', '15', '-4', '48', '46']:pred [40.77471  15.       17.697697 48.       27.173489]
hatchback_-17_45_-36_48_46_230_30_420:gt ['-17', '45', '-36', '48', '46']:pred [17.       32.429146 36.       38.17785  34.421032]
hatchback_-17_15_-22_48_28_230_30_420:gt ['-17', '15', '-22', '48', '28']:pred [17.        8.506529 22.       35.45959  24.658329]
sedan4door_-17_45_-36_35_28_20_30_420:gt ['-17', '45', '-36', '35', '28']:pred [19.625744 45.       36.059265 35.       24.869108]
suv_-30_15_-36_10_28_20_30_420:gt ['-30', '15', '-36', '10', '28']:pred [37.561527 15.       35.350487 10.       15.948313]
sedan4door_-17_45_-4_48_46_230_30_420:gt ['-17', '45', '-4', '48', '46']:pred [17.       38.1822    4.       37.771706 37.917786]
sedan4door_-17_23_-22_48_15_140_30_420:gt ['-17', '23', '-22', '48', '15']:pred [17.       23.910671 22.       33.421604 15.      ]
sedan2door_-30_15_-4_48_15_230_30_420:gt ['-30', '15', '-4', '48', '15']:pred [30.        11.0430565  4.        48.        28.411503 ]
hybrid_-30_45_-22_48_15_20_30_420:gt ['-30', '45', '-22', '48', '15']:pred [25.685204 45.       22.       48.       33.221622]
hatchback_-17_15_-36_35_28_140_30_420:gt ['-17', '15', '-36', '35', '28']:pred [17.        9.853795 36.       16.4979   28.      ]
hybrid_-17_15_-36_48_15_230_70_420:gt ['-17', '15', '-36', '48', '15']:pred [25.740301 17.66275  36.       48.       12.315681]
suv_-50_23_-4_10_46_20_30_420:gt ['-50', '23', '-4', '10', '46']:pred [34.362495 23.       18.49245  10.       32.031338]
hatchback_-30_45_-36_48_28_140_30_420:gt ['-30', '45', '-36', '48', '28']:pred [30.       23.247309 36.       31.12036  28.      ]
sedan4door_-30_45_-22_10_15_230_70_420:gt ['-30', '45', '-22', '10', '15']:pred [41.02283   37.412712  26.854216  12.140401   4.9799166]
suv_-50_45_-22_35_15_50_30_420:gt ['-50', '45', '-22', '35', '15']:pred [30.411003 45.       18.113796 35.       15.      ]
sedan4door_-17_45_-36_48_28_140_70_420:gt ['-17', '45', '-36', '48', '28']:pred [33.554302 31.540743 36.       38.924644 26.256195]
hybrid_-17_23_-4_48_15_50_70_420:gt ['-17', '23', '-4', '48', '15']:pred [30.127213  6.935094  4.       48.       21.208578]
sedan2door_-30_15_-4_35_28_20_70_420:gt ['-30', '15', '-4', '35', '28']:pred [28.283947  9.10883   4.       35.       29.264187]
hybrid_-50_15_-36_10_15_230_30_420:gt ['-50', '15', '-36', '10', '15']:pred [50.        8.860342 36.       10.       17.62135 ]
sedan4door_-50_23_-4_10_15_140_70_420:gt ['-50', '23', '-4', '10', '15']:pred [30.254717  11.716116   4.        16.614998  12.7030115]
hatchback_-30_15_-4_35_15_50_70_420:gt ['-30', '15', '-4', '35', '15']:pred [30.206512 20.764162 24.741402 35.       15.217358]
hybrid_-30_45_-22_35_46_140_30_420:gt ['-30', '45', '-22', '35', '46']:pred [30.       36.963093 22.       35.       46.      ]
sedan4door_-50_15_-36_48_15_140_70_420:gt ['-50', '15', '-36', '48', '15']:pred [33.708088 21.163103 36.       34.33555  17.269024]
hatchback_-30_15_-4_48_28_230_70_420:gt ['-30', '15', '-4', '48', '28']:pred [37.038982 13.793626 13.805773 35.351864 27.209713]
suv_-30_45_-22_35_15_50_70_420:gt ['-30', '45', '-22', '35', '15']:pred [30.7111   25.206387 30.87269  35.       10.828702]
suv_-17_45_-22_35_28_230_30_420:gt ['-17', '45', '-22', '35', '28']:pred [17.       32.472145 22.       32.061382 26.629269]
suv_-50_23_-36_48_28_50_70_420:gt ['-50', '23', '-36', '48', '28']:pred [28.977423 28.803944 41.22386  48.       17.770775]
suv_-30_15_-36_48_15_140_70_420:gt ['-30', '15', '-36', '48', '15']:pred [33.48217  18.814465 36.       34.432518 22.721153]
suv_-30_15_-4_10_46_230_30_420:gt ['-30', '15', '-4', '10', '46']:pred [30.         5.0455256  4.        21.017849  33.613827 ]
hatchback_-30_45_-36_10_46_140_70_420:gt ['-30', '45', '-36', '10', '46']:pred [27.697803 33.913097 36.       24.85773  38.864964]
suv_-30_45_-36_10_28_140_30_420:gt ['-30', '45', '-36', '10', '28']:pred [30.       28.035385 36.       17.552347 28.      ]
sedan4door_-30_23_-36_35_28_50_30_420:gt ['-30', '23', '-36', '35', '28']:pred [24.01115 23.      36.70553 35.      28.     ]
sedan4door_-30_45_-36_48_46_50_70_420:gt ['-30', '45', '-36', '48', '46']:pred [35.060616 35.188686 28.631393 48.        9.92441 ]
sedan2door_-50_15_-36_10_15_230_70_420:gt ['-50', '15', '-36', '10', '15']:pred [35.43231  19.68031  36.       10.        4.491151]
sedan2door_-50_23_-36_10_46_230_70_420:gt ['-50', '23', '-36', '10', '46']:pred [38.363735 23.303894 36.       10.       35.932533]
sedan4door_-30_45_-22_35_46_50_70_420:gt ['-30', '45', '-22', '35', '46']:pred [33.215137 36.027103 29.920773 35.       12.50596 ]
sedan4door_-17_23_-36_35_28_50_30_420:gt ['-17', '23', '-36', '35', '28']:pred [26.068157 23.       30.486988 35.       28.      ]
hatchback_-17_45_-22_10_28_140_70_420:gt ['-17', '45', '-22', '10', '28']:pred [23.482027 27.214258 22.       17.856882 30.157303]
hybrid_-17_45_-4_35_46_50_30_420:gt ['-17', '45', '-4', '35', '46']:pred [27.221132 45.        4.       35.       46.      ]
sedan4door_-17_23_-22_48_46_20_70_420:gt ['-17', '23', '-22', '48', '46']:pred [23.510448 16.343027 30.500504 48.       39.148922]
hybrid_-50_15_-36_10_15_50_70_420:gt ['-50', '15', '-36', '10', '15']:pred [32.398087 24.169754 36.       10.       20.679184]
hatchback_-50_15_-36_48_28_230_70_420:gt ['-50', '15', '-36', '48', '28']:pred [40.68765  16.587883 38.23652  34.690826 24.728243]
sedan2door_-30_15_-36_35_28_140_30_420:gt ['-30', '15', '-36', '35', '28']:pred [30.       10.553534 36.       35.       28.      ]
sedan4door_-50_45_-22_35_46_20_30_420:gt ['-50', '45', '-22', '35', '46']:pred [34.927547 45.       25.979427 35.       25.761997]
suv_-17_23_-22_35_15_50_30_420:gt ['-17', '23', '-22', '35', '15']:pred [20.607164 23.       23.85567  35.       15.      ]
hatchback_-30_45_-4_48_15_140_30_420:gt ['-30', '45', '-4', '48', '15']:pred [30.       25.597874  4.       30.886145 15.      ]
hybrid_-50_23_-22_35_15_230_70_420:gt ['-50', '23', '-22', '35', '15']:pred [35.87056 23.42627 22.      35.      11.79749]
hatchback_-17_15_-4_48_46_230_70_420:gt ['-17', '15', '-4', '48', '46']:pred [28.140839 13.669203 23.528526 39.923428 41.01484 ]
suv_-50_15_-22_10_46_140_70_420:gt ['-50', '15', '-22', '10', '46']:pred [30.726896 15.532087 22.       18.045439 35.542427]
hatchback_-30_45_-22_35_46_140_70_420:gt ['-30', '45', '-22', '35', '46']:pred [29.589106 33.460293 22.       31.652576 38.701656]
sedan2door_-17_15_-4_48_46_20_70_420:gt ['-17', '15', '-4', '48', '46']:pred [25.395388  9.866997  4.       48.       31.211742]
suv_-30_23_-36_35_28_20_70_420:gt ['-30', '23', '-36', '35', '28']:pred [28.781006 25.816582 36.8671   35.       31.658667]
hybrid_-50_15_-36_48_28_20_70_420:gt ['-50', '15', '-36', '48', '28']:pred [34.035347 17.301273 36.       48.       25.846071]
sedan2door_-50_45_-22_10_15_140_70_420:gt ['-50', '45', '-22', '10', '15']:pred [37.917587 31.992687 22.       10.       21.260794]
sedan2door_-17_15_-22_48_28_230_70_420:gt ['-17', '15', '-22', '48', '28']:pred [26.751165 23.413488 22.       48.       32.451767]
suv_-50_45_-22_10_15_20_70_420:gt ['-50', '45', '-22', '10', '15']:pred [37.913166 32.269386 26.700596 10.       14.596749]
sedan2door_-50_15_-22_10_46_140_70_420:gt ['-50', '15', '-22', '10', '46']:pred [27.431501 17.77551  22.       10.       26.077469]
hatchback_-50_15_-22_48_28_140_30_420:gt ['-50', '15', '-22', '48', '28']:pred [50.       18.469122 22.       24.53264  28.      ]
hatchback_-50_23_-4_10_46_230_70_420:gt ['-50', '23', '-4', '10', '46']:pred [40.55307  26.547724 12.545267 10.580774 40.768864]
suv_-30_23_-4_10_28_140_70_420:gt ['-30', '23', '-4', '10', '28']:pred [31.20075  18.432028  4.       11.53127  28.079744]
sedan4door_-30_15_-4_10_15_20_70_420:gt ['-30', '15', '-4', '10', '15']:pred [28.697304 20.565605 25.003546 10.       10.964234]
sedan2door_-50_45_-4_35_28_230_30_420:gt ['-50', '45', '-4', '35', '28']:pred [50.       47.839767  4.       35.       26.927103]
hybrid_-30_45_-36_48_15_140_30_420:gt ['-30', '45', '-36', '48', '15']:pred [30.      35.35827 36.      48.      15.     ]
hatchback_-17_23_-4_10_28_50_30_420:gt ['-17', '23', '-4', '10', '28']:pred [17.485882 23.       18.093771 10.       28.      ]
sedan2door_-30_15_-36_35_15_140_70_420:gt ['-30', '15', '-36', '35', '15']:pred [30.992414 18.156906 36.       35.       20.918825]
sedan2door_-50_15_-36_48_28_50_70_420:gt ['-50', '15', '-36', '48', '28']:pred [33.768063 22.4741   36.       48.       21.257023]
hatchback_-50_23_-36_35_46_230_30_420:gt ['-50', '23', '-36', '35', '46']:pred [50.        9.693338 36.       21.507494 33.033142]
hybrid_-30_15_-36_10_46_20_30_420:gt ['-30', '15', '-36', '10', '46']:pred [36.513065 15.       36.       10.       27.759914]
sedan4door_-50_45_-4_10_28_50_70_420:gt ['-50', '45', '-4', '10', '28']:pred [37.964535  36.241234  33.445805  10.         3.3644044]
suv_-50_45_-36_10_28_140_70_420:gt ['-50', '45', '-36', '10', '28']:pred [34.706627 28.331947 36.       19.720478 30.340364]
suv_-30_15_-22_48_15_230_30_420:gt ['-30', '15', '-22', '48', '15']:pred [30.       11.036144 22.       31.329145 20.308167]
hatchback_-30_15_-4_35_28_20_30_420:gt ['-30', '15', '-4', '35', '28']:pred [31.358839 15.       19.159256 35.       21.835772]
suv_-30_15_-4_48_46_20_30_420:gt ['-30', '15', '-4', '48', '46']:pred [31.025126 15.       17.869267 48.       27.66892 ]
suv_-17_15_-36_10_46_20_30_420:gt ['-17', '15', '-36', '10', '46']:pred [26.465374 15.       37.256817 10.       24.927797]
hatchback_-17_45_-36_35_15_50_30_420:gt ['-17', '45', '-36', '35', '15']:pred [24.079782 45.       29.249424 35.       15.      ]
hybrid_-50_15_-36_35_46_50_30_420:gt ['-50', '15', '-36', '35', '46']:pred [24.562405 15.       36.       35.       46.      ]
hybrid_-30_23_-36_48_15_230_30_420:gt ['-30', '23', '-36', '48', '15']:pred [30.       16.952446 36.       48.       20.078424]
suv_-30_15_-4_10_15_230_30_420:gt ['-30', '15', '-4', '10', '15']:pred [30.        9.53828   4.       12.705482 17.585733]
hatchback_-17_45_-4_48_28_230_30_420:gt ['-17', '45', '-4', '48', '28']:pred [17.       35.35581   4.       36.099773 28.309612]
suv_-50_23_-4_35_15_140_70_420:gt ['-50', '23', '-4', '35', '15']:pred [37.309334 19.566837  4.       23.013145 23.637161]
sedan4door_-30_15_-36_10_28_230_70_420:gt ['-30', '15', '-36', '10', '28']:pred [39.277996 19.565952 34.605984 11.221622 29.883879]
hatchback_-17_15_-22_48_46_20_30_420:gt ['-17', '15', '-22', '48', '46']:pred [20.871584 15.       21.714008 48.       26.923883]
suv_-17_23_-4_48_28_20_30_420:gt ['-17', '23', '-4', '48', '28']:pred [27.487242  23.        11.9166765 48.        28.911846 ]
hybrid_-50_45_-36_10_28_140_70_420:gt ['-50', '45', '-36', '10', '28']:pred [36.204292 34.023327 36.       10.       31.046648]
hybrid_-17_15_-4_10_15_230_70_420:gt ['-17', '15', '-4', '10', '15']:pred [25.707462  17.653286   4.        10.        12.2696295]
sedan2door_-30_15_-36_10_46_230_70_420:gt ['-30', '15', '-36', '10', '46']:pred [35.43174  21.369785 36.       10.       38.574684]
sedan2door_-17_15_-4_10_46_50_70_420:gt ['-17', '15', '-4', '10', '46']:pred [28.18598  19.854774  4.       10.       30.585716]
sedan2door_-50_15_-22_10_28_20_70_420:gt ['-50', '15', '-22', '10', '28']:pred [31.055105 11.416901 22.       10.       28.769287]
suv_-50_15_-4_48_28_20_70_420:gt ['-50', '15', '-4', '48', '28']:pred [35.72934  31.086657 11.907224 48.       25.297323]
suv_-17_15_-22_35_28_140_70_420:gt ['-17', '15', '-22', '35', '28']:pred [28.661026 16.494825 22.       23.261585 31.49334 ]
hybrid_-50_15_-36_10_15_20_30_420:gt ['-50', '15', '-36', '10', '15']:pred [33.800373 15.       36.       10.       21.183035]
suv_-30_45_-22_48_15_140_30_420:gt ['-30', '45', '-22', '48', '15']:pred [30.       35.52342  22.       33.832787 15.      ]
suv_-50_45_-36_48_15_230_70_420:gt ['-50', '45', '-36', '48', '15']:pred [43.716576 37.124004 34.289425 41.631943 12.946908]
sedan2door_-30_45_-36_35_46_230_30_420:gt ['-30', '45', '-36', '35', '46']:pred [30.       47.629173 36.       35.       27.496937]
suv_-50_15_-36_10_46_50_30_420:gt ['-50', '15', '-36', '10', '46']:pred [28.549343 15.       36.880043 10.       46.      ]
sedan4door_-17_15_-36_10_15_50_30_420:gt ['-17', '15', '-36', '10', '15']:pred [26.784208 15.       33.800205 10.       15.      ]
sedan2door_-30_45_-36_48_46_50_70_420:gt ['-30', '45', '-36', '48', '46']:pred [33.027218 30.935972 36.       48.       32.222366]
hybrid_-50_15_-4_48_28_20_30_420:gt ['-50', '15', '-4', '48', '28']:pred [38.465324 15.        4.       48.       28.222284]
sedan2door_-17_23_-36_35_46_50_70_420:gt ['-17', '23', '-36', '35', '46']:pred [29.470583 21.506311 36.       35.       29.894258]
hybrid_-50_23_-4_35_15_140_70_420:gt ['-50', '23', '-4', '35', '15']:pred [32.145058 25.831932  4.       35.       24.774769]
sedan4door_-17_45_-36_48_46_140_30_420:gt ['-17', '45', '-36', '48', '46']:pred [17.      34.99888 36.      34.02178 46.     ]
hatchback_-17_23_-22_10_28_20_70_420:gt ['-17', '23', '-22', '10', '28']:pred [12.948217 21.504042 19.23076  10.       29.928587]
suv_-30_45_-4_48_46_230_30_420:gt ['-30', '45', '-4', '48', '46']:pred [30.       22.277325  4.       41.81854  31.296165]
sedan2door_-17_15_-36_48_46_50_70_420:gt ['-17', '15', '-36', '48', '46']:pred [28.408642 19.510475 36.       48.       31.086191]
suv_-17_45_-22_35_28_140_30_420:gt ['-17', '45', '-22', '35', '28']:pred [17.       34.542995 22.       30.31284  28.      ]
hybrid_-17_45_-4_10_28_140_30_420:gt ['-17', '45', '-4', '10', '28']:pred [17.       31.646057  4.       10.       28.      ]
suv_-17_45_-4_48_15_230_30_420:gt ['-17', '45', '-4', '48', '15']:pred [17.       32.994686  4.       32.01751  19.067059]
hatchback_-17_23_-22_10_15_230_70_420:gt ['-17', '23', '-22', '10', '15']:pred [23.911861 20.269457 20.207022 17.672615 11.22096 ]
hatchback_-50_23_-22_35_15_50_30_420:gt ['-50', '23', '-22', '35', '15']:pred [22.77648  23.       19.421091 35.       15.      ]
hatchback_-17_23_-22_10_28_140_70_420:gt ['-17', '23', '-22', '10', '28']:pred [19.516624 17.647934 22.       11.980796 24.966724]
sedan4door_-50_45_-36_35_28_50_70_420:gt ['-50', '45', '-36', '35', '28']:pred [38.902733  32.079247  40.63506   35.         2.7576616]
hatchback_-30_15_-36_48_46_140_70_420:gt ['-30', '15', '-36', '48', '46']:pred [29.149605 22.143358 36.       36.68173  35.259823]
sedan2door_-17_23_-36_10_28_20_30_420:gt ['-17', '23', '-36', '10', '28']:pred [17.543371 23.       36.       10.       25.589613]
hatchback_-30_15_-4_10_15_50_70_420:gt ['-30', '15', '-4', '10', '15']:pred [29.261696 20.48813  25.684074 10.       16.16691 ]
sedan2door_-17_15_-4_48_15_20_70_420:gt ['-17', '15', '-4', '48', '15']:pred [31.27314  13.918069  4.       48.       20.675455]
sedan4door_-17_15_-22_35_15_230_70_420:gt ['-17', '15', '-22', '35', '15']:pred [29.259537  17.757341  30.69372   28.537651   7.4439383]
suv_-17_15_-22_35_46_20_30_420:gt ['-17', '15', '-22', '35', '46']:pred [22.912945 15.       29.367853 35.       28.70216 ]
sedan4door_-17_23_-36_10_46_230_30_420:gt ['-17', '23', '-36', '10', '46']:pred [17.       25.033813 36.       22.816156 36.812576]
sedan2door_-17_15_-36_10_28_20_70_420:gt ['-17', '15', '-36', '10', '28']:pred [27.460176  11.1883335 36.        10.        29.407867 ]
suv_-30_23_-4_10_46_140_30_420:gt ['-30', '23', '-4', '10', '46']:pred [30.       15.894535  4.        9.397653 46.      ]
sedan2door_-17_15_-22_35_15_140_30_420:gt ['-17', '15', '-22', '35', '15']:pred [17.        5.807118 22.       35.       15.      ]
sedan4door_-50_45_-36_10_46_50_30_420:gt ['-50', '45', '-36', '10', '46']:pred [21.336159 45.       37.35282  10.       46.      ]
sedan2door_-50_15_-36_35_15_20_70_420:gt ['-50', '15', '-36', '35', '15']:pred [34.20359  15.845633 36.       35.       20.644806]
hybrid_-17_15_-36_35_28_50_70_420:gt ['-17', '15', '-36', '35', '28']:pred [27.4287    5.285907 36.       35.       27.21849 ]
hatchback_-50_45_-36_48_28_50_70_420:gt ['-50', '45', '-36', '48', '28']:pred [36.3971   29.935719 35.444397 48.       21.079393]
sedan4door_-17_15_-36_35_28_140_70_420:gt ['-17', '15', '-36', '35', '28']:pred [27.437916 17.58489  36.       18.331726 24.952658]
hatchback_-50_23_-22_48_46_230_70_420:gt ['-50', '23', '-22', '48', '46']:pred [41.036476 20.732334 23.834684 32.810993 40.137814]
suv_-30_45_-4_48_28_50_30_420:gt ['-30', '45', '-4', '48', '28']:pred [26.204826 45.       20.460533 48.       28.      ]
sedan2door_-30_15_-4_48_28_50_30_420:gt ['-30', '15', '-4', '48', '28']:pred [24.529526 15.        4.       48.       28.      ]
suv_-50_15_-4_10_28_140_70_420:gt ['-50', '15', '-4', '10', '28']:pred [32.63211  14.43304   4.       12.709368 25.457727]
hybrid_-30_45_-36_48_46_230_70_420:gt ['-30', '45', '-36', '48', '46']:pred [37.312378 36.287224 36.       48.       32.87507 ]
