Sedan4Door_-20_0_-20_0_20_80_60_400:gt ['-20', '0', '-20', '0', '20']:pred [16.840204   2.1327503 23.62803    7.3245435 11.5215435]
Hatchback_-20_0_-20_0_20_160_60_450:gt ['-20', '0', '-20', '0', '20']:pred [16.252367  3.539818 20.        9.257456 22.822989]
Sedan2Door_-20_0_-20_0_0_0_60_400:gt ['-20', '0', '-20', '0', '0']:pred [20.297169   5.2535653 20.         0.         4.9622293]
Hatchback_0_20_-20_0_0_0_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 6.114848 20.       19.354717  0.        0.      ]
Suv_-20_20_0_20_0_240_60_450:gt ['-20', '20', '0', '20', '0']:pred [ 5.006222 15.793282  0.       25.971838  4.253402]
Hybrid_0_20_-20_20_0_320_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 5.2065897  6.007917  20.        20.         3.4196064]
Sedan4Door_0_0_-20_0_0_0_20_400:gt ['0', '0', '-20', '0', '0']:pred [ 2.9390717  0.        16.725588   0.         0.       ]
Suv_0_0_-20_0_0_240_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 4.4967823  1.6885726 20.         2.340834   2.7913346]
Hybrid_0_0_-20_0_20_240_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 5.4547663  3.0265648 20.         0.        19.304665 ]
Sedan4Door_0_0_0_20_0_0_60_400:gt ['0', '0', '0', '20', '0']:pred [ 3.6515124  6.7941456  4.5374246 20.         4.008586 ]
Sedan4Door_-20_20_-20_20_20_160_60_400:gt ['-20', '20', '-20', '20', '20']:pred [19.130829 20.184807 20.       20.483856 14.914869]
Suv_-20_0_0_20_20_160_20_400:gt ['-20', '0', '0', '20', '20']:pred [20.         3.5753248  0.        22.489492  20.       ]
Suv_0_0_-20_20_20_240_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 5.4982853  3.140367  25.73598   23.003796  24.679146 ]
Hatchback_-20_0_-20_0_0_160_20_400:gt ['-20', '0', '-20', '0', '0']:pred [20.         3.920521  20.         6.8879523  0.       ]
Sedan4Door_-20_0_-20_20_20_240_20_400:gt ['-20', '0', '-20', '20', '20']:pred [20.         2.6797998 20.        19.07284   15.349447 ]
Sedan2Door_-20_0_-20_0_20_160_60_450:gt ['-20', '0', '-20', '0', '20']:pred [17.865788   3.3888874 20.         0.        18.32334  ]
Sedan2Door_-20_0_0_0_20_0_60_450:gt ['-20', '0', '0', '0', '20']:pred [18.55392    4.5631533  0.         0.        20.942884 ]
Sedan4Door_0_20_-20_20_20_320_20_450:gt ['0', '20', '-20', '20', '20']:pred [ 4.4850307 20.        21.506012  20.        16.19287  ]
Hybrid_-20_20_-20_0_0_80_20_400:gt ['-20', '20', '-20', '0', '0']:pred [20.016207 20.       20.        0.        0.      ]
Sedan2Door_0_0_0_20_20_240_20_450:gt ['0', '0', '0', '20', '20']:pred [ 0.         3.6816936  0.        20.        15.544964 ]
Hybrid_-20_20_0_20_0_240_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.        20.468357   0.        20.         6.3173146]
Suv_0_0_-20_0_0_160_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.         3.4829373 20.         7.5579867  0.       ]
Hatchback_0_20_0_0_20_320_20_400:gt ['0', '20', '0', '0', '20']:pred [ 3.440786  20.         5.0366344  0.        13.163042 ]
Sedan2Door_-20_20_0_20_20_80_60_450:gt ['-20', '20', '0', '20', '20']:pred [21.88009  14.724675  0.       20.       25.843616]
Sedan2Door_-20_20_-20_0_0_240_20_400:gt ['-20', '20', '-20', '0', '0']:pred [20.        18.120832  20.         0.         3.2204154]
Hatchback_0_0_-20_0_0_240_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.         5.174394  20.         6.525912   3.9371529]
Hybrid_-20_20_0_0_0_80_60_400:gt ['-20', '20', '0', '0', '0']:pred [18.563137  15.028868   0.         0.         7.1615567]
Sedan2Door_-20_20_0_0_0_240_60_450:gt ['-20', '20', '0', '0', '0']:pred [17.894012  17.04713    0.         0.         3.7949195]
Sedan4Door_-20_20_-20_20_20_0_20_400:gt ['-20', '20', '-20', '20', '20']:pred [17.790615 20.       19.352236 20.       20.      ]
Sedan2Door_0_20_0_0_20_160_60_450:gt ['0', '20', '0', '0', '20']:pred [ 7.0024076 14.630051   0.         0.        19.520596 ]
Sedan2Door_0_20_-20_20_20_80_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 3.8407965 20.        20.        20.        20.       ]
Sedan4Door_0_0_0_20_0_320_60_450:gt ['0', '0', '0', '20', '0']:pred [ 3.3602328  4.798487   5.6641583 32.707333   6.1924148]
Suv_-20_0_0_0_0_320_20_400:gt ['-20', '0', '0', '0', '0']:pred [17.387852   0.         5.638962   0.         3.4335256]
Hybrid_-20_20_-20_0_20_240_20_400:gt ['-20', '20', '-20', '0', '20']:pred [20.       15.832    20.        0.       19.077164]
Suv_0_0_0_0_20_80_60_450:gt ['0', '0', '0', '0', '20']:pred [ 3.2517123  2.630649   4.271126  11.472676  11.478693 ]
Hybrid_-20_0_0_0_20_160_60_400:gt ['-20', '0', '0', '0', '20']:pred [25.74636   3.603058  0.        0.       14.302877]
Sedan2Door_0_20_0_0_0_240_20_400:gt ['0', '20', '0', '0', '0']:pred [ 0.        21.523043   0.         0.         5.1500716]
Sedan2Door_0_20_0_20_20_320_60_450:gt ['0', '20', '0', '20', '20']:pred [ 3.4279516 13.146001   0.        20.        19.109867 ]
Sedan2Door_0_0_-20_0_20_240_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 3.138174   2.7767322 20.         0.        17.027256 ]
Hatchback_-20_20_0_20_20_320_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.052225 20.        5.665368 20.       16.744402]
Hatchback_0_20_-20_20_20_240_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 7.607218 17.853071 30.655485 24.97748  16.99116 ]
Suv_-20_20_-20_0_20_0_20_400:gt ['-20', '20', '-20', '0', '20']:pred [20.373655 20.       20.744669  0.       20.      ]
Hatchback_0_0_0_0_0_320_20_400:gt ['0', '0', '0', '0', '0']:pred [3.8162992 0.        4.2640567 0.        3.5216844]
Sedan4Door_0_20_-20_20_20_160_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 0.       17.634327 20.       22.720715 20.      ]
Sedan2Door_-20_20_0_0_0_160_20_400:gt ['-20', '20', '0', '0', '0']:pred [20.       18.735947  0.        0.        0.      ]
Hatchback_0_0_-20_20_0_0_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 3.5708911  0.        19.680592  20.         0.       ]
Hatchback_-20_20_0_0_20_320_60_450:gt ['-20', '20', '0', '0', '20']:pred [17.039371  14.227748   5.2333803 29.499998  23.539278 ]
Sedan4Door_-20_20_0_20_20_240_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.       12.869961  0.       21.354034 15.150102]
Sedan4Door_0_0_-20_20_0_240_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 0.         3.3539152 20.        18.3637     4.2884936]
Hybrid_-20_20_0_20_0_240_20_450:gt ['-20', '20', '0', '20', '0']:pred [20.       17.585726  0.       20.        6.938915]
Hatchback_0_0_-20_20_0_160_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.        4.852423 20.       21.828487  0.      ]
Sedan2Door_0_0_0_0_0_80_20_450:gt ['0', '0', '0', '0', '0']:pred [3.4344456 0.        0.        0.        0.       ]
Sedan2Door_0_20_0_20_0_0_60_400:gt ['0', '20', '0', '20', '0']:pred [ 2.8485777 16.921242   0.        20.         5.1820526]
Suv_0_0_0_0_0_240_20_450:gt ['0', '0', '0', '0', '0']:pred [0.        4.568607  0.        7.4011836 3.828182 ]
Sedan2Door_-20_0_0_20_20_240_60_400:gt ['-20', '0', '0', '20', '20']:pred [20.004566  3.155669  0.       20.       14.545033]
Suv_-20_0_0_0_20_240_20_400:gt ['-20', '0', '0', '0', '20']:pred [20.         2.6598752  0.         8.408816  15.710735 ]
Hatchback_-20_0_0_20_0_320_20_450:gt ['-20', '0', '0', '20', '0']:pred [18.828037   0.         5.3967533 20.         3.521354 ]
Hybrid_0_0_0_20_20_160_60_450:gt ['0', '0', '0', '20', '20']:pred [10.367697   4.1162915  0.        20.        15.549261 ]
Suv_0_20_0_0_0_320_20_400:gt ['0', '20', '0', '0', '0']:pred [ 2.2857554 20.         4.410183   0.         2.914887 ]
Hybrid_-20_20_-20_20_20_80_60_450:gt ['-20', '20', '-20', '20', '20']:pred [20.234268 14.004761 20.       20.       15.923054]
Sedan4Door_0_0_0_0_20_320_20_450:gt ['0', '0', '0', '0', '20']:pred [ 3.8200388  0.         4.112162   0.        14.193865 ]
Sedan2Door_-20_20_-20_20_0_320_20_400:gt ['-20', '20', '-20', '20', '0']:pred [18.18713  20.       20.       20.        6.525754]
Suv_-20_20_0_0_20_320_60_450:gt ['-20', '20', '0', '0', '20']:pred [23.216558  5.154315  6.131633  0.       16.051031]
Sedan2Door_0_0_0_0_20_240_20_450:gt ['0', '0', '0', '0', '20']:pred [ 0.         3.5907383  0.         0.        21.58764  ]
Hatchback_-20_0_-20_20_0_160_60_400:gt ['-20', '0', '-20', '20', '0']:pred [18.445925   3.293671  20.        22.965084   3.0799384]
Hatchback_0_0_0_20_0_0_20_400:gt ['0', '0', '0', '20', '0']:pred [ 3.9621418  0.         5.6515837 20.         0.       ]
Hybrid_-20_0_0_20_0_0_20_450:gt ['-20', '0', '0', '20', '0']:pred [22.094885  0.        0.       20.        0.      ]
Sedan2Door_0_20_-20_20_0_240_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 5.570093 16.988668 20.       20.        5.074102]
Sedan2Door_0_0_0_0_20_80_20_400:gt ['0', '0', '0', '0', '20']:pred [ 4.1971254  0.         0.         0.        20.       ]
Suv_-20_0_-20_20_20_240_20_400:gt ['-20', '0', '-20', '20', '20']:pred [20.        3.439495 20.       21.522099 12.969757]
Hybrid_0_20_0_20_20_80_60_400:gt ['0', '20', '0', '20', '20']:pred [ 4.2751236 16.017874   0.        20.        15.74591  ]
Sedan4Door_0_20_-20_20_0_0_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 3.1958592 20.        21.225262  20.         0.       ]
Sedan2Door_-20_20_-20_0_0_0_20_450:gt ['-20', '20', '-20', '0', '0']:pred [21.831787 20.       20.        0.        0.      ]
Hatchback_-20_20_0_20_0_240_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.        11.99298    0.        19.644197   2.6472807]
Sedan4Door_0_0_0_0_0_80_60_400:gt ['0', '0', '0', '0', '0']:pred [ 2.9760485  2.9305403  5.065112   6.262701  10.650964 ]
Sedan4Door_-20_0_0_20_0_240_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.         2.7692196  0.        16.81241    3.2588758]
Hybrid_0_0_0_0_20_240_60_400:gt ['0', '0', '0', '0', '20']:pred [ 5.6116977  2.700605   0.         0.        13.231223 ]
Sedan2Door_0_0_0_20_0_240_60_400:gt ['0', '0', '0', '20', '0']:pred [ 3.429197   2.2367017  0.        20.         5.682838 ]
Suv_0_20_0_0_20_160_60_450:gt ['0', '20', '0', '0', '20']:pred [ 7.939929 17.520002  0.        8.26548  17.856552]
Suv_-20_20_0_20_0_240_60_400:gt ['-20', '20', '0', '20', '0']:pred [ 6.3734336 15.680335  18.328817  23.719254   1.8576865]
Hybrid_-20_0_-20_0_20_0_60_450:gt ['-20', '0', '-20', '0', '20']:pred [19.358007 10.146714 20.        0.       20.227148]
Hybrid_-20_0_-20_0_0_240_20_400:gt ['-20', '0', '-20', '0', '0']:pred [20.         3.7749104 20.         0.         4.871834 ]
Suv_0_0_-20_20_20_320_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 3.146877  7.950975 19.419819 23.355688 20.085611]
Suv_0_20_0_20_0_320_60_450:gt ['0', '20', '0', '20', '0']:pred [ 2.5616179  7.9172006  4.6097593 20.         5.816188 ]
Sedan2Door_-20_0_-20_20_0_160_20_450:gt ['-20', '0', '-20', '20', '0']:pred [20.         2.9243865 20.        20.         0.       ]
Hybrid_-20_0_-20_20_0_0_20_450:gt ['-20', '0', '-20', '20', '0']:pred [22.866463  0.       20.       20.        0.      ]
Sedan4Door_0_0_0_20_20_0_60_450:gt ['0', '0', '0', '20', '20']:pred [ 2.6955936  5.8393874  4.791278  20.        14.262579 ]
Hybrid_0_0_0_20_0_80_60_400:gt ['0', '0', '0', '20', '0']:pred [ 3.8833501  3.852203   0.        20.         7.467673 ]
Hybrid_-20_20_0_20_20_240_60_400:gt ['-20', '20', '0', '20', '20']:pred [22.611221 17.31261   0.       20.       19.651852]
Hybrid_-20_20_0_0_20_160_60_450:gt ['-20', '20', '0', '0', '20']:pred [19.618643 16.292618  0.        0.       18.902077]
Hatchback_-20_20_-20_20_20_80_60_400:gt ['-20', '20', '-20', '20', '20']:pred [22.558573 17.379723 18.400427 20.09178  11.824053]
Hatchback_-20_20_0_20_20_80_20_400:gt ['-20', '20', '0', '20', '20']:pred [20.225922  20.         8.7637415 20.        20.       ]
Sedan4Door_0_0_0_20_0_320_20_450:gt ['0', '0', '0', '20', '0']:pred [ 2.88956    0.         4.6141577 20.         8.851528 ]
Suv_0_0_0_0_0_0_60_450:gt ['0', '0', '0', '0', '0']:pred [2.4596329 7.2124333 4.103672  0.        3.5558152]
Hatchback_-20_0_-20_0_20_0_60_400:gt ['-20', '0', '-20', '0', '20']:pred [19.204475  6.767159 21.759918  0.       20.319338]
Suv_-20_0_0_20_20_240_20_450:gt ['-20', '0', '0', '20', '20']:pred [20.         6.0099425  0.        21.744095  14.605404 ]
Suv_0_0_-20_0_20_320_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 2.932223   6.8576965 19.753084   0.        14.325937 ]
Suv_0_0_-20_20_20_160_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 0.         3.8067892 20.        20.209202  20.       ]
Hatchback_-20_0_0_20_0_240_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.         3.0363328  0.        18.338055   2.8410525]
Sedan2Door_-20_0_0_20_20_320_20_400:gt ['-20', '0', '0', '20', '20']:pred [21.078259  0.        0.       20.       22.602392]
Sedan2Door_-20_20_-20_20_20_160_60_400:gt ['-20', '20', '-20', '20', '20']:pred [16.71258  15.234497 20.       20.       17.11079 ]
Hybrid_0_0_0_20_20_160_20_400:gt ['0', '0', '0', '20', '20']:pred [ 0.         3.4810958  0.        20.        20.       ]
Sedan4Door_-20_0_0_20_0_0_20_450:gt ['-20', '0', '0', '20', '0']:pred [24.250769   0.         5.4323964 20.         0.       ]
Sedan2Door_-20_20_-20_20_0_320_20_450:gt ['-20', '20', '-20', '20', '0']:pred [21.872166  20.        20.        20.         3.6443832]
Sedan2Door_0_20_-20_20_0_240_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 3.6566064 20.626873  20.        20.         3.6751144]
Sedan2Door_-20_20_-20_0_0_240_60_400:gt ['-20', '20', '-20', '0', '0']:pred [20.800976  21.204798  20.         0.         5.2424283]
Sedan2Door_0_20_0_20_20_0_20_450:gt ['0', '20', '0', '20', '20']:pred [ 3.5065725 20.         0.        20.        20.       ]
Hybrid_0_20_0_0_0_0_20_450:gt ['0', '20', '0', '0', '0']:pred [ 4.1806464 20.         0.         0.         0.       ]
Suv_-20_0_0_0_0_240_20_400:gt ['-20', '0', '0', '0', '0']:pred [20.         3.1159656  0.         7.718435   2.7419171]
Hatchback_0_0_-20_20_20_160_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.         4.1775227 20.        24.412233  20.       ]
Hatchback_-20_20_-20_0_20_80_20_400:gt ['-20', '20', '-20', '0', '20']:pred [19.068563 20.       24.546598  0.       20.      ]
Hybrid_-20_0_-20_0_0_160_60_400:gt ['-20', '0', '-20', '0', '0']:pred [24.451092   3.2816825 20.         0.         3.2062283]
Hatchback_0_20_-20_0_20_240_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.       14.161839 20.        8.172676 14.421923]
Sedan4Door_0_0_-20_0_20_0_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 2.558142  0.       21.128391  0.       20.      ]
Hybrid_-20_20_0_20_20_320_20_450:gt ['-20', '20', '0', '20', '20']:pred [19.738365 20.        0.       20.       12.443006]
Hatchback_0_0_0_0_0_80_60_400:gt ['0', '0', '0', '0', '0']:pred [4.3695054 2.94246   5.0151544 8.967709  4.703101 ]
Hatchback_-20_20_-20_0_0_160_20_400:gt ['-20', '20', '-20', '0', '0']:pred [20.        16.802324  20.         6.5357485  0.       ]
Hybrid_0_20_0_20_0_160_20_450:gt ['0', '20', '0', '20', '0']:pred [ 0.       17.387976  0.       20.        0.      ]
Hybrid_-20_0_0_20_0_160_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.         3.3918197  0.        20.         0.       ]
Sedan4Door_0_20_0_20_0_160_60_450:gt ['0', '20', '0', '20', '0']:pred [ 6.3757076 12.899238   0.        16.275028   6.7899323]
Hatchback_-20_0_0_0_0_160_20_450:gt ['-20', '0', '0', '0', '0']:pred [20.        5.006136  0.        9.311676  0.      ]
Sedan4Door_0_0_0_20_0_0_60_450:gt ['0', '0', '0', '20', '0']:pred [ 2.6015093  6.702379   5.4198484 20.         3.7829611]
Sedan4Door_0_0_0_0_0_0_60_450:gt ['0', '0', '0', '0', '0']:pred [2.322182  5.2778835 6.079226  0.        3.6196995]
Sedan2Door_-20_0_-20_0_0_240_20_400:gt ['-20', '0', '-20', '0', '0']:pred [20.         3.277686  20.         0.         3.6587694]
Suv_0_20_0_0_0_0_60_450:gt ['0', '20', '0', '0', '0']:pred [ 2.2057474 15.877655   4.557598   0.         4.643389 ]
Hybrid_-20_20_0_0_0_240_60_450:gt ['-20', '20', '0', '0', '0']:pred [18.299095 18.578274  0.        0.        4.53557 ]
Hybrid_0_0_-20_0_0_80_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 4.7708535  0.        20.         0.         0.       ]
Sedan2Door_-20_0_-20_20_20_0_60_400:gt ['-20', '0', '-20', '20', '20']:pred [19.324102  4.458943 20.       20.       26.452179]
Hatchback_-20_0_0_20_20_0_60_450:gt ['-20', '0', '0', '20', '20']:pred [23.31582   7.657394  5.717246 20.       20.839218]
Sedan2Door_0_20_0_0_20_160_20_450:gt ['0', '20', '0', '0', '20']:pred [ 0.       18.993904  0.        0.       20.      ]
Hybrid_-20_0_-20_20_20_240_20_450:gt ['-20', '0', '-20', '20', '20']:pred [20.        5.169494 20.       20.       11.677233]
Suv_0_20_-20_0_0_320_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 2.0803082 20.        19.040249   0.         3.1069217]
Hybrid_-20_0_-20_0_20_240_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.         3.3702457 20.         0.        14.663973 ]
Suv_-20_20_-20_0_20_240_60_400:gt ['-20', '20', '-20', '0', '20']:pred [16.127428  15.891041  24.69344    5.0122395 36.09147  ]
Suv_-20_20_-20_20_0_240_60_400:gt ['-20', '20', '-20', '20', '0']:pred [ 4.352064  19.181849  20.        29.215956   2.8686385]
Sedan2Door_0_20_0_20_0_80_60_450:gt ['0', '20', '0', '20', '0']:pred [ 3.8340836 14.778969   0.        20.        11.86027  ]
Sedan2Door_0_0_0_20_20_80_60_450:gt ['0', '0', '0', '20', '20']:pred [ 4.050504   3.2675776  0.        20.        23.173965 ]
Suv_0_0_-20_20_20_80_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 4.652468  4.466771 16.876396 23.597591 15.142761]
Suv_-20_0_-20_20_20_320_60_400:gt ['-20', '0', '-20', '20', '20']:pred [20.681456  8.645189 22.5248   28.775679 11.605467]
Sedan2Door_-20_0_-20_0_0_160_20_450:gt ['-20', '0', '-20', '0', '0']:pred [20.         2.3929753 20.         0.         0.       ]
Suv_-20_20_0_20_20_240_60_400:gt ['-20', '20', '0', '20', '20']:pred [ 4.1779304 17.850515  17.01805   27.869839  20.024315 ]
Sedan2Door_-20_0_0_0_0_320_20_400:gt ['-20', '0', '0', '0', '0']:pred [20.294117   0.         0.         0.         5.8230267]
Suv_-20_20_-20_20_0_160_20_450:gt ['-20', '20', '-20', '20', '0']:pred [20.       13.575539 20.       19.859934  0.      ]
Hatchback_-20_0_0_20_20_0_60_400:gt ['-20', '0', '0', '20', '20']:pred [22.30244    7.1586328  6.5659513 20.        17.19901  ]
Suv_0_0_0_20_20_240_60_400:gt ['0', '0', '0', '20', '20']:pred [ 3.9496315  4.3462744 16.587536  23.230688  16.820326 ]
Sedan4Door_-20_0_0_20_0_240_60_400:gt ['-20', '0', '0', '20', '0']:pred [19.216646   3.155635  18.333706  19.555122   4.1611395]
Hybrid_0_20_-20_0_0_160_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 7.9260902 17.933632  20.         0.         3.9898624]
Hybrid_0_20_-20_20_20_0_60_400:gt ['0', '20', '-20', '20', '20']:pred [ 3.4594684 15.7490835 20.        20.        22.293732 ]
Hatchback_-20_0_0_20_0_80_60_450:gt ['-20', '0', '0', '20', '0']:pred [22.320473   4.1970463  7.8522725 21.336449   7.006841 ]
Sedan2Door_-20_20_0_0_0_240_60_400:gt ['-20', '20', '0', '0', '0']:pred [18.03222   18.241089   0.         0.         5.4127483]
Hybrid_-20_0_-20_20_0_0_60_400:gt ['-20', '0', '-20', '20', '0']:pred [24.075382  8.654542 20.       20.        4.624442]
Sedan2Door_0_0_0_20_20_320_20_400:gt ['0', '0', '0', '20', '20']:pred [ 3.629952  0.        0.       20.       23.401335]
Suv_0_0_-20_0_20_0_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 3.618731  9.139292 19.223145  0.       20.29417 ]
Suv_0_20_-20_0_0_160_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 6.6391172 12.1666975 20.         6.2638307  4.384185 ]
Sedan4Door_0_20_0_0_0_80_20_450:gt ['0', '20', '0', '0', '0']:pred [ 3.287085 20.        0.        0.        0.      ]
Hatchback_-20_0_-20_20_0_240_20_400:gt ['-20', '0', '-20', '20', '0']:pred [20.         3.7492616 20.        19.570755   3.8484728]
Sedan2Door_0_20_-20_20_0_0_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 3.1803672 17.504246  20.        20.         7.1594734]
Hybrid_-20_0_-20_0_20_240_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.         6.0438123 20.         0.        14.221801 ]
Sedan4Door_0_20_-20_20_0_160_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 6.521828 15.457583 20.       17.512709  9.208699]
Hybrid_-20_20_0_20_0_320_20_450:gt ['-20', '20', '0', '20', '0']:pred [19.311749 20.        0.       20.        4.362773]
Suv_0_0_0_20_0_80_20_400:gt ['0', '0', '0', '20', '0']:pred [ 4.558816  0.        0.       20.        0.      ]
Hatchback_0_20_0_20_20_160_20_450:gt ['0', '20', '0', '20', '20']:pred [ 0.       12.315964  0.       21.247036 20.      ]
Hybrid_0_20_-20_0_0_80_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 4.633065 20.       20.        0.        0.      ]
Hybrid_0_20_-20_20_0_80_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 5.098776  14.797672  20.        20.         6.9310336]
Sedan4Door_0_0_-20_20_0_160_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 6.5613246  4.2743707 20.        23.013517   6.344155 ]
Hybrid_-20_20_-20_20_20_0_60_450:gt ['-20', '20', '-20', '20', '20']:pred [17.92153  21.004498 20.       20.       17.881027]
Suv_0_0_0_0_20_80_20_400:gt ['0', '0', '0', '0', '20']:pred [ 3.9669156  0.         0.         0.        20.       ]
Sedan4Door_-20_0_-20_20_0_240_20_450:gt ['-20', '0', '-20', '20', '0']:pred [20.         3.5964825 20.        18.204704   5.5941453]
Hybrid_0_0_-20_20_20_160_60_450:gt ['0', '0', '-20', '20', '20']:pred [10.599687   4.0868454 20.        20.        14.933106 ]
Hybrid_-20_0_0_0_20_80_60_450:gt ['-20', '0', '0', '0', '20']:pred [23.800522   5.1049995  0.         0.        14.546278 ]
Sedan4Door_0_20_0_0_0_0_60_450:gt ['0', '20', '0', '0', '0']:pred [ 2.0637913 13.606152   5.869294   0.         4.6365666]
Hatchback_-20_0_-20_0_20_240_60_450:gt ['-20', '0', '-20', '0', '20']:pred [15.866631  4.034495 30.344221  8.314724 20.852629]
Sedan4Door_-20_0_0_0_20_80_60_400:gt ['-20', '0', '0', '0', '20']:pred [20.096006   2.6173534  6.7271047  6.8289576 13.8465185]
Hatchback_0_0_-20_0_20_80_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 4.517636   3.9693592 23.471348  10.129932  14.269945 ]
Hybrid_-20_0_0_20_0_320_20_400:gt ['-20', '0', '0', '20', '0']:pred [22.633684   0.         0.        20.         3.5787756]
Suv_-20_20_0_20_20_240_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.       13.086178  0.       26.808168 19.441109]
Hatchback_-20_20_0_20_20_80_60_400:gt ['-20', '20', '0', '20', '20']:pred [24.433678 15.946995  6.915963 20.820557 14.809089]
Hatchback_-20_20_0_20_0_320_60_400:gt ['-20', '20', '0', '20', '0']:pred [20.27425   14.370952   4.4305177 29.396946   3.5332015]
Sedan2Door_0_0_-20_0_0_240_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 5.4744396  4.1200824 20.         0.         7.2513757]
Sedan4Door_-20_20_0_20_20_240_60_400:gt ['-20', '20', '0', '20', '20']:pred [25.154184 15.104125 20.200851 24.49127  15.057351]
Sedan2Door_-20_0_-20_0_0_0_60_450:gt ['-20', '0', '-20', '0', '0']:pred [20.859644   5.3001747 20.         0.         4.9185667]
Hatchback_0_20_0_0_0_320_20_450:gt ['0', '20', '0', '0', '0']:pred [ 3.0765705 20.         4.510707   0.         3.449874 ]
Sedan4Door_0_0_-20_20_0_320_60_400:gt ['0', '0', '-20', '20', '0']:pred [ 2.607733  5.394105 24.90086  34.159515  9.22865 ]
Suv_-20_20_-20_0_0_160_20_400:gt ['-20', '20', '-20', '0', '0']:pred [20.       14.179674 20.        6.533643  0.      ]
Sedan2Door_-20_20_0_0_20_320_60_450:gt ['-20', '20', '0', '0', '20']:pred [17.958748 14.342589  0.        0.       21.386612]
Sedan2Door_0_0_0_20_0_80_60_450:gt ['0', '0', '0', '20', '0']:pred [ 3.792083  2.897476  0.       20.       11.575134]
Sedan4Door_-20_0_-20_20_20_0_20_450:gt ['-20', '0', '-20', '20', '20']:pred [19.822899  0.       21.428946 20.       20.      ]
Hybrid_-20_0_-20_20_20_320_20_400:gt ['-20', '0', '-20', '20', '20']:pred [22.35895   0.       20.       20.       15.301084]
Sedan2Door_0_0_0_20_20_80_20_450:gt ['0', '0', '0', '20', '20']:pred [ 3.4831479  0.         0.        20.        20.       ]
Sedan4Door_-20_0_-20_0_0_160_20_450:gt ['-20', '0', '-20', '0', '0']:pred [20.         3.2883668 20.         7.234976   0.       ]
Hybrid_0_0_-20_20_0_80_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 4.629344  5.752348 20.       20.        8.177618]
Suv_-20_20_0_0_20_80_60_450:gt ['-20', '20', '0', '0', '20']:pred [21.933723  15.136013   6.0676856 16.154743  13.238534 ]
Hybrid_0_20_-20_0_0_0_60_450:gt ['0', '20', '-20', '0', '0']:pred [ 4.696118 16.48448  20.        0.        2.764351]
Hybrid_-20_0_0_20_20_0_20_400:gt ['-20', '0', '0', '20', '20']:pred [21.246742  0.        0.       20.       20.      ]
Hybrid_0_0_-20_20_0_80_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 3.886785  0.       20.       20.        0.      ]
Sedan2Door_-20_0_-20_0_20_0_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.659115  0.       20.        0.       20.      ]
