Sedan2Door_-20_20_0_20_0_160_60_450:gt ['-20', '20', '0', '20', '0']:pred [26.792864   6.47869    0.        31.790073   6.5915446]
Sedan4Door_-20_20_0_20_20_80_20_450:gt ['-20', '20', '0', '20', '20']:pred [30.18398  20.       10.107115 20.       20.      ]
Hatchback_-20_20_-20_20_0_0_60_450:gt ['-20', '20', '-20', '20', '0']:pred [ 3.1051593 24.974298  17.35899   20.        14.12268  ]
Sedan2Door_0_0_-20_0_0_160_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 5.375789  9.305916 11.791146 15.785387 21.284988]
Sedan2Door_-20_0_-20_20_0_320_20_400:gt ['-20', '0', '-20', '20', '0']:pred [24.078262  0.       20.       20.       23.811573]
Hybrid_-20_0_0_0_20_0_20_400:gt ['-20', '0', '0', '0', '20']:pred [22.691195  0.        0.        0.       20.      ]
Suv_-20_20_0_0_0_0_20_400:gt ['-20', '20', '0', '0', '0']:pred [31.588404  20.         1.3427501  0.         0.       ]
Suv_0_0_0_0_0_160_60_450:gt ['0', '0', '0', '0', '0']:pred [13.811303   4.5607033  8.139612  17.28517    2.5048854]
Hatchback_-20_0_-20_20_20_80_60_400:gt ['-20', '0', '-20', '20', '20']:pred [14.430971   3.2374928 19.644234  25.672722  12.6845455]
Sedan2Door_0_0_-20_0_0_80_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 7.025384  0.       20.        0.        0.      ]
Sedan2Door_-20_20_-20_0_0_80_20_450:gt ['-20', '20', '-20', '0', '0']:pred [27.936663 20.       20.        0.        0.      ]
Hybrid_-20_20_0_0_20_0_60_450:gt ['-20', '20', '0', '0', '20']:pred [11.352336 25.042583  0.        0.       38.345432]
Hybrid_0_0_0_20_0_160_60_400:gt ['0', '0', '0', '20', '0']:pred [16.952568 23.28222   0.       20.       29.55444 ]
Hatchback_-20_20_0_20_0_0_60_450:gt ['-20', '20', '0', '20', '0']:pred [21.97279  29.00562  15.012177 20.       17.6591  ]
Sedan4Door_-20_0_0_0_20_80_20_450:gt ['-20', '0', '0', '0', '20']:pred [10.439688   0.         1.2514434  0.        20.       ]
Hatchback_-20_20_0_20_20_0_20_400:gt ['-20', '20', '0', '20', '20']:pred [ 7.263228 20.        1.534445 20.       20.      ]
Suv_-20_20_-20_0_20_160_20_450:gt ['-20', '20', '-20', '0', '20']:pred [20.        31.965073   3.4054275 26.716927  44.581802 ]
Hatchback_0_0_-20_20_20_80_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 1.7397032  4.0405498 11.68323   30.801981  40.43672  ]
Sedan2Door_-20_0_-20_20_20_0_60_400:gt ['-20', '0', '-20', '20', '20']:pred [33.66335   17.379343   9.8170805 33.79581    8.729071 ]
Hatchback_0_0_0_0_0_0_60_400:gt ['0', '0', '0', '0', '0']:pred [ 3.9268634 27.645554   3.6362026  8.309802  10.71977  ]
Sedan4Door_-20_0_0_0_20_160_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.        4.663519  0.       26.741583 20.      ]
Sedan2Door_-20_0_0_20_0_240_60_400:gt ['-20', '0', '0', '20', '0']:pred [22.393742   6.0345974 22.129211  26.408697   2.863796 ]
Hybrid_0_0_0_0_20_320_20_400:gt ['0', '0', '0', '0', '20']:pred [ 2.732803  0.        0.        0.       29.784258]
Sedan4Door_0_20_-20_20_20_240_20_450:gt ['0', '20', '-20', '20', '20']:pred [ 0.       25.760262 20.       36.711388 30.038649]
Sedan4Door_-20_0_-20_20_20_320_20_450:gt ['-20', '0', '-20', '20', '20']:pred [16.094604  0.       18.092562 20.       37.018932]
Sedan4Door_-20_0_-20_20_0_320_60_450:gt ['-20', '0', '-20', '20', '0']:pred [14.981477 23.818947 26.990055 29.947838 30.572165]
Suv_-20_20_0_20_0_320_60_450:gt ['-20', '20', '0', '20', '0']:pred [29.161474  20.         9.897074  24.719137   3.7066188]
Hybrid_-20_20_-20_0_20_0_60_450:gt ['-20', '20', '-20', '0', '20']:pred [13.509238 34.580074 11.119764  0.       10.767212]
Hatchback_-20_20_-20_0_20_0_60_400:gt ['-20', '20', '-20', '0', '20']:pred [ 5.0422525 22.477379  21.131319   0.        18.66082  ]
Hatchback_-20_20_-20_20_20_80_60_400:gt ['-20', '20', '-20', '20', '20']:pred [33.46548   12.9137945 29.285915  27.235577  28.19927  ]
Suv_-20_20_-20_20_0_320_60_400:gt ['-20', '20', '-20', '20', '0']:pred [11.505301 25.983984 17.75493  40.686134 12.270662]
Sedan2Door_-20_20_-20_20_20_0_60_450:gt ['-20', '20', '-20', '20', '20']:pred [17.359184 13.354633 20.       14.059055 27.369585]
Sedan4Door_-20_20_0_0_0_160_20_450:gt ['-20', '20', '0', '0', '0']:pred [20.       27.35779   0.       17.42945  29.522917]
Hybrid_-20_20_-20_0_0_80_20_400:gt ['-20', '20', '-20', '0', '0']:pred [17.877802 20.       20.        0.        0.      ]
Hybrid_0_20_0_20_0_240_20_400:gt ['0', '20', '0', '20', '0']:pred [ 0.       14.465332  0.        6.083643  7.184624]
Hatchback_0_0_-20_20_0_160_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 6.6007285 13.983985  18.963942  29.764105  39.92234  ]
Hybrid_0_0_0_20_20_160_20_450:gt ['0', '0', '0', '20', '20']:pred [ 0.        15.6399555  0.        20.        20.       ]
Sedan4Door_0_0_-20_0_20_0_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 6.4675207  0.        28.141582   0.        20.       ]
Suv_-20_20_0_20_20_240_60_400:gt ['-20', '20', '0', '20', '20']:pred [15.4846   10.507547 17.758532 48.978283 32.540447]
Hybrid_-20_20_0_20_0_240_20_400:gt ['-20', '20', '0', '20', '0']:pred [20.       10.715345  0.       20.        8.862596]
Hybrid_0_0_0_0_0_0_60_450:gt ['0', '0', '0', '0', '0']:pred [ 2.0773335 17.925814   2.5043824 14.056155   4.0438104]
Sedan4Door_-20_20_0_20_20_80_60_450:gt ['-20', '20', '0', '20', '20']:pred [ 4.6054745 16.66749    8.817     29.591917   9.12831  ]
Hybrid_0_20_0_0_20_160_20_450:gt ['0', '20', '0', '0', '20']:pred [ 0.       33.709995  0.       18.789454 20.      ]
Suv_-20_0_0_20_0_0_20_450:gt ['-20', '0', '0', '20', '0']:pred [17.466003   0.         2.6221542 20.         0.       ]
Hybrid_-20_0_-20_20_20_0_20_400:gt ['-20', '0', '-20', '20', '20']:pred [23.368103  0.       20.       20.       20.      ]
Hybrid_-20_0_-20_0_0_320_20_400:gt ['-20', '0', '-20', '0', '0']:pred [26.65435   0.       20.        0.        9.290884]
Sedan4Door_-20_0_-20_0_20_320_20_400:gt ['-20', '0', '-20', '0', '20']:pred [28.581966  0.       15.914714  0.       36.540005]
Sedan4Door_0_20_-20_0_0_240_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 0.       22.379042 20.       25.875353 30.706182]
Sedan2Door_-20_20_-20_0_20_80_60_450:gt ['-20', '20', '-20', '0', '20']:pred [ 4.1963515 16.2661    13.642243  35.73618   23.13754  ]
Suv_-20_20_0_0_20_320_20_450:gt ['-20', '20', '0', '0', '20']:pred [28.88647   20.         1.7315297  0.        22.343523 ]
Suv_0_20_-20_20_20_80_20_450:gt ['0', '20', '-20', '20', '20']:pred [ 2.6513817 20.        36.023403  20.        27.939644 ]
Sedan2Door_-20_20_0_0_20_160_20_400:gt ['-20', '20', '0', '0', '20']:pred [20.       19.306683  0.        0.       20.      ]
Sedan4Door_0_0_0_0_0_320_60_450:gt ['0', '0', '0', '0', '0']:pred [ 5.977912  24.555166   7.7205176 29.688828  43.56321  ]
Hatchback_0_0_0_0_20_320_60_400:gt ['0', '0', '0', '0', '20']:pred [ 1.7301142 33.36466    3.165694  39.142677   5.1321135]
Hybrid_-20_20_0_20_20_160_20_400:gt ['-20', '20', '0', '20', '20']:pred [20.        15.7629595  0.        20.        20.       ]
Sedan4Door_0_20_0_0_20_240_20_450:gt ['0', '20', '0', '0', '20']:pred [ 0.       21.133736  0.       18.934355 32.115833]
Hybrid_0_0_-20_0_20_80_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 3.005811   5.416923   7.5063944 10.884551  41.529465 ]
Sedan4Door_0_20_-20_20_0_0_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 1.8975896 37.475956  16.949034  22.18959   40.300396 ]
Sedan2Door_0_0_-20_20_0_240_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.      10.4846  20.      18.10101  8.27   ]
Hatchback_0_20_0_0_0_320_20_400:gt ['0', '20', '0', '0', '0']:pred [ 5.606676  20.         1.0824105  0.        14.81359  ]
Suv_0_0_-20_0_20_160_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.         3.854578   4.5958266  6.8319373 34.44596  ]
Suv_-20_20_0_0_20_0_20_400:gt ['-20', '20', '0', '0', '20']:pred [31.38402   20.         3.5025928  0.        20.       ]
Hatchback_-20_0_-20_0_20_0_60_450:gt ['-20', '0', '-20', '0', '20']:pred [13.775028 16.114466 27.69982  27.391905 16.37913 ]
Hybrid_-20_20_-20_0_20_240_20_450:gt ['-20', '20', '-20', '0', '20']:pred [20.       10.411394 20.        0.       34.6164  ]
Hatchback_0_0_-20_0_20_320_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 8.187908 32.2735   13.874151  0.       40.919693]
Sedan2Door_0_0_-20_20_20_240_60_450:gt ['0', '0', '-20', '20', '20']:pred [19.87554    3.1886375 12.828195  35.675934  29.793106 ]
Suv_-20_20_-20_20_20_0_20_450:gt ['-20', '20', '-20', '20', '20']:pred [24.046259 20.       20.982563 20.       20.      ]
Suv_0_0_0_20_0_0_20_450:gt ['0', '0', '0', '20', '0']:pred [ 2.539265   0.         1.1993891 20.         0.       ]
Suv_0_20_-20_0_20_160_60_450:gt ['0', '20', '-20', '0', '20']:pred [19.200525 24.679558 20.       33.229477 24.00248 ]
Hybrid_-20_0_0_20_0_0_20_400:gt ['-20', '0', '0', '20', '0']:pred [27.779638  0.        0.       20.        0.      ]
Suv_0_0_0_20_0_320_20_400:gt ['0', '0', '0', '20', '0']:pred [ 3.4258478  0.         2.0466058 20.         4.642947 ]
Sedan2Door_0_20_-20_0_0_80_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 4.759817 20.       20.        0.        0.      ]
Hybrid_-20_20_0_0_0_320_60_400:gt ['-20', '20', '0', '0', '0']:pred [ 6.5281844 34.52977    0.         0.         2.697125 ]
Sedan4Door_0_20_-20_0_0_160_60_400:gt ['0', '20', '-20', '0', '0']:pred [11.006436 35.89726   9.88169  15.141285 15.756605]
Suv_-20_0_0_0_0_80_20_450:gt ['-20', '0', '0', '0', '0']:pred [19.34941  0.       0.       0.       0.     ]
Sedan2Door_0_20_-20_20_20_80_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 0.62628126 17.050772    5.5696454  33.16958    29.337725  ]
Hybrid_-20_0_-20_20_0_80_60_400:gt ['-20', '0', '-20', '20', '0']:pred [18.750881 19.468918 19.051134 20.296705 16.21155 ]
Sedan4Door_-20_0_-20_0_20_160_60_400:gt ['-20', '0', '-20', '0', '20']:pred [15.805464  18.292149  20.         5.6931186 16.252678 ]
Hybrid_0_0_-20_20_0_0_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 4.4354053  0.        11.133084   5.444136   7.969313 ]
Hybrid_-20_20_0_20_0_160_60_450:gt ['-20', '20', '0', '20', '0']:pred [28.880915  21.005024   0.        13.1561365 27.381289 ]
Hatchback_-20_20_0_20_0_80_20_450:gt ['-20', '20', '0', '20', '0']:pred [ 8.693067 20.        0.       20.        0.      ]
Hybrid_-20_0_0_0_0_320_60_450:gt ['-20', '0', '0', '0', '0']:pred [ 8.434025 23.762413 14.057737  0.        8.121197]
Hatchback_-20_20_0_20_0_320_60_450:gt ['-20', '20', '0', '20', '0']:pred [ 4.309694 41.929115  9.481926 20.684837 17.08273 ]
Sedan4Door_-20_0_-20_20_0_160_60_400:gt ['-20', '0', '-20', '20', '0']:pred [ 7.644841 30.18326  24.72372  38.99209  16.06877 ]
Sedan2Door_-20_0_-20_0_0_80_20_450:gt ['-20', '0', '-20', '0', '0']:pred [38.84221  0.      20.       0.       0.     ]
Sedan4Door_-20_20_-20_20_0_240_60_450:gt ['-20', '20', '-20', '20', '0']:pred [11.127539 18.24994  36.215073 20.268509 15.013518]
Sedan2Door_-20_20_0_20_20_0_20_400:gt ['-20', '20', '0', '20', '20']:pred [18.462612 20.        0.       20.       20.      ]
Hatchback_-20_0_-20_0_0_80_60_450:gt ['-20', '0', '-20', '0', '0']:pred [16.340904 39.30952  32.75481  15.08531   8.585296]
Sedan2Door_0_20_0_0_0_0_60_450:gt ['0', '20', '0', '0', '0']:pred [ 1.1773126 16.635      5.2357516  7.2331514  1.291853 ]
Sedan2Door_-20_0_-20_0_0_0_20_450:gt ['-20', '0', '-20', '0', '0']:pred [9.236145  0.        2.2637982 0.        0.       ]
Hatchback_-20_20_-20_0_0_0_60_450:gt ['-20', '20', '-20', '0', '0']:pred [10.971236 30.217896 31.567719 10.271534 10.176921]
Sedan4Door_0_20_-20_20_0_80_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 2.8712597 20.        28.87329   20.         0.       ]
Hatchback_0_20_0_0_0_80_20_400:gt ['0', '20', '0', '0', '0']:pred [ 2.1480572 20.         0.         0.         0.       ]
Hybrid_0_20_0_0_0_320_20_400:gt ['0', '20', '0', '0', '0']:pred [ 4.6334453 20.         0.         0.        17.323366 ]
Sedan4Door_-20_20_-20_0_0_240_60_400:gt ['-20', '20', '-20', '0', '0']:pred [33.76002  11.190715 41.30063  28.132242 10.505416]
Sedan4Door_0_20_0_0_20_160_60_400:gt ['0', '20', '0', '0', '20']:pred [21.816143 30.153315  0.       19.81739   9.846895]
Sedan2Door_0_20_-20_20_0_160_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 1.2684592 32.31469   20.         5.4106865 20.15033  ]
Hatchback_0_0_0_20_20_240_20_400:gt ['0', '0', '0', '20', '20']:pred [ 0.         7.5659323  0.        44.338867  21.544827 ]
Suv_0_20_0_20_0_240_60_450:gt ['0', '20', '0', '20', '0']:pred [ 9.769422  11.303939  15.630008  18.519041   7.6257124]
Hatchback_0_0_0_20_0_160_20_450:gt ['0', '0', '0', '20', '0']:pred [ 0.      19.32175  0.      43.98902  0.     ]
Suv_-20_20_-20_0_0_320_20_450:gt ['-20', '20', '-20', '0', '0']:pred [ 7.8184032 20.         7.0028567  0.         4.1998243]
Sedan2Door_0_20_-20_0_0_0_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 0.43662643 16.787811    4.7798567   9.882569   12.269577  ]
Hatchback_0_0_0_20_0_0_20_450:gt ['0', '0', '0', '20', '0']:pred [ 0.8036314  0.         1.484439  20.         0.       ]
Hatchback_0_20_0_0_20_240_20_450:gt ['0', '20', '0', '0', '20']:pred [ 0.        4.233629  0.       38.928345 23.951984]
Suv_0_20_0_0_20_320_60_400:gt ['0', '20', '0', '0', '20']:pred [ 1.8585743 20.         7.4938984 11.867085  14.357974 ]
Sedan4Door_-20_20_-20_0_20_240_60_450:gt ['-20', '20', '-20', '0', '20']:pred [30.913885 10.499877 25.549175 19.360306  9.044698]
Hybrid_-20_20_-20_0_0_160_60_400:gt ['-20', '20', '-20', '0', '0']:pred [11.69048   21.494583  13.059019   3.1960826 12.017007 ]
Sedan4Door_0_0_0_0_0_160_20_400:gt ['0', '0', '0', '0', '0']:pred [ 0.        8.16858  11.073271 23.338919  0.      ]
Sedan4Door_0_0_0_20_0_0_60_400:gt ['0', '0', '0', '20', '0']:pred [ 3.084563  11.733756   3.47635   22.47685    4.8420005]
Hatchback_-20_0_0_0_20_80_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.732786  0.        0.        0.       20.      ]
Hybrid_0_20_-20_20_0_0_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 2.6612756 20.        20.        20.         0.       ]
Sedan2Door_-20_0_-20_0_20_240_20_450:gt ['-20', '0', '-20', '0', '20']:pred [20.         6.0723076 20.         7.324666  42.59074  ]
Suv_0_20_-20_20_0_320_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 3.6401799 20.        16.321148  20.         2.4544125]
Hybrid_0_0_-20_20_20_320_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 2.7760081 22.528984  20.        18.25772   35.23565  ]
Hybrid_0_0_-20_20_0_240_60_450:gt ['0', '0', '-20', '20', '0']:pred [11.822257   6.567845   8.275554   3.2051675  1.5357944]
Suv_0_0_0_0_0_320_20_400:gt ['0', '0', '0', '0', '0']:pred [ 1.3122666  0.         2.4285858  0.        10.072021 ]
Sedan2Door_0_20_-20_0_20_320_60_450:gt ['0', '20', '-20', '0', '20']:pred [12.61865   39.526825   6.512488  12.851231   3.5695925]
Hybrid_0_0_0_20_20_80_60_400:gt ['0', '0', '0', '20', '20']:pred [ 5.4432917 15.853525  14.30047   12.512666  44.90477  ]
Hatchback_-20_20_0_0_0_320_20_400:gt ['-20', '20', '0', '0', '0']:pred [15.962319  20.         4.9125896  0.        35.525303 ]
Suv_-20_0_-20_0_0_240_20_450:gt ['-20', '0', '-20', '0', '0']:pred [20.       12.620707 20.       12.91487  31.14586 ]
Hatchback_0_20_0_20_20_240_60_400:gt ['0', '20', '0', '20', '20']:pred [27.586433 10.567712 14.102479 19.300495 15.817621]
Suv_0_0_-20_20_20_160_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.        6.233887 13.594698 20.845018 19.965788]
Suv_-20_0_-20_0_20_160_60_400:gt ['-20', '0', '-20', '0', '20']:pred [10.550779  10.893295   7.9673133  1.2595891 13.745273 ]
Hatchback_-20_0_-20_0_20_80_20_450:gt ['-20', '0', '-20', '0', '20']:pred [28.573057  0.       35.285236  0.       20.      ]
Sedan2Door_-20_0_-20_0_20_240_20_400:gt ['-20', '0', '-20', '0', '20']:pred [20.        2.227217 20.       37.495197 28.990555]
Hybrid_0_20_-20_0_0_240_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 8.736644   6.1596494 17.52216    6.0635614  3.6175997]
Hatchback_-20_20_-20_0_0_240_60_400:gt ['-20', '20', '-20', '0', '0']:pred [15.020043  4.368502 30.93288  19.129747 18.784033]
Sedan4Door_-20_0_0_0_20_80_60_400:gt ['-20', '0', '0', '0', '20']:pred [11.392571   6.5618496  2.2381282 38.478035   5.590354 ]
Hatchback_-20_0_0_20_20_240_60_450:gt ['-20', '0', '0', '20', '20']:pred [22.666233  5.543887  0.       38.128582 16.001263]
Hatchback_0_0_-20_20_0_320_60_400:gt ['0', '0', '-20', '20', '0']:pred [ 0.87085944 35.789326    7.484552   49.77218    36.22493   ]
Hybrid_0_0_-20_20_20_240_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 0.       10.541832 20.       20.       39.437443]
Hatchback_0_0_0_20_20_80_20_450:gt ['0', '0', '0', '20', '20']:pred [ 3.031578  0.        8.357117 20.       20.      ]
Sedan2Door_0_20_-20_0_20_320_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 3.792594  20.         0.9807035  0.        23.517965 ]
Suv_0_0_0_0_20_240_20_400:gt ['0', '0', '0', '0', '20']:pred [ 0.        8.93215   0.       14.692029 35.837254]
Suv_0_20_0_0_20_0_20_400:gt ['0', '20', '0', '0', '20']:pred [ 5.5599794 20.         3.8670883  0.        20.       ]
Hybrid_0_20_-20_0_20_240_20_400:gt ['0', '20', '-20', '0', '20']:pred [ 0.       16.573908 20.        0.       33.10545 ]
Suv_0_20_0_0_0_160_20_400:gt ['0', '20', '0', '0', '0']:pred [ 0.        19.682043  15.778588   2.7508411  0.       ]
Sedan4Door_0_0_0_20_20_240_20_400:gt ['0', '0', '0', '20', '20']:pred [ 0.       17.680305  0.       44.680218 37.99954 ]
Sedan2Door_0_20_-20_20_0_240_60_400:gt ['0', '20', '-20', '20', '0']:pred [8.106811  3.346991  9.832657  4.8165073 4.6190557]
Hybrid_0_20_-20_0_20_80_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 3.652384  17.481762   6.1362534 19.47807   38.773514 ]
Sedan2Door_-20_20_-20_0_0_80_20_400:gt ['-20', '20', '-20', '0', '0']:pred [ 6.761273   20.         18.270086   26.996813    0.28924656]
Hatchback_-20_20_-20_20_20_320_60_450:gt ['-20', '20', '-20', '20', '20']:pred [ 3.8394468 29.249954  13.469262  39.427444  27.805645 ]
Hatchback_0_20_0_0_20_80_60_450:gt ['0', '20', '0', '0', '20']:pred [ 6.0370245 18.628517   3.0499866 19.910995   8.752455 ]
Sedan2Door_-20_0_-20_0_0_240_20_450:gt ['-20', '0', '-20', '0', '0']:pred [20.        29.554947  20.        25.288206   5.0514483]
Suv_-20_0_0_0_20_80_60_400:gt ['-20', '0', '0', '0', '20']:pred [15.9174385  6.4935207  2.3987293 16.782661  38.48155  ]
Sedan4Door_-20_0_-20_20_20_0_20_400:gt ['-20', '0', '-20', '20', '20']:pred [35.754654  0.       31.59834  20.       20.      ]
Suv_0_20_-20_0_20_80_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 1.3430215 20.         6.967971   0.        20.       ]
Sedan4Door_-20_20_-20_20_0_160_20_450:gt ['-20', '20', '-20', '20', '0']:pred [20.      22.5445  20.      34.10639  0.     ]
Sedan4Door_0_20_-20_20_0_240_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 0.       28.7514   20.       21.904123 14.826713]
Hybrid_-20_0_0_0_0_320_60_400:gt ['-20', '0', '0', '0', '0']:pred [ 9.115941 25.028246  0.       16.968294  8.109413]
Suv_-20_0_0_0_0_320_60_400:gt ['-20', '0', '0', '0', '0']:pred [ 7.478246  10.812118   7.309894  10.272519  13.0538845]
Hatchback_-20_20_-20_0_20_160_60_400:gt ['-20', '20', '-20', '0', '20']:pred [30.518585 18.72397  20.       10.490579 17.88919 ]
Hatchback_-20_20_-20_0_0_160_20_450:gt ['-20', '20', '-20', '0', '0']:pred [20.       32.656315 10.559232 14.018126  0.      ]
Suv_0_20_0_20_20_240_60_450:gt ['0', '20', '0', '20', '20']:pred [ 9.493281 20.575792 10.559513 34.652992 27.476738]
Sedan2Door_-20_20_0_0_0_80_60_450:gt ['-20', '20', '0', '0', '0']:pred [ 4.2756405  4.685261   8.0732355 24.950096  40.65173  ]
Hatchback_-20_20_-20_20_0_80_60_400:gt ['-20', '20', '-20', '20', '0']:pred [ 3.0275908 18.325619  24.677042   6.0839314 19.250465 ]
Suv_0_20_-20_0_20_80_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 7.478957 20.963188 38.032925  4.113058 37.145435]
Sedan2Door_0_20_0_20_0_320_60_400:gt ['0', '20', '0', '20', '0']:pred [ 4.32869  18.153397  8.001818 11.830543 17.824411]
Sedan2Door_0_0_-20_0_20_160_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 0.        4.046534 11.080715 16.523533 37.104877]
Hatchback_0_0_-20_20_20_80_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 3.7128582  9.753039  11.863662  22.814157  54.461567 ]
Sedan4Door_-20_20_-20_0_0_80_60_450:gt ['-20', '20', '-20', '0', '0']:pred [23.849852  5.689113 12.105824 43.560467 25.329885]
Sedan2Door_0_0_-20_0_0_320_20_400:gt ['0', '0', '-20', '0', '0']:pred [4.443216  0.        1.6829067 0.        3.7811937]
Hybrid_0_0_0_20_0_80_20_450:gt ['0', '0', '0', '20', '0']:pred [ 4.2235694  0.         0.        20.         0.       ]
Hybrid_0_20_0_20_20_80_60_450:gt ['0', '20', '0', '20', '20']:pred [ 1.5345883 13.994261   2.2015386 28.189978  43.751503 ]
Sedan4Door_0_20_0_20_20_320_20_400:gt ['0', '20', '0', '20', '20']:pred [ 9.561516  20.         1.9825683 20.        11.138664 ]
Sedan4Door_0_0_-20_0_0_240_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 5.79769   8.680487 11.085609 10.484475 13.624564]
Sedan4Door_-20_0_-20_20_20_0_60_400:gt ['-20', '0', '-20', '20', '20']:pred [ 5.9552054 16.000025  23.222694  16.557436  24.360987 ]
Hatchback_-20_20_-20_20_20_240_60_400:gt ['-20', '20', '-20', '20', '20']:pred [ 4.50158   9.295223 24.098907 24.24007  21.674545]
Suv_0_0_0_20_20_320_60_400:gt ['0', '0', '0', '20', '20']:pred [ 4.5234456  0.         7.891116  18.484097  15.269653 ]
Hybrid_-20_20_-20_20_0_320_60_450:gt ['-20', '20', '-20', '20', '0']:pred [17.750519  32.2832    20.        38.36038    5.3408527]
Hatchback_0_0_-20_20_20_240_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 9.325325   2.9660895  8.054399  46.252064  25.736616 ]
Hatchback_-20_0_0_20_0_240_60_400:gt ['-20', '0', '0', '20', '0']:pred [10.055742  6.550301  0.       54.282883 33.371574]
Hybrid_-20_20_-20_0_20_160_60_450:gt ['-20', '20', '-20', '0', '20']:pred [ 3.1995034 12.96989   11.280685   4.9116144 22.511885 ]
Suv_0_20_-20_0_20_160_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.       26.02797  20.        6.160787 20.      ]
Hybrid_-20_20_-20_0_0_160_20_400:gt ['-20', '20', '-20', '0', '0']:pred [20.      20.88748 20.       0.       0.     ]
Suv_0_0_-20_20_0_80_60_400:gt ['0', '0', '-20', '20', '0']:pred [11.249885   3.8115733 31.911034  49.981606  30.392933 ]
Hybrid_-20_20_0_0_0_240_60_450:gt ['-20', '20', '0', '0', '0']:pred [ 9.040372  11.675002  10.091189  11.38474    6.2895083]
Sedan4Door_0_20_-20_20_0_160_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 6.3492846 19.9913     9.707593  18.906029  12.891723 ]
Sedan4Door_0_0_-20_0_20_0_20_400:gt ['0', '0', '-20', '0', '20']:pred [ 4.610963  0.       12.19913   0.       20.      ]
Hybrid_0_20_0_20_20_320_60_450:gt ['0', '20', '0', '20', '20']:pred [ 1.9767612 31.583733   1.629094  20.         5.140369 ]
Suv_0_20_0_20_0_240_20_450:gt ['0', '20', '0', '20', '0']:pred [ 0.         9.730624   0.        34.888325   7.5720377]
Sedan4Door_0_0_0_20_0_0_60_450:gt ['0', '0', '0', '20', '0']:pred [ 1.8316284 21.556211   6.5673094 28.547834  36.072468 ]
Hybrid_0_0_-20_0_20_240_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 6.233408   3.2160778 10.868777  16.279915  10.901966 ]
Hatchback_-20_0_-20_0_0_0_60_450:gt ['-20', '0', '-20', '0', '0']:pred [ 7.06797  13.886872 22.450312  0.       11.157566]
Hatchback_0_20_-20_20_20_320_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 3.5224655 20.        18.669907  20.        39.668053 ]
Sedan4Door_-20_20_0_0_0_240_20_400:gt ['-20', '20', '0', '0', '0']:pred [20.        6.800556  0.       41.3613   42.697094]
Hatchback_-20_20_0_0_0_0_60_450:gt ['-20', '20', '0', '0', '0']:pred [24.668104  26.006208   5.1495495 34.09181    6.209344 ]
Suv_0_20_0_20_20_160_60_400:gt ['0', '20', '0', '20', '20']:pred [26.091301 27.432486  0.        9.521331 29.56232 ]
Sedan4Door_-20_20_0_20_0_0_20_450:gt ['-20', '20', '0', '20', '0']:pred [25.26193   20.         3.5105324 20.         0.       ]
Suv_0_20_0_0_0_0_60_400:gt ['0', '20', '0', '0', '0']:pred [ 3.5997415 27.668331   6.383052   0.         2.679557 ]
Hatchback_0_0_-20_20_0_80_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 1.9147832 27.45524   12.871662  29.396807  20.02505  ]
Hybrid_-20_20_0_20_20_240_20_400:gt ['-20', '20', '0', '20', '20']:pred [20.         7.4243836  0.        20.        24.19934  ]
