7dac31838b627748eb631ba05bd8dfe_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [13.406195 21.326334 20.       20.       40.      ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [22.394562 20.       20.       20.       23.052578]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.         6.6991715 20.        20.         8.2929735]
4f17af1ca7ae689d409b2c4484d833cc_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [ 9.600531  1.768226 20.       40.       20.      ]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [24.601667 22.238558 40.       40.       39.416332]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [30.756916 18.76436   7.118364 28.232164 40.      ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [22.078747 28.465544 40.       40.       48.496044]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [15.77509     0.92022085  5.6897798  38.740677   20.        ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       19.099148 20.       40.       12.455674]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_40_20_240_80_400:gt ['20', '40', '20', '40', '20']:pred [26.803143 21.236864 20.       40.       34.984833]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [21.011206 26.10296  40.       20.       20.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [32.976963 41.67367  20.       20.       40.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_40_20_80_40_400:gt ['20', '20', '40', '40', '20']:pred [20.       36.236275 40.       40.       20.      ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [31.175955 37.437176 13.565133 20.       40.      ]
4458ed2a746e61a3b11647ffa4306609_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [20.37107  33.242153 40.       20.       40.      ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [17.983156   8.895408   6.512605   7.3759027 20.       ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [27.011509  9.058384 40.       40.       20.71917 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [20.      22.54574 20.      40.      40.     ]
825fb860d71c78a477c771b4b7eed82c_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       10.741874 20.       40.       18.59058 ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [16.12266  14.513638 40.       40.       16.384403]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [15.692412  3.54692  40.       40.       20.      ]
1790131f5f74b1ed973aff268eb6b00c_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [18.71134    5.8202605 20.        27.031849  20.       ]
d0cf2f187acda5736be7348aa770e4ca_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       23.421    20.       13.919648 40.      ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [19.851852 18.389746 20.       40.       13.115623]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [38.253628 38.113983 40.       40.       20.      ]
6265f0745d3f40546bcd32c43682e841_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [23.768538 16.100323 20.       20.       40.      ]
70e27da90dec2de49604bf8c981ad1eb_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.      32.93522 20.      20.      23.50203]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [18.469862  3.082947 20.       20.       40.      ]
4458ed2a746e61a3b11647ffa4306609_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [21.094488 27.873835 40.       20.       40.      ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [36.33739  46.96709  13.482112 35.337936 40.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [35.074688 49.55238  20.       20.       20.      ]
fabcb04fc015f822ca8bf2993ca245b_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [32.949814 17.999    24.035973 42.436893 16.436733]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [31.468327  32.2271     7.7828846 38.190132  40.       ]
5ec3322293a39816ad7e7cea4034d226_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [22.013311   28.218218   40.         40.          0.38903326]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.       44.647114 40.       25.757605 20.93753 ]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_40_20_240_40_400:gt ['20', '40', '20', '40', '20']:pred [20.         3.8158348 20.        40.        12.651638 ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [33.296535   5.4061136 20.        40.        20.       ]
4458ed2a746e61a3b11647ffa4306609_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [25.488953 33.981445 20.       40.       20.      ]
a115d534edec6f89afe1d4530f4c6e24_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [30.032032   4.0029364 20.        20.        20.       ]
9d2b7938d426633b28044fe9244db50a_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [20. 40. 40. 20. 40.]
2f7cf2c2d170e3c936f37029483b3e41_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.      31.57192 40.      20.      38.05464]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [30.456741 40.699673 18.945578 40.       40.      ]
9c827e532de4967285089a13cc567dbd_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [20.       33.549534 40.       20.       20.      ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [13.076765   2.0641675 40.        20.        20.       ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.        26.429045  20.        20.         5.9458756]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [30.033228 26.689041 40.       40.       14.080111]
12f2905dc029f59a2479fbc7da5ed22b_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [23.806803   4.4812226 40.        40.        20.       ]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [25.699478   5.6666174  0.9814682 28.235273  40.       ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [17.480373   6.3756466 20.        20.        29.692783 ]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [29.716784   2.9574912 40.        20.        40.       ]
a88d69e53a01aab9ff1370452e3a0154_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       11.638347 40.        8.723559  8.455936]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [20.       21.087862 40.       20.       20.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [13.35401  43.047012 20.       40.       40.      ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       18.334986 40.       20.       20.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [19.317865 42.082565 15.715068 30.035831 32.48716 ]
7c46bfff2f90f11044592db9be5db5c8_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [33.256844 36.369053 40.       20.       41.73907 ]
216d910f71942f205df3c6413d40ccb2_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.       15.618576 20.       40.       40.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [27.567183   3.0367935 40.        40.        40.       ]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [40.        3.346746 20.       20.       14.477633]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [ 3.5648458 22.99293   20.        20.        40.       ]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       10.827913 20.       40.        9.40668 ]
a88d69e53a01aab9ff1370452e3a0154_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [14.152528 30.774364  4.335052 40.       40.      ]
7dac31838b627748eb631ba05bd8dfe_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [ 8.858813 21.388977 40.       40.       20.      ]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [14.417148  5.935826 20.       20.       40.      ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [30.234049 12.5848   10.743503 34.422344 20.      ]
70e27da90dec2de49604bf8c981ad1eb_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [ 2.6566455 20.926693  20.        40.        33.244694 ]
cde88b5900e8dfba725a7749daae1afa_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       31.560932 20.       40.       40.      ]
70e27da90dec2de49604bf8c981ad1eb_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       33.181313 20.       40.       23.4473  ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.         0.7948021 20.        20.        11.854174 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [ 4.4301577  4.0839148 40.        20.        40.       ]
4458ed2a746e61a3b11647ffa4306609_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [15.721487 31.532732 20.       20.       40.      ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [28.69675  13.314989 40.       20.       19.481684]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [23.843      6.6414156 40.        40.        22.138153 ]
9d2b7938d426633b28044fe9244db50a_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [20. 40. 20. 40. 20.]
5e87b04efd58cc8922412d2a728de1d5_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [40.         6.2388234 20.        20.         9.9914255]
70e27da90dec2de49604bf8c981ad1eb_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [14.862716 15.714256 40.       20.       40.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [35.465683 30.768803 20.       20.       16.215464]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [20.         1.5426695 40.        20.        16.939592 ]
5ec3322293a39816ad7e7cea4034d226_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.        13.779924  40.        40.         7.4031515]
9c827e532de4967285089a13cc567dbd_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       7.62034 40.      40.      40.     ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [30.513361    0.29591468  5.3475103  47.359383   20.        ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [37.972496   8.251307  40.        20.         1.7766514]
c61ec8875746ab78227375499b768057_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [22.330978 12.882175 40.       40.       17.488499]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [20.       24.918705 40.       32.38678  22.222593]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [20.502106 18.841732 20.       40.       20.      ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [ 6.983861  1.747395 20.       20.       40.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [22.44423   27.314413  40.        20.        10.1814575]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [37.53071  8.38851 40.      20.      40.     ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 2.2685266 28.032532  40.        20.        16.839249 ]
216d910f71942f205df3c6413d40ccb2_20_20_20_40_20_160_80_400:gt ['20', '20', '20', '40', '20']:pred [24.700693 23.872751 20.       40.       20.      ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_20_240_40_400:gt ['40', '40', '20', '20', '20']:pred [40.         3.7506437 20.        20.         5.3200054]
c61ec8875746ab78227375499b768057_20_40_20_40_20_240_40_400:gt ['20', '40', '20', '40', '20']:pred [20.         9.329474  20.        40.         0.8795689]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [19.734283 40.       20.       20.       21.477642]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [21.62979  27.860693 27.472416 47.03972  23.727394]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [25.334454 17.739153 24.648993 40.       40.      ]
7c46bfff2f90f11044592db9be5db5c8_40_20_20_40_20_240_40_400:gt ['40', '20', '20', '40', '20']:pred [40.       37.846146 20.       40.       20.187912]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [29.332748  5.930584 16.327662 43.051205 22.27355 ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [23.325062 28.170527 40.       40.       26.436228]
70e27da90dec2de49604bf8c981ad1eb_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [16.986124 14.558801 40.       40.       24.64006 ]
ffe0a5b165461eb66a2345809e2bb169_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [14.943121 20.188871  9.985101 17.346113 27.075134]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       27.827795 40.       20.       25.826958]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [19.348736   1.1209834  3.1091197 12.713606  15.506639 ]
4ac021653126a29e98618a1ba17f086b_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [24.849648 21.785234 40.       40.       40.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.         4.3168263 20.        26.42059   32.242813 ]
1790131f5f74b1ed973aff268eb6b00c_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.       13.040341 20.       20.       40.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [24.128551    0.23054738  5.4560366  46.15814    20.        ]
4ac021653126a29e98618a1ba17f086b_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.       32.71256  40.       20.       35.053486]
425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_20_160_80_400:gt ['20', '20', '40', '40', '20']:pred [ 4.879274  5.252874 40.       40.       36.56999 ]
1a64bf1e658652ddb11647ffa4306609_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [27.51284  27.84558  17.973166 20.       20.      ]
2f7cf2c2d170e3c936f37029483b3e41_40_20_20_40_20_160_80_400:gt ['40', '20', '20', '40', '20']:pred [20.787954 34.51485  20.       40.       35.750088]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_20_40_80_80_400:gt ['40', '40', '20', '20', '40']:pred [28.151789  14.9410305  6.8585916 32.30576   40.       ]
923007b377bb1cab473f10e6caaeca56_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       20.769667 20.       40.       40.      ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [25.117043  4.179899 20.       20.       21.925665]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [21.359167 19.511288 20.       20.       40.      ]
216d910f71942f205df3c6413d40ccb2_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [ 7.4086194 17.121716  40.        40.        40.       ]
70e27da90dec2de49604bf8c981ad1eb_20_40_40_40_20_240_80_400:gt ['20', '40', '40', '40', '20']:pred [16.889626   4.7942424 40.        40.        23.616936 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_20_20_160_80_400:gt ['40', '20', '40', '20', '20']:pred [12.245538   17.665716    0.43633017 11.11591     9.997297  ]
7dac31838b627748eb631ba05bd8dfe_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [20.          0.17756893 40.         20.         40.        ]
a387407d49e209fdeea60824a43a0b_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [20.       12.749046 20.       13.525002 11.354594]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [22.66624    1.6087312 40.        40.        40.       ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [25.338074 18.529015 40.       20.       20.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [17.60515 12.31757 20.      40.      40.     ]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [ 6.3155274  7.616769  40.        20.        40.       ]
a387407d49e209fdeea60824a43a0b_20_40_40_20_40_240_80_400:gt ['20', '40', '40', '20', '40']:pred [30.222391 22.145418 10.067317 28.09708  26.039625]
a387407d49e209fdeea60824a43a0b_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       43.02176  40.       34.123688 32.080982]
d72ffa185738bccd10b75223b5be6dbb_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.         1.6131042 40.        40.        20.       ]
4ac021653126a29e98618a1ba17f086b_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       28.054605 20.       20.       39.057533]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20.       18.643827 40.       40.       19.451632]
5ec3322293a39816ad7e7cea4034d226_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [28.159472   18.97769    40.         40.          0.22942074]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40.         7.7332735 40.        20.        40.       ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [40.        4.122049 20.       40.       20.      ]
9d2b7938d426633b28044fe9244db50a_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [40. 40. 20. 20. 40.]
825fb860d71c78a477c771b4b7eed82c_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [31.09751  23.898878 20.       20.       19.955976]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [24.97678 19.92146 20.      40.      40.     ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [15.261363  21.22426    4.3193297 33.967525  40.       ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [18.264881 12.19107  40.       20.       20.      ]
a88d69e53a01aab9ff1370452e3a0154_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [17.674675   18.342695    0.56682116 14.641178   17.207802  ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [27.26151    8.0517845 24.156923  14.947329  19.602003 ]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [40.448795 50.441994 40.       20.       10.272265]
1a64bf1e658652ddb11647ffa4306609_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20.       21.74089  40.       42.922386 22.558237]
1790131f5f74b1ed973aff268eb6b00c_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [13.19206  12.910043  5.663343 20.232725 20.      ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [28.70745     8.097356   40.         40.          0.12285475]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [28.848358 40.116005 15.723759 20.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       10.246369 40.       20.       40.      ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [40.         4.7371626 20.        20.        20.       ]
5ec3322293a39816ad7e7cea4034d226_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [40.         0.8183456 20.        20.         0.0986279]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [40.       27.249777 40.       20.       40.      ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [27.74436   7.706759 26.20276  10.994619 22.272955]
923007b377bb1cab473f10e6caaeca56_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [22.96325  32.451717 20.       40.       40.      ]
825fb860d71c78a477c771b4b7eed82c_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.        1.796875 40.       20.       10.320975]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.         3.9603004 40.        20.        20.       ]
a387407d49e209fdeea60824a43a0b_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [31.138866 12.88937  12.226673 45.03871  40.      ]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [29.453396   1.4312078 20.        20.        40.       ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [18.614027 11.116928 40.       40.       20.726593]
a387407d49e209fdeea60824a43a0b_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [28.474838 11.21097  10.098916 43.076874 40.      ]
5ec3322293a39816ad7e7cea4034d226_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [28.058191 11.154967 20.       40.       40.      ]
9c827e532de4967285089a13cc567dbd_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [20.        9.648608 20.       20.       40.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [34.737164 38.714893 20.       40.       40.      ]
6265f0745d3f40546bcd32c43682e841_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [20.        4.289125 40.       20.       20.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [29.824966 12.974544 20.       40.       40.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [29.351727   8.3777275 20.        40.        40.       ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [25.490786   1.1883435  8.073598  52.306534  40.       ]
7dac31838b627748eb631ba05bd8dfe_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [12.619298 14.309943 40.       40.       40.      ]
7dac31838b627748eb631ba05bd8dfe_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       15.521432 20.       40.       40.      ]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [17.59596   7.577081 20.       40.       40.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [23.05708  25.04942  11.935177 20.       40.      ]
a387407d49e209fdeea60824a43a0b_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [43.33974  39.810863 32.17428  36.193035 29.560667]
