70e27da90dec2de49604bf8c981ad1eb_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [33.386055   7.6558614 40.        40.        14.459921 ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       26.026907 40.       20.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [25.269526  8.146891 40.       40.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [25.360886   7.4352207 40.        20.        40.       ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40. 40. 20. 20. 20.]
d2592adba4e8e62648368c1a2f71c5f3_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [20.        8.755445 40.       20.055334 26.41348 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [11.430096 10.722175 40.       40.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [20.         5.5629916 20.        40.         0.4852512]
923007b377bb1cab473f10e6caaeca56_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       29.645786 40.       40.       40.      ]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [27.85119  32.63193  40.       20.       14.966658]
a387407d49e209fdeea60824a43a0b_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [25.377892 16.74312   9.772695 19.621147 40.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [12.987778   1.7322905 40.        20.        20.       ]
923007b377bb1cab473f10e6caaeca56_20_20_20_20_20_80_40_400:gt ['20', '20', '20', '20', '20']:pred [17.506046 10.617207 20.       20.       20.      ]
4458ed2a746e61a3b11647ffa4306609_40_20_40_40_40_80_40_400:gt ['40', '20', '40', '40', '40']:pred [35.771664 24.434494 40.       40.       40.      ]
12f2905dc029f59a2479fbc7da5ed22b_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [30.024647 32.402676 20.       40.       40.      ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [ 2.458867 14.937569 20.       40.       40.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [22.26682  21.353651 20.       40.       20.      ]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [10.167239   1.0029705 20.        40.        45.734165 ]
4ac021653126a29e98618a1ba17f086b_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [28.48976  40.960865 40.       20.       31.352312]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [36.243538 37.10319  40.       40.       20.      ]
a88d69e53a01aab9ff1370452e3a0154_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [23.228159  16.340946  18.113964   7.9525843 16.91587  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [22.419317 25.527224 16.143225 26.841103 20.      ]
9c827e532de4967285089a13cc567dbd_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [25.05966  12.523801 40.       40.       40.      ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [10.635573 12.034967 40.       40.       33.846962]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.        8.346478 40.       20.        8.535798]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.          4.964045   20.         40.          0.91331136]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [33.020573 35.601032 28.344805 40.       40.      ]
c61ec8875746ab78227375499b768057_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [40.      29.87141 40.      40.      10.54052]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       25.291513 20.       20.       18.375757]
425ba801e904cb50f3aaed7e86215c7b_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [10.29072   1.486756 40.       20.       20.      ]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [17.46576  5.1011  20.      20.      40.     ]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [20.991657   5.3175364 40.        20.        20.       ]
7c46bfff2f90f11044592db9be5db5c8_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [21.089787 36.96988  40.       40.       40.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [20.         5.6296034 20.        20.         8.075768 ]
b9786e1b059a1712ca92a4cdad802b45_20_20_20_40_20_240_40_400:gt ['20', '20', '20', '40', '20']:pred [20.          5.326231   20.         40.          0.76732785]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_40_40_240_40_400:gt ['40', '20', '40', '40', '40']:pred [40.         3.5055103 40.        40.        40.       ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [29.989487 21.507137 20.       20.       20.860552]
7c46bfff2f90f11044592db9be5db5c8_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.       32.355495 20.       20.       45.25463 ]
7dac31838b627748eb631ba05bd8dfe_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       28.414904 40.       40.       40.      ]
9d2b7938d426633b28044fe9244db50a_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [40. 20. 20. 40. 20.]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_40_20_160_40_400:gt ['20', '20', '20', '40', '20']:pred [20.        8.591485 20.       40.       15.100373]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [16.649788   1.1882553 20.        40.        40.       ]
4458ed2a746e61a3b11647ffa4306609_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.      34.51691 20.      20.      20.     ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.       30.778664 20.       20.       40.      ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [ 3.0630407  9.336189  20.        20.        40.       ]
cde88b5900e8dfba725a7749daae1afa_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [17.951984 12.554591 40.       20.       20.      ]
5ec3322293a39816ad7e7cea4034d226_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [32.329506 36.34629  20.       40.       23.826588]
86c8a3137a716d70e742b0b5e87bec54_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [12.626494  10.634595  12.101783   2.9893703 14.115031 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [40.       13.886943 20.       40.       20.      ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [40.        1.794882 20.       20.       40.      ]
216d910f71942f205df3c6413d40ccb2_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [28.319813 35.364433 20.       20.       40.      ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [ 3.6631212 12.982143  40.        20.        22.354923 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [22.341303 11.954004 20.       20.       40.      ]
cde88b5900e8dfba725a7749daae1afa_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [14.048803  9.583977 20.       20.       20.      ]
923007b377bb1cab473f10e6caaeca56_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [28.07688  26.400589 20.       20.       20.      ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [26.005522   3.0085456 20.        40.        40.       ]
a115d534edec6f89afe1d4530f4c6e24_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [10.733386 20.159935 40.       40.       33.74615 ]
1790131f5f74b1ed973aff268eb6b00c_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [18.427526   9.677424   7.3794317  3.469376  20.       ]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_20_40_240_40_400:gt ['20', '20', '20', '20', '40']:pred [20.         0.2261615 20.        20.         8.019659 ]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [13.855367 32.797894 40.       40.       26.54385 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [17.685455 13.46886  30.433695 40.       20.      ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [16.782587 18.894537 40.       20.       15.197883]
d72ffa185738bccd10b75223b5be6dbb_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [ 5.851838   6.4771686 40.        40.        40.       ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [40.      32.88462 40.      40.      20.     ]
923007b377bb1cab473f10e6caaeca56_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [31.540829 38.25192  40.       20.       20.      ]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [20.       10.903581 20.       20.       40.69362 ]
5e87b04efd58cc8922412d2a728de1d5_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.         8.11547   20.        20.         3.4189818]
825fb860d71c78a477c771b4b7eed82c_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [17.341724  7.717577 40.       20.       20.      ]
b9786e1b059a1712ca92a4cdad802b45_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [19.09963  29.932564 40.       20.       15.025513]
a88d69e53a01aab9ff1370452e3a0154_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.        20.61131   40.        16.12412    5.0241103]
5ec3322293a39816ad7e7cea4034d226_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [36.30194  41.377617 40.       20.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [24.912455 14.343941 20.       20.       40.      ]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [19.721966   6.9593534 40.        20.        33.52259  ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [38.739197 42.67072  24.42035  40.       40.      ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [20.         1.9097496 20.        40.         6.045418 ]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [20.         5.9683576 20.        20.         6.2120214]
4ac021653126a29e98618a1ba17f086b_40_40_40_20_20_240_80_400:gt ['40', '40', '40', '20', '20']:pred [23.441841 28.763597 40.       20.       44.050407]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [13.497133 11.672311 20.       20.       20.      ]
425ba801e904cb50f3aaed7e86215c7b_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [ 8.970492   3.5880752 40.        40.        40.       ]
5ec3322293a39816ad7e7cea4034d226_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [23.95513   25.702816  40.        40.         3.0054753]
ffe0a5b165461eb66a2345809e2bb169_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [40.        29.849697  20.         4.7141685 35.170937 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_40_20_40_240_40_400:gt ['20', '40', '40', '20', '40']:pred [20.      15.78043 40.      20.      40.48539]
1790131f5f74b1ed973aff268eb6b00c_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [40.         3.8490763 40.         9.872603  20.       ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [20.       14.298246 20.       20.       20.      ]
923007b377bb1cab473f10e6caaeca56_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [20.       25.415369 20.       40.       40.      ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [19.217596   9.8101425 40.        20.        40.       ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [23.599289  20.17849    9.069721   2.1231744  8.476761 ]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [25.842892 31.05338  20.       40.       14.766619]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [10.195336 26.883018 40.       20.       16.304811]
cde88b5900e8dfba725a7749daae1afa_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [20.       21.732834 20.       20.       40.      ]
fabcb04fc015f822ca8bf2993ca245b_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [23.696678  8.925011 31.532314 20.       22.82106 ]
9c827e532de4967285089a13cc567dbd_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [ 3.9469962 21.628017  20.        40.        20.       ]
216d910f71942f205df3c6413d40ccb2_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [22.107971 10.02254  40.       40.       20.      ]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [40.       30.118196 20.       16.655943 29.248396]
9d2b7938d426633b28044fe9244db50a_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [40. 40. 40. 20. 40.]
216d910f71942f205df3c6413d40ccb2_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [13.237348 11.928953 40.       40.       40.      ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_20_20_80_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       14.101046 20.       20.       20.      ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       32.941803 40.       11.829131 24.058186]
c61ec8875746ab78227375499b768057_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [37.6767   43.781578 20.       20.       20.      ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [17.333904  3.346459 40.       40.       40.      ]
c61ec8875746ab78227375499b768057_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [ 7.52287  22.849058 20.       20.       15.065914]
a387407d49e209fdeea60824a43a0b_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [ 3.3258185 13.837917   2.79643   14.048264  21.50732  ]
923007b377bb1cab473f10e6caaeca56_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [29.628149 31.135168 40.       20.       40.      ]
d0cf2f187acda5736be7348aa770e4ca_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [20.196564 18.296158 18.857416 20.       20.      ]
1a64bf1e658652ddb11647ffa4306609_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.        19.461733  20.        20.         1.6755948]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [18.179106    6.0236316  14.44239     0.87953204 24.38844   ]
c61ec8875746ab78227375499b768057_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [19.622581 17.63556  20.       40.       40.      ]
7dac31838b627748eb631ba05bd8dfe_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [20.       12.004099 20.       20.       40.      ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.       26.674671 20.       21.418987 21.498798]
4f17af1ca7ae689d409b2c4484d833cc_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [ 1.4965088  4.6830325 20.        20.        40.700535 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [19.77766   29.162495  13.151941  11.940087   3.9942155]
d72ffa185738bccd10b75223b5be6dbb_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [10.91624  10.283245 40.       20.       40.      ]
216d910f71942f205df3c6413d40ccb2_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40.        4.417606 20.       40.       40.      ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [22.656454 11.858527 40.       20.       20.      ]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [22.099987 22.095987 21.815979  8.976725 20.      ]
a387407d49e209fdeea60824a43a0b_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [26.97834  19.49323  23.58285  32.775024 20.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [26.340794 25.209974 20.       40.       40.      ]
4458ed2a746e61a3b11647ffa4306609_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [35.19337  26.115183 40.       40.       40.      ]
923007b377bb1cab473f10e6caaeca56_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [30.688583 34.214344 20.       40.       40.      ]
b9786e1b059a1712ca92a4cdad802b45_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.       21.466665 40.       40.        9.436506]
6265f0745d3f40546bcd32c43682e841_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [28.389858   3.3072119 40.        20.        20.       ]
ffe0a5b165461eb66a2345809e2bb169_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [ 1.2840034   3.4365351   3.9071903   0.79086316 36.084843  ]
1a64bf1e658652ddb11647ffa4306609_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [20.         7.4931602 40.        15.803457  20.821875 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_20_40_80_80_400:gt ['40', '40', '40', '20', '40']:pred [21.663692 25.712156 40.       20.       40.      ]
216d910f71942f205df3c6413d40ccb2_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.       27.240303 20.       20.       40.      ]
825fb860d71c78a477c771b4b7eed82c_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [26.002888 32.459297 40.       40.       20.72288 ]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [ 8.039519  5.431075 20.       20.       40.      ]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.      30.49187 20.      20.      40.     ]
4458ed2a746e61a3b11647ffa4306609_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [20.        6.905973 40.       40.       40.      ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_20_20_40_160_40_400:gt ['20', '40', '20', '20', '40']:pred [20.       20.232738 20.       20.       37.29356 ]
a387407d49e209fdeea60824a43a0b_20_20_40_40_40_160_80_400:gt ['20', '20', '40', '40', '40']:pred [ 5.050989   8.8848715 22.049484  11.409648  13.606575 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [27.88983   28.3342    40.        40.         1.7813442]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.          0.68826306 40.         40.          2.1286502 ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_20_40_20_80_80_400:gt ['40', '40', '20', '40', '20']:pred [19.047775 11.936443 20.       40.       20.      ]
6265f0745d3f40546bcd32c43682e841_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [29.861525   3.3071404 40.        40.        40.       ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [ 5.9542565  1.9085882 20.        20.        33.297127 ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.       19.054117 40.       40.       40.62965 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [22.884775 34.50594  28.095741 20.       20.      ]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [11.3182   30.197968  4.122513  6.479422 37.608356]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [40.      16.95847 40.      20.      20.     ]
425ba801e904cb50f3aaed7e86215c7b_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       40.       40.       20.       33.310783]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [20.15031  13.234753 40.       40.       40.      ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [40.         2.2335882 20.        40.         1.8587221]
a88d69e53a01aab9ff1370452e3a0154_40_40_40_40_20_240_40_400:gt ['40', '40', '40', '40', '20']:pred [40.       17.42505  40.       19.942924  5.549127]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [24.13925  32.877094 31.83751  40.       20.      ]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [26.437288 21.397268 40.       20.       40.      ]
5e87b04efd58cc8922412d2a728de1d5_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [30.208294  15.643081  11.729069   7.3566213 21.189793 ]
5ec3322293a39816ad7e7cea4034d226_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.          9.052833   40.         20.          0.89105475]
1a64bf1e658652ddb11647ffa4306609_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.        25.219147  20.         7.6584435  2.2831159]
ffe0a5b165461eb66a2345809e2bb169_40_40_20_40_20_240_40_400:gt ['40', '40', '20', '40', '20']:pred [40.         6.6099844 20.         4.347957  20.354267 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [33.165062 28.788124 40.       40.       40.      ]
7dac31838b627748eb631ba05bd8dfe_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [26.81376    3.5826643 40.        20.        20.       ]
1a64bf1e658652ddb11647ffa4306609_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       28.412321 20.       20.845825 14.835575]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [20.        6.602372 20.       20.       20.      ]
6265f0745d3f40546bcd32c43682e841_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [24.343277 22.09245  20.       20.       20.      ]
c61ec8875746ab78227375499b768057_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [23.803988 30.239006 40.       40.       40.      ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [ 5.842247   6.6152987 20.        40.        20.       ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [20.99665  20.094683 20.418661 21.369059 20.      ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [ 4.5478787  1.3007206 40.        20.        40.       ]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [13.53608   7.472996 40.       40.       20.      ]
d72ffa185738bccd10b75223b5be6dbb_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [ 3.2866068  2.0396376 20.        40.        20.       ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_40_40_20_160_40_400:gt ['20', '40', '40', '40', '20']:pred [20.      10.56429 40.      40.      34.28932]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_20_40_240_40_400:gt ['40', '20', '40', '20', '40']:pred [40.         3.2571957 40.        20.        25.441036 ]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.      19.83185 20.      40.      40.     ]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [25.689615 14.570008 40.       20.       37.22514 ]
6265f0745d3f40546bcd32c43682e841_20_20_40_20_20_240_80_400:gt ['20', '20', '40', '20', '20']:pred [ 0.9998133  5.864961  40.        20.        20.       ]
5ec3322293a39816ad7e7cea4034d226_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [27.073336  8.488533 40.       20.       20.      ]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_20_160_40_400:gt ['40', '20', '40', '40', '20']:pred [40.       28.726076 40.       40.       38.747025]
