hybrid_0_0_-20_20_40_240_40_450:gt ['0', '0', '-20', '20', '40']:pred [ 8.109364  0.       11.737897 13.848763 40.      ]
suv_-20_20_-40_0_40_80_20_450:gt ['-20', '20', '-40', '0', '40']:pred [20.       20.674229 40.       24.474468 18.67664 ]
sedan4door_-40_40_-40_40_40_120_80_450:gt ['-40', '40', '-40', '40', '40']:pred [40. 40. 40. 40. 40.]
suv_0_20_-40_20_20_240_40_450:gt ['0', '20', '-40', '20', '20']:pred [ 4.300586 20.       37.53473  20.       20.      ]
suv_-20_40_-20_20_0_0_60_400:gt ['-20', '40', '-20', '20', '0']:pred [20.        40.        20.         3.3773267  0.       ]
sedan2door_-40_20_0_20_40_320_80_400:gt ['-40', '20', '0', '20', '40']:pred [40.        20.        24.425652  15.4208975 40.       ]
sedan2door_0_20_-20_0_40_360_40_400:gt ['0', '20', '-20', '0', '40']:pred [ 0.       24.319153 21.756708  8.102283 40.      ]
hybrid_0_0_-20_20_0_0_60_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.       14.953346 24.88509   7.534968  0.      ]
suv_-20_40_0_20_40_360_40_450:gt ['-20', '40', '0', '20', '40']:pred [20.        25.678215   0.         4.4248514 40.       ]
suv_-20_0_-20_0_40_360_80_400:gt ['-20', '0', '-20', '0', '40']:pred [20.         0.        20.         7.1505065 40.       ]
hybrid_-40_20_0_20_40_320_20_450:gt ['-40', '20', '0', '20', '40']:pred [40.       19.095346 20.538393 13.626524 40.      ]
suv_-40_0_-20_40_0_0_20_400:gt ['-40', '0', '-20', '40', '0']:pred [40.        15.890085  20.         1.7068783  1.9728723]
sedan4door_0_40_0_40_40_240_60_400:gt ['0', '40', '0', '40', '40']:pred [ 0.        40.         7.6341767 40.        40.       ]
sedan4door_0_0_-20_40_0_280_60_400:gt ['0', '0', '-20', '40', '0']:pred [ 0.  0. 20. 40.  0.]
sedan4door_-40_20_0_20_20_360_40_400:gt ['-40', '20', '0', '20', '20']:pred [40.       25.301647  0.        5.370637 20.      ]
hatchback_-20_40_0_40_20_40_60_450:gt ['-20', '40', '0', '40', '20']:pred [20.       40.        0.       27.014364 20.      ]
hatchback_0_40_0_0_0_120_20_400:gt ['0', '40', '0', '0', '0']:pred [18.947128  40.        36.48519    0.         4.7468767]
sedan4door_0_40_-20_40_20_200_60_400:gt ['0', '40', '-20', '40', '20']:pred [ 0.      40.      46.75617 40.      20.     ]
hybrid_0_20_0_0_40_320_80_400:gt ['0', '20', '0', '0', '40']:pred [ 0.       20.       18.839891 12.369815 40.      ]
sedan2door_-40_20_-20_20_40_320_20_450:gt ['-40', '20', '-20', '20', '40']:pred [40.        27.471416  22.131277   3.3847373 40.       ]
hatchback_-40_20_-40_20_0_280_40_450:gt ['-40', '20', '-40', '20', '0']:pred [40. 20. 40. 20.  0.]
hatchback_-40_20_-40_40_20_280_60_450:gt ['-40', '20', '-40', '40', '20']:pred [40. 20. 40. 40. 20.]
hybrid_-20_20_0_20_20_200_80_450:gt ['-20', '20', '0', '20', '20']:pred [20.       20.       22.931545 25.05606  20.      ]
sedan2door_-20_20_-20_40_0_200_80_400:gt ['-20', '20', '-20', '40', '0']:pred [20.       20.       35.275    34.843994  0.      ]
sedan4door_-20_20_-40_20_0_0_20_400:gt ['-20', '20', '-40', '20', '0']:pred [20.         6.960537  40.         1.3558648  4.4599266]
hybrid_-40_20_-40_0_20_160_80_450:gt ['-40', '20', '-40', '0', '20']:pred [40.        20.        13.527133   6.6440387 20.       ]
hatchback_-20_40_-20_0_20_80_40_400:gt ['-20', '40', '-20', '0', '20']:pred [20.       40.       20.        6.580203 18.105947]
sedan2door_0_40_0_20_40_200_20_450:gt ['0', '40', '0', '20', '40']:pred [11.5231285 40.        31.34581    3.7252476 40.       ]
hybrid_-40_20_0_20_0_160_60_450:gt ['-40', '20', '0', '20', '0']:pred [40.       20.       11.564861 18.745844  0.      ]
hatchback_-20_0_-20_40_20_240_60_450:gt ['-20', '0', '-20', '40', '20']:pred [20.  0. 20. 40. 20.]
hatchback_-40_20_-40_40_40_320_80_450:gt ['-40', '20', '-40', '40', '40']:pred [40. 20. 40. 40. 40.]
sedan2door_0_40_0_20_20_320_80_450:gt ['0', '40', '0', '20', '20']:pred [ 0.       40.       21.754232 17.896803 20.      ]
suv_0_40_0_0_20_320_80_450:gt ['0', '40', '0', '0', '20']:pred [ 0. 40.  0.  0. 20.]
hatchback_0_40_-20_0_0_360_60_450:gt ['0', '40', '-20', '0', '0']:pred [ 0.       40.       20.        3.275676  0.      ]
hybrid_-20_40_-40_0_40_240_40_400:gt ['-20', '40', '-40', '0', '40']:pred [30.240387 40.       17.397408  9.701802 40.      ]
sedan2door_-20_40_-20_0_0_160_80_450:gt ['-20', '40', '-20', '0', '0']:pred [20.       40.       24.978361 33.891968  0.      ]
sedan2door_-20_40_-20_40_0_40_40_400:gt ['-20', '40', '-20', '40', '0']:pred [20.       40.781235 22.148111 25.582663  0.      ]
suv_-20_20_-40_40_20_160_40_400:gt ['-20', '20', '-40', '40', '20']:pred [ 8.206145 20.       28.338247 40.       20.      ]
hybrid_0_40_-20_40_20_120_80_450:gt ['0', '40', '-20', '40', '20']:pred [ 0.       40.       38.393826 18.666565 20.      ]
suv_0_40_0_40_40_80_80_450:gt ['0', '40', '0', '40', '40']:pred [ 0.       40.        0.       40.       42.143517]
sedan2door_-40_40_-40_0_20_200_40_400:gt ['-40', '40', '-40', '0', '20']:pred [29.3988   40.       36.927254 16.338772 20.      ]
hatchback_-20_40_0_0_20_80_20_450:gt ['-20', '40', '0', '0', '20']:pred [20.       40.722946 24.404755 27.563566  5.09231 ]
sedan4door_0_0_0_0_40_120_80_450:gt ['0', '0', '0', '0', '40']:pred [ 0.  0.  0.  0. 40.]
hatchback_-40_40_-40_20_20_200_80_400:gt ['-40', '40', '-40', '20', '20']:pred [40. 40. 40. 20. 20.]
hatchback_-20_20_-20_40_20_200_20_450:gt ['-20', '20', '-20', '40', '20']:pred [15.556775 20.       16.043642 40.       20.      ]
hybrid_-40_20_-20_40_40_200_40_400:gt ['-40', '20', '-20', '40', '40']:pred [28.959734 20.       23.804356  8.813417 40.      ]
suv_-40_40_-20_40_20_120_40_450:gt ['-40', '40', '-20', '40', '20']:pred [34.37001  40.       29.364843 40.        7.639373]
sedan2door_-20_20_0_0_40_40_60_400:gt ['-20', '20', '0', '0', '40']:pred [20.       20.       37.98798  24.736439 40.      ]
hatchback_-20_0_0_20_0_40_40_450:gt ['-20', '0', '0', '20', '0']:pred [20.       33.170734  0.       17.6305    0.      ]
hatchback_-20_20_0_20_40_360_80_450:gt ['-20', '20', '0', '20', '40']:pred [20. 20.  0. 20. 40.]
hybrid_-40_40_-40_40_20_240_60_450:gt ['-40', '40', '-40', '40', '20']:pred [40.       40.       19.104027 27.643017 20.      ]
hatchback_-40_0_-40_20_0_200_20_400:gt ['-40', '0', '-40', '20', '0']:pred [15.52914   0.       20.565187 20.        0.      ]
hatchback_-20_40_-40_20_40_160_20_450:gt ['-20', '40', '-40', '20', '40']:pred [22.95042  40.       24.46354  20.       24.406603]
hatchback_-20_0_-40_0_20_120_20_400:gt ['-20', '0', '-40', '0', '20']:pred [18.370195   0.        23.3941     0.         6.0071335]
hybrid_-20_20_0_20_0_40_60_450:gt ['-20', '20', '0', '20', '0']:pred [20.       20.       20.417107 28.157537  0.      ]
hatchback_0_20_0_0_20_120_20_400:gt ['0', '20', '0', '0', '20']:pred [21.425385  20.        30.424461  12.469725   5.3946633]
hatchback_0_40_-20_40_0_280_60_450:gt ['0', '40', '-20', '40', '0']:pred [ 0. 40. 20. 40.  0.]
hybrid_0_40_-40_20_40_280_60_400:gt ['0', '40', '-40', '20', '40']:pred [ 0.       40.       43.221222 20.914547 40.      ]
sedan2door_0_40_-40_40_0_320_20_450:gt ['0', '40', '-40', '40', '0']:pred [ 0.       19.102346 33.822006  3.07393   0.      ]
hatchback_-20_0_-20_20_20_200_60_400:gt ['-20', '0', '-20', '20', '20']:pred [20.        0.       39.312817 20.       20.      ]
sedan4door_-40_0_-20_20_20_40_80_400:gt ['-40', '0', '-20', '20', '20']:pred [40.  0. 20. 20. 20.]
hybrid_-40_20_0_20_40_200_60_450:gt ['-40', '20', '0', '20', '40']:pred [40.       20.       11.446928 20.911556 40.      ]
sedan4door_0_40_0_40_40_360_20_400:gt ['0', '40', '0', '40', '40']:pred [ 0.        13.578303   0.         2.8482814 32.392822 ]
sedan4door_0_0_0_40_0_80_80_400:gt ['0', '0', '0', '40', '0']:pred [ 0.         0.         0.        40.         1.4154623]
hybrid_-20_40_-20_20_20_0_60_400:gt ['-20', '40', '-20', '20', '20']:pred [20.       40.       30.152328  8.783178 20.      ]
sedan4door_0_40_-20_0_40_160_60_450:gt ['0', '40', '-20', '0', '40']:pred [ 0.       40.       37.872967  0.       40.      ]
sedan2door_-20_40_0_20_20_0_60_400:gt ['-20', '40', '0', '20', '20']:pred [20.       40.       17.753622 18.368813 20.      ]
suv_-20_40_-40_0_20_0_60_450:gt ['-20', '40', '-40', '0', '20']:pred [20.        40.        40.         7.9968767 20.       ]
hybrid_0_40_0_20_20_320_60_450:gt ['0', '40', '0', '20', '20']:pred [ 0.        40.        15.037987   6.6994658 20.       ]
hybrid_-40_20_-20_20_0_360_80_400:gt ['-40', '20', '-20', '20', '0']:pred [40.       20.       22.992832 21.43239   0.      ]
sedan4door_-20_40_0_40_20_0_60_450:gt ['-20', '40', '0', '40', '20']:pred [20.      40.       0.      24.71305 20.     ]
sedan4door_-40_40_-40_20_40_240_40_400:gt ['-40', '40', '-40', '20', '40']:pred [22.986906 40.       34.535988 20.       40.      ]
hatchback_-40_40_-20_0_0_40_20_400:gt ['-40', '40', '-20', '0', '0']:pred [40.       27.135181 20.       15.161482  8.113634]
sedan4door_0_40_-40_20_40_240_20_400:gt ['0', '40', '-40', '20', '40']:pred [ 5.1706758 40.        32.921074  20.        40.       ]
hatchback_-40_20_-20_40_0_0_20_400:gt ['-40', '20', '-20', '40', '0']:pred [40.        12.1796255 20.         3.8498323 10.052141 ]
hatchback_-20_40_-20_0_40_360_40_400:gt ['-20', '40', '-20', '0', '40']:pred [20.        34.79365   20.         1.8044105 40.       ]
suv_0_40_0_40_40_120_60_400:gt ['0', '40', '0', '40', '40']:pred [ 0.       40.       27.848078 40.       40.      ]
hatchback_-40_20_0_20_20_0_40_400:gt ['-40', '20', '0', '20', '20']:pred [40.       22.676771  0.       12.889179 20.      ]
hatchback_-40_0_-20_0_0_160_60_400:gt ['-40', '0', '-20', '0', '0']:pred [40.        0.       18.124647  0.        0.      ]
sedan2door_-20_40_-40_40_0_320_60_400:gt ['-20', '40', '-40', '40', '0']:pred [20.       40.       22.344036 12.482131  0.      ]
hybrid_-40_20_-20_40_20_160_20_450:gt ['-40', '20', '-20', '40', '20']:pred [25.983627 20.        9.201299  4.607933 26.330397]
sedan4door_-40_20_0_20_20_320_80_450:gt ['-40', '20', '0', '20', '20']:pred [40. 20.  0. 20. 20.]
hatchback_-40_40_0_40_0_0_20_400:gt ['-40', '40', '0', '40', '0']:pred [40.        18.97409    0.         2.9993706  8.669559 ]
hybrid_-40_40_-40_20_0_280_60_400:gt ['-40', '40', '-40', '20', '0']:pred [40.       40.       36.773884 18.930164  0.      ]
suv_-40_40_0_40_0_360_80_450:gt ['-40', '40', '0', '40', '0']:pred [40. 40.  0. 40.  0.]
sedan4door_-20_0_-40_20_40_360_80_400:gt ['-20', '0', '-40', '20', '40']:pred [20.  0. 40. 20. 40.]
suv_-40_20_0_0_40_160_60_450:gt ['-40', '20', '0', '0', '40']:pred [40.       20.       12.603135  0.       40.      ]
hybrid_0_20_-20_0_40_240_40_450:gt ['0', '20', '-20', '0', '40']:pred [ 6.7475557 20.        18.852345  13.401445  40.       ]
sedan2door_0_20_-20_0_20_0_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.         2.7394269 13.349133   4.2137685 21.235144 ]
suv_-20_20_-20_20_20_240_20_400:gt ['-20', '20', '-20', '20', '20']:pred [30.138485 20.        7.010079 20.       20.      ]
suv_-20_0_-20_40_20_160_40_400:gt ['-20', '0', '-20', '40', '20']:pred [ 8.453358  0.       14.648912 40.       20.      ]
hatchback_0_0_-40_20_40_40_20_400:gt ['0', '0', '-40', '20', '40']:pred [ 0.       21.945423 40.       14.673337  5.172537]
hatchback_0_20_0_40_20_160_40_400:gt ['0', '20', '0', '40', '20']:pred [ 1.1555359 20.        25.02158   40.        20.       ]
hatchback_-40_0_0_0_20_120_60_450:gt ['-40', '0', '0', '0', '20']:pred [40.        0.       31.031149  0.       20.      ]
hybrid_-40_20_-20_20_0_120_60_450:gt ['-40', '20', '-20', '20', '0']:pred [40.       20.       19.414595 39.468998  0.      ]
sedan4door_0_0_-20_0_0_360_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.         3.0662162 20.         0.7795418  2.1185334]
sedan4door_0_0_-20_0_20_320_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 0.         0.        20.         1.3018264 20.       ]
sedan2door_0_20_-20_40_0_120_40_450:gt ['0', '20', '-20', '40', '0']:pred [18.69606   20.        36.352467  21.44232    2.4604745]
hybrid_-40_0_0_0_40_120_80_450:gt ['-40', '0', '0', '0', '40']:pred [40.        0.       35.551815 19.969753 40.      ]
sedan2door_0_20_-20_20_40_40_80_450:gt ['0', '20', '-20', '20', '40']:pred [ 0.       20.       37.005775 18.946148 40.      ]
hatchback_0_0_-40_20_20_40_60_450:gt ['0', '0', '-40', '20', '20']:pred [ 0.        0.       40.       30.311459 20.      ]
sedan2door_-20_20_0_0_40_120_60_450:gt ['-20', '20', '0', '0', '40']:pred [20.       20.       40.003277 24.35147  40.      ]
sedan4door_-40_40_-40_20_0_40_40_400:gt ['-40', '40', '-40', '20', '0']:pred [40.       39.311802 40.       14.31572   8.887447]
suv_-40_20_0_0_20_200_80_400:gt ['-40', '20', '0', '0', '20']:pred [40.       20.       35.775288  0.       20.      ]
sedan2door_0_40_-40_0_40_120_60_400:gt ['0', '40', '-40', '0', '40']:pred [ 0.       40.       41.467224 17.945229 40.      ]
hatchback_-20_20_0_40_0_320_20_400:gt ['-20', '20', '0', '40', '0']:pred [20.        10.675226   0.         9.4023285  0.       ]
sedan2door_-40_20_-40_20_20_280_40_400:gt ['-40', '20', '-40', '20', '20']:pred [40.       20.       19.815334 15.584413 20.      ]
hybrid_0_0_0_40_40_280_20_400:gt ['0', '0', '0', '40', '40']:pred [ 4.4917326 13.515875   4.941169  20.287743  40.       ]
suv_-20_40_0_0_20_0_60_400:gt ['-20', '40', '0', '0', '20']:pred [20.         40.          0.          0.93868506 20.        ]
suv_-40_20_-40_40_0_320_40_400:gt ['-40', '20', '-40', '40', '0']:pred [40.        4.101587 40.       23.676119  0.      ]
sedan4door_0_20_-20_20_0_120_40_400:gt ['0', '20', '-20', '20', '0']:pred [17.038387 20.       33.738174 20.        4.423489]
suv_-20_20_-40_20_40_80_40_400:gt ['-20', '20', '-40', '20', '40']:pred [20.       20.       40.        1.889045 37.893883]
hybrid_-20_0_0_40_0_80_60_450:gt ['-20', '0', '0', '40', '0']:pred [20.        0.       24.423302 13.491792  0.      ]
hybrid_-40_40_-40_40_0_160_60_450:gt ['-40', '40', '-40', '40', '0']:pred [40.       40.       17.803076 12.954336  0.      ]
sedan2door_-40_40_0_0_20_360_60_450:gt ['-40', '40', '0', '0', '20']:pred [40.       40.       18.89438  14.040027 20.      ]
hatchback_-20_40_0_20_0_120_80_400:gt ['-20', '40', '0', '20', '0']:pred [20. 40.  0. 20.  0.]
hybrid_-20_0_-40_20_20_80_40_400:gt ['-20', '0', '-40', '20', '20']:pred [20.         5.2642217 29.165705  13.87363    8.026489 ]
hybrid_-40_40_0_0_40_40_40_400:gt ['-40', '40', '0', '0', '40']:pred [40.       46.75812  33.530083 23.75614  40.      ]
hatchback_-40_40_-20_40_20_320_80_400:gt ['-40', '40', '-20', '40', '20']:pred [40. 40. 20. 40. 20.]
sedan2door_-20_0_0_0_20_120_60_400:gt ['-20', '0', '0', '0', '20']:pred [20.        0.       41.613373 22.747223 20.      ]
hybrid_-20_0_0_20_0_360_80_450:gt ['-20', '0', '0', '20', '0']:pred [20.         0.        12.149742   7.6363463  0.       ]
sedan2door_-20_20_-20_0_20_0_60_400:gt ['-20', '20', '-20', '0', '20']:pred [20.       20.       20.238398 12.172527 20.      ]
suv_-40_40_0_40_0_280_80_450:gt ['-40', '40', '0', '40', '0']:pred [40. 40.  0. 40.  0.]
hatchback_-40_0_-40_40_0_160_60_450:gt ['-40', '0', '-40', '40', '0']:pred [40.        0.       26.116037 40.        0.      ]
hybrid_-20_40_-20_0_0_200_40_450:gt ['-20', '40', '-20', '0', '0']:pred [14.110668 40.       29.267126  8.548616  0.      ]
hybrid_-40_40_-40_40_0_280_20_400:gt ['-40', '40', '-40', '40', '0']:pred [40.       28.858282 19.98985   9.428931  0.      ]
hatchback_-20_40_-40_20_40_360_20_450:gt ['-20', '40', '-40', '20', '40']:pred [20.       11.704481 40.        8.753855 50.732853]
sedan2door_-40_20_-20_40_20_360_20_450:gt ['-40', '20', '-20', '40', '20']:pred [40.         3.7618318 19.585932   3.8688273 33.214825 ]
sedan2door_-40_0_-20_40_20_80_60_450:gt ['-40', '0', '-20', '40', '20']:pred [40.        0.       26.764957 15.759448 20.      ]
sedan2door_0_20_0_20_0_40_40_400:gt ['0', '20', '0', '20', '0']:pred [ 0.       27.617483 21.236311 20.667458  0.      ]
hatchback_-40_20_-20_40_20_320_60_400:gt ['-40', '20', '-20', '40', '20']:pred [40. 20. 20. 40. 20.]
hatchback_-40_20_-20_0_20_200_80_400:gt ['-40', '20', '-20', '0', '20']:pred [40. 20. 20.  0. 20.]
suv_-20_20_0_40_40_40_40_400:gt ['-20', '20', '0', '40', '40']:pred [20.       27.572006  0.       20.26607  40.      ]
hybrid_-20_40_-20_0_0_320_60_450:gt ['-20', '40', '-20', '0', '0']:pred [20.        40.        19.66551    6.7608757  0.       ]
hatchback_0_40_0_40_40_280_60_450:gt ['0', '40', '0', '40', '40']:pred [ 0. 40.  0. 40. 40.]
hatchback_-20_40_-20_40_0_200_60_400:gt ['-20', '40', '-20', '40', '0']:pred [20.       40.       39.122955 40.        0.      ]
suv_0_40_0_20_0_0_40_450:gt ['0', '40', '0', '20', '0']:pred [ 0.        41.354565   0.         5.1323495  0.       ]
sedan2door_-20_40_-40_0_0_200_40_450:gt ['-20', '40', '-40', '0', '0']:pred [23.401983 40.       31.167963 22.880955  0.      ]
sedan2door_-40_40_0_40_0_80_80_400:gt ['-40', '40', '0', '40', '0']:pred [40.       40.       32.529285 12.906241  9.846554]
hatchback_0_0_-20_0_0_40_20_450:gt ['0', '0', '-20', '0', '0']:pred [ 0.        20.466305  20.         5.0570884  1.447741 ]
sedan2door_0_20_-20_0_20_200_80_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.       20.       34.948025 21.66927  20.      ]
sedan2door_-20_0_0_40_20_0_60_450:gt ['-20', '0', '0', '40', '20']:pred [20.        0.       17.148407 10.105808 20.      ]
hatchback_-20_0_-40_40_0_240_40_450:gt ['-20', '0', '-40', '40', '0']:pred [14.739132  0.       36.705837 40.        0.      ]
sedan2door_-20_0_-20_40_40_120_20_450:gt ['-20', '0', '-20', '40', '40']:pred [11.812813  0.       27.135925 15.127544 11.151127]
suv_0_20_0_0_40_160_40_400:gt ['0', '20', '0', '0', '40']:pred [ 4.989949 20.       14.667806  0.       40.      ]
hybrid_-40_40_0_40_0_280_40_400:gt ['-40', '40', '0', '40', '0']:pred [40.        40.        12.508644   6.9903436  0.       ]
suv_-40_40_0_20_0_160_60_450:gt ['-40', '40', '0', '20', '0']:pred [40.       40.        9.088356 20.        0.      ]
hybrid_0_20_-20_40_0_360_40_400:gt ['0', '20', '-20', '40', '0']:pred [ 0.       26.990604 20.682714  2.893269  0.      ]
suv_-20_40_-20_20_40_80_20_400:gt ['-20', '40', '-20', '20', '40']:pred [20.       44.177124 20.       20.811817  8.41989 ]
sedan2door_-40_0_0_20_0_160_80_400:gt ['-40', '0', '0', '20', '0']:pred [40.        0.       23.567432 15.744211  0.      ]
hatchback_-40_0_-20_0_0_40_40_400:gt ['-40', '0', '-20', '0', '0']:pred [40.        41.034176  20.         4.7343187  0.       ]
hatchback_-20_20_-20_20_0_280_80_450:gt ['-20', '20', '-20', '20', '0']:pred [20. 20. 20. 20.  0.]
sedan4door_0_0_0_20_0_320_40_400:gt ['0', '0', '0', '20', '0']:pred [0.        5.0096946 0.        4.305269  0.       ]
hatchback_-20_40_0_20_0_160_20_450:gt ['-20', '40', '0', '20', '0']:pred [22.273735  40.         9.718428  20.         3.9952617]
sedan2door_-40_40_-40_20_0_0_40_400:gt ['-40', '40', '-40', '20', '0']:pred [40.        40.28326   23.226606  10.3855095  0.       ]
sedan2door_0_20_-20_40_0_0_60_450:gt ['0', '20', '-20', '40', '0']:pred [ 0.       20.       17.068203  5.401016  0.      ]
suv_-20_0_-20_0_20_160_60_400:gt ['-20', '0', '-20', '0', '20']:pred [20.      0.     33.6184  0.     20.    ]
hatchback_-40_40_0_20_40_40_40_400:gt ['-40', '40', '0', '20', '40']:pred [40.       45.645126  0.       33.051586 40.      ]
sedan2door_0_0_-20_0_0_240_20_400:gt ['0', '0', '-20', '0', '0']:pred [ 5.0407357  0.        23.161283   7.949902   0.       ]
hybrid_0_40_-20_0_40_360_20_450:gt ['0', '40', '-20', '0', '40']:pred [ 0.         8.5984745 11.485619  18.271555  24.153845 ]
sedan2door_-20_0_-20_20_0_320_40_450:gt ['-20', '0', '-20', '20', '0']:pred [20.         3.0304961 32.734116   9.141078   0.       ]
hybrid_-20_0_-20_40_0_320_80_450:gt ['-20', '0', '-20', '40', '0']:pred [20.        0.       11.278353  9.918501  0.      ]
suv_-20_20_-40_0_0_80_40_400:gt ['-20', '20', '-40', '0', '0']:pred [20.        20.        40.         2.1875937 14.667836 ]
sedan2door_-40_40_0_40_0_360_60_450:gt ['-40', '40', '0', '40', '0']:pred [40.       40.       19.777195 12.747443  0.      ]
hybrid_-40_40_-40_0_20_120_20_400:gt ['-40', '40', '-40', '0', '20']:pred [38.918255  40.        33.326294  27.484203   4.9478483]
hybrid_-20_0_-40_40_0_240_60_400:gt ['-20', '0', '-40', '40', '0']:pred [20.        0.       20.733866 12.168738  0.      ]
hybrid_0_40_-20_0_0_240_80_400:gt ['0', '40', '-20', '0', '0']:pred [ 0.       40.       28.523586 24.172535  0.      ]
hatchback_-20_20_-40_20_0_280_80_450:gt ['-20', '20', '-40', '20', '0']:pred [20. 20. 40. 20.  0.]
sedan2door_-40_0_0_20_40_320_40_450:gt ['-40', '0', '0', '20', '40']:pred [40.         3.0257878 31.437235  13.366948  40.       ]
hatchback_0_20_-40_0_20_280_80_400:gt ['0', '20', '-40', '0', '20']:pred [ 0. 20. 40.  0. 20.]
suv_0_40_-20_0_20_120_20_450:gt ['0', '40', '-20', '0', '20']:pred [18.874468  40.        20.622015   0.         0.9929372]
suv_-20_40_-40_20_0_200_80_400:gt ['-20', '40', '-40', '20', '0']:pred [20. 40. 40. 20.  0.]
sedan4door_0_0_-20_20_40_0_40_450:gt ['0', '0', '-20', '20', '40']:pred [ 0.         5.374458  20.         5.0626364 40.       ]
sedan4door_0_40_-20_40_40_80_20_400:gt ['0', '40', '-20', '40', '40']:pred [ 0.       48.828938 20.       27.472355  6.212485]
sedan4door_-20_20_-20_20_0_320_60_450:gt ['-20', '20', '-20', '20', '0']:pred [20. 20. 20. 20.  0.]
sedan4door_-20_20_-40_20_0_200_20_400:gt ['-20', '20', '-40', '20', '0']:pred [ 7.164154 20.       34.99929  20.        0.      ]
hybrid_0_20_-40_20_20_80_60_450:gt ['0', '20', '-40', '20', '20']:pred [ 0.       20.       23.79896  12.879248 20.      ]
hatchback_-40_20_-40_0_0_40_60_450:gt ['-40', '20', '-40', '0', '0']:pred [40.       20.       40.       11.702491  0.      ]
sedan4door_-40_20_-20_20_40_120_80_400:gt ['-40', '20', '-20', '20', '40']:pred [40. 20. 20. 20. 40.]
hybrid_-20_20_0_40_20_200_40_450:gt ['-20', '20', '0', '40', '20']:pred [11.4549265 20.        11.121863   7.8721433 20.       ]
hybrid_-20_20_0_20_0_320_80_400:gt ['-20', '20', '0', '20', '0']:pred [20.       20.       31.577003 18.212088  0.      ]
hybrid_0_40_-40_20_40_120_20_450:gt ['0', '40', '-40', '20', '40']:pred [22.028215 40.       30.35381  24.336075  6.675503]
hatchback_0_0_0_40_40_80_60_450:gt ['0', '0', '0', '40', '40']:pred [ 0.  0.  0. 40. 40.]
sedan2door_0_40_-20_20_40_120_20_450:gt ['0', '40', '-20', '20', '40']:pred [ 6.4292774 40.        36.249718  21.875683  13.786915 ]
hatchback_-20_20_0_40_40_0_20_400:gt ['-20', '20', '0', '40', '40']:pred [20.        7.991505  0.        6.679219 47.491985]
sedan2door_-20_0_0_0_20_320_60_400:gt ['-20', '0', '0', '0', '20']:pred [20.         0.        16.929441   4.7984953 20.       ]
hatchback_-40_0_0_0_20_80_20_400:gt ['-40', '0', '0', '0', '20']:pred [40.       18.625538  0.        8.262543  5.26413 ]
sedan4door_0_20_-40_40_0_40_20_450:gt ['0', '20', '-40', '40', '0']:pred [ 0.       22.195673 40.       12.57375   9.341062]
hatchback_-40_0_-40_20_20_160_80_400:gt ['-40', '0', '-40', '20', '20']:pred [40.  0. 40. 20. 20.]
sedan2door_0_20_0_40_40_80_60_400:gt ['0', '20', '0', '40', '40']:pred [ 0.       20.       34.973606 14.411709 40.      ]
sedan2door_-40_40_-20_40_20_280_60_400:gt ['-40', '40', '-20', '40', '20']:pred [40.       40.       29.295673 28.90497  20.      ]
hybrid_-20_0_-20_0_40_160_80_400:gt ['-20', '0', '-20', '0', '40']:pred [20.        0.       12.359277  6.44733  40.      ]
suv_-40_0_0_20_40_120_20_450:gt ['-40', '0', '0', '20', '40']:pred [31.647736   0.        23.102974  20.         3.2736056]
hybrid_0_20_-20_20_20_0_80_450:gt ['0', '20', '-20', '20', '20']:pred [ 0.       20.       19.975636 33.888046 20.      ]
sedan2door_-20_40_-40_40_40_360_40_400:gt ['-20', '40', '-40', '40', '40']:pred [20.       23.85805  29.576307  9.093604 40.      ]
sedan4door_-20_40_0_20_0_320_60_450:gt ['-20', '40', '0', '20', '0']:pred [20. 40.  0. 20.  0.]
suv_0_40_-40_40_0_40_80_400:gt ['0', '40', '-40', '40', '0']:pred [ 0. 40. 40. 40.  0.]
sedan2door_-40_0_-20_0_20_0_20_450:gt ['-40', '0', '-20', '0', '20']:pred [40.         3.558882  16.226677   3.3613093 33.55972  ]
hybrid_0_40_-40_20_0_360_60_450:gt ['0', '40', '-40', '20', '0']:pred [ 0.        40.        16.761227   8.7315035  0.       ]
hatchback_-40_20_-40_0_0_80_40_400:gt ['-40', '20', '-40', '0', '0']:pred [40.        20.        40.         6.2518034  7.2112246]
hatchback_-20_20_-40_0_20_360_40_400:gt ['-20', '20', '-40', '0', '20']:pred [20.       10.021287 40.        1.825175 20.      ]
hybrid_0_40_0_20_40_80_20_400:gt ['0', '40', '0', '20', '40']:pred [ 0.        48.10631   16.032167  22.136978   3.8796308]
sedan2door_-40_0_-40_40_0_240_40_400:gt ['-40', '0', '-40', '40', '0']:pred [25.167141  0.       14.378331 16.937202  0.      ]
hatchback_-40_40_-40_0_0_0_60_400:gt ['-40', '40', '-40', '0', '0']:pred [40.       40.       40.        3.801624  0.      ]
sedan2door_-40_0_0_20_40_0_20_450:gt ['-40', '0', '0', '20', '40']:pred [40.        4.576228 14.913834  4.232664 42.196316]
sedan2door_0_0_-40_0_0_80_80_450:gt ['0', '0', '-40', '0', '0']:pred [ 0.         0.        30.20216    7.7237515  4.906833 ]
