72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [20.350142 13.29652  41.6518   27.796968 45.43686 ]
ffe0a5b165461eb66a2345809e2bb169_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [ 8.515454  13.772579   5.4243135  8.69098   32.76541  ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_40_20_40_80_80_400:gt ['40', '20', '40', '20', '40']:pred [10.827236 14.703411 17.463814 20.772863 47.724354]
7c46bfff2f90f11044592db9be5db5c8_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [35.346645  17.561779   7.2204237  9.928829  33.660896 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [ 8.245249  23.37364    3.5007503 34.7815    52.08178  ]
c61ec8875746ab78227375499b768057_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [18.108458  5.707307 10.567089 24.69497  21.621012]
1a64bf1e658652ddb11647ffa4306609_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [27.841805   4.604977  12.718513  16.960222   7.1111913]
ffe0a5b165461eb66a2345809e2bb169_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [18.999975   4.4680977 30.473883  48.944897  44.63496  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_20_20_20_160_40_400:gt ['20', '20', '20', '20', '20']:pred [ 7.424804 13.80278  28.712734 30.319805 21.290234]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [14.7651    4.485968 42.571796 11.015604 36.404854]
70e27da90dec2de49604bf8c981ad1eb_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [24.801388  22.56086   29.52232    5.0812716 24.376402 ]
70e27da90dec2de49604bf8c981ad1eb_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [29.795467  12.6448145 18.937378   2.1370125 23.446096 ]
fabcb04fc015f822ca8bf2993ca245b_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [35.964428 16.66258  41.681725 26.878277 42.695976]
12f2905dc029f59a2479fbc7da5ed22b_20_40_20_20_40_80_40_400:gt ['20', '40', '20', '20', '40']:pred [18.199898 15.829098 12.292134 19.975945 55.280247]
4458ed2a746e61a3b11647ffa4306609_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [11.565342 11.595159 15.40344  13.845739 35.561012]
c4941d6a2266813c3a2b1a2e5e169910_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [22.494535  18.94063   18.577143   3.4516444 24.813566 ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [27.46773   11.695134  29.89423    6.7505946 29.669724 ]
4ac021653126a29e98618a1ba17f086b_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [28.80898  10.824713 22.05687  10.789195 42.58913 ]
70e27da90dec2de49604bf8c981ad1eb_40_40_40_40_20_240_80_400:gt ['40', '40', '40', '40', '20']:pred [22.7532   27.434778 15.363579  6.597567 28.033436]
c61ec8875746ab78227375499b768057_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [16.712639  6.705911 19.693722 23.994308 44.77013 ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [15.507481   3.1851718 17.696526  15.032537  45.465225 ]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [30.341871 16.081364 18.170097 35.99677  39.047905]
825fb860d71c78a477c771b4b7eed82c_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [31.492098   5.1756606  7.367243   2.1122644 34.106686 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_20_40_160_40_400:gt ['20', '20', '40', '20', '40']:pred [38.785378 10.615552 49.833984 43.011127 48.235405]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [23.619778  27.365932   2.8471682 43.50676   30.4842   ]
7c46bfff2f90f11044592db9be5db5c8_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [17.459545  15.242574   2.3757048  3.5848875 25.736889 ]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [31.427446  14.0425415  2.053677  26.057793  54.314884 ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_40_40_80_80_400:gt ['40', '20', '40', '40', '40']:pred [31.420654  13.404778   1.2534528  9.70393   33.33113  ]
5e87b04efd58cc8922412d2a728de1d5_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [10.766138  7.643245 11.08974  37.91444  18.65837 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [18.386063  14.143772   4.326414   2.7734833 31.648632 ]
86c8a3137a716d70e742b0b5e87bec54_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [26.11288  16.95527  22.22354  26.063946 20.801502]
d72ffa185738bccd10b75223b5be6dbb_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [ 9.540057 11.774809 15.303549 28.480446 36.98975 ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [14.729761  5.436411 13.553655 39.137775 10.988094]
a387407d49e209fdeea60824a43a0b_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [ 8.486854   9.776095   4.3966494 13.871695  19.670292 ]
a88d69e53a01aab9ff1370452e3a0154_40_40_40_20_20_240_40_400:gt ['40', '40', '40', '20', '20']:pred [24.463734  14.945248  19.77038    5.3076077 30.18922  ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [21.041937  19.25647   17.439587   2.0416675 21.738245 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_40_80_40_400:gt ['20', '40', '20', '40', '40']:pred [13.809917   8.515597  23.305622   5.0036583 31.820229 ]
b9786e1b059a1712ca92a4cdad802b45_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [16.738213 22.725193 31.018213 39.42585  38.043907]
72ba2195087f80d8b7e8c57d131d2ca7_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [21.309145  17.270105   7.7261353 22.992205  25.260662 ]
9d2b7938d426633b28044fe9244db50a_40_40_20_20_20_80_80_400:gt ['40', '40', '20', '20', '20']:pred [15.293592   7.6965704 15.46674   20.069843  11.751101 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [18.309862 14.267217  9.356829 21.320696 28.78817 ]
d0cf2f187acda5736be7348aa770e4ca_20_40_40_40_20_240_40_400:gt ['20', '40', '40', '40', '20']:pred [25.44881    1.2519923  4.2339826  7.5918093  2.4027007]
4458ed2a746e61a3b11647ffa4306609_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [19.487928 12.912122 12.823047 19.279322 11.892535]
d72ffa185738bccd10b75223b5be6dbb_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [23.166063   8.297276   2.9644532 35.061447  21.986052 ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [11.119321   7.2858944 18.903074  27.895123  28.56182  ]
5ec3322293a39816ad7e7cea4034d226_20_40_20_40_20_80_40_400:gt ['20', '40', '20', '40', '20']:pred [11.315986 16.799965 14.844368 26.750778 32.603146]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [22.424032   3.775129  12.965506   7.055153   3.0704536]
4ac021653126a29e98618a1ba17f086b_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [26.077465  15.437191   8.509921   6.2949553 36.628254 ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [16.825037 10.948923 30.384926 16.376894 34.67983 ]
c4941d6a2266813c3a2b1a2e5e169910_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [15.5235815 14.079215  11.067971  15.696813  34.855927 ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [22.471785   3.1694574 18.696758  24.801598  17.165493 ]
4458ed2a746e61a3b11647ffa4306609_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [16.051271 14.282277 19.848438 21.252426 13.215892]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [24.446705   7.6218123 24.332159  33.045876  26.386663 ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [ 3.7183723  8.391171  18.708925  15.610592   7.4974484]
86c8a3137a716d70e742b0b5e87bec54_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [15.251715   4.4749002 13.70549   27.854761   1.1656547]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_40_20_160_80_400:gt ['20', '40', '40', '40', '20']:pred [39.797382 10.474309 30.301115 16.369957 16.01206 ]
7c46bfff2f90f11044592db9be5db5c8_20_40_20_40_20_160_40_400:gt ['20', '40', '20', '40', '20']:pred [14.774763 24.62981   1.364192  5.146973 31.748882]
5e87b04efd58cc8922412d2a728de1d5_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [11.920436   4.910441   5.063317  34.34686    6.8535724]
c61ec8875746ab78227375499b768057_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [18.00763    7.3899813 12.413942   3.8745618 11.574424 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_40_40_40_240_40_400:gt ['40', '40', '40', '40', '40']:pred [22.228525 13.809738  9.33576  13.844326  9.465758]
9d2b7938d426633b28044fe9244db50a_40_40_20_20_40_160_80_400:gt ['40', '40', '20', '20', '40']:pred [23.218262  9.110634 14.222928 23.711021 13.267972]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [20.632507 22.511833 43.529034 33.745537 51.17238 ]
9c827e532de4967285089a13cc567dbd_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [10.019926  11.459591   4.0781493 11.461277  32.92609  ]
ba0ac1d1e25d3fad63f2c3a55558a78f_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [19.3524    28.865318   6.3046045 32.781567  33.31651  ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [ 8.290491  10.8711405 12.239327   3.969367   9.953383 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [18.263746 14.122666 42.09408  30.859688 46.887825]
4ac021653126a29e98618a1ba17f086b_40_20_40_20_40_80_40_400:gt ['40', '20', '40', '20', '40']:pred [14.615291  7.819098 36.089447 10.485251 43.451584]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_20_20_160_80_400:gt ['20', '40', '40', '20', '20']:pred [35.737537  10.2651615  8.67262   22.7234    31.700346 ]
12f2905dc029f59a2479fbc7da5ed22b_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [13.275797 20.553812  6.908198 16.786566 26.56345 ]
cde88b5900e8dfba725a7749daae1afa_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [25.137722 11.422321 23.444016 15.4385   26.91525 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [22.467337   3.6221485 42.09277   15.33001   29.872454 ]
1a64bf1e658652ddb11647ffa4306609_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [17.537268  8.988427  7.738166 12.137873  5.987542]
86c8a3137a716d70e742b0b5e87bec54_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [25.948055   6.6477914 10.658614   6.922596  13.48208  ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [15.507853 10.692021 37.977345 19.689003 36.726654]
5e87b04efd58cc8922412d2a728de1d5_20_20_20_40_40_240_80_400:gt ['20', '20', '20', '40', '40']:pred [ 7.454852   1.3218203 12.556606   9.959356   4.33254  ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_40_20_160_40_400:gt ['40', '40', '40', '40', '20']:pred [32.660522 13.033321 19.288374 40.997078 37.338608]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [25.686508 12.310696 44.60045  44.13586  43.37841 ]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [ 6.4068766 36.47136   16.279858  16.29967   30.369722 ]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_20_40_80_80_400:gt ['20', '40', '20', '20', '40']:pred [28.423376 15.530691  9.188377 20.941223 14.929054]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_40_40_160_40_400:gt ['40', '40', '20', '40', '40']:pred [34.205856 15.66944  24.622406 43.607887 50.82713 ]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [17.152342   3.1179495 44.664047  10.614805  34.487686 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [30.865763   8.117945   2.2261405 25.372494  50.297073 ]
825fb860d71c78a477c771b4b7eed82c_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [13.730217   9.227801  11.075952   5.6590242 40.813313 ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [23.312048  18.782795  35.940296   5.9932013 21.783297 ]
2f7cf2c2d170e3c936f37029483b3e41_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [24.08417   12.102015  19.35071    7.8711953 19.33133  ]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_20_20_80_80_400:gt ['20', '20', '20', '20', '20']:pred [27.430717 10.880313 30.4794   41.33194  33.548317]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [24.31199   10.8788805  2.4206254 20.041265   2.995834 ]
825fb860d71c78a477c771b4b7eed82c_20_20_40_20_40_240_80_400:gt ['20', '20', '40', '20', '40']:pred [16.485096   3.233263   6.3484955  1.4349358 31.153446 ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [18.823729 19.441517  4.515917 11.322848  9.614121]
70e27da90dec2de49604bf8c981ad1eb_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [ 5.2236595  2.8901346 19.532835  36.44701   38.19567  ]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_40_40_160_80_400:gt ['40', '20', '40', '40', '40']:pred [24.911966  23.24647    6.4999213 12.970944  35.686295 ]
5ec3322293a39816ad7e7cea4034d226_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [10.045831  5.636057 11.62341  16.380325 14.468172]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [20.985622 10.610668 25.499702  8.596622 29.07869 ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [18.323027 12.662135 16.883238 34.836605 35.662506]
5ec3322293a39816ad7e7cea4034d226_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [ 9.798386  4.988155 12.707976 13.108498 30.720087]
923007b377bb1cab473f10e6caaeca56_40_20_20_40_20_80_40_400:gt ['40', '20', '20', '40', '20']:pred [17.201437  15.687881   5.5080276 16.290646   5.153784 ]
6265f0745d3f40546bcd32c43682e841_20_20_40_20_20_160_80_400:gt ['20', '20', '40', '20', '20']:pred [ 6.709853  15.862738   5.9884276  6.6852694 27.107471 ]
4ac021653126a29e98618a1ba17f086b_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [26.25241  17.599401  8.468318  6.361258 33.910084]
ffe0a5b165461eb66a2345809e2bb169_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [20.712725   1.4053518 12.841464   5.992894  12.814395 ]
9d2b7938d426633b28044fe9244db50a_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [17.44883   8.781165 43.389305 22.418407 12.294453]
fabcb04fc015f822ca8bf2993ca245b_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [38.86461  12.801166 12.82894  22.441942  3.913402]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_20_20_80_80_400:gt ['40', '20', '40', '20', '20']:pred [25.747854 16.584787  8.324043 39.05314  41.288944]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [24.957127 16.92654  10.230704 20.230589 50.856903]
12f2905dc029f59a2479fbc7da5ed22b_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [22.19234  18.088598  9.646172 22.948597 54.888035]
ac3585c59a80b822b4d8eb72d337b2e3_20_20_40_20_40_80_40_400:gt ['20', '20', '40', '20', '40']:pred [22.060612 21.975443 52.078255 28.203808 50.195312]
c61ec8875746ab78227375499b768057_40_40_20_40_40_80_40_400:gt ['40', '40', '20', '40', '40']:pred [36.60094  14.214995 21.852156 17.786863 37.10431 ]
d0cf2f187acda5736be7348aa770e4ca_20_20_20_40_40_160_40_400:gt ['20', '20', '20', '40', '40']:pred [ 7.0717826 10.863937  36.209938  35.27778   41.02417  ]
c61ec8875746ab78227375499b768057_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [18.515266 11.792711 11.67553  23.738989 28.139984]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [23.711948 12.245373 11.661037 32.189224 30.223017]
7c46bfff2f90f11044592db9be5db5c8_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [10.678115  25.544144   1.1366287  5.1258454 32.36311  ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [11.895548   5.778217  24.347334  14.6164875 30.800217 ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_20_160_80_400:gt ['40', '40', '40', '40', '20']:pred [35.228313 15.013545 30.926664 17.326542 17.506292]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [ 9.57329    1.0864546 30.123793  16.386587  18.705349 ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [ 7.810143  4.630873 11.485452 27.74979  45.426662]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [38.456093 13.39949  27.156673 14.278754 19.249926]
5e87b04efd58cc8922412d2a728de1d5_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [31.40621    4.6428323 14.100801  25.230438  23.437737 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [12.237508  9.627287 11.937831 22.016716 35.277493]
70e27da90dec2de49604bf8c981ad1eb_20_20_20_20_40_240_80_400:gt ['20', '20', '20', '20', '40']:pred [15.468149   7.626265   1.3868766  5.571926  11.3762245]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_20_40_40_80_80_400:gt ['40', '40', '20', '40', '40']:pred [26.949646   9.8484335  2.6283371 44.871967   1.7836959]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [30.559284   0.9238266  4.9456935  5.899116  34.12675  ]
923007b377bb1cab473f10e6caaeca56_20_40_40_20_40_80_40_400:gt ['20', '40', '40', '20', '40']:pred [11.238861  15.834922   4.1589794 20.573639   7.433418 ]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [31.985292  11.314732   3.900964  22.000021   6.6675115]
70e27da90dec2de49604bf8c981ad1eb_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [23.696922   3.8601985 11.621888   7.0236273  2.5678687]
6265f0745d3f40546bcd32c43682e841_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [18.207327  13.683551   3.4138768  0.5649555 29.426653 ]
7c46bfff2f90f11044592db9be5db5c8_40_20_20_40_40_240_40_400:gt ['40', '20', '20', '40', '40']:pred [11.351499  13.184734   2.45433    4.6720514 28.589062 ]
1790131f5f74b1ed973aff268eb6b00c_20_20_40_40_20_160_40_400:gt ['20', '20', '40', '40', '20']:pred [19.483171   6.8338995 16.112963  53.18245   20.445192 ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [24.798773 10.46757  10.418626 19.308306 42.440483]
aa9f41bc3925ffc4be9358e8c18dc481_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [14.207233 11.248663 26.313042 17.329008 31.37204 ]
5ec3322293a39816ad7e7cea4034d226_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [ 2.5861092  4.7397466 10.5640745  8.65384   16.691082 ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_20_40_80_80_400:gt ['20', '40', '40', '20', '40']:pred [20.51642   14.563174   1.177865   3.6846087 43.446304 ]
825fb860d71c78a477c771b4b7eed82c_40_20_40_40_20_80_40_400:gt ['40', '20', '40', '40', '20']:pred [23.199411 11.412895 10.37127  16.184128 51.235615]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [23.917862 31.607452 21.790285 30.44392  45.51    ]
c4941d6a2266813c3a2b1a2e5e169910_40_20_40_20_40_160_80_400:gt ['40', '20', '40', '20', '40']:pred [20.520914  18.272709  18.22143    8.743474   7.5158887]
1a64bf1e658652ddb11647ffa4306609_40_40_40_40_40_80_40_400:gt ['40', '40', '40', '40', '40']:pred [41.50064  22.6923   29.881231 30.077988 44.333923]
aa9f41bc3925ffc4be9358e8c18dc481_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [14.979718  12.322806   3.0970602 11.23575   36.472546 ]
70e27da90dec2de49604bf8c981ad1eb_20_40_40_40_40_160_80_400:gt ['20', '40', '40', '40', '40']:pred [20.930048 11.702022 27.136581 17.533995 16.467438]
a387407d49e209fdeea60824a43a0b_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [20.757284  5.415627 11.949697 16.68273  23.871832]
a387407d49e209fdeea60824a43a0b_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [13.270457 18.403172 13.83433  31.67289  31.848639]
d72ffa185738bccd10b75223b5be6dbb_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [11.837478   3.2618115 24.986929  43.079956  23.329788 ]
5ec3322293a39816ad7e7cea4034d226_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [16.163996 10.754667 19.063736  8.002364 44.954994]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [23.821596  8.998136 15.867348 45.73042  44.147076]
a115d534edec6f89afe1d4530f4c6e24_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [33.97801  10.96056   5.024906 35.284206 57.02387 ]
5e87b04efd58cc8922412d2a728de1d5_40_20_20_40_40_80_80_400:gt ['40', '20', '20', '40', '40']:pred [31.618673   1.2005947  7.5462956 15.860424   5.0501842]
923007b377bb1cab473f10e6caaeca56_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [ 8.353705  17.526798  10.565257   1.5924023  5.2443895]
1790131f5f74b1ed973aff268eb6b00c_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [ 8.037597 15.346554 19.754433 19.556652 47.930202]
a115d534edec6f89afe1d4530f4c6e24_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [30.644764  13.168687   1.6847059 27.140766  52.565422 ]
ffe0a5b165461eb66a2345809e2bb169_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [ 7.434915 18.318789 11.539093 11.330152 30.127773]
d72ffa185738bccd10b75223b5be6dbb_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [11.661236   6.4566364 20.472378  44.788887  24.294804 ]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_20_20_160_40_400:gt ['20', '40', '20', '20', '20']:pred [12.098612  6.628764 17.742182 55.543182 22.877777]
a88d69e53a01aab9ff1370452e3a0154_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [17.24063   24.343988  13.168086   7.5476513 19.839306 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_20_20_40_160_40_400:gt ['20', '20', '20', '20', '40']:pred [15.558411 23.450216 26.579584 43.709023 47.266644]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [10.581572   8.007828  10.8399725 33.47879   32.783913 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_20_40_20_240_80_400:gt ['40', '20', '20', '40', '20']:pred [ 9.5800705 19.409538   7.9914827 17.22441   12.670766 ]
a88d69e53a01aab9ff1370452e3a0154_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [20.200125 20.650274  8.960959  6.766972 20.437057]
a88d69e53a01aab9ff1370452e3a0154_40_20_40_40_20_80_80_400:gt ['40', '20', '40', '40', '20']:pred [ 7.553487 16.078459  5.075832  2.297117 17.2285  ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [29.950764  6.816883 33.211746 28.943048 34.584118]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_20_40_160_80_400:gt ['20', '40', '20', '20', '40']:pred [45.09546   12.416699   1.4792768 13.456865  39.243176 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [13.403625   5.613504  25.39043    7.4432917 20.221933 ]
