Hybrid_0_20_0_20_0_160_20_450:gt ['0', '20', '0', '20', '0']:pred [ 0.       25.299646  0.       20.        0.      ]
Suv_0_20_0_20_20_160_60_400:gt ['0', '20', '0', '20', '20']:pred [10.232151 52.491066  0.       17.620525 47.002106]
Suv_0_20_0_0_20_320_20_450:gt ['0', '20', '0', '0', '20']:pred [ 1.2511995 20.         5.7394676  0.        15.015546 ]
Sedan4Door_-20_0_0_0_0_80_60_450:gt ['-20', '0', '0', '0', '0']:pred [15.366922   8.657011   3.1762702  3.3934827  0.       ]
Sedan4Door_-20_0_-20_20_0_0_20_450:gt ['-20', '0', '-20', '20', '0']:pred [15.174394  0.       19.699558 20.        0.      ]
Hybrid_0_20_0_20_20_160_20_400:gt ['0', '20', '0', '20', '20']:pred [ 0.       25.986675  0.       20.       20.      ]
Sedan4Door_-20_0_0_0_20_240_60_450:gt ['-20', '0', '0', '0', '20']:pred [ 7.0148325  5.6472135  0.         3.8803124 20.06101  ]
Hybrid_0_0_0_0_0_240_20_450:gt ['0', '0', '0', '0', '0']:pred [ 0.       11.966529  0.        0.       27.656324]
Hybrid_0_20_-20_0_0_0_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 1.3677503 20.        20.         0.         0.       ]
Hybrid_0_0_-20_0_20_320_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 3.566217  0.       20.        0.       35.187004]
Hybrid_-20_20_-20_0_20_160_20_400:gt ['-20', '20', '-20', '0', '20']:pred [20.       11.794517 20.        0.       20.      ]
Suv_-20_20_0_0_20_80_20_400:gt ['-20', '20', '0', '0', '20']:pred [34.056656 20.        0.        0.       20.      ]
Suv_-20_20_0_0_20_0_60_450:gt ['-20', '20', '0', '0', '20']:pred [45.38718   24.743149   1.9311657  0.        20.783377 ]
Hatchback_0_20_-20_20_20_0_60_450:gt ['0', '20', '-20', '20', '20']:pred [ 2.3281956  3.3145165  9.410639  20.        13.522041 ]
Hatchback_0_20_0_20_20_160_60_400:gt ['0', '20', '0', '20', '20']:pred [10.653035 53.532375  0.       23.38961  58.521725]
Sedan2Door_-20_20_0_20_0_160_60_400:gt ['-20', '20', '0', '20', '0']:pred [14.8556     2.4315042  0.        20.        35.200115 ]
Hatchback_-20_20_0_20_20_80_20_450:gt ['-20', '20', '0', '20', '20']:pred [25.636324 20.        0.       20.       20.      ]
Sedan2Door_-20_20_0_0_20_320_60_400:gt ['-20', '20', '0', '0', '20']:pred [37.003048 43.82568   0.        0.       57.329784]
Sedan4Door_0_20_0_20_0_160_60_450:gt ['0', '20', '0', '20', '0']:pred [ 6.5022035  8.7680025  0.        22.866102  54.81547  ]
Suv_0_20_0_0_0_320_20_450:gt ['0', '20', '0', '0', '0']:pred [ 2.1087039 20.         2.979433   0.         8.061651 ]
Sedan4Door_0_0_0_20_20_320_20_450:gt ['0', '0', '0', '20', '20']:pred [ 1.8223886  0.         2.4326181 20.        29.796703 ]
Hybrid_-20_20_0_0_0_320_60_400:gt ['-20', '20', '0', '0', '0']:pred [48.37685  37.28248   0.        0.       26.591888]
Suv_0_20_0_0_0_240_60_450:gt ['0', '20', '0', '0', '0']:pred [ 0.         9.314582   0.         3.2759721 33.967236 ]
Hatchback_0_0_0_0_20_320_20_400:gt ['0', '0', '0', '0', '20']:pred [2.165921  0.        5.1762667 0.        9.186292 ]
Hybrid_0_0_0_0_20_160_20_400:gt ['0', '0', '0', '0', '20']:pred [ 0.         2.1347544  0.         0.        20.       ]
Sedan4Door_0_20_0_0_0_160_60_450:gt ['0', '20', '0', '0', '0']:pred [ 9.48415   5.198661  0.        5.530307 42.037315]
Suv_0_0_0_0_0_240_20_400:gt ['0', '0', '0', '0', '0']:pred [ 0.       31.726076  0.        8.289201 29.275614]
Suv_-20_20_-20_0_0_0_60_400:gt ['-20', '20', '-20', '0', '0']:pred [19.330221 38.681488  7.773467  0.       36.536987]
Hybrid_0_0_0_0_0_320_60_400:gt ['0', '0', '0', '0', '0']:pred [ 8.045378  0.        0.        0.       49.52727 ]
Suv_0_20_-20_20_20_0_60_400:gt ['0', '20', '-20', '20', '20']:pred [ 6.3221636 57.742958  17.925436  20.        35.83758  ]
Hybrid_0_20_0_0_0_160_60_450:gt ['0', '20', '0', '0', '0']:pred [ 0.        5.057795  0.        0.       27.997633]
Hybrid_-20_0_-20_20_20_240_60_400:gt ['-20', '0', '-20', '20', '20']:pred [21.328234  8.130399 20.       20.       55.56481 ]
Sedan2Door_-20_20_-20_20_0_80_60_450:gt ['-20', '20', '-20', '20', '0']:pred [30.886648 15.069455 20.       20.        0.      ]
Hatchback_-20_20_0_0_20_160_60_400:gt ['-20', '20', '0', '0', '20']:pred [ 9.00194    7.9968557  0.        23.315964  52.213596 ]
Sedan4Door_-20_20_-20_20_20_160_60_450:gt ['-20', '20', '-20', '20', '20']:pred [33.745953 52.2249   20.        8.66056  49.822887]
Hatchback_0_0_0_0_20_320_20_450:gt ['0', '0', '0', '0', '20']:pred [ 2.046947  0.        8.365935  0.       23.453375]
Hatchback_0_20_-20_20_20_80_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 4.6691847 20.        14.862484  20.        20.       ]
Hatchback_-20_20_0_0_0_240_60_400:gt ['-20', '20', '0', '0', '0']:pred [18.288227 10.086006  0.        3.9047   43.684834]
Sedan2Door_0_20_0_20_0_80_20_450:gt ['0', '20', '0', '20', '0']:pred [ 3.954817 20.        0.       20.        0.      ]
Sedan2Door_-20_20_0_20_20_240_60_400:gt ['-20', '20', '0', '20', '20']:pred [19.929836   5.2463546  0.        20.        45.602627 ]
Hybrid_0_20_0_20_20_80_20_400:gt ['0', '20', '0', '20', '20']:pred [ 3.9153018 20.         0.        20.        20.       ]
Suv_0_20_-20_0_0_0_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 6.779486 57.94375  21.581474  0.       39.25767 ]
Sedan2Door_0_0_-20_20_20_80_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 2.928173  0.       20.       20.       20.      ]
Sedan2Door_-20_0_-20_20_20_0_20_400:gt ['-20', '0', '-20', '20', '20']:pred [10.710641  0.       20.       20.       20.      ]
Sedan2Door_0_20_-20_20_0_80_20_450:gt ['0', '20', '-20', '20', '0']:pred [ 2.3253098 20.        20.        20.         0.       ]
Suv_0_20_0_0_20_160_20_400:gt ['0', '20', '0', '0', '20']:pred [ 0.       13.763941  0.        5.243261 20.      ]
Hybrid_0_20_-20_20_0_320_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 2.448597 20.       20.       20.        7.111544]
Sedan4Door_-20_0_-20_0_20_320_60_400:gt ['-20', '0', '-20', '0', '20']:pred [29.420397 10.808466 16.353338  0.       35.658176]
Hybrid_-20_0_0_0_0_0_60_450:gt ['-20', '0', '0', '0', '0']:pred [31.998016  0.        0.        0.       25.877443]
Hatchback_-20_20_-20_0_20_0_20_400:gt ['-20', '20', '-20', '0', '20']:pred [11.993969 20.       13.03184   0.       20.      ]
Sedan4Door_-20_20_0_20_0_240_60_450:gt ['-20', '20', '0', '20', '0']:pred [13.426152  13.3388405  0.         9.818323  45.769424 ]
Suv_-20_0_0_20_0_240_60_400:gt ['-20', '0', '0', '20', '0']:pred [20.        23.120846   0.         4.2907367 28.611734 ]
Suv_0_20_0_20_0_320_20_450:gt ['0', '20', '0', '20', '0']:pred [ 1.5212564 20.         2.8397315 20.         4.8340483]
Sedan2Door_-20_0_0_0_20_80_20_450:gt ['-20', '0', '0', '0', '20']:pred [20.934782  0.        0.        0.       20.      ]
Suv_0_0_0_0_0_320_60_400:gt ['0', '0', '0', '0', '0']:pred [ 3.2280757  0.         6.827083   0.        33.976124 ]
Suv_-20_0_-20_20_20_160_20_450:gt ['-20', '0', '-20', '20', '20']:pred [20.         2.6221805 20.        29.448465  20.       ]
Hybrid_-20_0_-20_20_0_320_20_400:gt ['-20', '0', '-20', '20', '0']:pred [19.987143  0.       20.       20.       13.600231]
Suv_-20_20_-20_0_0_320_60_400:gt ['-20', '20', '-20', '0', '0']:pred [29.4707   48.930614 33.575478  0.       16.08199 ]
Hybrid_0_0_-20_20_20_0_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 2.475136  0.       20.       20.       20.      ]
Hybrid_0_0_0_0_0_0_20_450:gt ['0', '0', '0', '0', '0']:pred [3.2787423 0.        0.        0.        0.       ]
Suv_-20_0_0_0_20_240_60_450:gt ['-20', '0', '0', '0', '20']:pred [24.932095  1.572427  0.        3.420592 29.316412]
Sedan2Door_-20_0_0_20_20_320_60_400:gt ['-20', '0', '0', '20', '20']:pred [43.46357    5.0055566  0.        20.        59.11108  ]
Hatchback_0_20_-20_20_0_240_60_450:gt ['0', '20', '-20', '20', '0']:pred [17.247831 15.135157 31.59272  14.571321 17.79137 ]
Sedan4Door_0_0_0_0_20_240_60_400:gt ['0', '0', '0', '0', '20']:pred [ 0.         3.122887   0.         3.8534935 46.34265  ]
Hatchback_-20_20_-20_0_20_240_20_400:gt ['-20', '20', '-20', '0', '20']:pred [20.       20.030315 20.       13.16129  39.069637]
Suv_-20_0_0_20_0_240_20_400:gt ['-20', '0', '0', '20', '0']:pred [20.       18.370174  0.       29.987675 23.029102]
Sedan4Door_0_0_-20_20_0_240_20_400:gt ['0', '0', '-20', '20', '0']:pred [ 0.         3.3683844 20.        10.54843   52.044247 ]
Hatchback_0_0_-20_0_0_0_60_400:gt ['0', '0', '-20', '0', '0']:pred [ 2.2226408 11.862667  11.058434   0.        24.291256 ]
Suv_0_20_0_0_20_0_20_450:gt ['0', '20', '0', '0', '20']:pred [ 0.94270605 20.          8.304958    0.         20.        ]
Hatchback_-20_0_-20_20_20_0_60_450:gt ['-20', '0', '-20', '20', '20']:pred [23.205563  6.782568  5.589499 20.       48.092358]
Hybrid_-20_0_-20_0_20_240_60_450:gt ['-20', '0', '-20', '0', '20']:pred [16.97188    3.1153169 20.         0.        12.125147 ]
Hybrid_-20_0_-20_20_0_160_60_400:gt ['-20', '0', '-20', '20', '0']:pred [27.41297    2.7046099 20.        20.        10.5348215]
Hatchback_-20_0_-20_20_20_240_20_450:gt ['-20', '0', '-20', '20', '20']:pred [20.       25.349453 20.       12.408288 41.409447]
Suv_-20_0_0_20_0_160_60_450:gt ['-20', '0', '0', '20', '0']:pred [16.676018 34.314617  0.        7.856165 53.122734]
Hatchback_-20_0_0_0_20_0_60_450:gt ['-20', '0', '0', '0', '20']:pred [16.125505 14.074409  6.180658  0.       44.75915 ]
Sedan2Door_0_20_-20_0_20_0_60_450:gt ['0', '20', '-20', '0', '20']:pred [ 3.7983804 59.349308  20.         0.        18.656527 ]
Hatchback_-20_20_0_20_20_240_60_450:gt ['-20', '20', '0', '20', '20']:pred [35.736523   6.7255106  0.         7.445325  58.90477  ]
Hatchback_-20_20_-20_20_20_0_20_400:gt ['-20', '20', '-20', '20', '20']:pred [10.42009  20.       16.503122 20.       20.      ]
Hybrid_0_0_0_20_20_160_60_400:gt ['0', '0', '0', '20', '20']:pred [ 0.         2.0719774  0.        20.        33.01113  ]
Sedan4Door_-20_20_-20_0_20_160_60_400:gt ['-20', '20', '-20', '0', '20']:pred [46.202744   3.7128284 20.         6.1688585 56.921623 ]
Hatchback_0_0_-20_20_20_0_60_450:gt ['0', '0', '-20', '20', '20']:pred [ 2.9410954 27.23231   21.370308  20.        40.038853 ]
Hatchback_-20_0_0_0_20_160_60_450:gt ['-20', '0', '0', '0', '20']:pred [28.315374 14.669464  0.        5.957449 30.040272]
Hatchback_-20_0_-20_0_0_0_20_450:gt ['-20', '0', '-20', '0', '0']:pred [16.434246  0.       24.640594  0.        0.      ]
Sedan4Door_-20_20_-20_20_0_160_20_400:gt ['-20', '20', '-20', '20', '0']:pred [20.       12.36276  20.       22.373936  0.      ]
Sedan4Door_0_20_-20_20_0_0_20_400:gt ['0', '20', '-20', '20', '0']:pred [ 1.5972003 20.        31.694405  20.         0.       ]
Sedan4Door_0_0_0_0_0_320_20_400:gt ['0', '0', '0', '0', '0']:pred [2.613374  0.        9.462032  0.        3.8976145]
Sedan4Door_-20_0_0_20_20_320_20_450:gt ['-20', '0', '0', '20', '20']:pred [17.629175  0.        4.624419 20.       20.377169]
Hatchback_0_20_0_0_20_0_20_400:gt ['0', '20', '0', '0', '20']:pred [ 1.4578837 20.         1.2904905  0.        20.       ]
Suv_0_0_-20_0_0_320_20_400:gt ['0', '0', '-20', '0', '0']:pred [ 1.703543  0.        8.862597  0.       31.90695 ]
Sedan4Door_0_0_-20_20_20_80_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 4.2072477  0.         4.5335774 20.        20.       ]
Sedan4Door_-20_0_0_0_0_0_60_450:gt ['-20', '0', '0', '0', '0']:pred [20.662964 25.020231  3.172798  0.       22.42202 ]
Sedan4Door_0_0_-20_20_20_240_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.       15.445375 20.       19.417109 49.20425 ]
Sedan2Door_-20_0_0_20_20_80_20_450:gt ['-20', '0', '0', '20', '20']:pred [29.435234  0.        0.       20.       20.      ]
Sedan2Door_0_0_-20_0_0_320_20_400:gt ['0', '0', '-20', '0', '0']:pred [ 0.99450064  0.         20.          0.         36.670105  ]
Suv_0_0_-20_0_20_80_60_450:gt ['0', '0', '-20', '0', '20']:pred [ 2.2582433  7.027431   3.0614345  8.124417  59.179337 ]
Suv_-20_20_0_20_20_160_60_400:gt ['-20', '20', '0', '20', '20']:pred [ 6.13644  21.32281   0.       22.87368  59.668015]
Sedan4Door_-20_20_-20_20_0_320_60_450:gt ['-20', '20', '-20', '20', '0']:pred [30.045187  50.91361    3.5757418 29.098999  36.974922 ]
Hybrid_-20_20_-20_0_0_240_60_450:gt ['-20', '20', '-20', '0', '0']:pred [18.562716 35.342823 20.        0.       22.35006 ]
Sedan4Door_-20_20_-20_0_0_80_20_450:gt ['-20', '20', '-20', '0', '0']:pred [25.02547  20.       15.158415  0.        0.      ]
Sedan2Door_0_20_-20_20_20_80_60_400:gt ['0', '20', '-20', '20', '20']:pred [ 3.8420298 18.266363  20.        20.        51.146984 ]
Suv_-20_0_-20_0_20_240_60_400:gt ['-20', '0', '-20', '0', '20']:pred [17.297092    2.3894234  51.911095    0.27441964 46.94072   ]
Sedan4Door_0_20_0_20_0_160_60_400:gt ['0', '20', '0', '20', '0']:pred [ 8.662882  8.436678  0.       19.164946 33.670586]
Sedan4Door_-20_0_-20_20_20_0_60_400:gt ['-20', '0', '-20', '20', '20']:pred [29.992327  9.851127 10.993159 20.       53.14296 ]
Hatchback_0_0_-20_20_20_160_20_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.         3.5006206 20.        13.449633  20.       ]
Sedan2Door_0_0_0_0_20_160_60_450:gt ['0', '0', '0', '0', '20']:pred [ 7.141868 21.322811  0.        0.       39.30544 ]
Sedan4Door_-20_0_0_0_20_0_60_400:gt ['-20', '0', '0', '0', '20']:pred [17.068102   4.2942805  1.6353811  0.        15.376337 ]
Sedan4Door_-20_0_0_0_20_240_20_400:gt ['-20', '0', '0', '0', '20']:pred [20.         1.9616323  0.         1.5812088 50.11269  ]
Hatchback_0_0_0_20_0_0_60_400:gt ['0', '0', '0', '20', '0']:pred [ 6.7778244  5.724626   4.0425477 20.         2.1580772]
Hatchback_0_0_-20_20_20_80_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 2.807704  5.589189  3.380729  9.215885 46.58741 ]
Suv_-20_0_-20_20_20_80_20_400:gt ['-20', '0', '-20', '20', '20']:pred [17.409668  0.        8.215073 20.       20.      ]
Sedan2Door_-20_20_0_20_20_320_60_400:gt ['-20', '20', '0', '20', '20']:pred [23.169865 12.203983  0.       20.       57.470425]
Hatchback_0_0_-20_20_0_240_20_450:gt ['0', '0', '-20', '20', '0']:pred [ 0.         2.7993898 20.        14.627314   8.200056 ]
Sedan2Door_0_20_0_20_0_160_20_400:gt ['0', '20', '0', '20', '0']:pred [ 0.       12.989146  0.       20.        0.      ]
Suv_0_0_-20_0_20_80_20_450:gt ['0', '0', '-20', '0', '20']:pred [12.836773   0.         6.4191604  0.        20.       ]
Sedan2Door_-20_0_-20_20_20_160_60_450:gt ['-20', '0', '-20', '20', '20']:pred [15.118395   4.1759214 20.        20.        58.58342  ]
Hatchback_0_20_-20_0_0_160_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 0.       27.723629 20.       12.188792  0.      ]
Hatchback_0_0_0_0_20_320_60_400:gt ['0', '0', '0', '0', '20']:pred [ 2.2821257 12.023969   1.7755494  0.        48.734303 ]
Hatchback_0_0_0_0_0_320_20_400:gt ['0', '0', '0', '0', '0']:pred [ 2.8604126  0.        12.565072   0.         3.2258272]
Hybrid_-20_20_0_20_20_320_60_450:gt ['-20', '20', '0', '20', '20']:pred [21.907797 51.038853  0.       20.       36.690037]
Hybrid_-20_20_-20_0_20_0_60_400:gt ['-20', '20', '-20', '0', '20']:pred [26.856232 19.193272 20.        0.       49.90318 ]
Hybrid_-20_0_0_0_0_0_20_450:gt ['-20', '0', '0', '0', '0']:pred [15.14134  0.       0.       0.       0.     ]
Hatchback_-20_20_-20_20_0_0_20_400:gt ['-20', '20', '-20', '20', '0']:pred [12.302768 20.       12.188917 20.        0.      ]
Hatchback_-20_20_0_20_20_240_20_450:gt ['-20', '20', '0', '20', '20']:pred [20.       14.671706  0.       12.099948 55.763702]
Suv_0_20_-20_0_0_320_20_400:gt ['0', '20', '-20', '0', '0']:pred [ 4.4360967 20.        31.537956   0.         7.4026256]
Hatchback_-20_0_0_0_0_0_60_450:gt ['-20', '0', '0', '0', '0']:pred [18.80887    6.918715   1.7278732  0.        47.88273  ]
Hatchback_-20_0_0_0_0_240_60_450:gt ['-20', '0', '0', '0', '0']:pred [29.889894   1.9879118  0.         4.2128468 53.50034  ]
Sedan4Door_-20_0_-20_0_0_0_60_400:gt ['-20', '0', '-20', '0', '0']:pred [27.286291  12.277741   7.0342016  0.        55.82048  ]
Suv_0_20_0_20_20_240_60_450:gt ['0', '20', '0', '20', '20']:pred [33.281708  42.095608   0.         3.2807574 54.8154   ]
Sedan2Door_0_20_-20_20_0_0_60_450:gt ['0', '20', '-20', '20', '0']:pred [ 3.481385 57.464245 20.       20.        7.408709]
Hatchback_-20_20_0_0_0_320_20_450:gt ['-20', '20', '0', '0', '0']:pred [17.122639 20.        3.630056  0.       12.809607]
Suv_0_20_0_20_20_320_20_450:gt ['0', '20', '0', '20', '20']:pred [ 1.7547206 20.         2.071935  20.        25.879456 ]
Hatchback_0_0_0_20_0_320_20_400:gt ['0', '0', '0', '20', '0']:pred [ 1.7835402  0.         3.5079699 20.         8.393184 ]
Sedan4Door_0_20_-20_20_20_160_60_400:gt ['0', '20', '-20', '20', '20']:pred [11.152376   6.2314997 20.        34.864784  57.799553 ]
Suv_-20_0_-20_20_20_160_60_450:gt ['-20', '0', '-20', '20', '20']:pred [21.184885 13.249353 20.       11.861041 51.103935]
Sedan4Door_-20_0_-20_20_20_240_20_400:gt ['-20', '0', '-20', '20', '20']:pred [20.         1.5414498 20.         6.8125997 52.96657  ]
Sedan4Door_0_0_0_20_20_320_60_400:gt ['0', '0', '0', '20', '20']:pred [ 3.3783662  0.         5.824442  15.443344  33.851936 ]
Hybrid_0_0_0_0_0_320_20_400:gt ['0', '0', '0', '0', '0']:pred [ 2.3008928  0.         0.         0.        15.65393  ]
Suv_0_20_-20_0_20_240_20_450:gt ['0', '20', '-20', '0', '20']:pred [ 0.       25.317076 20.        9.18591  43.01258 ]
Sedan4Door_0_20_-20_20_0_0_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 2.717949 19.303913 13.797994 20.       20.188671]
Suv_0_0_0_0_0_160_20_400:gt ['0', '0', '0', '0', '0']:pred [0.        5.043211  0.        6.6106534 0.       ]
Sedan4Door_0_0_-20_0_0_80_60_450:gt ['0', '0', '-20', '0', '0']:pred [ 2.736472   4.12969   21.229006   1.2892011  0.       ]
Hatchback_0_0_0_20_0_160_60_450:gt ['0', '0', '0', '20', '0']:pred [ 8.7713     9.580741   0.         5.6261787 21.77507  ]
Hybrid_-20_20_-20_20_0_320_20_400:gt ['-20', '20', '-20', '20', '0']:pred [19.082493 20.       20.       20.       19.141094]
Sedan4Door_-20_0_-20_0_0_240_60_450:gt ['-20', '0', '-20', '0', '0']:pred [19.300026   1.9821811  4.2471704  2.6009755 44.90074  ]
Hybrid_0_20_-20_0_20_240_60_400:gt ['0', '20', '-20', '0', '20']:pred [ 0.        9.110787 20.        0.       42.641422]
Hatchback_-20_20_-20_20_20_0_60_400:gt ['-20', '20', '-20', '20', '20']:pred [24.286741 12.606352  4.071046 20.       47.452415]
Sedan2Door_0_0_-20_20_20_160_60_400:gt ['0', '0', '-20', '20', '20']:pred [26.95363   6.288144 20.       20.       59.684196]
Sedan4Door_0_0_0_0_20_240_60_450:gt ['0', '0', '0', '0', '20']:pred [ 6.4945097  2.2840428  0.         5.7326813 57.46054  ]
Sedan2Door_0_20_-20_20_0_320_60_400:gt ['0', '20', '-20', '20', '0']:pred [ 5.5940123 22.617594  20.        20.        31.353828 ]
Sedan4Door_-20_20_-20_0_20_240_60_450:gt ['-20', '20', '-20', '0', '20']:pred [33.965378  20.895308  20.742157   5.7777724 33.67033  ]
Hybrid_-20_20_-20_20_20_80_60_400:gt ['-20', '20', '-20', '20', '20']:pred [25.20898  13.052415 20.       20.       56.699017]
Hybrid_0_20_0_0_0_0_20_450:gt ['0', '20', '0', '0', '0']:pred [ 4.5251594 20.         0.         0.         0.       ]
Sedan2Door_0_20_-20_0_0_320_20_450:gt ['0', '20', '-20', '0', '0']:pred [ 1.3481932 20.        20.         0.        13.467426 ]
Hatchback_0_20_0_20_0_160_60_450:gt ['0', '20', '0', '20', '0']:pred [12.74756  47.615963  0.       16.426632 42.58643 ]
Sedan4Door_-20_20_-20_20_0_0_20_400:gt ['-20', '20', '-20', '20', '0']:pred [ 5.892112 20.       28.338928 20.        0.      ]
Sedan2Door_-20_0_0_20_20_240_20_400:gt ['-20', '0', '0', '20', '20']:pred [20.       15.507973  0.       20.       39.234493]
Suv_-20_20_-20_20_20_240_60_450:gt ['-20', '20', '-20', '20', '20']:pred [10.717012  6.269339  9.141491 30.149979 56.46382 ]
Hybrid_0_0_0_20_20_80_20_450:gt ['0', '0', '0', '20', '20']:pred [ 2.6840136  0.         0.        20.        20.       ]
Hybrid_0_0_0_0_0_0_60_400:gt ['0', '0', '0', '0', '0']:pred [2.4126768 0.        0.        0.        4.680106 ]
Hybrid_-20_20_-20_20_20_240_60_450:gt ['-20', '20', '-20', '20', '20']:pred [20.471613 14.945005 20.       20.       52.55182 ]
Suv_0_0_-20_0_20_0_20_450:gt ['0', '0', '-20', '0', '20']:pred [ 0.7461776  0.        38.08945    0.        20.       ]
Hybrid_0_20_0_20_20_160_60_450:gt ['0', '20', '0', '20', '20']:pred [ 0.         3.3536851  0.        20.        18.446493 ]
Sedan4Door_0_0_-20_20_0_240_60_400:gt ['0', '0', '-20', '20', '0']:pred [15.37573  30.590904  8.39001   3.306114 47.880154]
Suv_0_0_0_0_0_320_60_450:gt ['0', '0', '0', '0', '0']:pred [ 3.8762906  0.         3.3681502  0.        19.38813  ]
Hybrid_-20_0_0_0_0_0_20_400:gt ['-20', '0', '0', '0', '0']:pred [16.562752  0.        0.        0.        0.      ]
Sedan2Door_0_0_-20_0_20_240_60_400:gt ['0', '0', '-20', '0', '20']:pred [ 4.014215 31.316135 20.        0.       57.900673]
Hybrid_0_20_0_20_20_320_20_400:gt ['0', '20', '0', '20', '20']:pred [ 3.1939461 20.         0.        20.         6.9960766]
Hybrid_0_20_-20_0_0_320_60_400:gt ['0', '20', '-20', '0', '0']:pred [ 5.411377  20.        20.         0.         2.7972534]
Sedan4Door_0_20_0_0_0_80_60_400:gt ['0', '20', '0', '0', '0']:pred [ 1.0468099 18.988472   5.8395605  4.2126665  0.       ]
Sedan4Door_-20_0_0_0_0_0_20_400:gt ['-20', '0', '0', '0', '0']:pred [18.259962   0.         4.3152184  0.         0.       ]
Suv_-20_20_0_20_0_240_60_400:gt ['-20', '20', '0', '20', '0']:pred [20.       42.92652   0.        3.660761 43.138664]
Hatchback_-20_20_0_0_20_240_20_400:gt ['-20', '20', '0', '0', '20']:pred [20.        8.273757  0.        4.093879 31.828005]
Sedan2Door_-20_20_0_0_20_240_20_400:gt ['-20', '20', '0', '0', '20']:pred [20.       27.539299  0.        0.       52.133316]
Hybrid_0_0_0_20_20_80_60_450:gt ['0', '0', '0', '20', '20']:pred [ 3.0493248  4.688898   0.        20.         6.571274 ]
Hatchback_0_20_-20_0_20_240_60_400:gt ['0', '20', '-20', '0', '20']:pred [35.10975  18.477114  3.390714  6.204688 55.535862]
Hatchback_-20_20_-20_20_0_0_20_450:gt ['-20', '20', '-20', '20', '0']:pred [ 9.833937 20.       23.443079 20.        0.      ]
Sedan2Door_-20_20_0_0_0_240_60_400:gt ['-20', '20', '0', '0', '0']:pred [21.639175 31.050865  0.        0.       50.263744]
Sedan4Door_-20_0_0_20_0_320_20_400:gt ['-20', '0', '0', '20', '0']:pred [16.18869   0.        9.133314 20.        9.386488]
Sedan2Door_-20_20_0_0_20_80_60_400:gt ['-20', '20', '0', '0', '20']:pred [18.64308  33.378506  0.        0.       50.529503]
Sedan2Door_0_0_0_20_0_320_60_400:gt ['0', '0', '0', '20', '0']:pred [ 3.1530557  0.         0.        20.        33.70502  ]
Hatchback_0_20_0_0_20_160_60_400:gt ['0', '20', '0', '0', '20']:pred [15.191484 12.598398  0.       11.700812 50.395466]
Sedan4Door_-20_20_-20_0_20_0_20_400:gt ['-20', '20', '-20', '0', '20']:pred [11.180022 20.       31.007015  0.       20.      ]
Sedan2Door_0_20_-20_20_20_240_20_400:gt ['0', '20', '-20', '20', '20']:pred [ 0.       35.767998 20.       20.       54.510345]
Sedan4Door_-20_20_-20_20_20_80_60_450:gt ['-20', '20', '-20', '20', '20']:pred [22.705883 12.390341  6.767468  5.496073 49.024124]
Hatchback_-20_20_-20_0_20_0_60_400:gt ['-20', '20', '-20', '0', '20']:pred [21.765907 17.558462 18.745302  0.       43.60263 ]
Sedan2Door_-20_20_0_20_20_0_60_450:gt ['-20', '20', '0', '20', '20']:pred [30.704409   6.6862936  0.        20.        52.544365 ]
Sedan2Door_0_20_-20_20_20_160_60_400:gt ['0', '20', '-20', '20', '20']:pred [ 9.329009   1.8045028 20.        20.        59.086964 ]
Suv_-20_0_-20_0_0_0_20_400:gt ['-20', '0', '-20', '0', '0']:pred [10.536151  0.       21.181715  0.        0.      ]
Hatchback_0_0_-20_20_20_80_20_400:gt ['0', '0', '-20', '20', '20']:pred [ 3.3440459  0.        25.633924  20.        20.       ]
Sedan4Door_0_0_-20_20_0_160_60_450:gt ['0', '0', '-20', '20', '0']:pred [18.535645   5.9233036 20.        11.919057  50.927418 ]
Sedan4Door_0_20_0_0_0_240_20_450:gt ['0', '20', '0', '0', '0']:pred [ 0.        7.987925  0.        9.74597  27.749937]
Hybrid_0_20_0_20_0_80_20_400:gt ['0', '20', '0', '20', '0']:pred [ 4.0827446 20.         0.        20.         0.       ]
Suv_-20_0_-20_20_0_80_60_450:gt ['-20', '0', '-20', '20', '0']:pred [27.203995  11.873043   4.9699974 19.177244  49.606674 ]
Sedan4Door_0_0_-20_20_20_320_60_400:gt ['0', '0', '-20', '20', '20']:pred [ 6.1207685 29.456512  13.945839  35.925674  52.13573  ]
Hatchback_0_0_0_20_20_320_20_400:gt ['0', '0', '0', '20', '20']:pred [ 1.8179519  0.         4.459346  20.        44.01125  ]
Sedan4Door_0_0_-20_0_0_0_20_400:gt ['0', '0', '-20', '0', '0']:pred [ 0.7250743  0.        23.662773   0.         0.       ]
