hybrid_0_0_-20_40_20_80_80_450:gt ['0', '0', '-20', '40', '20']:pred [ 2.1112869  2.5594208 20.        40.        20.       ]
hatchback_0_20_0_20_0_160_20_400:gt ['0', '20', '0', '20', '0']:pred [ 0.       13.801981  0.       18.973055  0.      ]
suv_-20_20_-20_20_40_80_80_400:gt ['-20', '20', '-20', '20', '40']:pred [18.512205 22.909035 16.969946 15.09283  40.      ]
hybrid_0_0_0_0_0_320_60_450:gt ['0', '0', '0', '0', '0']:pred [2.6297793 0.        0.        0.        3.51311  ]
sedan2door_-40_0_-40_20_40_80_40_400:gt ['-40', '0', '-40', '20', '40']:pred [45.606125   2.8367698 40.        20.        40.       ]
sedan2door_0_40_0_0_40_0_80_400:gt ['0', '40', '0', '0', '40']:pred [ 2.6155148 43.536182   0.         0.        42.170315 ]
hybrid_0_20_-40_20_0_160_40_450:gt ['0', '20', '-40', '20', '0']:pred [ 0.       16.679564 40.       20.        2.893035]
hatchback_-20_40_0_20_20_80_60_400:gt ['-20', '40', '0', '20', '20']:pred [23.413214  40.032944   1.6530894 16.564043  19.717806 ]
hybrid_0_40_0_40_0_320_80_450:gt ['0', '40', '0', '40', '0']:pred [ 2.6261206 45.884422   0.        40.         2.8829238]
hybrid_-40_20_-40_0_40_80_60_400:gt ['-40', '20', '-40', '0', '40']:pred [43.91387  19.32192  40.        0.       45.430176]
hatchback_-40_0_-20_40_0_240_60_400:gt ['-40', '0', '-20', '40', '0']:pred [43.47529    3.4335172 17.74394   43.42167    3.3815506]
sedan4door_0_40_-40_40_40_80_60_450:gt ['0', '40', '-40', '40', '40']:pred [ 3.4218683 37.556328  46.0798    37.00444   39.54921  ]
hatchback_0_40_-20_20_20_0_40_400:gt ['0', '40', '-20', '20', '20']:pred [ 1.4318532 40.        18.609875  20.        20.92718  ]
sedan2door_-40_40_-40_40_20_240_40_400:gt ['-40', '40', '-40', '40', '20']:pred [40.       41.542103 40.       40.       20.086966]
sedan2door_-20_40_-20_0_0_0_40_450:gt ['-20', '40', '-20', '0', '0']:pred [19.30082   40.        20.         0.         1.9707667]
hybrid_0_20_-40_40_40_160_40_450:gt ['0', '20', '-40', '40', '40']:pred [ 0.       19.306849 40.       40.       42.047245]
suv_-40_40_-20_0_20_160_20_400:gt ['-40', '40', '-20', '0', '20']:pred [40.        42.012062  20.         2.4912734 20.       ]
hatchback_0_0_-20_40_20_240_60_450:gt ['0', '0', '-20', '40', '20']:pred [ 3.4965124  3.0912836 16.496979  45.139984  19.66996  ]
sedan2door_-20_20_-20_20_0_160_80_400:gt ['-20', '20', '-20', '20', '0']:pred [18.39641   18.231438  20.        20.         2.1512222]
sedan2door_-40_0_-20_20_40_240_80_400:gt ['-40', '0', '-20', '20', '40']:pred [45.008957  2.435698 20.       20.       44.685776]
hybrid_0_40_0_40_20_160_80_400:gt ['0', '40', '0', '40', '20']:pred [ 3.1107695 43.994503   0.        40.        21.259989 ]
hatchback_-20_0_-40_40_40_320_80_400:gt ['-20', '0', '-40', '40', '40']:pred [16.550182   2.3407845 47.52124   42.59696   39.63651  ]
sedan4door_-20_40_0_40_0_160_40_450:gt ['-20', '40', '0', '40', '0']:pred [20.       42.539574  0.       41.665424  2.571099]
hybrid_-40_20_0_0_40_80_80_450:gt ['-40', '20', '0', '0', '40']:pred [42.492146 19.29735   0.        0.       40.      ]
suv_0_40_-20_0_40_320_20_400:gt ['0', '40', '-20', '0', '40']:pred [ 2.77699  40.       20.080498  0.       41.573696]
sedan4door_0_20_0_0_20_80_20_450:gt ['0', '20', '0', '0', '20']:pred [ 2.1712546 20.         0.         0.        20.       ]
sedan4door_-40_20_0_20_0_240_20_450:gt ['-40', '20', '0', '20', '0']:pred [40.        19.936487   0.        18.189722   2.0928245]
sedan4door_-40_0_0_20_20_320_80_400:gt ['-40', '0', '0', '20', '20']:pred [45.304134   2.3641686  1.9206783 16.52854   20.757046 ]
hybrid_0_0_-20_20_20_160_40_450:gt ['0', '0', '-20', '20', '20']:pred [ 0.         2.3330536 20.        20.        17.710106 ]
suv_-40_20_-20_20_40_160_20_400:gt ['-40', '20', '-20', '20', '40']:pred [40.       18.646122 20.       21.728458 40.      ]
sedan2door_-20_0_-40_20_40_160_80_450:gt ['-20', '0', '-40', '20', '40']:pred [21.02295    2.2865913 40.        20.        41.583107 ]
suv_0_40_-20_0_20_0_60_400:gt ['0', '40', '-20', '0', '20']:pred [ 1.6709473 45.514214  20.880901   0.        17.971994 ]
hatchback_-20_0_0_0_0_240_40_450:gt ['-20', '0', '0', '0', '0']:pred [20.          2.0377243   0.          2.221064    0.34714577]
sedan4door_-40_40_0_40_20_160_80_400:gt ['-40', '40', '0', '40', '20']:pred [40.08765  41.812393  6.579926 42.286304 21.205875]
suv_-40_40_0_20_40_0_20_400:gt ['-40', '40', '0', '20', '40']:pred [46.68588   40.         2.1041083 20.        40.       ]
sedan2door_-20_40_0_40_20_160_40_450:gt ['-20', '40', '0', '40', '20']:pred [20.       43.439697  0.       40.       20.902534]
suv_-40_20_-20_20_20_80_60_450:gt ['-40', '20', '-20', '20', '20']:pred [41.477535 20.112795 17.229868 19.573128 14.013571]
hatchback_-20_40_-20_0_0_0_80_400:gt ['-20', '40', '-20', '0', '0']:pred [18.01191   43.72551   21.394125   0.         3.0594974]
sedan2door_0_20_-40_20_0_80_80_450:gt ['0', '20', '-40', '20', '0']:pred [ 2.5101352 20.359472  40.        20.         0.       ]
hatchback_-40_20_-40_40_0_80_80_450:gt ['-40', '20', '-40', '40', '0']:pred [39.561874 21.424513 43.15853  40.90525   0.      ]
hatchback_-20_0_0_20_20_0_60_400:gt ['-20', '0', '0', '20', '20']:pred [17.39372    2.0388212  1.8586491 20.        22.3889   ]
hatchback_0_0_-40_20_20_0_20_400:gt ['0', '0', '-40', '20', '20']:pred [ 1.9691696  0.        46.765663  20.        20.       ]
suv_-20_20_-40_20_20_240_80_400:gt ['-20', '20', '-40', '20', '20']:pred [19.392612 18.008343 44.79506  19.888563 21.14896 ]
suv_-40_0_-20_0_0_0_20_450:gt ['-40', '0', '-20', '0', '0']:pred [44.829243  0.       16.196217  0.        0.      ]
sedan2door_-20_40_-40_40_40_0_20_400:gt ['-20', '40', '-40', '40', '40']:pred [16.725029 40.       40.       40.       40.      ]
sedan4door_-40_20_-40_20_40_0_60_400:gt ['-40', '20', '-40', '20', '40']:pred [41.75971  18.784918 41.60752  20.       39.73201 ]
sedan2door_-40_0_-40_0_20_160_20_400:gt ['-40', '0', '-40', '0', '20']:pred [40.         1.9350929 40.         0.        20.       ]
hatchback_-20_20_0_20_0_240_60_450:gt ['-20', '20', '0', '20', '0']:pred [17.49693   20.881447   0.        19.780254   1.4393128]
hatchback_-20_0_-20_20_40_80_20_400:gt ['-20', '0', '-20', '20', '40']:pred [16.300194  0.       20.441032 20.       40.      ]
suv_-40_40_0_20_20_0_20_450:gt ['-40', '40', '0', '20', '20']:pred [42.885822  40.         1.6886784 20.        20.       ]
sedan2door_0_40_-40_0_20_80_20_400:gt ['0', '40', '-40', '0', '20']:pred [ 2.0656142 40.        40.         0.        20.       ]
sedan2door_0_20_-20_20_40_0_20_450:gt ['0', '20', '-20', '20', '40']:pred [ 1.2232764 20.        20.        20.        40.       ]
sedan4door_0_20_-40_0_40_0_60_450:gt ['0', '20', '-40', '0', '40']:pred [ 2.5332415 18.685429  41.349308   0.        42.876904 ]
hybrid_-40_20_0_20_20_0_80_450:gt ['-40', '20', '0', '20', '20']:pred [39.86078 19.56938  0.      20.      20.48815]
sedan4door_-20_0_0_20_40_80_60_400:gt ['-20', '0', '0', '20', '40']:pred [21.074669   2.6646106  2.307968  12.278177  44.334606 ]
hatchback_-40_0_-20_40_40_0_40_400:gt ['-40', '0', '-20', '40', '40']:pred [40.835644  0.       18.104877 40.       42.34349 ]
hybrid_-20_0_-40_20_0_320_60_450:gt ['-20', '0', '-40', '20', '0']:pred [20.999662   0.        40.        20.         2.7668874]
suv_0_40_-40_20_40_160_80_400:gt ['0', '40', '-40', '20', '40']:pred [ 4.998079 44.373154 42.471794 13.866254 36.962765]
hybrid_0_40_0_40_40_80_80_400:gt ['0', '40', '0', '40', '40']:pred [ 2.5463536 43.93741    0.        40.        40.       ]
suv_0_40_-20_20_20_0_80_400:gt ['0', '40', '-20', '20', '20']:pred [ 3.2162304 41.436836  21.479204  15.154402  20.449675 ]
sedan2door_0_40_-20_0_0_80_40_400:gt ['0', '40', '-20', '0', '0']:pred [ 2.7000806 44.85561   20.         0.         0.       ]
hybrid_-20_40_-40_20_20_240_80_400:gt ['-20', '40', '-40', '20', '20']:pred [17.550402 42.11587  40.       20.       21.370743]
suv_-20_20_0_40_0_160_60_450:gt ['-20', '20', '0', '40', '0']:pred [18.113829  18.630285   0.        43.82435    2.7488794]
sedan2door_-20_20_0_0_0_320_60_400:gt ['-20', '20', '0', '0', '0']:pred [17.642157  20.519562   0.         0.         1.8315704]
sedan2door_0_40_-40_0_40_160_80_450:gt ['0', '40', '-40', '0', '40']:pred [ 3.566102 41.7521   40.        0.       38.383884]
sedan2door_0_0_0_20_40_160_20_400:gt ['0', '0', '0', '20', '40']:pred [ 0.         1.6497182  0.        20.        40.       ]
sedan2door_-40_40_-40_40_40_320_60_400:gt ['-40', '40', '-40', '40', '40']:pred [41.961    40.13309  40.       40.       40.800747]
hybrid_-40_0_-40_0_0_320_60_400:gt ['-40', '0', '-40', '0', '0']:pred [41.240265   0.        40.         0.         2.4623713]
hybrid_-20_40_-40_0_0_320_20_450:gt ['-20', '40', '-40', '0', '0']:pred [16.273758  40.        40.         0.         1.3575423]
sedan2door_-20_0_-40_40_20_80_80_400:gt ['-20', '0', '-40', '40', '20']:pred [19.601244   2.3598473 40.        40.        20.       ]
sedan2door_0_40_-40_40_20_80_60_400:gt ['0', '40', '-40', '40', '20']:pred [ 2.6275122 44.598797  40.        40.        20.66521  ]
suv_0_20_-40_0_20_80_80_400:gt ['0', '20', '-40', '0', '20']:pred [ 2.7584343 17.854166  43.604527   1.4158076 20.       ]
hybrid_-40_40_-20_40_40_80_80_450:gt ['-40', '40', '-20', '40', '40']:pred [42.126064 41.776257 20.       40.       40.      ]
suv_0_0_-20_0_20_80_80_400:gt ['0', '0', '-20', '0', '20']:pred [ 2.3000088   1.6543636  17.963833    0.90613776 20.        ]
sedan2door_0_20_-40_40_40_0_20_400:gt ['0', '20', '-40', '40', '40']:pred [ 1.5860674 20.        40.        40.        40.       ]
sedan2door_0_20_-40_0_20_240_80_450:gt ['0', '20', '-40', '0', '20']:pred [ 2.4387095 21.936522  40.         0.        19.033112 ]
sedan2door_-20_0_-20_0_40_0_80_400:gt ['-20', '0', '-20', '0', '40']:pred [19.782356   1.9081156 20.         0.        42.831146 ]
hybrid_-20_0_-40_40_40_0_80_400:gt ['-20', '0', '-40', '40', '40']:pred [17.903801   2.5476716 40.        40.        42.60415  ]
hybrid_0_20_0_40_20_160_60_400:gt ['0', '20', '0', '40', '20']:pred [ 0.       20.046759  0.       40.       17.408253]
hatchback_-20_20_-40_0_40_0_40_400:gt ['-20', '20', '-40', '0', '40']:pred [17.11062  20.       41.336277  0.       42.134884]
sedan4door_0_20_-40_20_0_80_60_450:gt ['0', '20', '-40', '20', '0']:pred [ 2.4122734 17.665543  45.88846   15.370004   3.0829499]
sedan2door_-40_20_-40_40_40_240_20_400:gt ['-40', '20', '-40', '40', '40']:pred [40.      16.67877 40.      40.      42.99939]
hybrid_-20_0_-20_40_20_320_60_400:gt ['-20', '0', '-20', '40', '20']:pred [18.835651  0.       20.       40.       21.714657]
suv_-20_40_-20_20_40_0_80_400:gt ['-20', '40', '-20', '20', '40']:pred [17.400145 42.65129  20.309843 14.269256 42.446087]
hatchback_0_0_0_40_20_320_40_400:gt ['0', '0', '0', '40', '20']:pred [ 2.1646888  0.         2.18358   40.        18.01994  ]
hatchback_0_20_-20_20_40_240_60_450:gt ['0', '20', '-20', '20', '40']:pred [ 4.008683 17.893503 22.664587 21.63082  38.90994 ]
hatchback_-20_0_-40_20_40_0_20_400:gt ['-20', '0', '-40', '20', '40']:pred [17.949184  0.       44.574234 20.       40.      ]
hatchback_-20_40_-40_40_20_0_80_450:gt ['-20', '40', '-40', '40', '20']:pred [16.749332 35.519268 41.342655 38.885048 20.68658 ]
suv_-20_0_-20_0_20_320_80_450:gt ['-20', '0', '-20', '0', '20']:pred [19.066202   1.9559712 18.768923   1.7214761 20.513227 ]
hybrid_-20_20_-40_0_0_240_60_450:gt ['-20', '20', '-40', '0', '0']:pred [17.135597  19.609236  40.         0.         2.2746556]
suv_-20_20_-20_40_0_320_80_450:gt ['-20', '20', '-20', '40', '0']:pred [14.270294 17.215519 19.982143 41.155754  2.933435]
hatchback_0_40_-20_40_40_320_80_400:gt ['0', '40', '-20', '40', '40']:pred [ 4.083476 41.155884 18.4834   41.482384 41.087173]
sedan4door_-40_0_0_0_20_240_80_400:gt ['-40', '0', '0', '0', '20']:pred [45.680927   1.791826   1.8461031  1.7538631 18.43094  ]
hatchback_0_20_-20_40_0_320_40_450:gt ['0', '20', '-20', '40', '0']:pred [ 2.0715256 20.        19.501995  40.         2.5769281]
hybrid_-20_20_-40_40_20_0_20_400:gt ['-20', '20', '-40', '40', '20']:pred [19.272533 20.       40.       40.       20.      ]
sedan2door_-20_20_-40_40_40_80_40_400:gt ['-20', '20', '-40', '40', '40']:pred [21.316265 19.22014  40.       40.       40.      ]
hatchback_-40_40_0_0_0_80_80_400:gt ['-40', '40', '0', '0', '0']:pred [43.359673  45.02206    3.4939716  2.607574   0.       ]
sedan4door_0_20_-40_20_20_320_40_400:gt ['0', '20', '-40', '20', '20']:pred [ 2.0172458 20.        43.867958  20.        18.272964 ]
sedan2door_-40_20_0_40_0_80_40_450:gt ['-40', '20', '0', '40', '0']:pred [43.174713 18.57492   0.       40.        0.      ]
sedan2door_-40_0_-20_20_0_240_80_400:gt ['-40', '0', '-20', '20', '0']:pred [42.978596   1.9909537 20.        20.         2.0141633]
sedan4door_0_20_0_0_20_80_20_450:gt ['0', '20', '0', '0', '20']:pred [ 2.1712592 20.         0.         0.        20.       ]
suv_-40_20_0_0_40_240_60_400:gt ['-40', '20', '0', '0', '40']:pred [44.459988  19.031618   0.         2.7866583 41.845177 ]
sedan4door_0_0_-40_0_20_320_40_400:gt ['0', '0', '-40', '0', '20']:pred [ 1.5919263  0.        46.40681    0.        17.805405 ]
hybrid_0_0_-40_0_20_160_20_450:gt ['0', '0', '-40', '0', '20']:pred [ 0.         1.4951394 40.         0.        20.       ]
sedan2door_0_40_0_20_40_0_60_400:gt ['0', '40', '0', '20', '40']:pred [ 2.3040369 44.023464   0.        20.        40.29413  ]
sedan4door_-40_20_-40_20_0_320_80_450:gt ['-40', '20', '-40', '20', '0']:pred [40.555275 17.957047 44.41119  16.127998  3.188968]
sedan4door_0_0_-40_0_0_160_20_450:gt ['0', '0', '-40', '0', '0']:pred [ 0.         1.7417417 40.         2.3893394  0.       ]
sedan4door_-40_0_-20_20_20_80_60_400:gt ['-40', '0', '-20', '20', '20']:pred [42.667843   2.4233809 15.351779  20.30477   18.504566 ]
suv_-40_0_0_20_20_0_60_400:gt ['-40', '0', '0', '20', '20']:pred [41.04038    0.         2.8681235 20.        19.818287 ]
hatchback_-20_20_-40_20_0_0_20_450:gt ['-20', '20', '-40', '20', '0']:pred [16.075272 20.       47.48709  20.        0.      ]
suv_-40_40_-20_0_0_0_80_400:gt ['-40', '40', '-20', '0', '0']:pred [41.077164  43.98119   21.471447   0.         3.4449131]
hybrid_-20_20_-20_20_20_160_80_400:gt ['-20', '20', '-20', '20', '20']:pred [21.73974  17.719059 20.       20.       22.676025]
sedan2door_0_40_-20_20_20_320_40_450:gt ['0', '40', '-20', '20', '20']:pred [ 2.6708834 40.        20.        20.        18.039188 ]
hatchback_-40_40_0_40_40_160_20_450:gt ['-40', '40', '0', '40', '40']:pred [40.       40.65829   0.       42.963783 40.      ]
hybrid_-20_0_-40_20_0_0_60_450:gt ['-20', '0', '-40', '20', '0']:pred [18.542053   0.        40.        20.         2.4634018]
suv_0_20_-20_20_40_0_20_450:gt ['0', '20', '-20', '20', '40']:pred [ 2.1376975 20.        17.252548  20.        40.       ]
sedan4door_-20_40_-40_40_0_0_20_400:gt ['-20', '40', '-40', '40', '0']:pred [17.127407 40.       45.162453 40.        0.      ]
suv_-40_20_0_20_20_320_40_450:gt ['-40', '20', '0', '20', '20']:pred [44.15654   20.         2.0408564 20.        20.39075  ]
hatchback_0_20_-20_20_40_0_20_450:gt ['0', '20', '-20', '20', '40']:pred [ 1.6355675 20.        18.428835  20.        40.       ]
suv_0_40_-40_40_20_240_40_400:gt ['0', '40', '-40', '40', '20']:pred [ 0.       42.772358 40.       44.622524 22.031336]
sedan2door_0_40_-40_20_20_0_20_450:gt ['0', '40', '-40', '20', '20']:pred [ 1.560787 40.       40.       20.       20.      ]
hybrid_-20_20_-40_40_20_320_40_400:gt ['-20', '20', '-40', '40', '20']:pred [17.859695 20.       40.       40.       21.387812]
hatchback_0_40_0_0_20_0_40_450:gt ['0', '40', '0', '0', '20']:pred [ 1.6210104 40.         2.2206106  0.        22.525969 ]
sedan4door_0_20_-40_40_20_240_20_450:gt ['0', '20', '-40', '40', '20']:pred [ 0.       15.279287 40.       40.2358   22.250954]
sedan2door_0_40_0_20_40_0_20_450:gt ['0', '40', '0', '20', '40']:pred [ 1.497078 40.        0.       20.       40.      ]
suv_-20_40_0_0_40_160_20_450:gt ['-20', '40', '0', '0', '40']:pred [20.       44.688637  0.        1.14876  40.      ]
hybrid_-20_0_0_20_20_240_20_450:gt ['-20', '0', '0', '20', '20']:pred [20.         2.1673076  0.        20.        18.42145  ]
hybrid_0_40_0_40_20_160_80_450:gt ['0', '40', '0', '40', '20']:pred [ 2.7377799 42.456154   0.        40.        19.478497 ]
sedan2door_-40_20_-40_20_0_0_80_450:gt ['-40', '20', '-40', '20', '0']:pred [41.429874  16.526245  40.        20.         2.4702065]
hatchback_0_40_-20_20_40_160_40_450:gt ['0', '40', '-20', '20', '40']:pred [ 0.       44.00799  20.       17.965214 44.531456]
hatchback_0_20_0_20_40_160_20_450:gt ['0', '20', '0', '20', '40']:pred [ 0.       16.298988  0.       18.028757 40.      ]
sedan4door_-20_0_-40_20_20_160_60_450:gt ['-20', '0', '-40', '20', '20']:pred [18.412876   1.4930828 40.        19.913544  19.596651 ]
hybrid_-40_0_-20_20_20_0_40_450:gt ['-40', '0', '-20', '20', '20']:pred [43.078915  0.       20.       20.       23.334333]
hybrid_0_0_-20_40_20_80_80_450:gt ['0', '0', '-20', '40', '20']:pred [ 2.1112928  2.559424  20.        40.        20.       ]
hatchback_-40_20_-40_40_0_160_20_400:gt ['-40', '20', '-40', '40', '0']:pred [40.       15.630306 40.       46.691635  0.      ]
suv_-20_40_0_40_0_320_20_400:gt ['-20', '40', '0', '40', '0']:pred [15.732432   40.          1.3560917  40.          0.92997086]
suv_-20_40_0_40_0_0_80_450:gt ['-20', '40', '0', '40', '0']:pred [17.09725   40.95261    2.6491408 42.335556   3.3221118]
sedan2door_-40_40_-40_20_40_160_60_400:gt ['-40', '40', '-40', '20', '40']:pred [43.947605 39.85894  40.       20.       41.723793]
sedan4door_-40_0_-20_20_20_160_80_450:gt ['-40', '0', '-20', '20', '20']:pred [42.81265    3.0757577 22.168344  20.863163  21.71159  ]
hybrid_-40_40_-20_20_20_320_20_450:gt ['-40', '40', '-20', '20', '20']:pred [40.888885 40.       20.       20.       19.080978]
hatchback_0_40_-20_20_40_80_40_400:gt ['0', '40', '-20', '20', '40']:pred [ 2.4461308 44.681496  22.793554  20.        40.       ]
hatchback_-40_20_-40_40_0_80_40_400:gt ['-40', '20', '-40', '40', '0']:pred [40.846794 18.470993 41.475964 40.        0.      ]
sedan2door_0_0_0_40_0_320_80_400:gt ['0', '0', '0', '40', '0']:pred [ 2.3491886  2.3860314  0.        40.         1.9977247]
hybrid_-40_20_-40_0_40_80_40_400:gt ['-40', '20', '-40', '0', '40']:pred [41.589058 24.168343 40.        0.       40.      ]
sedan2door_-20_0_-20_0_20_0_20_450:gt ['-20', '0', '-20', '0', '20']:pred [15.29558  0.      20.       0.      20.     ]
hybrid_0_20_0_0_20_160_80_400:gt ['0', '20', '0', '0', '20']:pred [ 2.779072 21.601454  0.        0.       20.940144]
sedan4door_0_40_0_40_20_0_60_400:gt ['0', '40', '0', '40', '20']:pred [ 2.6173694 45.923687   3.2214057 40.        22.279158 ]
hatchback_0_40_-20_20_40_160_40_450:gt ['0', '40', '-20', '20', '40']:pred [ 0.       44.00799  20.       17.965214 44.531456]
hatchback_-40_0_-20_0_40_240_80_400:gt ['-40', '0', '-20', '0', '40']:pred [44.36654    2.5021966 15.52342    2.5539958 44.57298  ]
hatchback_-40_40_0_0_0_80_60_450:gt ['-40', '40', '0', '0', '0']:pred [40.295868  39.302254   3.9007213  3.4704154  2.9748585]
sedan2door_-40_20_0_40_0_240_40_450:gt ['-40', '20', '0', '40', '0']:pred [40.        20.602873   0.        40.         2.2558541]
hatchback_0_0_-20_0_40_0_40_450:gt ['0', '0', '-20', '0', '40']:pred [ 1.1350331  0.        22.634178   0.        44.224323 ]
hatchback_0_40_-40_40_0_160_60_450:gt ['0', '40', '-40', '40', '0']:pred [ 4.2018847 41.595222  40.        45.03459    2.2841923]
sedan2door_-40_0_-40_20_0_240_80_400:gt ['-40', '0', '-40', '20', '0']:pred [43.333317   2.0627995 40.        20.         1.9404953]
hybrid_-40_20_-20_20_0_320_60_450:gt ['-40', '20', '-20', '20', '0']:pred [39.873924  19.13598   20.        20.         3.4363298]
sedan2door_0_0_0_0_20_80_80_450:gt ['0', '0', '0', '0', '20']:pred [ 2.8185022  1.4875541  0.         0.        20.       ]
sedan2door_-40_40_0_0_0_80_40_400:gt ['-40', '40', '0', '0', '0']:pred [43.994667 42.243763  0.        0.        0.      ]
hatchback_-40_20_-40_0_40_240_60_450:gt ['-40', '20', '-40', '0', '40']:pred [41.657475  16.286253  41.699066   4.0219994 43.95113  ]
suv_-20_20_0_40_20_160_80_450:gt ['-20', '20', '0', '40', '20']:pred [18.696493 22.841215  0.       42.684788 20.672075]
hatchback_0_20_0_0_20_0_80_450:gt ['0', '20', '0', '0', '20']:pred [ 2.5187418 18.829979   2.6578603  3.781638  20.47156  ]
hatchback_0_40_0_0_20_160_60_400:gt ['0', '40', '0', '0', '20']:pred [ 3.554245  47.026363   0.         2.5549653 21.035465 ]
sedan4door_0_20_-20_0_40_320_40_400:gt ['0', '20', '-20', '0', '40']:pred [ 2.2833664 20.        18.189325   0.        40.466904 ]
sedan4door_-40_20_-40_20_0_80_60_450:gt ['-40', '20', '-40', '20', '0']:pred [38.87944   20.500708  41.817505  13.528698   2.5781338]
sedan4door_-40_20_0_40_0_0_20_450:gt ['-40', '20', '0', '40', '0']:pred [42.54706   20.         2.3236675 40.         0.       ]
hatchback_-20_40_-40_20_20_160_20_450:gt ['-20', '40', '-40', '20', '20']:pred [20.       42.93065  40.       21.642994 20.      ]
hybrid_0_0_-20_20_40_80_60_450:gt ['0', '0', '-20', '20', '40']:pred [ 2.081807   2.9273648 20.        20.        45.315712 ]
hybrid_-40_0_-40_20_40_240_20_400:gt ['-40', '0', '-40', '20', '40']:pred [40.         3.4158058 40.        20.        47.503994 ]
hatchback_0_20_-20_20_0_240_40_400:gt ['0', '20', '-20', '20', '0']:pred [ 0.        19.933231  20.        17.523083   3.3791375]
hatchback_0_0_-20_0_0_320_40_450:gt ['0', '0', '-20', '0', '0']:pred [ 1.9269434  0.        22.857754   0.         2.3994896]
sedan2door_0_40_0_20_40_320_80_450:gt ['0', '40', '0', '20', '40']:pred [ 1.8794976 43.391193   0.        20.        41.363163 ]
hybrid_-40_0_0_20_40_160_60_400:gt ['-40', '0', '0', '20', '40']:pred [44.084232  2.690052  0.       20.       41.846004]
sedan2door_-20_40_0_0_0_240_60_400:gt ['-20', '40', '0', '0', '0']:pred [18.582558  45.121147   0.         0.         2.8841162]
hybrid_-40_20_0_0_20_240_80_400:gt ['-40', '20', '0', '0', '20']:pred [42.331944 19.790493  0.        0.       22.045794]
suv_-20_40_0_40_20_80_40_450:gt ['-20', '40', '0', '40', '20']:pred [18.625648  45.343517   1.4780455 40.        20.       ]
hybrid_-40_20_-40_0_20_0_80_450:gt ['-40', '20', '-40', '0', '20']:pred [40.042557 19.454702 40.        0.       20.247353]
sedan2door_-20_20_-40_40_40_80_80_400:gt ['-20', '20', '-40', '40', '40']:pred [19.642487 19.093145 40.       40.       40.      ]
suv_-20_40_-20_40_40_80_60_450:gt ['-20', '40', '-20', '40', '40']:pred [19.415678 38.478798 22.459099 40.399723 40.490078]
sedan4door_-20_40_-20_0_20_320_60_400:gt ['-20', '40', '-20', '0', '20']:pred [19.094522 43.828896 20.763056  0.       20.154892]
sedan2door_-40_0_-40_40_40_160_60_450:gt ['-40', '0', '-40', '40', '40']:pred [47.173195   3.1168785 40.        40.        45.396885 ]
suv_0_0_0_0_0_240_60_450:gt ['0', '0', '0', '0', '0']:pred [2.219632   0.44517046 0.         1.1725726  1.4031931 ]
sedan2door_0_20_-20_0_40_80_20_450:gt ['0', '20', '-20', '0', '40']:pred [ 2.5564437 20.        20.         0.        40.       ]
suv_0_40_-20_0_40_160_20_450:gt ['0', '40', '-20', '0', '40']:pred [ 0.        48.780914  20.         1.6359234 40.       ]
hatchback_0_40_-40_0_20_160_80_450:gt ['0', '40', '-40', '0', '20']:pred [ 3.5756302 43.052113  46.899685   2.4518447 21.556454 ]
hybrid_-20_20_0_40_20_240_60_450:gt ['-20', '20', '0', '40', '20']:pred [17.947817 17.828957  0.       40.       22.474072]
suv_-40_0_-20_20_20_0_60_400:gt ['-40', '0', '-20', '20', '20']:pred [40.802147  0.       22.125391 20.       21.123098]
sedan2door_-40_0_-20_40_0_320_40_450:gt ['-40', '0', '-20', '40', '0']:pred [44.17251    0.        20.        40.         1.9211473]
hybrid_0_40_-20_20_40_240_80_450:gt ['0', '40', '-20', '20', '40']:pred [ 2.7940729 39.854164  20.        20.        44.81591  ]
suv_-40_0_0_40_20_80_60_400:gt ['-40', '0', '0', '40', '20']:pred [43.689663   3.6318688  3.2740164 43.45323   16.520834 ]
hybrid_0_40_-20_40_40_320_80_450:gt ['0', '40', '-20', '40', '40']:pred [ 2.510806 39.30011  20.       40.       41.793823]
sedan4door_-40_40_0_20_20_80_60_400:gt ['-40', '40', '0', '20', '20']:pred [42.340313 39.779125  4.088328 19.207804 13.782937]
hatchback_0_40_0_0_0_80_20_450:gt ['0', '40', '0', '0', '0']:pred [ 2.03113   40.         3.6109776  0.         0.       ]
hatchback_0_40_-20_0_40_160_60_450:gt ['0', '40', '-20', '0', '40']:pred [ 3.3295395 37.66758   20.         1.918168  44.642445 ]
hybrid_-20_0_0_20_20_160_80_400:gt ['-20', '0', '0', '20', '20']:pred [20.548897  3.138641  0.       20.       23.137455]
suv_-20_20_0_20_20_160_40_400:gt ['-20', '20', '0', '20', '20']:pred [20.       20.884884  0.       23.364088 18.975773]
suv_-40_40_0_40_0_0_60_450:gt ['-40', '40', '0', '40', '0']:pred [40.860687  39.376446   2.8062744 40.         2.7604463]
sedan2door_-40_20_-40_20_20_0_60_450:gt ['-40', '20', '-40', '20', '20']:pred [41.529648 17.009624 40.       20.       20.558355]
sedan4door_0_0_-20_40_40_320_80_450:gt ['0', '0', '-20', '40', '40']:pred [ 1.7282447  3.1844792 21.38601   42.163013  43.914867 ]
hybrid_-20_40_-20_0_20_80_20_400:gt ['-20', '40', '-20', '0', '20']:pred [17.63138 40.      20.       0.      20.     ]
sedan2door_0_40_0_0_20_0_80_450:gt ['0', '40', '0', '0', '20']:pred [ 2.242539 43.04176   0.        0.       18.71736 ]
