sedan4door_-30_15_-4_48_46_230_70_420:gt ['-30', '15', '-4', '48', '46']:pred [26.375069 15.676088 20.162632 40.890896  9.895099]
sedan4door_-17_45_-4_48_15_20_30_420:gt ['-17', '45', '-4', '48', '15']:pred [11.591286  45.         2.951351  48.         6.6344733]
sedan2door_-30_23_-4_10_46_230_30_420:gt ['-30', '23', '-4', '10', '46']:pred [30.       16.115429  4.       10.       24.708796]
sedan2door_-50_15_-22_35_28_230_30_420:gt ['-50', '15', '-22', '35', '28']:pred [50.        4.776165 22.       35.       18.280746]
hybrid_-30_15_-4_48_46_230_30_420:gt ['-30', '15', '-4', '48', '46']:pred [30.         3.1870813  4.        48.        35.28626  ]
sedan2door_-17_15_-4_10_15_140_30_420:gt ['-17', '15', '-4', '10', '15']:pred [17.         6.7246013  4.        10.        15.       ]
hatchback_-30_23_-22_48_28_20_30_420:gt ['-30', '23', '-22', '48', '28']:pred [19.218544 23.       25.186167 48.       13.814103]
sedan2door_-50_23_-22_10_28_50_70_420:gt ['-50', '23', '-22', '10', '28']:pred [44.73004  22.2739   21.720594 10.       15.769578]
suv_-50_45_-22_48_28_140_30_420:gt ['-50', '45', '-22', '48', '28']:pred [50.       30.695154 22.       48.335793 28.      ]
hatchback_-17_45_-22_48_15_20_70_420:gt ['-17', '45', '-22', '48', '15']:pred [10.13503  29.959057 31.163578 34.448402 20.74329 ]
hatchback_-17_23_-36_10_28_230_30_420:gt ['-17', '23', '-36', '10', '28']:pred [17.         3.6386392 36.         6.850666  14.689524 ]
hybrid_-17_23_-22_10_28_230_30_420:gt ['-17', '23', '-22', '10', '28']:pred [17.        4.693137 22.       10.       10.078245]
hatchback_-30_45_-22_35_15_20_70_420:gt ['-30', '45', '-22', '35', '15']:pred [26.21101  27.033936 36.32319  28.890703 18.18778 ]
hatchback_-17_45_-36_35_28_50_30_420:gt ['-17', '45', '-36', '35', '28']:pred [17.601906 45.       45.821957 35.       28.      ]
suv_-30_45_-36_48_15_50_30_420:gt ['-30', '45', '-36', '48', '15']:pred [37.24825  45.       47.423016 48.       15.      ]
hybrid_-17_45_-4_48_15_140_30_420:gt ['-17', '45', '-4', '48', '15']:pred [17.       26.835781  4.       48.       15.      ]
sedan4door_-30_45_-22_48_46_230_70_420:gt ['-30', '45', '-22', '48', '46']:pred [21.41912  44.578167 37.88713  45.033787 13.559374]
sedan2door_-17_15_-36_10_46_50_70_420:gt ['-17', '15', '-36', '10', '46']:pred [14.547806  9.428288 36.       10.       14.482027]
hybrid_-30_23_-36_35_28_140_30_420:gt ['-30', '23', '-36', '35', '28']:pred [30.       11.261556 36.       35.       28.      ]
hatchback_-17_23_-22_35_28_20_70_420:gt ['-17', '23', '-22', '35', '28']:pred [10.623781 13.850833 32.404713 31.720379 24.031126]
hybrid_-17_45_-22_35_15_20_70_420:gt ['-17', '45', '-22', '35', '15']:pred [10.877446  25.83747   22.        35.         7.0874887]
hybrid_-17_45_-36_10_15_50_30_420:gt ['-17', '45', '-36', '10', '15']:pred [23.158764 45.       36.       10.       15.      ]
sedan2door_-30_23_-36_35_46_230_70_420:gt ['-30', '23', '-36', '35', '46']:pred [14.453145 15.972982 36.       35.        8.685922]
suv_-50_23_-22_10_28_50_70_420:gt ['-50', '23', '-22', '10', '28']:pred [39.973724 32.646576 28.406866 10.       14.016031]
hybrid_-30_45_-22_35_46_230_30_420:gt ['-30', '45', '-22', '35', '46']:pred [30.       19.150671 22.       35.       42.14748 ]
suv_-17_45_-36_10_28_50_30_420:gt ['-17', '45', '-36', '10', '28']:pred [18.303944 45.       40.532784 10.       28.      ]
sedan4door_-30_15_-36_48_15_50_30_420:gt ['-30', '15', '-36', '48', '15']:pred [37.907005 15.       46.293888 48.       15.      ]
sedan2door_-30_45_-22_48_15_140_70_420:gt ['-30', '45', '-22', '48', '15']:pred [19.83779   47.589767  22.        48.         6.5957117]
suv_-50_45_-36_48_15_140_70_420:gt ['-50', '45', '-36', '48', '15']:pred [39.1712   31.618359 22.612852 34.044106  9.763869]
sedan4door_-30_15_-4_35_15_140_30_420:gt ['-30', '15', '-4', '35', '15']:pred [30.       11.096113  4.       32.626804 15.      ]
suv_-30_23_-36_10_15_230_30_420:gt ['-30', '23', '-36', '10', '15']:pred [30.         8.370093  36.         2.718733   3.0769734]
sedan4door_-17_45_-22_10_15_230_70_420:gt ['-17', '45', '-22', '10', '15']:pred [ 9.331671  37.52194   34.950565  12.144676   4.9364314]
sedan2door_-50_45_-36_48_46_20_30_420:gt ['-50', '45', '-36', '48', '46']:pred [32.573505 45.       36.       48.       21.503164]
sedan2door_-50_23_-4_48_15_140_30_420:gt ['-50', '23', '-4', '48', '15']:pred [50.       15.182979  4.       48.       15.      ]
sedan2door_-50_45_-4_35_28_230_30_420:gt ['-50', '45', '-4', '35', '28']:pred [50.       33.29461   4.       35.       23.441439]
sedan2door_-50_15_-22_48_46_20_70_420:gt ['-50', '15', '-22', '48', '46']:pred [29.078344  4.280555 22.       48.       13.623058]
hybrid_-30_45_-4_10_28_50_70_420:gt ['-30', '45', '-4', '10', '28']:pred [33.83222  43.293903  4.       10.       21.305178]
sedan4door_-17_15_-4_10_15_140_70_420:gt ['-17', '15', '-4', '10', '15']:pred [8.686584  5.2227097 4.        8.702459  6.2875495]
sedan4door_-17_45_-22_35_15_230_30_420:gt ['-17', '45', '-22', '35', '15']:pred [17.       37.32584  22.       30.561144  7.647541]
sedan2door_-17_23_-4_48_46_20_30_420:gt ['-17', '23', '-4', '48', '46']:pred [18.116608 23.        4.       48.       25.134663]
suv_-30_45_-36_48_46_50_70_420:gt ['-30', '45', '-36', '48', '46']:pred [24.588072 40.267807 28.092012 31.307018 31.473673]
hatchback_-17_45_-4_10_46_50_70_420:gt ['-17', '45', '-4', '10', '46']:pred [ 7.902269 42.943073 25.879398 14.951706 34.14039 ]
sedan2door_-50_15_-22_48_28_230_30_420:gt ['-50', '15', '-22', '48', '28']:pred [50.        5.02947  22.       48.       17.091284]
hybrid_-17_15_-22_48_15_140_30_420:gt ['-17', '15', '-22', '48', '15']:pred [17.         6.8020053 22.        48.        15.       ]
hatchback_-17_23_-4_10_28_230_70_420:gt ['-17', '23', '-4', '10', '28']:pred [12.796575 21.875368 17.56191  11.478538 11.341032]
sedan2door_-50_23_-22_10_46_50_70_420:gt ['-50', '23', '-22', '10', '46']:pred [39.648724 22.610373 24.409025 10.       20.971443]
hatchback_-50_23_-22_10_28_20_70_420:gt ['-50', '23', '-22', '10', '28']:pred [38.10677  13.938612 38.04529  29.657898 23.340414]
suv_-50_15_-22_48_28_20_70_420:gt ['-50', '15', '-22', '48', '28']:pred [33.208332  7.574974 21.419523 48.       19.88292 ]
sedan2door_-30_23_-4_48_15_50_70_420:gt ['-30', '23', '-4', '48', '15']:pred [36.52366  23.39697   4.       48.       17.567371]
suv_-17_45_-4_35_28_140_70_420:gt ['-17', '45', '-4', '35', '28']:pred [13.757482 34.39379  16.187534 32.293804 11.377916]
sedan4door_-50_23_-4_48_15_140_70_420:gt ['-50', '23', '-4', '48', '15']:pred [42.266857 15.592941  4.       34.41142   5.102878]
sedan4door_-17_23_-36_35_46_50_30_420:gt ['-17', '23', '-36', '35', '46']:pred [14.2663555 23.        44.282696  35.        46.       ]
sedan2door_-17_15_-22_35_28_50_30_420:gt ['-17', '15', '-22', '35', '28']:pred [19.932812 15.       22.       35.       28.      ]
sedan4door_-17_15_-22_35_46_230_70_420:gt ['-17', '15', '-22', '35', '46']:pred [ 7.224719 11.638105 32.203262 34.92161  16.081758]
sedan2door_-30_15_-36_10_28_50_70_420:gt ['-30', '15', '-36', '10', '28']:pred [38.652817  8.094459 36.       10.       20.61913 ]
suv_-17_23_-22_10_15_230_70_420:gt ['-17', '23', '-22', '10', '15']:pred [ 8.24896   19.208082  24.175121  10.998403   2.4181426]
sedan2door_-50_15_-22_35_46_20_70_420:gt ['-50', '15', '-22', '35', '46']:pred [29.107706   3.8278239 22.        35.        13.92017  ]
suv_-50_23_-4_10_28_50_30_420:gt ['-50', '23', '-4', '10', '28']:pred [36.92249  23.        2.244188 10.       28.      ]
hatchback_-50_45_-4_48_15_230_70_420:gt ['-50', '45', '-4', '48', '15']:pred [37.664024  37.330334  21.12115   40.987274   3.8670893]
sedan4door_-50_45_-4_35_15_140_30_420:gt ['-50', '45', '-4', '35', '15']:pred [50.       36.229847  4.       41.633904 15.      ]
sedan4door_-17_45_-36_48_15_20_30_420:gt ['-17', '45', '-36', '48', '15']:pred [12.854029 45.       40.623363 48.        9.034311]
hybrid_-50_15_-4_10_15_20_30_420:gt ['-50', '15', '-4', '10', '15']:pred [34.97203   15.         4.        10.         5.8265414]
sedan2door_-30_15_-36_10_28_20_30_420:gt ['-30', '15', '-36', '10', '28']:pred [31.85826  15.       36.       10.        9.321319]
sedan2door_-30_15_-4_48_15_230_70_420:gt ['-30', '15', '-4', '48', '15']:pred [12.471565   8.892475   4.        48.         2.7069087]
hybrid_-50_45_-22_35_28_50_70_420:gt ['-50', '45', '-22', '35', '28']:pred [45.5328   34.79709   8.792671 35.       21.178278]
sedan2door_-17_23_-36_48_15_50_30_420:gt ['-17', '23', '-36', '48', '15']:pred [20.106874 23.       36.       48.       15.      ]
hatchback_-50_23_-4_48_28_140_70_420:gt ['-50', '23', '-4', '48', '28']:pred [36.916245 14.671236  4.       37.328533 24.28339 ]
sedan2door_-17_23_-4_35_15_20_30_420:gt ['-17', '23', '-4', '35', '15']:pred [15.30609   23.         4.        35.         4.6097994]
hybrid_-17_45_-36_48_28_140_70_420:gt ['-17', '45', '-36', '48', '28']:pred [11.797632 37.13729  36.       48.        6.477332]
sedan4door_-50_45_-4_48_46_50_30_420:gt ['-50', '45', '-4', '48', '46']:pred [46.12407  45.       19.440506 48.       16.355972]
hatchback_-30_45_-36_35_46_20_70_420:gt ['-30', '45', '-36', '35', '46']:pred [28.446075 25.838175 35.7637   25.470879 32.85229 ]
hatchback_-17_23_-4_10_15_230_30_420:gt ['-17', '23', '-4', '10', '15']:pred [17.         3.7313232  4.         6.016943   7.4702644]
sedan4door_-50_45_-4_10_15_20_30_420:gt ['-50', '45', '-4', '10', '15']:pred [36.766838 45.       10.973064 10.       13.837882]
suv_-30_23_-22_48_46_50_30_420:gt ['-30', '23', '-22', '48', '46']:pred [38.02711  23.       35.602795 48.       46.      ]
sedan4door_-17_45_-36_35_46_230_30_420:gt ['-17', '45', '-36', '35', '46']:pred [17.       42.531013 36.       34.059864 37.273613]
sedan2door_-17_23_-4_48_46_20_70_420:gt ['-17', '23', '-4', '48', '46']:pred [14.286428  5.435555  4.       48.       15.126234]
sedan2door_-17_23_-4_35_15_230_30_420:gt ['-17', '23', '-4', '35', '15']:pred [17.       10.965682  4.       35.        9.293724]
suv_-30_45_-22_48_28_20_30_420:gt ['-30', '45', '-22', '48', '28']:pred [32.04809  45.       22.434036 48.       23.719566]
sedan4door_-30_45_-4_10_15_140_30_420:gt ['-30', '45', '-4', '10', '15']:pred [30.       38.49769   4.        8.419644 15.      ]
hybrid_-17_45_-4_48_28_20_30_420:gt ['-17', '45', '-4', '48', '28']:pred [ 5.543803 45.        4.       48.       13.789522]
sedan2door_-30_23_-4_10_46_50_70_420:gt ['-30', '23', '-4', '10', '46']:pred [32.141792 23.904985  4.       10.       22.371655]
sedan2door_-17_45_-22_10_46_20_70_420:gt ['-17', '45', '-22', '10', '46']:pred [18.275705 27.369467 22.       10.       16.13198 ]
hybrid_-17_23_-22_48_28_20_30_420:gt ['-17', '23', '-22', '48', '28']:pred [ 5.949863 23.       22.       48.       14.618518]
suv_-17_23_-22_48_28_140_30_420:gt ['-17', '23', '-22', '48', '28']:pred [17.       10.615901 22.       51.533504 28.      ]
hybrid_-50_15_-36_48_28_20_30_420:gt ['-50', '15', '-36', '48', '28']:pred [35.542862 15.       36.       48.       15.861631]
sedan4door_-17_23_-36_48_15_230_30_420:gt ['-17', '23', '-36', '48', '15']:pred [17.        10.8266115 36.        36.48392   10.95694  ]
sedan2door_-17_23_-36_10_15_140_70_420:gt ['-17', '23', '-36', '10', '15']:pred [10.383183 20.69736  36.       13.763152  8.664201]
sedan2door_-17_15_-4_48_15_140_30_420:gt ['-17', '15', '-4', '48', '15']:pred [17.         6.9728723  4.        48.        15.       ]
hybrid_-50_15_-4_10_15_230_70_420:gt ['-50', '15', '-4', '10', '15']:pred [34.2894   16.690552  4.       10.        2.540835]
sedan4door_-50_23_-22_35_15_140_30_420:gt ['-50', '23', '-22', '35', '15']:pred [50.       17.362986 22.       33.999626 15.      ]
sedan2door_-30_15_-36_35_28_140_30_420:gt ['-30', '15', '-36', '35', '28']:pred [30.        6.673673 36.       35.       28.      ]
sedan4door_-50_23_-36_10_46_140_30_420:gt ['-50', '23', '-36', '10', '46']:pred [50.        14.488672  36.         5.7705016 46.       ]
hatchback_-50_23_-4_35_28_140_30_420:gt ['-50', '23', '-4', '35', '28']:pred [50.       8.41803  4.      44.08925 28.     ]
sedan2door_-30_23_-36_48_46_50_30_420:gt ['-30', '23', '-36', '48', '46']:pred [41.776005 23.       36.       48.       46.      ]
hybrid_-50_45_-22_10_46_20_30_420:gt ['-50', '45', '-22', '10', '46']:pred [33.1697  45.      22.      10.      26.92651]
sedan4door_-17_23_-22_35_28_20_30_420:gt ['-17', '23', '-22', '35', '28']:pred [18.265491 23.       15.809001 35.       14.765177]
sedan4door_-17_15_-4_35_15_140_70_420:gt ['-17', '15', '-4', '35', '15']:pred [ 7.9787617  6.226373   4.        30.687025   3.836014 ]
sedan4door_-17_15_-4_35_46_50_30_420:gt ['-17', '15', '-4', '35', '46']:pred [13.226402  15.        10.4657545 35.        46.       ]
sedan2door_-17_45_-4_10_46_230_30_420:gt ['-17', '45', '-4', '10', '46']:pred [17.       35.288002  4.       10.       26.614452]
hybrid_-30_45_-4_48_46_50_70_420:gt ['-30', '45', '-4', '48', '46']:pred [32.960857 45.882698  4.       48.       34.84992 ]
sedan2door_-50_15_-4_48_28_50_70_420:gt ['-50', '15', '-4', '48', '28']:pred [45.9959    8.501333 19.767834 48.       15.996825]
suv_-17_45_-4_48_15_50_70_420:gt ['-17', '45', '-4', '48', '15']:pred [17.03046  44.592518  1.927218 23.655418  5.317588]
suv_-17_15_-22_10_15_230_70_420:gt ['-17', '15', '-22', '10', '15']:pred [ 9.15545    9.108755  23.036135  11.327787   2.0375264]
suv_-30_23_-36_48_46_50_30_420:gt ['-30', '23', '-36', '48', '46']:pred [37.582535 23.       47.8216   48.       46.      ]
hatchback_-30_23_-4_10_15_230_70_420:gt ['-30', '23', '-4', '10', '15']:pred [29.673235 16.376373 21.798847 13.247753  3.769332]
hatchback_-50_45_-36_10_15_50_70_420:gt ['-50', '45', '-36', '10', '15']:pred [33.29845  46.022373 33.83244  15.408048  7.551714]
hatchback_-30_45_-4_10_15_20_30_420:gt ['-30', '45', '-4', '10', '15']:pred [22.454567  45.         6.2717166 10.         3.1448522]
sedan4door_-50_23_-4_48_15_230_30_420:gt ['-50', '23', '-4', '48', '15']:pred [50.       11.544266  4.       37.40452  12.374185]
hybrid_-50_23_-22_10_15_230_70_420:gt ['-50', '23', '-22', '10', '15']:pred [35.43217   21.38555   22.        10.         3.0827277]
hatchback_-30_23_-4_10_15_230_30_420:gt ['-30', '23', '-4', '10', '15']:pred [30.         3.7211514  4.         5.659526   8.59834  ]
hatchback_-30_45_-22_48_15_50_70_420:gt ['-30', '45', '-22', '48', '15']:pred [25.54812  39.79804  28.308956 27.060963  8.954923]
sedan2door_-17_23_-4_48_28_230_30_420:gt ['-17', '23', '-4', '48', '28']:pred [17.       13.468449  4.       48.       25.00044 ]
sedan2door_-17_45_-36_10_46_20_30_420:gt ['-17', '45', '-36', '10', '46']:pred [18.483435 45.       36.       10.       27.008215]
sedan4door_-30_15_-4_10_28_140_70_420:gt ['-30', '15', '-4', '10', '28']:pred [18.376083  7.23492   4.       11.865139  9.98422 ]
hybrid_-50_15_-36_10_28_230_30_420:gt ['-50', '15', '-36', '10', '28']:pred [50.        3.247344 36.       10.       12.986247]
hatchback_-17_45_-22_35_28_230_30_420:gt ['-17', '45', '-22', '35', '28']:pred [17.      32.20929 22.      46.99074 17.43816]
suv_-30_45_-4_10_15_230_30_420:gt ['-30', '45', '-4', '10', '15']:pred [30.       34.215652  4.        4.690807  5.434312]
suv_-17_45_-4_35_15_50_30_420:gt ['-17', '45', '-4', '35', '15']:pred [14.307586  45.         3.7207146 35.         4.413619 ]
suv_-50_23_-22_10_15_20_70_420:gt ['-50', '23', '-22', '10', '15']:pred [37.529446   7.6558766 23.366783  10.         5.264309 ]
hatchback_-50_15_-36_48_28_20_70_420:gt ['-50', '15', '-36', '48', '28']:pred [31.421488 10.574625 41.079857 31.883991 31.033329]
sedan4door_-30_23_-36_10_15_20_70_420:gt ['-30', '23', '-36', '10', '15']:pred [30.404238 11.172008 33.64236  25.308205  4.048237]
sedan4door_-17_45_-36_10_28_140_70_420:gt ['-17', '45', '-36', '10', '28']:pred [13.35043  43.348343 36.       16.56792   7.785001]
hybrid_-17_15_-36_48_28_230_30_420:gt ['-17', '15', '-36', '48', '28']:pred [17.         2.7088058 36.        48.         9.235248 ]
sedan4door_-30_23_-36_35_15_50_30_420:gt ['-30', '23', '-36', '35', '15']:pred [38.690235 23.       47.04357  35.       15.      ]
hatchback_-50_23_-4_35_46_50_70_420:gt ['-50', '23', '-4', '35', '46']:pred [39.621002 26.54443  19.34819  23.975988 28.914762]
sedan4door_-50_15_-4_10_28_230_70_420:gt ['-50', '15', '-4', '10', '28']:pred [37.215073  9.270723 12.845078  7.643416  5.909088]
hybrid_-30_15_-4_35_28_140_70_420:gt ['-30', '15', '-4', '35', '28']:pred [20.900187  7.287751  4.       35.        9.925516]
hybrid_-50_23_-22_48_46_230_30_420:gt ['-50', '23', '-22', '48', '46']:pred [50.        4.819144 22.       48.       38.70072 ]
sedan2door_-17_23_-36_35_28_50_30_420:gt ['-17', '23', '-36', '35', '28']:pred [18.632994 23.       36.       35.       28.      ]
suv_-50_15_-4_35_46_50_30_420:gt ['-50', '15', '-4', '35', '46']:pred [35.52953  15.        4.296444 35.       46.      ]
hybrid_-17_23_-36_10_46_230_30_420:gt ['-17', '23', '-36', '10', '46']:pred [17.         5.4172215 36.        10.        38.28125  ]
hybrid_-50_45_-22_35_28_140_30_420:gt ['-50', '45', '-22', '35', '28']:pred [50.       24.303108 22.       35.       28.      ]
hatchback_-17_45_-4_35_46_230_30_420:gt ['-17', '45', '-4', '35', '46']:pred [17.       31.631252  4.       45.454815 39.58235 ]
hatchback_-30_23_-22_35_46_140_30_420:gt ['-30', '23', '-22', '35', '46']:pred [30.        6.030615 22.       42.597855 46.      ]
hybrid_-17_15_-4_48_46_230_30_420:gt ['-17', '15', '-4', '48', '46']:pred [17.        2.979444  4.       48.       38.08855 ]
hybrid_-50_45_-22_35_46_230_30_420:gt ['-50', '45', '-22', '35', '46']:pred [50.       21.752325 22.       35.       41.00335 ]
hybrid_-50_23_-36_35_46_140_70_420:gt ['-50', '23', '-36', '35', '46']:pred [40.575447 18.212482 36.       35.       31.711285]
hatchback_-30_15_-36_35_46_230_70_420:gt ['-30', '15', '-36', '35', '46']:pred [27.590588 14.885626 41.001488 32.626534 24.328604]
suv_-17_45_-36_35_46_20_30_420:gt ['-17', '45', '-36', '35', '46']:pred [15.630704 45.       38.674744 35.       27.26575 ]
hybrid_-30_23_-36_10_46_20_30_420:gt ['-30', '23', '-36', '10', '46']:pred [27.67579  23.       36.       10.       22.779428]
hybrid_-17_15_-36_10_15_140_70_420:gt ['-17', '15', '-36', '10', '15']:pred [ 9.369735   5.1621523 36.        10.         4.1098585]
hybrid_-30_15_-4_35_15_230_30_420:gt ['-30', '15', '-4', '35', '15']:pred [30.         2.6686249  4.        35.         2.7121532]
sedan2door_-30_45_-36_35_15_140_70_420:gt ['-30', '45', '-36', '35', '15']:pred [19.960028 47.294273 36.       35.        6.883886]
sedan2door_-17_45_-36_35_46_20_70_420:gt ['-17', '45', '-36', '35', '46']:pred [17.879116 27.268534 36.       35.       14.852021]
hatchback_-50_15_-36_35_28_50_70_420:gt ['-50', '15', '-36', '35', '28']:pred [39.11231  21.27441  37.165806 32.477448 16.118713]
hatchback_-17_23_-22_35_15_20_70_420:gt ['-17', '23', '-22', '35', '15']:pred [11.374429  13.8513155 34.114876  27.6832    16.784716 ]
sedan2door_-50_15_-36_48_28_20_30_420:gt ['-50', '15', '-36', '48', '28']:pred [32.988316  15.        36.        48.         7.2210255]
suv_-50_45_-36_10_46_20_70_420:gt ['-50', '45', '-36', '10', '46']:pred [38.7725   30.213472 38.2508   10.       24.838423]
suv_-50_23_-4_10_15_140_30_420:gt ['-50', '23', '-4', '10', '15']:pred [50.        11.010777   4.         4.7903867 15.       ]
suv_-17_23_-4_10_28_230_70_420:gt ['-17', '23', '-4', '10', '28']:pred [ 6.950328 12.918359 14.592836 11.688855 10.466824]
hatchback_-17_23_-36_35_46_20_70_420:gt ['-17', '23', '-36', '35', '46']:pred [11.12977  13.692249 36.12885  24.575212 33.536102]
hybrid_-30_23_-36_35_15_140_70_420:gt ['-30', '23', '-36', '35', '15']:pred [20.544794  15.231582  36.        35.         4.9709225]
sedan2door_-50_15_-4_10_28_140_70_420:gt ['-50', '15', '-4', '10', '28']:pred [27.678421 13.685329  4.       10.       18.80182 ]
sedan2door_-17_23_-22_10_15_140_70_420:gt ['-17', '23', '-22', '10', '15']:pred [10.687343 20.345093 22.       15.079349  9.053495]
hatchback_-30_23_-22_35_28_230_30_420:gt ['-30', '23', '-22', '35', '28']:pred [30.         6.6175804 22.        41.769367  13.831808 ]
sedan4door_-50_23_-4_10_28_50_30_420:gt ['-50', '23', '-4', '10', '28']:pred [44.163593 23.       17.743067 10.       28.      ]
sedan4door_-17_15_-4_48_28_50_30_420:gt ['-17', '15', '-4', '48', '28']:pred [14.352266 15.        9.940813 48.       28.      ]
sedan2door_-50_23_-4_35_46_230_30_420:gt ['-50', '23', '-4', '35', '46']:pred [50.       15.381371  4.       35.       25.636517]
sedan2door_-17_23_-4_10_46_140_30_420:gt ['-17', '23', '-4', '10', '46']:pred [17.        14.8988905  4.        10.        46.       ]
sedan4door_-50_23_-22_48_28_140_30_420:gt ['-50', '23', '-22', '48', '28']:pred [50.       18.608025 22.       39.651936 28.      ]
suv_-30_15_-36_35_46_20_70_420:gt ['-30', '15', '-36', '35', '46']:pred [24.638746  8.458117 34.322327 35.       27.486362]
sedan4door_-30_45_-36_48_15_230_70_420:gt ['-30', '45', '-36', '48', '15']:pred [23.71953  46.588333 41.634975 47.52506   4.072528]
sedan2door_-30_15_-36_48_46_20_30_420:gt ['-30', '15', '-36', '48', '46']:pred [33.864323 15.       36.       48.       21.724026]
suv_-17_15_-4_35_28_230_30_420:gt ['-17', '15', '-4', '35', '28']:pred [17.         6.9515963  4.        35.449757   8.366698 ]
hatchback_-30_23_-4_10_15_20_70_420:gt ['-30', '23', '-4', '10', '15']:pred [30.023643  10.3891945 13.797736  28.302433   8.684564 ]
hatchback_-17_45_-36_48_28_140_30_420:gt ['-17', '45', '-36', '48', '28']:pred [17.       16.846958 36.       52.506134 28.      ]
sedan4door_-30_23_-22_10_46_140_70_420:gt ['-30', '23', '-22', '10', '46']:pred [19.813095 19.030022 22.       19.831251 26.13559 ]
sedan4door_-50_23_-22_35_15_230_70_420:gt ['-50', '23', '-22', '35', '15']:pred [34.020687 25.131098 31.754976 30.358208  5.273749]
suv_-50_23_-22_35_28_140_70_420:gt ['-50', '23', '-22', '35', '28']:pred [35.054874 18.41095  13.896083 27.47859  14.962312]
hatchback_-50_23_-4_48_28_50_30_420:gt ['-50', '23', '-4', '48', '28']:pred [37.02775   23.         3.8379855 48.        28.       ]
sedan2door_-17_15_-36_35_28_20_30_420:gt ['-17', '15', '-36', '35', '28']:pred [19.513788 15.       36.       35.       11.541466]
hatchback_-17_45_-4_10_46_20_30_420:gt ['-17', '45', '-4', '10', '46']:pred [12.516228 45.       17.645828 10.       17.435999]
hatchback_-17_45_-4_10_28_140_70_420:gt ['-17', '45', '-4', '10', '28']:pred [22.943714 35.328445  4.       19.904236 16.978512]
suv_-17_45_-4_35_46_50_30_420:gt ['-17', '45', '-4', '35', '46']:pred [15.179127  45.         6.7942977 35.        16.341446 ]
hatchback_-30_23_-4_35_15_140_70_420:gt ['-30', '23', '-4', '35', '15']:pred [18.15849   10.60681    4.        33.982056   7.2254524]
sedan4door_-17_15_-22_10_28_230_70_420:gt ['-17', '15', '-22', '10', '28']:pred [ 6.845679   6.9888706 29.946245  12.083516   7.963178 ]
sedan2door_-17_15_-4_35_46_20_70_420:gt ['-17', '15', '-4', '35', '46']:pred [12.8622675  2.6433063  4.        35.        16.031755 ]
suv_-30_45_-22_10_46_230_30_420:gt ['-30', '45', '-22', '10', '46']:pred [30.       33.907204 22.        6.547359 39.48896 ]
hybrid_-17_23_-36_10_28_230_30_420:gt ['-17', '23', '-36', '10', '28']:pred [17.        4.956827 36.       10.        8.721191]
suv_-17_15_-22_48_15_140_70_420:gt ['-17', '15', '-22', '48', '15']:pred [14.826395  12.710341  22.        33.313168   4.9600854]
sedan4door_-30_23_-36_48_15_230_30_420:gt ['-30', '23', '-36', '48', '15']:pred [30.       10.315975 36.       36.663048 10.739001]
suv_-17_23_-4_48_46_140_30_420:gt ['-17', '23', '-4', '48', '46']:pred [17.       11.704711  4.       47.66176  46.      ]
hatchback_-30_45_-36_35_15_230_30_420:gt ['-30', '45', '-36', '35', '15']:pred [30.        30.920116  36.        43.991516   8.2369375]
sedan4door_-17_23_-4_35_46_50_70_420:gt ['-17', '23', '-4', '35', '46']:pred [22.084099  29.69418    3.4035432 35.        11.332954 ]
sedan2door_-17_45_-22_48_15_20_70_420:gt ['-17', '45', '-22', '48', '15']:pred [18.840425 28.05036  22.       48.        8.429706]
sedan4door_-17_15_-36_48_15_140_70_420:gt ['-17', '15', '-36', '48', '15']:pred [10.103685   9.955749  36.        34.876396   2.7546015]
suv_-17_23_-36_35_46_20_70_420:gt ['-17', '23', '-36', '35', '46']:pred [14.238331 14.532374 33.317406 35.       31.107563]
hatchback_-50_15_-4_10_28_230_70_420:gt ['-50', '15', '-4', '10', '28']:pred [43.02097  13.51479  16.108364  9.909402  8.525224]
sedan2door_-17_15_-4_48_46_140_30_420:gt ['-17', '15', '-4', '48', '46']:pred [17.        6.949091  4.       48.       46.      ]
hybrid_-17_45_-36_35_15_140_70_420:gt ['-17', '45', '-36', '35', '15']:pred [10.876019  40.009453  36.        35.         3.1201425]
sedan4door_-30_23_-4_35_46_50_30_420:gt ['-30', '23', '-4', '35', '46']:pred [39.450924  23.         5.8653274 35.        46.       ]
sedan2door_-50_23_-4_35_15_230_70_420:gt ['-50', '23', '-4', '35', '15']:pred [24.997105  22.186132   4.        35.         2.8013937]
suv_-17_23_-22_35_28_230_30_420:gt ['-17', '23', '-22', '35', '28']:pred [17.        11.438837  22.        39.99536    7.7440076]
sedan4door_-17_15_-4_35_28_140_70_420:gt ['-17', '15', '-4', '35', '28']:pred [ 8.512638   6.8488703  4.        31.422869   7.6364393]
suv_-17_23_-4_10_46_50_30_420:gt ['-17', '23', '-4', '10', '46']:pred [13.030175  23.         6.2544785 10.        15.196706 ]
hatchback_-17_23_-22_48_28_140_70_420:gt ['-17', '23', '-22', '48', '28']:pred [14.589878 13.034652 11.213642 38.773586 15.229662]
sedan4door_-50_15_-22_35_15_20_70_420:gt ['-50', '15', '-22', '35', '15']:pred [30.185226   7.090224  25.87108   35.         4.2276607]
hatchback_-50_23_-36_48_46_230_30_420:gt ['-50', '23', '-36', '48', '46']:pred [50.        7.478245 36.       42.05163  38.364933]
