425ba801e904cb50f3aaed7e86215c7b_20_20_40_40_20_240_80_400:gt ['20', '20', '40', '40', '20']:pred [ 8.53187    8.6063595 40.        40.        31.950634 ]
a115d534edec6f89afe1d4530f4c6e24_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [17.747738  8.539963  8.714603 10.778724 38.187935]
3d693af6fbae47f9cfb661f69a0dfbbd_40_40_20_20_20_160_40_400:gt ['40', '40', '20', '20', '20']:pred [41.08464  30.716707 20.       35.605644 41.58695 ]
216d910f71942f205df3c6413d40ccb2_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [20.256039  31.543142   6.2466116 15.496572  11.71303  ]
d72ffa185738bccd10b75223b5be6dbb_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [10.237618  7.357196  7.821333 17.950918 27.698465]
86c8a3137a716d70e742b0b5e87bec54_20_20_40_20_40_80_80_400:gt ['20', '20', '40', '20', '40']:pred [13.419253  8.837916 12.499042 41.30982  17.116901]
4ac021653126a29e98618a1ba17f086b_40_40_40_40_20_80_40_400:gt ['40', '40', '40', '40', '20']:pred [19.648718  13.670647   3.0769415 18.697071  34.78937  ]
d0cf2f187acda5736be7348aa770e4ca_20_40_20_20_40_240_80_400:gt ['20', '40', '20', '20', '40']:pred [17.44355   19.631989   6.33293   21.78991   14.3213005]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [14.816119 14.741345  7.281071  9.047498  8.729529]
825fb860d71c78a477c771b4b7eed82c_20_40_40_20_40_160_40_400:gt ['20', '40', '40', '20', '40']:pred [20.       15.789229 40.       23.125034 50.059296]
1790131f5f74b1ed973aff268eb6b00c_40_40_20_20_40_240_80_400:gt ['40', '40', '20', '20', '40']:pred [16.912952   4.5346336  8.473471  12.787081  29.01103  ]
3d693af6fbae47f9cfb661f69a0dfbbd_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [14.769992  4.174033 40.       11.684457 46.763153]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [23.705687 28.466194 20.38038  20.       36.631157]
b9786e1b059a1712ca92a4cdad802b45_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [12.751213 13.213192 12.615741  6.05004  28.462708]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [21.531136 17.92752  11.806131 10.144568 32.63051 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_40_40_40_160_40_400:gt ['40', '20', '40', '40', '40']:pred [40.       12.886072 35.310047 14.553987 46.139454]
923007b377bb1cab473f10e6caaeca56_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [ 5.8243904 34.30564   10.4816885  6.2104573 49.44679  ]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [18.167397 26.321892 12.196744 38.28759  54.590405]
86c8a3137a716d70e742b0b5e87bec54_20_40_40_40_40_80_40_400:gt ['20', '40', '40', '40', '40']:pred [25.392073 37.61917  22.663162 22.315676 22.370293]
9c827e532de4967285089a13cc567dbd_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [20.        25.370203  40.         0.7250207 43.91555  ]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [40.640373 48.61928   5.314994 20.       40.      ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_40_20_40_40_80_80_400:gt ['20', '40', '20', '40', '40']:pred [10.285367 52.491577 29.111221  5.614766 43.680885]
12f2905dc029f59a2479fbc7da5ed22b_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [19.813377   7.1271644 11.464836   9.653513  25.896685 ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_40_40_160_40_400:gt ['40', '20', '20', '40', '40']:pred [40.         9.182759   2.2181833 33.417755  29.199068 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [20.        18.696827  40.         7.5462813 48.11206  ]
7c46bfff2f90f11044592db9be5db5c8_20_20_20_20_20_240_80_400:gt ['20', '20', '20', '20', '20']:pred [10.258409   9.1125555  8.815088  15.345307  38.18588  ]
d2592adba4e8e62648368c1a2f71c5f3_40_40_40_20_40_80_40_400:gt ['40', '40', '40', '20', '40']:pred [26.744692 27.893982 12.563259 20.       54.7587  ]
d2592adba4e8e62648368c1a2f71c5f3_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [22.532335 17.161007  9.448882 46.209713 40.956593]
5e87b04efd58cc8922412d2a728de1d5_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [ 6.8672757 12.646162  14.586256  21.850746  36.01418  ]
9c827e532de4967285089a13cc567dbd_40_40_20_20_20_80_40_400:gt ['40', '40', '20', '20', '20']:pred [14.73855  42.06535  14.192053 20.       30.435751]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_40_20_160_80_400:gt ['20', '40', '20', '40', '20']:pred [10.56673   10.154733   1.5405562 33.4327    37.83263  ]
4ac021653126a29e98618a1ba17f086b_40_40_40_20_20_160_40_400:gt ['40', '40', '40', '20', '20']:pred [28.28812   14.256084   3.1424417 30.858568  47.902878 ]
fa1b3bcdbda309a439cc19d48e3f4f5_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       29.364384 40.       10.445173  9.167607]
cde88b5900e8dfba725a7749daae1afa_40_20_20_20_40_240_80_400:gt ['40', '20', '20', '20', '40']:pred [20.465885 17.470816 18.311096 18.541409 38.838017]
86c8a3137a716d70e742b0b5e87bec54_20_20_20_40_40_160_80_400:gt ['20', '20', '20', '40', '40']:pred [19.949228  15.983123   8.7660675 30.527683  16.585102 ]
72ba2195087f80d8b7e8c57d131d2ca7_20_40_20_40_40_160_40_400:gt ['20', '40', '20', '40', '40']:pred [42.0022   40.74227  20.       20.838474 29.799568]
fa1b3bcdbda309a439cc19d48e3f4f5_40_20_40_20_20_80_40_400:gt ['40', '20', '40', '20', '20']:pred [11.987595 30.024172  3.935778  5.067827 16.278828]
a115d534edec6f89afe1d4530f4c6e24_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [18.574339  24.936956  14.122093   2.4976668 20.       ]
825fb860d71c78a477c771b4b7eed82c_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [10.640745 10.763837  4.274052 15.358055 46.61868 ]
a88d69e53a01aab9ff1370452e3a0154_20_20_20_40_20_80_80_400:gt ['20', '20', '20', '40', '20']:pred [ 9.607206   3.0973346  5.2489133 40.756794  25.175325 ]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [16.85784   17.450598   3.1509523  8.181217  19.21439  ]
6265f0745d3f40546bcd32c43682e841_40_20_20_40_20_160_40_400:gt ['40', '20', '20', '40', '20']:pred [40.        8.350257 11.853941 17.92235  19.05332 ]
a115d534edec6f89afe1d4530f4c6e24_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [15.061283   7.9385214  9.588861   9.303924  30.135698 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [ 5.037061 27.187723 24.845163 40.       48.41346 ]
a387407d49e209fdeea60824a43a0b_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [ 4.323156  9.65523   4.406176 38.144794 12.205892]
b9786e1b059a1712ca92a4cdad802b45_20_20_40_20_40_160_80_400:gt ['20', '20', '40', '20', '40']:pred [14.266106 15.842661 25.9059   38.498417 34.415043]
d0cf2f187acda5736be7348aa770e4ca_20_20_40_20_40_240_40_400:gt ['20', '20', '40', '20', '40']:pred [12.825237   2.5139508  1.2901227  6.0071306 15.733856 ]
216d910f71942f205df3c6413d40ccb2_40_40_20_20_40_240_40_400:gt ['40', '40', '20', '20', '40']:pred [13.304735   3.9781728  3.2318995  8.96866   17.385687 ]
86c8a3137a716d70e742b0b5e87bec54_20_20_20_40_20_240_80_400:gt ['20', '20', '20', '40', '20']:pred [21.31602   38.63968    5.3380375 16.324007   4.3136334]
825fb860d71c78a477c771b4b7eed82c_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [40.       16.807634 26.702766 15.519439 45.28208 ]
425ba801e904cb50f3aaed7e86215c7b_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       21.615503 20.       17.159458 38.63948 ]
c61ec8875746ab78227375499b768057_20_20_40_20_20_240_40_400:gt ['20', '20', '40', '20', '20']:pred [ 7.6687045 13.367033   5.436023  15.536442   8.026165 ]
7dac31838b627748eb631ba05bd8dfe_40_20_20_20_20_240_80_400:gt ['40', '20', '20', '20', '20']:pred [10.217411   4.6304045 14.311159   8.588112  16.519382 ]
3d693af6fbae47f9cfb661f69a0dfbbd_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [ 6.1534534  5.5757885 40.         6.8761287 33.307964 ]
1a64bf1e658652ddb11647ffa4306609_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       15.742503 14.87203  27.18312  37.33248 ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [15.292021 20.632256 20.       15.843617 52.98801 ]
825fb860d71c78a477c771b4b7eed82c_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [ 7.1551075 33.428402  11.430916  10.036155  42.406326 ]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [27.091259 29.994972 13.365741 20.       29.729027]
1790131f5f74b1ed973aff268eb6b00c_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [11.623943   4.7640724 20.         2.4068427 23.450945 ]
a387407d49e209fdeea60824a43a0b_20_20_20_40_40_240_40_400:gt ['20', '20', '20', '40', '40']:pred [22.01767    8.842694   3.7041504 10.146986   3.8999918]
b9786e1b059a1712ca92a4cdad802b45_20_20_40_20_20_80_80_400:gt ['20', '20', '40', '20', '20']:pred [12.103122   8.561249   6.7954874 32.25757   32.31784  ]
7c46bfff2f90f11044592db9be5db5c8_40_20_40_20_20_240_80_400:gt ['40', '20', '40', '20', '20']:pred [13.981806   4.7045717  0.8286674 26.939476  46.79051  ]
b9786e1b059a1712ca92a4cdad802b45_20_40_20_40_20_240_40_400:gt ['20', '40', '20', '40', '20']:pred [13.176459   9.2590065 12.126715   4.8127437 12.474759 ]
5ec3322293a39816ad7e7cea4034d226_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [22.662844  10.9232435 20.        40.95016   25.900358 ]
4458ed2a746e61a3b11647ffa4306609_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [19.263601  48.92576   29.565855  20.         1.8359455]
4ac021653126a29e98618a1ba17f086b_40_20_20_20_40_240_40_400:gt ['40', '20', '20', '20', '40']:pred [13.519085   5.101673   0.8033302 20.12531   42.088146 ]
d2592adba4e8e62648368c1a2f71c5f3_20_20_40_40_40_160_40_400:gt ['20', '20', '40', '40', '40']:pred [44.827324 41.57619  40.       43.38645  48.279633]
825fb860d71c78a477c771b4b7eed82c_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [20.       19.787243 20.        5.200861 11.855928]
825fb860d71c78a477c771b4b7eed82c_20_40_20_20_20_240_40_400:gt ['20', '40', '20', '20', '20']:pred [20.         7.0838094  4.946177   4.56884   27.774052 ]
ba0ac1d1e25d3fad63f2c3a55558a78f_40_20_40_20_20_160_40_400:gt ['40', '20', '40', '20', '20']:pred [40.       11.13433   3.007643 25.982288 13.70505 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [16.986397 30.325172 25.914688 45.86875  28.88113 ]
425ba801e904cb50f3aaed7e86215c7b_40_40_20_40_40_240_40_400:gt ['40', '40', '20', '40', '40']:pred [40.        7.149043 20.       21.432617 33.589478]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_20_40_80_40_400:gt ['40', '20', '20', '20', '40']:pred [29.546875 47.72369   2.786057 20.       40.      ]
d72ffa185738bccd10b75223b5be6dbb_20_20_20_40_40_80_80_400:gt ['20', '20', '20', '40', '40']:pred [ 1.5510278  1.931547   3.5203753 18.777107  33.844215 ]
12f2905dc029f59a2479fbc7da5ed22b_40_40_40_40_40_160_40_400:gt ['40', '40', '40', '40', '40']:pred [40.        8.650666 40.       29.006453 46.657078]
c61ec8875746ab78227375499b768057_20_40_40_40_40_80_80_400:gt ['20', '40', '40', '40', '40']:pred [ 2.524315 18.167053 17.502129 22.73229  28.326374]
216d910f71942f205df3c6413d40ccb2_20_20_40_20_20_160_40_400:gt ['20', '20', '40', '20', '20']:pred [20.        30.754158  40.        20.         1.6205001]
4ac021653126a29e98618a1ba17f086b_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [16.375017  18.102081   3.0886328 30.09381   45.445354 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [25.38826  28.584347 20.       40.781967 48.464973]
3d693af6fbae47f9cfb661f69a0dfbbd_20_40_20_20_20_80_80_400:gt ['20', '40', '20', '20', '20']:pred [11.457369 26.074207 21.980333 19.35798  27.08489 ]
d2592adba4e8e62648368c1a2f71c5f3_20_40_20_20_40_240_40_400:gt ['20', '40', '20', '20', '40']:pred [20.         2.9992635 20.         7.936838  31.14368  ]
7dac31838b627748eb631ba05bd8dfe_20_40_40_20_40_160_80_400:gt ['20', '40', '40', '20', '40']:pred [12.575754  10.446076   7.7283926 13.30209   10.21157  ]
ffe0a5b165461eb66a2345809e2bb169_40_40_20_40_20_160_40_400:gt ['40', '40', '20', '40', '20']:pred [32.077415  17.837202   6.7641277 36.378555  19.57333  ]
825fb860d71c78a477c771b4b7eed82c_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [40.         7.7077713  3.6216176  6.3883247 45.821068 ]
c4941d6a2266813c3a2b1a2e5e169910_20_40_20_40_20_80_80_400:gt ['20', '40', '20', '40', '20']:pred [ 9.640652 19.671953  7.483361 18.806992 40.36714 ]
ac3585c59a80b822b4d8eb72d337b2e3_20_40_20_40_40_240_80_400:gt ['20', '40', '20', '40', '40']:pred [27.754765   7.7119303  7.6620655 40.        46.11274  ]
2f7cf2c2d170e3c936f37029483b3e41_20_20_20_20_20_160_80_400:gt ['20', '20', '20', '20', '20']:pred [10.381469 48.02345  39.76388  28.858196 41.874878]
9c827e532de4967285089a13cc567dbd_40_20_20_20_40_160_80_400:gt ['40', '20', '20', '20', '40']:pred [13.4395895 29.85223    9.981904  12.046072  41.207962 ]
86c8a3137a716d70e742b0b5e87bec54_40_20_20_40_40_160_80_400:gt ['40', '20', '20', '40', '40']:pred [15.033803  15.475838   2.9070635 43.402534  40.182854 ]
5ec3322293a39816ad7e7cea4034d226_20_40_40_20_20_240_80_400:gt ['20', '40', '40', '20', '20']:pred [25.563614   7.3548393 12.148281  20.        10.581046 ]
cde88b5900e8dfba725a7749daae1afa_40_40_40_20_40_240_40_400:gt ['40', '40', '40', '20', '40']:pred [19.366724 19.815718 40.       11.305357 39.201534]
923007b377bb1cab473f10e6caaeca56_20_40_20_20_20_160_80_400:gt ['20', '40', '20', '20', '20']:pred [22.738014  14.635714   6.6980896 23.407747  30.272701 ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_20_20_20_240_40_400:gt ['40', '20', '20', '20', '20']:pred [40.       25.842009 20.        8.794758 54.0183  ]
70e27da90dec2de49604bf8c981ad1eb_20_20_20_20_40_80_80_400:gt ['20', '20', '20', '20', '40']:pred [ 7.575348 14.451246  3.694134 32.396164 40.9899  ]
ac3585c59a80b822b4d8eb72d337b2e3_40_20_20_20_40_80_80_400:gt ['40', '20', '20', '20', '40']:pred [ 4.5359545  1.8659635 18.8575    20.        41.96858  ]
dfa6c32dec07727ee9d8921ebe6d5b8e_40_20_20_40_40_80_40_400:gt ['40', '20', '20', '40', '40']:pred [ 5.091609 35.593727 24.98972  40.       47.16478 ]
7ccdf7bc2af0b068e43ab89cb5563740_40_20_20_20_20_160_40_400:gt ['40', '20', '20', '20', '20']:pred [40.         6.5684547  1.9802792 26.120258  23.76724  ]
a51b3b0cbd9c24f3a7fd25564c2e888e_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [27.324732 15.117911 40.       40.       30.07945 ]
4f17af1ca7ae689d409b2c4484d833cc_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [16.623962  4.680406  6.842828 15.791365 40.757004]
6265f0745d3f40546bcd32c43682e841_40_20_20_40_40_240_80_400:gt ['40', '20', '20', '40', '40']:pred [ 7.332108 11.527973  6.367641 17.408651 17.42544 ]
7ccdf7bc2af0b068e43ab89cb5563740_20_20_40_40_20_240_40_400:gt ['20', '20', '40', '40', '20']:pred [20.         9.400439   6.7429543 12.280564  21.751387 ]
a51b3b0cbd9c24f3a7fd25564c2e888e_40_20_20_20_40_160_40_400:gt ['40', '20', '20', '20', '40']:pred [40.       18.867432 20.       21.280155 31.8595  ]
1a64bf1e658652ddb11647ffa4306609_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [13.113862 20.494677 13.452932 11.776345 43.473503]
b9786e1b059a1712ca92a4cdad802b45_40_20_40_20_40_240_80_400:gt ['40', '20', '40', '20', '40']:pred [ 5.153233   7.8863783 10.539225  10.424601  23.579449 ]
216d910f71942f205df3c6413d40ccb2_40_20_40_40_20_240_40_400:gt ['40', '20', '40', '40', '20']:pred [ 8.706984   2.7595482  3.6498399 11.43622   12.768317 ]
a387407d49e209fdeea60824a43a0b_40_20_40_20_20_240_40_400:gt ['40', '20', '40', '20', '20']:pred [40.        36.182674  40.         6.4720445 17.68763  ]
9d2b7938d426633b28044fe9244db50a_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [16.031837   5.270862  40.        20.561255   2.5148683]
b9786e1b059a1712ca92a4cdad802b45_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [ 5.5448   22.311594 14.87636  33.556564 29.620016]
4458ed2a746e61a3b11647ffa4306609_40_20_20_40_20_80_80_400:gt ['40', '20', '20', '40', '20']:pred [17.84247   14.511782  13.923445  43.31257    2.6292171]
1a64bf1e658652ddb11647ffa4306609_40_40_20_40_20_240_80_400:gt ['40', '40', '20', '40', '20']:pred [17.768435 19.229517 21.331417 16.699984 29.747961]
ac3585c59a80b822b4d8eb72d337b2e3_40_40_40_20_40_160_80_400:gt ['40', '40', '40', '20', '40']:pred [17.412304 22.3178   40.       18.386711 53.504917]
12f2905dc029f59a2479fbc7da5ed22b_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [ 6.5577054 30.578817  16.97202   40.        40.845955 ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_40_40_40_160_80_400:gt ['40', '40', '40', '40', '40']:pred [11.605692  20.49098    2.4344716 27.981838  25.684471 ]
9d2b7938d426633b28044fe9244db50a_20_20_40_40_40_240_80_400:gt ['20', '20', '40', '40', '40']:pred [16.446682   5.3410497 40.        19.937796   2.2016962]
fa1b3bcdbda309a439cc19d48e3f4f5_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [20.481747  37.962856   4.4559183 20.        10.769536 ]
9c827e532de4967285089a13cc567dbd_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.         29.70178    40.          0.46366695 52.630802  ]
5ec3322293a39816ad7e7cea4034d226_20_20_40_40_20_80_80_400:gt ['20', '20', '40', '40', '20']:pred [16.956009   2.1230175 40.        40.        20.       ]
4ac021653126a29e98618a1ba17f086b_40_20_40_20_40_160_40_400:gt ['40', '20', '40', '20', '40']:pred [25.737299  10.85686    4.1465483 27.409801  49.780567 ]
12f2905dc029f59a2479fbc7da5ed22b_20_20_40_20_20_80_40_400:gt ['20', '20', '40', '20', '20']:pred [ 7.2055497  3.8903546  4.507432  20.        26.827732 ]
7c46bfff2f90f11044592db9be5db5c8_20_20_20_20_20_240_40_400:gt ['20', '20', '20', '20', '20']:pred [24.658104   2.1839316  2.7737517  0.9043368 31.756247 ]
72ba2195087f80d8b7e8c57d131d2ca7_40_40_40_40_40_80_80_400:gt ['40', '40', '40', '40', '40']:pred [22.708952 44.487896 43.23836  45.56032  42.82415 ]
6265f0745d3f40546bcd32c43682e841_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [ 8.373864  31.500553   4.7531414 40.        53.676025 ]
425ba801e904cb50f3aaed7e86215c7b_20_40_20_40_40_240_40_400:gt ['20', '40', '20', '40', '40']:pred [20.        8.740878 20.       16.07164  22.6751  ]
4f17af1ca7ae689d409b2c4484d833cc_20_40_20_20_20_240_80_400:gt ['20', '40', '20', '20', '20']:pred [15.30746   6.709683  8.975503 20.       33.589657]
86c8a3137a716d70e742b0b5e87bec54_20_20_40_40_40_80_40_400:gt ['20', '20', '40', '40', '40']:pred [20.93469  32.141495 22.023043 13.187012 31.006382]
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_20_40_40_40_80_80_400:gt ['20', '20', '40', '40', '40']:pred [ 5.5389223 50.53303   26.454464   7.240912  39.78614  ]
4458ed2a746e61a3b11647ffa4306609_20_40_40_20_20_160_40_400:gt ['20', '40', '40', '20', '20']:pred [20.        25.296782  40.        15.604788   4.0780416]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [27.461525 48.723053 18.042227 24.588448 38.44101 ]
c4941d6a2266813c3a2b1a2e5e169910_20_20_40_40_40_240_40_400:gt ['20', '20', '40', '40', '40']:pred [20.         7.29582    0.7577342 24.46052   28.1289   ]
aa9f41bc3925ffc4be9358e8c18dc481_40_40_20_40_20_80_40_400:gt ['40', '40', '20', '40', '20']:pred [ 7.0798316 11.800297   7.2834215 40.        16.519901 ]
4458ed2a746e61a3b11647ffa4306609_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [31.224854  32.328003  29.050465  19.439157   1.3719639]
ffe0a5b165461eb66a2345809e2bb169_20_40_40_20_20_80_40_400:gt ['20', '40', '40', '20', '20']:pred [13.583593 37.324562 22.023396  8.816732 20.971397]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_40_20_80_80_400:gt ['20', '40', '40', '40', '20']:pred [ 3.164995   5.290511   1.8673007 23.369926  17.921982 ]
5ec3322293a39816ad7e7cea4034d226_40_20_40_40_40_240_80_400:gt ['40', '20', '40', '40', '40']:pred [20.837288  7.596578 16.531475 40.        8.771053]
72ba2195087f80d8b7e8c57d131d2ca7_40_20_20_20_20_160_80_400:gt ['40', '20', '20', '20', '20']:pred [18.406685  27.039877   6.8946342 16.726128  37.29384  ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_20_40_160_40_400:gt ['40', '40', '40', '20', '40']:pred [40.       12.331503  3.591479 28.874802 20.448608]
9c827e532de4967285089a13cc567dbd_40_40_20_20_40_160_40_400:gt ['40', '40', '20', '20', '40']:pred [40.        44.157516  20.         0.9272728 52.625687 ]
7c7e5b4fa56d8ed654b40bc735c6fdf6_40_20_20_20_20_80_80_400:gt ['40', '20', '20', '20', '20']:pred [ 9.157146 50.012047 27.927439 15.717514 51.84928 ]
d72ffa185738bccd10b75223b5be6dbb_20_40_40_40_40_240_40_400:gt ['20', '40', '40', '40', '40']:pred [ 7.779666   1.1909297 40.         3.0539272 19.316372 ]
425ba801e904cb50f3aaed7e86215c7b_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [10.501681 51.725597 11.696479 20.       40.      ]
4f17af1ca7ae689d409b2c4484d833cc_40_40_20_40_40_160_80_400:gt ['40', '40', '20', '40', '40']:pred [18.956053  16.74247    5.2097673 16.610123  43.05527  ]
12f2905dc029f59a2479fbc7da5ed22b_40_20_40_40_20_240_80_400:gt ['40', '20', '40', '40', '20']:pred [20.139706   8.038965  11.830696   7.8718085 24.806765 ]
6265f0745d3f40546bcd32c43682e841_40_40_20_40_20_160_80_400:gt ['40', '40', '20', '40', '20']:pred [ 3.9828126  8.282551   3.2258015 18.34287   19.744    ]
4458ed2a746e61a3b11647ffa4306609_40_20_40_40_20_160_80_400:gt ['40', '20', '40', '40', '20']:pred [19.307951 25.080029 17.037443 35.446632  9.054571]
6265f0745d3f40546bcd32c43682e841_20_20_20_20_40_160_80_400:gt ['20', '20', '20', '20', '40']:pred [14.093161 11.394195 20.        8.923534 36.690735]
12f2905dc029f59a2479fbc7da5ed22b_20_20_20_40_40_80_40_400:gt ['20', '20', '20', '40', '40']:pred [ 8.118977   4.359357   3.9491155 40.        37.77858  ]
70e27da90dec2de49604bf8c981ad1eb_20_40_20_40_40_160_80_400:gt ['20', '40', '20', '40', '40']:pred [ 9.394367  12.212533   4.5791855 15.535526  28.54977  ]
86c8a3137a716d70e742b0b5e87bec54_40_40_40_40_40_240_80_400:gt ['40', '40', '40', '40', '40']:pred [14.866916  24.168404   7.6517344 35.96148   22.765913 ]
1a64bf1e658652ddb11647ffa4306609_40_40_40_40_20_80_80_400:gt ['40', '40', '40', '40', '20']:pred [15.223546 33.81196  40.60668  23.765602 31.735435]
a387407d49e209fdeea60824a43a0b_20_40_40_40_20_80_40_400:gt ['20', '40', '40', '40', '20']:pred [38.729736 42.81362   4.474036 40.       34.608738]
fabcb04fc015f822ca8bf2993ca245b_20_40_20_20_20_80_40_400:gt ['20', '40', '20', '20', '20']:pred [38.790276  24.928528   8.260381  20.         6.0537567]
d2592adba4e8e62648368c1a2f71c5f3_20_40_40_40_40_160_40_400:gt ['20', '40', '40', '40', '40']:pred [20.       36.556187 40.       21.017662 39.333923]
a88d69e53a01aab9ff1370452e3a0154_40_40_20_20_20_240_80_400:gt ['40', '40', '20', '20', '20']:pred [ 9.907141  9.664336 10.947475 44.969288 28.900145]
7dac31838b627748eb631ba05bd8dfe_20_20_20_20_40_80_40_400:gt ['20', '20', '20', '20', '40']:pred [ 4.5057716 51.644882  20.        20.        53.98277  ]
a115d534edec6f89afe1d4530f4c6e24_40_40_40_20_20_160_80_400:gt ['40', '40', '40', '20', '20']:pred [19.105566  10.155791   5.9492316 27.953354  36.921097 ]
7ccdf7bc2af0b068e43ab89cb5563740_40_40_40_20_20_80_40_400:gt ['40', '40', '40', '20', '20']:pred [28.082714 25.745178 24.309072 20.       40.04385 ]
4ac021653126a29e98618a1ba17f086b_40_40_20_20_40_80_40_400:gt ['40', '40', '20', '20', '40']:pred [19.581085 10.53332   1.124486 22.978935 44.996437]
2f7cf2c2d170e3c936f37029483b3e41_20_40_40_40_40_240_80_400:gt ['20', '40', '40', '40', '40']:pred [15.098963 13.652184  5.807427 25.843454 23.320631]
7c46bfff2f90f11044592db9be5db5c8_20_40_40_20_20_80_80_400:gt ['20', '40', '40', '20', '20']:pred [ 9.904669 15.090045  6.852308 24.813786 36.90634 ]
c61ec8875746ab78227375499b768057_20_20_20_40_20_80_40_400:gt ['20', '20', '20', '40', '20']:pred [27.694708 41.725803 17.311323 30.31096  24.959314]
