sedan2door_-30_23_-4_48_15_20_30_420:gt ['-30', '23', '-4', '48', '15']:pred [30.666483 23.        4.       48.        8.111878]
sedan2door_-17_15_-4_35_46_20_30_420:gt ['-17', '15', '-4', '35', '46']:pred [15.417062 15.        4.       35.       17.142635]
suv_-50_15_-36_35_28_20_30_420:gt ['-50', '15', '-36', '35', '28']:pred [48.074627 15.       45.807243 35.       15.812393]
hatchback_-30_15_-4_48_28_50_70_420:gt ['-30', '15', '-4', '48', '28']:pred [30.54879   8.329323 15.678553 35.98725  18.9482  ]
hatchback_-17_15_-4_48_28_50_30_420:gt ['-17', '15', '-4', '48', '28']:pred [42.905125 15.       13.782968 48.       28.      ]
hybrid_-17_45_-22_35_15_140_70_420:gt ['-17', '45', '-22', '35', '15']:pred [35.576805 22.292774 22.       35.       24.015776]
hybrid_-50_15_-4_35_46_140_30_420:gt ['-50', '15', '-4', '35', '46']:pred [50.       13.816463  4.       35.       13.716109]
sedan4door_-30_23_-36_10_28_230_70_420:gt ['-30', '23', '-36', '10', '28']:pred [37.09618  12.922245 30.628124 17.940544 29.034698]
hatchback_-30_23_-22_10_15_20_70_420:gt ['-30', '23', '-22', '10', '15']:pred [21.972095 24.738268 17.726511 10.       19.972477]
sedan2door_-17_23_-22_48_28_20_70_420:gt ['-17', '23', '-22', '48', '28']:pred [18.594004 28.142412 22.       48.       32.99646 ]
hybrid_-30_23_-36_35_46_230_70_420:gt ['-30', '23', '-36', '35', '46']:pred [40.161823 10.895913 36.       35.       39.46046 ]
sedan2door_-50_45_-22_10_46_20_70_420:gt ['-50', '45', '-22', '10', '46']:pred [45.964546 43.4975   22.       10.       27.987606]
hatchback_-30_45_-36_48_15_140_30_420:gt ['-30', '45', '-36', '48', '15']:pred [30.       42.068382 36.       27.42527  16.372528]
hybrid_-30_45_-36_35_15_20_30_420:gt ['-30', '45', '-36', '35', '15']:pred [44.222183 45.       36.       35.       11.851626]
suv_-30_15_-22_48_15_50_30_420:gt ['-30', '15', '-22', '48', '15']:pred [31.717632 15.       29.753515 48.       15.      ]
hatchback_-17_23_-22_48_28_20_70_420:gt ['-17', '23', '-22', '48', '28']:pred [22.486065 31.351068 18.209631 45.526062 35.924015]
hybrid_-50_23_-36_35_28_140_70_420:gt ['-50', '23', '-36', '35', '28']:pred [21.291948 12.144517 36.       35.       33.8239  ]
suv_-50_45_-36_35_46_20_70_420:gt ['-50', '45', '-36', '35', '46']:pred [51.775375 44.975803 20.523048 39.426697 40.905235]
hybrid_-17_23_-36_48_28_230_30_420:gt ['-17', '23', '-36', '48', '28']:pred [17.        9.070429 36.       48.       23.661238]
hatchback_-17_15_-22_48_28_20_30_420:gt ['-17', '15', '-22', '48', '28']:pred [30.086216 15.       26.264923 48.       18.800848]
hybrid_-30_15_-36_48_15_140_30_420:gt ['-30', '15', '-36', '48', '15']:pred [30.       15.182558 36.       48.        7.982625]
sedan4door_-50_23_-22_48_46_20_70_420:gt ['-50', '23', '-22', '48', '46']:pred [44.93906  36.80714  13.318422 39.910156 35.370705]
hybrid_-50_15_-22_48_28_50_70_420:gt ['-50', '15', '-22', '48', '28']:pred [20.387024 22.650885 22.       48.       10.677676]
suv_-50_15_-36_48_28_50_70_420:gt ['-50', '15', '-36', '48', '28']:pred [42.929237 41.509037 38.390625 35.420753  9.547742]
sedan2door_-17_23_-36_10_15_20_70_420:gt ['-17', '23', '-36', '10', '15']:pred [20.524677 30.143309 36.       10.       20.473644]
sedan4door_-17_15_-36_35_28_230_70_420:gt ['-17', '15', '-36', '35', '28']:pred [21.902798 13.430643 34.0307   42.355442 34.89905 ]
suv_-30_15_-36_35_28_230_70_420:gt ['-30', '15', '-36', '35', '28']:pred [39.867825 13.982357 39.100643 40.948586 34.828636]
sedan2door_-17_15_-4_35_15_20_70_420:gt ['-17', '15', '-4', '35', '15']:pred [17.903364 16.355572  4.       35.       19.059822]
hybrid_-17_15_-36_35_28_230_30_420:gt ['-17', '15', '-36', '35', '28']:pred [17.        6.472956 36.       35.       25.449099]
hybrid_-50_15_-4_48_46_20_30_420:gt ['-50', '15', '-4', '48', '46']:pred [46.512417 15.        4.       48.       18.0289  ]
sedan2door_-50_45_-22_10_46_230_30_420:gt ['-50', '45', '-22', '10', '46']:pred [50.       52.449627 22.       10.       46.210175]
sedan2door_-17_23_-36_35_28_50_30_420:gt ['-17', '23', '-36', '35', '28']:pred [41.13719 23.      36.      35.      28.     ]
suv_-17_15_-22_10_46_50_30_420:gt ['-17', '15', '-22', '10', '46']:pred [32.673023 15.       41.678383 10.       46.      ]
sedan2door_-50_23_-36_48_28_230_30_420:gt ['-50', '23', '-36', '48', '28']:pred [50.       19.844208 36.       48.       34.310314]
hatchback_-30_23_-4_48_28_140_70_420:gt ['-30', '23', '-4', '48', '28']:pred [33.292885 18.905962  4.       36.799725 48.53228 ]
hatchback_-30_15_-22_35_28_230_70_420:gt ['-30', '15', '-22', '35', '28']:pred [45.98004  12.409622 28.136806 33.70008  35.730537]
hybrid_-30_23_-4_48_15_230_30_420:gt ['-30', '23', '-4', '48', '15']:pred [30.        8.371218  4.       48.        7.71717 ]
hybrid_-30_15_-36_35_28_230_70_420:gt ['-30', '15', '-36', '35', '28']:pred [38.378757  7.464802 36.       35.       35.921043]
sedan2door_-30_15_-4_48_46_230_30_420:gt ['-30', '15', '-4', '48', '46']:pred [30.       10.894869  4.       48.       43.05651 ]
sedan2door_-50_23_-4_10_15_20_30_420:gt ['-50', '23', '-4', '10', '15']:pred [43.81656   23.         4.        10.         6.6729436]
hybrid_-50_15_-22_10_46_230_70_420:gt ['-50', '15', '-22', '10', '46']:pred [37.037193   7.7793903 22.        10.        36.279205 ]
sedan2door_-17_45_-4_48_46_230_70_420:gt ['-17', '45', '-4', '48', '46']:pred [22.166906 40.39566   4.       48.       50.842403]
hybrid_-17_15_-4_48_15_230_70_420:gt ['-17', '15', '-4', '48', '15']:pred [23.44193    6.4109173  4.        48.        11.69037  ]
sedan4door_-30_15_-22_10_46_140_30_420:gt ['-30', '15', '-22', '10', '46']:pred [30.        8.233332 22.       12.906454  9.249243]
sedan4door_-17_45_-22_48_28_230_30_420:gt ['-17', '45', '-22', '48', '28']:pred [17.       51.709118 22.       49.50216  40.879017]
hatchback_-50_45_-22_48_46_140_70_420:gt ['-50', '45', '-22', '48', '46']:pred [31.548414 41.77365  21.964409 38.502655 50.394466]
hybrid_-30_23_-36_10_15_140_70_420:gt ['-30', '23', '-36', '10', '15']:pred [32.391624  6.00939  36.       10.       20.506256]
suv_-30_15_-4_48_46_230_70_420:gt ['-30', '15', '-4', '48', '46']:pred [39.26721  15.880457 21.360134 43.07149  41.7887  ]
sedan4door_-50_45_-36_48_28_140_30_420:gt ['-50', '45', '-36', '48', '28']:pred [50.       48.834473 36.       25.162004 11.257214]
sedan2door_-17_15_-22_10_46_140_70_420:gt ['-17', '15', '-22', '10', '46']:pred [34.252644   4.6999907 22.        10.        52.47365  ]
sedan4door_-50_45_-36_48_15_140_70_420:gt ['-50', '45', '-36', '48', '15']:pred [39.244038 51.318317 36.       36.834312 19.511084]
hybrid_-30_23_-22_10_28_50_30_420:gt ['-30', '23', '-22', '10', '28']:pred [35.689297 23.       22.       10.       28.      ]
sedan2door_-50_15_-22_10_28_20_70_420:gt ['-50', '15', '-22', '10', '28']:pred [37.258404 18.620468 22.       10.       31.477081]
sedan4door_-30_45_-4_35_46_20_70_420:gt ['-30', '45', '-4', '35', '46']:pred [35.280144  35.848488   6.7120576 40.049873  31.700785 ]
hatchback_-30_23_-4_10_28_230_70_420:gt ['-30', '23', '-4', '10', '28']:pred [40.638176 17.216522 17.582684 15.358374 37.009945]
sedan2door_-17_23_-4_35_28_230_30_420:gt ['-17', '23', '-4', '35', '28']:pred [17.      18.74165  4.      35.      34.27668]
suv_-50_23_-36_48_28_140_30_420:gt ['-50', '23', '-36', '48', '28']:pred [50.       26.916004 36.       24.558905 14.485083]
suv_-50_45_-36_48_28_230_70_420:gt ['-50', '45', '-36', '48', '28']:pred [42.253677 53.257973 39.48591  46.719627 31.643297]
sedan4door_-50_15_-22_10_15_20_30_420:gt ['-50', '15', '-22', '10', '15']:pred [48.213356 15.       30.986403 10.        9.644347]
hybrid_-50_23_-36_35_15_20_30_420:gt ['-50', '23', '-36', '35', '15']:pred [49.104317  23.        36.        35.         7.7363787]
hatchback_-17_15_-4_10_28_140_30_420:gt ['-17', '15', '-4', '10', '28']:pred [17.       13.790225  4.       12.512082 19.466   ]
suv_-30_23_-36_10_46_50_70_420:gt ['-30', '23', '-36', '10', '46']:pred [41.578808 16.505543 25.222647 33.431534 27.968122]
hatchback_-17_23_-36_48_15_20_30_420:gt ['-17', '23', '-36', '48', '15']:pred [33.398296 23.       28.985645 48.       14.399895]
hatchback_-30_23_-4_10_15_140_30_420:gt ['-30', '23', '-4', '10', '15']:pred [30.       19.99376   4.       13.448654 12.524651]
hybrid_-17_23_-4_35_46_140_70_420:gt ['-17', '23', '-4', '35', '46']:pred [30.894684   4.1871133  4.        35.        44.210876 ]
hybrid_-30_23_-36_48_28_20_30_420:gt ['-30', '23', '-36', '48', '28']:pred [40.76252 23.      36.      48.      18.01849]
hybrid_-30_45_-4_35_28_140_70_420:gt ['-30', '45', '-4', '35', '28']:pred [37.490177 26.9773    4.       35.       36.079964]
suv_-50_23_-22_10_28_50_30_420:gt ['-50', '23', '-22', '10', '28']:pred [37.02441  23.       36.315853 10.       28.      ]
hatchback_-30_45_-36_35_28_140_30_420:gt ['-30', '45', '-36', '35', '28']:pred [30.       38.22264  36.       22.609945 16.557861]
hybrid_-50_45_-36_35_15_50_70_420:gt ['-50', '45', '-36', '35', '15']:pred [25.69431  37.21113  36.       35.        8.366733]
hatchback_-17_23_-4_35_46_20_70_420:gt ['-17', '23', '-4', '35', '46']:pred [19.87851  39.4749    6.463356 53.219063 41.35473 ]
suv_-30_15_-4_35_15_20_70_420:gt ['-30', '15', '-4', '35', '15']:pred [34.570107  19.498283   7.8334165 35.         8.528688 ]
sedan2door_-50_45_-22_35_46_230_70_420:gt ['-50', '45', '-22', '35', '46']:pred [37.416122 44.242226 22.       35.       51.451687]
sedan2door_-30_45_-22_48_46_20_30_420:gt ['-30', '45', '-22', '48', '46']:pred [30.150826 45.       22.       48.       16.272491]
sedan4door_-50_23_-36_10_46_50_30_420:gt ['-50', '23', '-36', '10', '46']:pred [33.82597 23.      35.41956 10.      46.     ]
hybrid_-50_23_-22_48_46_50_70_420:gt ['-50', '23', '-22', '48', '46']:pred [20.036932 24.539915 22.       48.       28.559511]
hybrid_-30_45_-4_10_46_140_30_420:gt ['-30', '45', '-4', '10', '46']:pred [30.       36.741444  4.       10.       11.810577]
hatchback_-50_15_-4_35_15_140_30_420:gt ['-50', '15', '-4', '35', '15']:pred [50.       13.63167   4.       23.919819 16.213366]
sedan4door_-50_15_-22_10_46_20_30_420:gt ['-50', '15', '-22', '10', '46']:pred [47.743835 15.       31.439878 10.       13.023779]
hybrid_-30_15_-36_10_46_140_30_420:gt ['-30', '15', '-36', '10', '46']:pred [30.       13.959023 36.       10.       12.610315]
hatchback_-50_45_-4_48_46_50_30_420:gt ['-50', '45', '-4', '48', '46']:pred [47.708817 45.       22.01007  48.       46.      ]
hatchback_-30_23_-36_48_15_20_70_420:gt ['-30', '23', '-36', '48', '15']:pred [19.549868 40.42566  24.513557 48.       24.483065]
suv_-17_15_-36_35_28_140_70_420:gt ['-17', '15', '-36', '35', '28']:pred [41.724335  9.461933 36.       22.22911  46.10241 ]
sedan4door_-17_15_-4_10_46_20_70_420:gt ['-17', '15', '-4', '10', '46']:pred [25.184484 10.975688  6.216229 30.23627  30.377197]
hatchback_-30_15_-22_10_28_230_30_420:gt ['-30', '15', '-22', '10', '28']:pred [30.         7.0544686 22.         8.149941  33.309322 ]
sedan4door_-50_45_-4_48_15_20_70_420:gt ['-50', '45', '-4', '48', '15']:pred [42.235897  45.30927    8.774641  41.16852    6.4424124]
hybrid_-17_23_-4_10_28_230_30_420:gt ['-17', '23', '-4', '10', '28']:pred [17.        9.352428  4.       10.       24.38153 ]
suv_-50_45_-4_10_46_20_70_420:gt ['-50', '45', '-4', '10', '46']:pred [45.095318 24.654566  8.966032 39.30759  38.32283 ]
sedan4door_-50_15_-22_35_46_140_30_420:gt ['-50', '15', '-22', '35', '46']:pred [50.       10.360493 22.       26.908787 12.59866 ]
sedan4door_-30_15_-36_48_28_50_70_420:gt ['-30', '15', '-36', '48', '28']:pred [39.863026 32.32827  38.797764 33.30869   6.049674]
sedan4door_-30_45_-4_48_28_230_30_420:gt ['-30', '45', '-4', '48', '28']:pred [30.       52.031624  4.       49.34914  39.937206]
hybrid_-30_23_-22_48_28_140_70_420:gt ['-30', '23', '-22', '48', '28']:pred [31.13509    6.0976768 22.        48.        35.05698  ]
hatchback_-17_45_-22_48_15_50_70_420:gt ['-17', '45', '-22', '48', '15']:pred [33.95095  20.3832   20.941046 39.56997  15.02225 ]
sedan4door_-30_15_-4_48_46_50_30_420:gt ['-30', '15', '-4', '48', '46']:pred [32.37418  15.       11.077378 48.       46.      ]
hybrid_-17_23_-22_48_15_230_70_420:gt ['-17', '23', '-22', '48', '15']:pred [22.426502 10.212057 22.       48.       12.107948]
hatchback_-30_23_-22_48_15_230_70_420:gt ['-30', '23', '-22', '48', '15']:pred [43.031532 28.02381  31.413263 44.95073  12.268472]
hybrid_-50_23_-4_10_46_20_30_420:gt ['-50', '23', '-4', '10', '46']:pred [46.364357 23.        4.       10.       18.235634]
sedan2door_-50_45_-22_35_15_230_70_420:gt ['-50', '45', '-22', '35', '15']:pred [38.453857 42.983887 22.       35.       11.434966]
sedan4door_-30_15_-4_48_28_140_30_420:gt ['-30', '15', '-4', '48', '28']:pred [30.        12.0673685  4.        31.210674  11.976201 ]
sedan4door_-50_15_-4_10_15_50_30_420:gt ['-50', '15', '-4', '10', '15']:pred [32.822617 15.       18.542583 10.       15.      ]
hybrid_-17_23_-22_35_46_20_30_420:gt ['-17', '23', '-22', '35', '46']:pred [22.242308 23.       22.       35.       23.118834]
hybrid_-17_15_-4_48_28_140_70_420:gt ['-17', '15', '-4', '48', '28']:pred [30.40535    3.3570685  4.        48.        40.646675 ]
hybrid_-50_45_-36_48_28_230_70_420:gt ['-50', '45', '-36', '48', '28']:pred [35.80199 40.69818 36.      48.      30.40693]
sedan2door_-50_15_-22_35_46_140_70_420:gt ['-50', '15', '-22', '35', '46']:pred [26.054075 11.126072 22.       35.       49.062134]
sedan4door_-30_15_-22_35_46_20_30_420:gt ['-30', '15', '-22', '35', '46']:pred [37.700706 15.       30.676481 35.       17.552393]
hybrid_-30_45_-22_10_28_140_30_420:gt ['-30', '45', '-22', '10', '28']:pred [30.       37.169525 22.       10.       28.      ]
sedan4door_-50_23_-4_35_46_230_30_420:gt ['-50', '23', '-4', '35', '46']:pred [50.       28.240044  4.       44.3272   53.55845 ]
hatchback_-50_15_-36_10_28_230_70_420:gt ['-50', '15', '-36', '10', '28']:pred [45.243633  9.774343 33.009933 17.02459  34.981762]
hybrid_-50_15_-4_35_15_20_70_420:gt ['-50', '15', '-4', '35', '15']:pred [33.536133 14.318862  4.       35.       13.182101]
sedan2door_-17_45_-4_10_28_230_30_420:gt ['-17', '45', '-4', '10', '28']:pred [17.       51.677597  4.       10.       34.247684]
sedan2door_-30_45_-4_48_46_140_70_420:gt ['-30', '45', '-4', '48', '46']:pred [40.53649  34.951168  4.       48.       48.685917]
sedan4door_-30_45_-4_10_15_20_70_420:gt ['-30', '45', '-4', '10', '15']:pred [35.735863  27.430836  10.211503  30.416945   4.8406534]
sedan2door_-17_15_-4_48_46_230_70_420:gt ['-17', '15', '-4', '48', '46']:pred [22.535725  7.391699  4.       48.       51.031403]
sedan2door_-17_15_-36_10_28_140_30_420:gt ['-17', '15', '-36', '10', '28']:pred [17.       10.621594 36.       10.        7.754721]
sedan4door_-17_45_-36_10_28_50_30_420:gt ['-17', '45', '-36', '10', '28']:pred [39.996243 45.       34.751167 10.       28.      ]
suv_-17_23_-4_10_28_230_70_420:gt ['-17', '23', '-4', '10', '28']:pred [17.369482 24.65756  16.934896 21.549574 32.143536]
hybrid_-30_23_-36_10_15_230_70_420:gt ['-30', '23', '-36', '10', '15']:pred [37.9145   10.93065  36.       10.       10.307415]
hatchback_-50_23_-22_48_46_140_70_420:gt ['-50', '23', '-22', '48', '46']:pred [29.266077 25.35439  22.       36.24027  52.20588 ]
sedan4door_-30_15_-22_48_46_20_70_420:gt ['-30', '15', '-22', '48', '46']:pred [33.01519  29.26766  11.944564 35.134235 32.34887 ]
suv_-30_15_-36_10_28_50_30_420:gt ['-30', '15', '-36', '10', '28']:pred [36.807056 15.       40.734795 10.       28.      ]
suv_-17_23_-4_48_28_230_70_420:gt ['-17', '23', '-4', '48', '28']:pred [18.537384 36.44229  18.289333 46.077255 31.967276]
sedan2door_-30_15_-36_35_28_140_30_420:gt ['-30', '15', '-36', '35', '28']:pred [30.       10.63745  36.       35.        8.554531]
hybrid_-17_23_-22_48_46_140_70_420:gt ['-17', '23', '-22', '48', '46']:pred [31.567354   4.1508474 22.        48.        43.690685 ]
hatchback_-17_45_-22_35_28_50_70_420:gt ['-17', '45', '-22', '35', '28']:pred [32.74319  19.551159 26.51465  37.008038 14.198325]
suv_-30_15_-4_48_28_20_30_420:gt ['-30', '15', '-4', '48', '28']:pred [38.21118  15.       12.121174 48.       20.188704]
hybrid_-30_23_-36_48_46_140_70_420:gt ['-30', '23', '-36', '48', '46']:pred [33.98534   5.695061 36.       48.       40.246304]
sedan2door_-50_23_-22_35_15_230_70_420:gt ['-50', '23', '-22', '35', '15']:pred [37.615158 18.761154 22.       35.       10.735762]
sedan4door_-30_15_-4_48_46_140_30_420:gt ['-30', '15', '-4', '48', '46']:pred [30.       11.402406  4.       31.10783  12.856633]
hybrid_-17_23_-36_10_46_230_30_420:gt ['-17', '23', '-36', '10', '46']:pred [17.        9.100751 36.       10.       41.251472]
hatchback_-30_15_-22_35_46_230_70_420:gt ['-30', '15', '-22', '35', '46']:pred [46.036488 12.271077 28.95076  29.84034  51.40795 ]
hatchback_-30_45_-4_10_15_140_30_420:gt ['-30', '45', '-4', '10', '15']:pred [30.       35.72183   4.       14.680312 14.258697]
sedan4door_-30_15_-22_35_15_20_70_420:gt ['-30', '15', '-22', '35', '15']:pred [30.14005   25.579334  14.097067  30.353107   7.2970285]
sedan4door_-17_45_-22_10_15_20_70_420:gt ['-17', '45', '-22', '10', '15']:pred [31.272852 28.277992 22.463017 29.753677  6.062722]
hatchback_-50_15_-4_35_15_50_30_420:gt ['-50', '15', '-4', '35', '15']:pred [41.04381  15.       13.068512 35.       15.      ]
sedan2door_-17_23_-36_10_46_20_70_420:gt ['-17', '23', '-36', '10', '46']:pred [24.698507 28.731874 36.       10.       34.156097]
hatchback_-50_15_-22_10_46_20_30_420:gt ['-50', '15', '-22', '10', '46']:pred [47.836124 15.       34.485535 10.       16.2118  ]
sedan2door_-50_45_-4_10_46_140_30_420:gt ['-50', '45', '-4', '10', '46']:pred [50.       33.226166  4.       10.       16.968761]
sedan2door_-50_15_-22_48_28_230_70_420:gt ['-50', '15', '-22', '48', '28']:pred [37.99674  10.577531 22.       48.       34.73196 ]
hybrid_-17_15_-22_10_28_20_30_420:gt ['-17', '15', '-22', '10', '28']:pred [27.206005 15.       22.       10.       15.603411]
sedan2door_-50_15_-22_48_46_50_70_420:gt ['-50', '15', '-22', '48', '46']:pred [35.656227 24.450518 22.       48.       16.92947 ]
hybrid_-17_23_-36_48_28_20_70_420:gt ['-17', '23', '-36', '48', '28']:pred [20.509037 18.77944  36.       48.       27.900608]
sedan2door_-17_45_-22_35_15_50_30_420:gt ['-17', '45', '-22', '35', '15']:pred [41.509914 45.       22.       35.       15.      ]
suv_-30_23_-4_35_46_140_30_420:gt ['-30', '23', '-4', '35', '46']:pred [30.       20.91956   4.       22.576607 18.252655]
hatchback_-50_15_-22_35_28_20_70_420:gt ['-50', '15', '-22', '35', '28']:pred [39.28449  18.857544 16.32359  40.906506 35.252937]
hybrid_-50_23_-4_35_15_230_30_420:gt ['-50', '23', '-4', '35', '15']:pred [50.         8.510289   4.        35.         7.7518816]
suv_-17_15_-36_48_46_50_30_420:gt ['-17', '15', '-36', '48', '46']:pred [35.127365 15.       43.338654 48.       21.77834 ]
sedan2door_-50_45_-22_10_46_50_70_420:gt ['-50', '45', '-22', '10', '46']:pred [32.96069 34.94086 22.      10.      16.09486]
hatchback_-17_15_-36_10_46_20_30_420:gt ['-17', '15', '-36', '10', '46']:pred [30.509584 15.       32.072914 10.       20.45228 ]
hybrid_-50_23_-36_10_46_230_30_420:gt ['-50', '23', '-36', '10', '46']:pred [50.        8.424298 36.       10.       42.30335 ]
hybrid_-50_23_-22_10_15_140_70_420:gt ['-50', '23', '-22', '10', '15']:pred [21.915264 12.305516 22.       10.       19.637587]
sedan2door_-50_45_-36_10_46_20_30_420:gt ['-50', '45', '-36', '10', '46']:pred [40.548843 45.       36.       10.       13.540306]
hybrid_-30_45_-36_10_28_20_30_420:gt ['-30', '45', '-36', '10', '28']:pred [43.906693 45.       36.       10.       19.970827]
hybrid_-50_15_-22_35_15_230_70_420:gt ['-50', '15', '-22', '35', '15']:pred [34.396126   7.6403146 22.        35.         9.01231  ]
suv_-17_15_-36_10_28_230_30_420:gt ['-17', '15', '-36', '10', '28']:pred [17.         5.4151564 36.         9.570242  23.518934 ]
suv_-30_45_-22_35_28_50_30_420:gt ['-30', '45', '-22', '35', '28']:pred [33.30489 45.      35.2622  35.      28.     ]
hatchback_-30_45_-4_10_46_50_70_420:gt ['-30', '45', '-4', '10', '46']:pred [24.602962 16.037722 14.696425 35.180393 38.434032]
sedan4door_-50_23_-36_48_15_50_70_420:gt ['-50', '23', '-36', '48', '15']:pred [36.007034 45.78547  42.288662 37.686817  5.470798]
sedan2door_-30_15_-22_48_46_230_30_420:gt ['-30', '15', '-22', '48', '46']:pred [30.       10.142686 22.       48.       43.69926 ]
suv_-17_23_-22_48_15_20_30_420:gt ['-17', '23', '-22', '48', '15']:pred [24.828789 23.       25.523733 48.       11.038897]
suv_-17_45_-4_35_28_140_70_420:gt ['-17', '45', '-4', '35', '28']:pred [33.479366 33.921337  4.       37.69896  42.457886]
hybrid_-17_23_-4_48_46_50_30_420:gt ['-17', '23', '-4', '48', '46']:pred [33.73735  23.        4.       48.        8.425504]
hybrid_-50_15_-36_10_28_20_70_420:gt ['-50', '15', '-36', '10', '28']:pred [34.668495 14.467082 36.       10.       27.641205]
sedan4door_-17_15_-36_10_15_230_70_420:gt ['-17', '15', '-36', '10', '15']:pred [25.33715   5.091908 35.820206 15.666391 15.322734]
sedan4door_-30_15_-4_10_15_140_30_420:gt ['-30', '15', '-4', '10', '15']:pred [30.        8.198027  4.       14.0951    9.057536]
sedan4door_-50_15_-22_10_28_20_70_420:gt ['-50', '15', '-22', '10', '28']:pred [41.270824 13.145948 19.022364 28.228456 12.828158]
sedan2door_-50_23_-4_48_46_140_30_420:gt ['-50', '23', '-4', '48', '46']:pred [50.       14.812825  4.       48.       15.792671]
suv_-17_15_-36_10_28_140_70_420:gt ['-17', '15', '-36', '10', '28']:pred [39.588947  6.783564 36.       10.738357 46.5075  ]
sedan2door_-50_45_-22_35_15_140_30_420:gt ['-50', '45', '-22', '35', '15']:pred [50.       36.698917 22.       35.       11.894352]
sedan2door_-17_45_-36_10_15_140_70_420:gt ['-17', '45', '-36', '10', '15']:pred [33.59009  28.815695 36.       10.       41.39638 ]
sedan4door_-30_45_-22_10_28_140_70_420:gt ['-30', '45', '-22', '10', '28']:pred [38.40289  32.008305 22.       21.624361 24.484127]
sedan2door_-17_15_-4_10_15_140_30_420:gt ['-17', '15', '-4', '10', '15']:pred [17.        10.769676   4.        10.         7.0628357]
hybrid_-17_45_-36_48_28_50_70_420:gt ['-17', '45', '-36', '48', '28']:pred [26.220993 22.384327 36.       48.       11.454713]
sedan4door_-30_23_-22_10_28_20_70_420:gt ['-30', '23', '-22', '10', '28']:pred [38.00702   20.462694  14.382779  29.011097  12.1281185]
hybrid_-50_23_-4_35_46_140_70_420:gt ['-50', '23', '-4', '35', '46']:pred [24.381493 11.253891  4.       35.       39.60261 ]
suv_-17_23_-22_35_15_140_30_420:gt ['-17', '23', '-22', '35', '15']:pred [17.       20.5086   22.       22.795357 11.51457 ]
sedan2door_-17_23_-36_10_46_20_30_420:gt ['-17', '23', '-36', '10', '46']:pred [15.710317 23.       36.       10.       18.408466]
hatchback_-17_15_-4_48_28_50_70_420:gt ['-17', '15', '-4', '48', '28']:pred [27.91853    4.8447914 11.327869  35.12168   21.592302 ]
hatchback_-30_15_-4_48_46_230_30_420:gt ['-30', '15', '-4', '48', '46']:pred [30.        8.772295  4.       38.82308  49.80667 ]
hatchback_-17_23_-22_10_15_140_30_420:gt ['-17', '23', '-22', '10', '15']:pred [17.       20.856215 22.       13.48831  12.615405]
sedan2door_-17_15_-22_10_28_20_30_420:gt ['-17', '15', '-22', '10', '28']:pred [15.725418 15.       22.       10.       12.418079]
sedan4door_-30_15_-36_48_46_50_30_420:gt ['-30', '15', '-36', '48', '46']:pred [38.963947 15.       33.578423 48.       46.      ]
sedan4door_-50_15_-36_48_15_230_70_420:gt ['-50', '15', '-36', '48', '15']:pred [35.66704  15.546204 36.891148 51.089874 15.912033]
sedan2door_-50_23_-36_35_46_20_70_420:gt ['-50', '23', '-36', '35', '46']:pred [44.63627 32.68666 36.      35.      32.75771]
hybrid_-17_15_-36_48_46_140_70_420:gt ['-17', '15', '-36', '48', '46']:pred [33.18441    3.1028137 36.        48.        46.306553 ]
suv_-50_45_-4_10_15_20_70_420:gt ['-50', '45', '-4', '10', '15']:pred [44.401745 28.611954  8.597924 10.        7.511154]
hatchback_-50_45_-22_10_15_230_30_420:gt ['-50', '45', '-22', '10', '15']:pred [50.       41.311684 22.       15.543895 14.69365 ]
hybrid_-50_15_-22_48_28_140_30_420:gt ['-50', '15', '-22', '48', '28']:pred [50.       16.048256 22.       48.       11.030028]
hybrid_-17_45_-4_48_46_230_30_420:gt ['-17', '45', '-4', '48', '46']:pred [17.       41.39053   4.       48.       44.160446]
hatchback_-17_23_-22_10_46_140_30_420:gt ['-17', '23', '-22', '10', '46']:pred [17.       22.646082 22.       15.964277 22.871593]
hatchback_-50_15_-36_35_28_20_30_420:gt ['-50', '15', '-36', '35', '28']:pred [49.5499   15.       36.06001  35.       15.904947]
sedan2door_-17_23_-22_48_15_50_70_420:gt ['-17', '23', '-22', '48', '15']:pred [37.136505 12.973327 22.       48.        9.238719]
hybrid_-30_23_-22_35_15_230_30_420:gt ['-30', '23', '-22', '35', '15']:pred [30.         8.485645  22.        35.         7.8470664]
hatchback_-30_45_-36_35_15_140_70_420:gt ['-30', '45', '-36', '35', '15']:pred [36.243378 31.669046 22.335005 32.93301  18.660465]
suv_-50_15_-4_10_15_50_30_420:gt ['-50', '15', '-4', '10', '15']:pred [38.142143 15.       15.545955 10.       15.      ]
sedan4door_-50_45_-22_35_46_50_70_420:gt ['-50', '45', '-22', '35', '46']:pred [40.553932  43.486687  35.22071   31.094435   5.9870987]
sedan4door_-17_23_-36_10_46_230_70_420:gt ['-17', '23', '-36', '10', '46']:pred [20.903961 13.275603 33.347443 17.150984 50.190956]
suv_-17_23_-4_48_46_230_70_420:gt ['-17', '23', '-4', '48', '46']:pred [19.259209 36.749527 17.675787 44.96002  40.389973]
sedan2door_-30_15_-36_35_15_20_70_420:gt ['-30', '15', '-36', '35', '15']:pred [29.83562  21.251862 36.       35.       19.24939 ]
sedan2door_-50_15_-4_48_15_20_70_420:gt ['-50', '15', '-4', '48', '15']:pred [38.55749  19.475475  4.       48.       18.192   ]
