suv_-40_20_-20_20_40_240_80_400:gt ['-40', '20', '-20', '20', '40']:pred [21.484638 23.551023 21.614264 24.023294 22.71466 ]
hybrid_0_0_-20_40_40_80_80_400:gt ['0', '0', '-20', '40', '40']:pred [18.973202 20.077444 20.       40.       40.      ]
sedan4door_-20_20_0_0_0_240_40_450:gt ['-20', '20', '0', '0', '0']:pred [20.       16.632784  0.       18.612707 16.800415]
sedan4door_-20_40_0_0_20_320_80_450:gt ['-20', '40', '0', '0', '20']:pred [15.671863 19.153929 17.678726 19.00157  16.296669]
hatchback_-40_40_-40_40_20_0_60_450:gt ['-40', '40', '-40', '40', '20']:pred [25.839773 23.902424 22.88669  40.       17.899284]
sedan2door_0_0_-20_20_40_160_40_400:gt ['0', '0', '-20', '20', '40']:pred [ 0.       17.934004 20.       20.       20.833298]
sedan4door_-20_20_-40_20_40_240_80_450:gt ['-20', '20', '-40', '20', '40']:pred [19.343657 21.101385 21.659157 20.548141 20.325718]
sedan4door_0_0_-40_20_0_0_20_450:gt ['0', '0', '-40', '20', '0']:pred [16.547218  0.       21.312721 20.        0.      ]
suv_-20_20_0_20_20_240_60_450:gt ['-20', '20', '0', '20', '20']:pred [22.407646 20.539953  0.       23.529013 21.113857]
sedan4door_-40_40_-20_20_20_0_80_400:gt ['-40', '40', '-20', '20', '20']:pred [26.796299 24.768318 19.807022 23.317186 20.704344]
sedan2door_-40_40_-20_40_20_320_40_450:gt ['-40', '40', '-20', '40', '20']:pred [23.730347 40.       19.596226 40.       18.723139]
hatchback_-40_0_-20_40_40_0_80_400:gt ['-40', '0', '-20', '40', '40']:pred [24.10494  23.299026 23.150984 23.953728 22.16881 ]
sedan2door_0_20_0_40_0_320_60_450:gt ['0', '20', '0', '40', '0']:pred [17.210844 18.17453  16.515781 40.       18.16916 ]
suv_-40_20_-20_20_0_0_20_400:gt ['-40', '20', '-20', '20', '0']:pred [21.78291  20.       18.499826 20.        0.      ]
hatchback_0_40_0_40_40_0_40_450:gt ['0', '40', '0', '40', '40']:pred [19.909288 40.       20.737738 40.       21.640892]
sedan2door_0_0_0_0_0_80_60_400:gt ['0', '0', '0', '0', '0']:pred [17.717665 15.090572  0.        0.       16.704178]
sedan2door_0_0_-20_20_0_80_20_400:gt ['0', '0', '-20', '20', '0']:pred [15.97109  0.      20.      20.       0.     ]
sedan4door_0_40_-20_20_20_80_80_450:gt ['0', '40', '-20', '20', '20']:pred [20.99582  21.250803 21.816313 22.672842 20.      ]
hatchback_-20_40_-40_20_40_240_60_400:gt ['-20', '40', '-40', '20', '40']:pred [21.888298 22.970488 28.46262  23.751637 23.957844]
sedan4door_-40_20_-40_20_40_0_20_450:gt ['-40', '20', '-40', '20', '40']:pred [24.661837 20.       22.163044 20.       40.      ]
suv_-40_0_-40_20_20_160_60_400:gt ['-40', '0', '-40', '20', '20']:pred [20.0371   15.657089 40.       20.735174 21.995422]
sedan2door_-40_0_0_0_40_320_80_450:gt ['-40', '0', '0', '0', '40']:pred [18.181166 18.242107  0.        0.       19.786396]
sedan4door_-40_40_-40_0_20_80_80_400:gt ['-40', '40', '-40', '0', '20']:pred [28.3465   25.163197 23.894026 25.865683 23.535263]
sedan4door_0_40_0_40_20_80_80_450:gt ['0', '40', '0', '40', '20']:pred [18.208729 19.636257 19.55537  20.013474 20.      ]
sedan4door_-40_0_-20_0_20_160_60_450:gt ['-40', '0', '-20', '0', '20']:pred [18.526525 15.757711 20.       20.016611 17.92222 ]
suv_0_40_-20_40_20_320_20_450:gt ['0', '40', '-20', '40', '20']:pred [16.987972 40.       22.235495 40.       21.829124]
sedan4door_-20_0_-40_40_20_0_20_400:gt ['-20', '0', '-40', '40', '20']:pred [17.237415  0.       19.69453  40.       20.      ]
sedan4door_-40_0_-40_20_0_80_60_400:gt ['-40', '0', '-40', '20', '0']:pred [22.42421  19.85385  21.84229  27.295507 18.308836]
sedan2door_-20_40_-40_40_20_80_80_450:gt ['-20', '40', '-40', '40', '20']:pred [21.485193 20.008728 40.       40.       20.      ]
suv_-40_0_-40_40_20_80_40_450:gt ['-40', '0', '-40', '40', '20']:pred [26.747175 27.18049  21.778517 40.       20.      ]
hatchback_-40_20_0_20_0_0_80_450:gt ['-40', '20', '0', '20', '0']:pred [23.543747 20.332222 20.2816   25.41586  17.150137]
hatchback_-20_20_-20_20_20_320_60_450:gt ['-20', '20', '-20', '20', '20']:pred [24.246582 23.759315 21.357565 27.399996 21.244637]
hybrid_0_0_-40_20_20_80_20_400:gt ['0', '0', '-40', '20', '20']:pred [17.400925  0.       40.       20.       20.      ]
suv_0_0_0_40_20_240_60_450:gt ['0', '0', '0', '40', '20']:pred [19.515385 18.420712  0.       21.807047 21.651182]
hybrid_-40_0_-40_40_0_160_40_400:gt ['-40', '0', '-40', '40', '0']:pred [40.       15.761484 40.       40.       18.227448]
sedan4door_-40_40_-40_0_0_0_40_450:gt ['-40', '40', '-40', '0', '0']:pred [27.00406  40.       23.765131  0.       20.85671 ]
sedan4door_-20_40_-20_0_20_80_60_400:gt ['-20', '40', '-20', '0', '20']:pred [17.216885 19.3267   20.784494 24.21336  17.605015]
suv_-40_20_-20_0_0_240_60_400:gt ['-40', '20', '-20', '0', '0']:pred [20.968048 20.058737 24.999775 23.493988 19.049463]
hatchback_-40_0_-20_0_40_160_80_400:gt ['-40', '0', '-20', '0', '40']:pred [24.030178 18.48703  26.251146 20.900959 22.030582]
hatchback_-20_40_-20_0_20_320_40_400:gt ['-20', '40', '-20', '0', '20']:pred [21.549183 40.       21.956055  0.       20.276142]
sedan2door_0_20_-20_20_40_0_80_400:gt ['0', '20', '-20', '20', '40']:pred [17.666222 20.290043 20.       20.       21.599014]
sedan2door_-20_40_0_20_40_320_60_400:gt ['-20', '40', '0', '20', '40']:pred [20.123022 23.087828 18.022587 20.       23.934038]
sedan4door_-20_20_-40_0_20_240_60_400:gt ['-20', '20', '-40', '0', '20']:pred [19.36165  19.805578 24.25711  21.134718 20.33565 ]
hatchback_-40_40_-20_20_20_0_20_450:gt ['-40', '40', '-20', '20', '20']:pred [22.416557 40.       21.671738 20.       20.      ]
sedan2door_-40_20_0_40_0_0_60_400:gt ['-40', '20', '0', '40', '0']:pred [24.15306  22.999966 18.972517 40.       19.296124]
hatchback_-40_0_-20_0_0_80_40_400:gt ['-40', '0', '-20', '0', '0']:pred [24.919516 25.261595 19.48609   0.        0.      ]
sedan2door_-20_20_-40_0_0_240_40_400:gt ['-20', '20', '-40', '0', '0']:pred [20.       18.763132 40.        0.       17.142937]
sedan4door_0_0_-40_20_0_240_40_450:gt ['0', '0', '-40', '20', '0']:pred [ 0.       17.0273   40.       19.963364 18.69294 ]
hybrid_-20_0_-40_20_0_80_40_400:gt ['-20', '0', '-40', '20', '0']:pred [18.274939 19.431866 40.       20.        0.      ]
hatchback_-20_0_-40_0_0_320_40_400:gt ['-20', '0', '-40', '0', '0']:pred [22.717865  0.       24.024921  0.       17.135077]
sedan4door_0_0_0_20_20_0_20_400:gt ['0', '0', '0', '20', '20']:pred [12.534184  0.       16.060738 20.       20.      ]
suv_-20_20_-20_0_20_0_60_400:gt ['-20', '20', '-20', '0', '20']:pred [19.863491 26.574856 18.24535   0.       19.461094]
suv_-40_40_0_20_0_0_20_400:gt ['-40', '40', '0', '20', '0']:pred [25.060637 40.       18.69744  20.        0.      ]
sedan4door_-40_20_0_20_40_160_60_450:gt ['-40', '20', '0', '20', '40']:pred [20.306911 18.799692  0.       22.164845 20.15536 ]
hatchback_-40_0_0_0_20_240_60_450:gt ['-40', '0', '0', '0', '20']:pred [21.002897 16.132826  0.       18.580355 19.607685]
sedan4door_0_0_0_20_20_160_20_400:gt ['0', '0', '0', '20', '20']:pred [ 0.       16.25923   0.       19.562485 20.      ]
hatchback_0_0_0_20_40_320_20_400:gt ['0', '0', '0', '20', '40']:pred [15.915646  0.       19.580494 20.       20.504276]
hatchback_-40_20_-40_40_0_80_60_400:gt ['-40', '20', '-40', '40', '0']:pred [26.179249 21.707455 22.613375 27.128601 20.969143]
hatchback_0_40_0_40_0_240_60_450:gt ['0', '40', '0', '40', '0']:pred [21.543976 19.084225  0.       20.092495 19.328445]
hybrid_0_0_-40_40_0_240_20_400:gt ['0', '0', '-40', '40', '0']:pred [ 0.       17.325354 40.       40.       17.984869]
sedan2door_-20_20_-40_0_0_240_40_400:gt ['-20', '20', '-40', '0', '0']:pred [20.       18.763132 40.        0.       17.142937]
hybrid_-20_20_0_20_40_80_20_400:gt ['-20', '20', '0', '20', '40']:pred [19.209476 20.        0.       20.       40.      ]
hybrid_-40_20_-40_20_40_0_60_450:gt ['-40', '20', '-40', '20', '40']:pred [23.625782 26.168491 21.822666 20.       22.927763]
suv_-20_20_-20_20_40_240_20_400:gt ['-20', '20', '-20', '20', '40']:pred [20.       19.978203 20.       19.85937  26.764664]
sedan2door_-40_20_-40_40_20_240_20_400:gt ['-40', '20', '-40', '40', '20']:pred [40.       21.190115 40.       40.       20.82856 ]
hybrid_0_20_-40_40_20_160_20_450:gt ['0', '20', '-40', '40', '20']:pred [ 0.       18.794321 40.       40.       20.      ]
hybrid_0_20_-20_20_0_80_80_400:gt ['0', '20', '-20', '20', '0']:pred [20.717705 20.068748 20.       23.014208 15.18754 ]
hatchback_0_0_-20_40_20_320_20_400:gt ['0', '0', '-20', '40', '20']:pred [17.08622   0.       22.765615 40.       20.468601]
hybrid_-20_0_0_40_0_320_40_450:gt ['-20', '0', '0', '40', '0']:pred [17.542217  0.        0.       40.       16.175768]
suv_0_0_-20_0_0_240_60_400:gt ['0', '0', '-20', '0', '0']:pred [17.125345 17.041239 23.296335 21.209202 17.944544]
suv_0_0_-40_40_0_240_20_400:gt ['0', '0', '-40', '40', '0']:pred [ 0.       23.753145 40.       21.1798   23.959274]
sedan4door_-20_0_-20_0_0_160_80_400:gt ['-20', '0', '-20', '0', '0']:pred [15.886002 16.50905  21.654827 20.63549  20.47967 ]
hybrid_0_20_-20_40_40_320_40_450:gt ['0', '20', '-20', '40', '40']:pred [15.89917  20.       20.       40.       18.355501]
suv_0_20_-20_40_40_160_60_400:gt ['0', '20', '-20', '40', '40']:pred [23.785418 20.679255 20.       23.509727 22.96416 ]
sedan2door_-40_20_-40_20_40_240_40_450:gt ['-40', '20', '-40', '20', '40']:pred [40.       17.646524 40.       18.64009  18.49909 ]
suv_0_40_0_20_0_240_20_400:gt ['0', '40', '0', '20', '0']:pred [ 0.       24.159824  0.       21.770315 22.944138]
hybrid_-40_40_-40_40_0_240_80_400:gt ['-40', '40', '-40', '40', '0']:pred [21.8152   23.01211  40.       20.566261 19.875109]
sedan4door_0_40_-20_20_0_0_60_450:gt ['0', '40', '-20', '20', '0']:pred [13.802038 20.743872 19.119587 20.       18.402786]
hatchback_-40_40_0_0_0_240_40_450:gt ['-40', '40', '0', '0', '0']:pred [40.       17.96718   0.       19.818151 18.472204]
hybrid_-20_40_-20_0_40_0_40_400:gt ['-20', '40', '-20', '0', '40']:pred [17.82992  40.       18.653282  0.       24.129402]
suv_-40_40_-40_0_40_80_80_450:gt ['-40', '40', '-40', '0', '40']:pred [24.120407 24.79223  23.64103  23.803268 40.      ]
suv_-40_20_-20_0_40_240_20_400:gt ['-40', '20', '-20', '0', '40']:pred [40.       19.259129 20.       19.032467 26.466984]
sedan4door_-20_0_0_0_40_320_80_400:gt ['-20', '0', '0', '0', '40']:pred [17.656548 20.12437  18.098742 19.69525  20.458393]
sedan4door_0_0_-40_40_20_80_20_400:gt ['0', '0', '-40', '40', '20']:pred [18.75642  0.      22.28775 40.      20.     ]
sedan4door_-40_40_-40_0_0_160_20_450:gt ['-40', '40', '-40', '0', '0']:pred [40.      20.85707 40.      20.09426  0.     ]
sedan4door_0_0_0_20_0_80_60_400:gt ['0', '0', '0', '20', '0']:pred [15.146468 15.265147 17.217194 20.902782 15.471523]
sedan2door_-40_20_0_0_0_0_20_400:gt ['-40', '20', '0', '0', '0']:pred [22.556948 20.       17.242798  0.        0.      ]
hatchback_-20_40_0_20_20_320_60_450:gt ['-20', '40', '0', '20', '20']:pred [23.081137 24.152143 20.90858  27.52088  19.305891]
sedan4door_-20_0_-40_40_20_0_20_400:gt ['-20', '0', '-40', '40', '20']:pred [17.237415  0.       19.69453  40.       20.      ]
sedan4door_-20_40_-20_20_20_240_60_450:gt ['-20', '40', '-20', '20', '20']:pred [25.345978 21.742456 22.378235 21.194708 20.086836]
suv_-40_20_-20_20_40_160_20_400:gt ['-40', '20', '-20', '20', '40']:pred [40.       19.519665 20.       22.938438 40.      ]
sedan4door_0_20_0_0_40_0_80_450:gt ['0', '20', '0', '0', '40']:pred [14.27485  17.464268 19.478907 19.928612 17.838703]
suv_-20_0_-40_20_40_160_20_400:gt ['-20', '0', '-40', '20', '40']:pred [20.       18.616776 40.       22.075031 40.      ]
hatchback_-40_0_0_40_0_160_20_400:gt ['-40', '0', '0', '40', '0']:pred [40.       19.06799   0.       19.351902  0.      ]
hatchback_-20_40_-20_20_20_240_80_400:gt ['-20', '40', '-20', '20', '20']:pred [23.281273 23.418957 21.731628 21.854504 21.984318]
sedan4door_0_20_-40_0_0_0_40_400:gt ['0', '20', '-40', '0', '0']:pred [14.711783 20.       21.74475   0.       17.3899  ]
sedan4door_-40_20_0_20_40_80_80_400:gt ['-40', '20', '0', '20', '40']:pred [25.817907 21.361784 21.017689 24.119719 40.      ]
sedan4door_0_20_-20_0_40_320_40_400:gt ['0', '20', '-20', '0', '40']:pred [15.710196 20.       17.03873   0.       19.114693]
sedan2door_-20_20_-20_0_40_240_20_450:gt ['-20', '20', '-20', '0', '40']:pred [20.       19.681932 20.        0.       21.52386 ]
suv_-20_0_-40_20_40_80_80_400:gt ['-20', '0', '-40', '20', '40']:pred [23.4186   21.254251 22.003677 26.659826 25.44181 ]
hatchback_-40_0_-40_40_0_0_20_400:gt ['-40', '0', '-40', '40', '0']:pred [22.687832  0.       23.134089 40.        0.      ]
hybrid_0_0_0_0_20_160_40_450:gt ['0', '0', '0', '0', '20']:pred [ 0.       17.38832   0.        0.       16.836535]
hatchback_-40_0_0_0_40_240_80_450:gt ['-40', '0', '0', '0', '40']:pred [18.548178 17.629356 20.472483 16.298326 21.838058]
hatchback_-20_0_0_20_40_160_20_450:gt ['-20', '0', '0', '20', '40']:pred [20.       17.677483  0.       18.834337 40.      ]
sedan2door_-40_40_-40_40_0_320_60_400:gt ['-40', '40', '-40', '40', '0']:pred [26.699423 23.34797  16.123482 40.       20.245295]
sedan4door_0_0_-40_0_40_160_20_400:gt ['0', '0', '-40', '0', '40']:pred [ 0.       16.927431 40.       20.405943 40.      ]
hatchback_-20_20_-40_20_0_160_60_450:gt ['-20', '20', '-40', '20', '0']:pred [19.993563 17.667595 40.       20.29607  16.377432]
hybrid_0_40_-20_20_0_0_60_450:gt ['0', '40', '-20', '20', '0']:pred [15.201459 20.393435 15.839245 20.       15.330841]
hatchback_0_20_0_20_20_320_40_400:gt ['0', '20', '0', '20', '20']:pred [14.199866 20.       16.840723 20.       16.321655]
sedan2door_-40_20_0_20_0_320_40_400:gt ['-40', '20', '0', '20', '0']:pred [24.056557 20.       17.479715 20.       18.275846]
sedan2door_0_40_-40_20_20_0_20_450:gt ['0', '40', '-40', '20', '20']:pred [14.921871 40.       40.       20.       20.      ]
sedan2door_0_0_-40_0_40_240_20_450:gt ['0', '0', '-40', '0', '40']:pred [ 0.       19.693537 40.        0.       20.03892 ]
sedan2door_-40_40_-40_20_0_320_60_450:gt ['-40', '40', '-40', '20', '0']:pred [24.428446 20.034979 16.468365 20.       17.588366]
sedan4door_-20_40_-20_40_0_0_80_450:gt ['-20', '40', '-20', '40', '0']:pred [21.047985 20.922428 20.921198 22.630493 17.58955 ]
sedan2door_-20_20_-20_40_0_0_20_450:gt ['-20', '20', '-20', '40', '0']:pred [18.121572 20.       20.       40.        0.      ]
hybrid_-40_40_-20_40_0_80_60_400:gt ['-40', '40', '-20', '40', '0']:pred [21.484098 22.23174  20.       40.       19.215807]
suv_-40_40_-20_20_40_160_40_450:gt ['-40', '40', '-20', '20', '40']:pred [40.       22.49659  20.       21.196575 21.79168 ]
sedan2door_0_20_-40_20_20_80_40_400:gt ['0', '20', '-40', '20', '20']:pred [18.060226 20.68201  40.       20.       20.      ]
hatchback_-40_0_-20_20_0_320_20_450:gt ['-40', '0', '-20', '20', '0']:pred [20.479849  0.       23.154045 20.       16.848694]
hatchback_-20_0_-20_40_20_240_80_400:gt ['-20', '0', '-20', '40', '20']:pred [21.807587 21.958603 21.606695 21.113771 21.893267]
sedan4door_0_0_-40_0_40_160_60_450:gt ['0', '0', '-40', '0', '40']:pred [17.385382 16.4258   40.       19.642338 18.37013 ]
sedan2door_-40_20_0_0_40_160_60_400:gt ['-40', '20', '0', '0', '40']:pred [18.935862 15.921709  0.       19.631569 21.04471 ]
sedan2door_-20_40_0_0_0_320_40_400:gt ['-20', '40', '0', '0', '0']:pred [17.777233 40.       16.696484  0.       17.185951]
sedan2door_0_20_0_20_20_160_60_450:gt ['0', '20', '0', '20', '20']:pred [16.841187 15.952515  0.       19.73252  19.09833 ]
hybrid_-40_0_-20_20_20_160_80_400:gt ['-40', '0', '-20', '20', '20']:pred [17.926441 16.531013 20.       21.51717  21.046062]
sedan4door_-20_20_-40_20_40_0_40_400:gt ['-20', '20', '-40', '20', '40']:pred [19.365458 20.       21.006489 20.       22.971838]
sedan4door_-40_0_0_0_0_240_40_400:gt ['-40', '0', '0', '0', '0']:pred [40.       16.932306  0.       18.119484 18.97879 ]
suv_-20_40_-40_0_40_160_80_450:gt ['-20', '40', '-40', '0', '40']:pred [23.350601 22.363274 25.08608  23.734463 20.85138 ]
sedan2door_-20_40_0_20_20_240_80_400:gt ['-20', '40', '0', '20', '20']:pred [21.998356 20.844097  0.       19.560932 21.311731]
hybrid_-40_0_0_20_40_320_60_400:gt ['-40', '0', '0', '20', '40']:pred [26.345713 26.99226  20.027935 20.       23.470581]
sedan2door_-40_40_-40_0_0_160_80_450:gt ['-40', '40', '-40', '0', '0']:pred [25.464205 21.099293 40.       20.60647  19.814796]
hatchback_-20_40_-20_20_20_80_60_400:gt ['-20', '40', '-20', '20', '20']:pred [19.116917 20.225567 20.064192 23.05492  18.706667]
hybrid_0_0_-40_40_40_320_40_450:gt ['0', '0', '-40', '40', '40']:pred [15.095464  0.       40.       40.       18.910002]
sedan2door_-20_20_-40_20_40_80_80_450:gt ['-20', '20', '-40', '20', '40']:pred [20.298443 17.928267 40.       20.       40.      ]
suv_0_20_-20_20_40_240_20_400:gt ['0', '20', '-20', '20', '40']:pred [ 0.       21.328709 20.       20.314318 27.096931]
hybrid_-20_0_-20_40_0_160_20_400:gt ['-20', '0', '-20', '40', '0']:pred [20.       16.407442 20.       40.        0.      ]
hybrid_0_20_-40_20_0_320_40_450:gt ['0', '20', '-40', '20', '0']:pred [15.178708 20.       40.       20.       14.415928]
hybrid_-40_20_-20_40_40_320_40_400:gt ['-40', '20', '-20', '40', '40']:pred [27.073912 20.       20.603586 40.       21.075104]
hybrid_-40_20_0_0_40_0_80_450:gt ['-40', '20', '0', '0', '40']:pred [21.769627 22.329987 23.885962  0.       22.053368]
sedan4door_0_0_-40_40_0_240_60_450:gt ['0', '0', '-40', '40', '0']:pred [18.422155 19.048782 23.368298 21.548378 18.399704]
hybrid_0_20_-40_0_20_320_20_400:gt ['0', '20', '-40', '0', '20']:pred [14.571988 20.       19.470129  0.       19.413591]
sedan2door_-20_40_0_40_20_320_20_400:gt ['-20', '40', '0', '40', '20']:pred [18.532232 40.       21.023132 40.       20.843704]
hybrid_0_0_0_0_40_320_40_400:gt ['0', '0', '0', '0', '40']:pred [15.561917  0.       16.013584  0.       19.622465]
hybrid_0_0_-40_40_40_160_20_450:gt ['0', '0', '-40', '40', '40']:pred [ 0.       16.772484 40.       40.       40.      ]
suv_0_20_-40_0_40_160_80_450:gt ['0', '20', '-40', '0', '40']:pred [22.420994 20.079716 23.989344 22.377733 20.2558  ]
hatchback_-40_20_-40_0_40_320_20_450:gt ['-40', '20', '-40', '0', '40']:pred [25.332832 20.       24.59661   0.       19.707344]
sedan4door_0_20_-40_0_20_0_80_450:gt ['0', '20', '-40', '0', '20']:pred [19.354223 20.383907 21.249624 22.960072 19.519684]
hatchback_-40_40_-20_20_40_240_80_400:gt ['-40', '40', '-20', '20', '40']:pred [23.340158 23.590094 22.096087 20.163452 22.679583]
sedan2door_-20_40_0_40_20_0_20_450:gt ['-20', '40', '0', '40', '20']:pred [18.877825 40.        0.       40.       20.      ]
hatchback_-40_0_0_0_40_0_40_400:gt ['-40', '0', '0', '0', '40']:pred [22.186563  0.       19.171083  0.       21.279478]
sedan4door_0_20_-40_0_20_320_40_400:gt ['0', '20', '-40', '0', '20']:pred [19.746271 20.       20.38652   0.       18.666958]
hybrid_0_0_0_40_20_80_40_400:gt ['0', '0', '0', '40', '20']:pred [15.146472 18.834126  0.       40.       20.      ]
hatchback_-20_0_-20_20_40_240_20_400:gt ['-20', '0', '-20', '20', '40']:pred [20.       18.627037 20.       20.278152 22.004932]
hatchback_-20_20_-20_20_20_320_60_400:gt ['-20', '20', '-20', '20', '20']:pred [25.816679 27.960175 23.17353  30.997738 23.316463]
sedan4door_0_20_0_40_0_0_20_450:gt ['0', '20', '0', '40', '0']:pred [14.433156 20.       19.7466   40.        0.      ]
hatchback_-40_40_0_20_20_0_20_400:gt ['-40', '40', '0', '20', '20']:pred [22.152103 40.       21.146343 20.       20.      ]
hybrid_0_0_0_0_0_320_40_450:gt ['0', '0', '0', '0', '0']:pred [14.452987  0.        0.        0.       14.720751]
hybrid_0_0_-40_20_0_80_80_400:gt ['0', '0', '-40', '20', '0']:pred [19.014542 18.40976  40.       20.       14.028455]
sedan4door_0_0_0_20_40_0_20_450:gt ['0', '0', '0', '20', '40']:pred [13.803088  0.       18.45868  20.       40.      ]
sedan2door_0_40_-20_20_40_160_40_400:gt ['0', '40', '-20', '20', '40']:pred [ 0.       21.742558 20.       20.       23.300882]
sedan4door_-40_0_0_40_20_240_20_400:gt ['-40', '0', '0', '40', '20']:pred [40.       22.092003  0.       22.282307 21.911068]
sedan4door_-40_20_-20_0_0_320_20_400:gt ['-40', '20', '-20', '0', '0']:pred [22.945833 20.       19.998617  0.       20.54598 ]
sedan4door_0_0_-20_20_20_80_60_400:gt ['0', '0', '-20', '20', '20']:pred [17.423729 17.031994 18.685638 23.405819 17.030712]
sedan2door_0_0_-20_20_40_160_40_400:gt ['0', '0', '-20', '20', '40']:pred [ 0.       17.934004 20.       20.       20.833298]
sedan2door_0_0_-40_0_20_160_40_400:gt ['0', '0', '-40', '0', '20']:pred [ 0.       17.13067  40.        0.       19.945292]
sedan4door_0_20_-40_0_0_0_40_450:gt ['0', '20', '-40', '0', '0']:pred [18.840162 20.       21.05029   0.       18.53482 ]
hybrid_-40_20_0_20_40_320_40_450:gt ['-40', '20', '0', '20', '40']:pred [24.526438 20.       20.844427 20.       19.732975]
hybrid_-40_20_-40_0_40_240_20_400:gt ['-40', '20', '-40', '0', '40']:pred [40.       20.473272 40.        0.       23.207283]
sedan4door_-20_20_0_0_40_0_80_450:gt ['-20', '20', '0', '0', '40']:pred [17.193007 18.691336 19.564407 20.465687 17.196072]
sedan4door_-40_40_-20_0_20_160_40_450:gt ['-40', '40', '-20', '0', '20']:pred [40.       23.742262 20.       21.88401  19.213036]
hatchback_0_20_-40_20_0_240_40_450:gt ['0', '20', '-40', '20', '0']:pred [ 0.       17.354742 40.       20.261292 17.8848  ]
sedan2door_-20_0_-40_40_0_160_40_400:gt ['-20', '0', '-40', '40', '0']:pred [20.       17.194262 40.       40.       19.60601 ]
sedan4door_-20_40_-20_0_40_0_60_400:gt ['-20', '40', '-20', '0', '40']:pred [17.625116 24.224632 21.362015  0.       19.394917]
hatchback_-20_0_-40_20_20_320_80_400:gt ['-20', '0', '-40', '20', '20']:pred [21.186546 21.478403 24.271786 23.428484 22.044853]
sedan2door_0_20_-20_0_40_240_40_450:gt ['0', '20', '-20', '0', '40']:pred [ 0.       17.572285 20.       17.853119 19.485512]
hatchback_0_0_-40_0_20_80_40_450:gt ['0', '0', '-40', '0', '20']:pred [22.374975 24.083342 19.604433  0.       20.      ]
hatchback_-20_40_0_40_40_240_80_450:gt ['-20', '40', '0', '40', '40']:pred [22.114605 22.055521 21.640787 18.05941  24.251804]
hatchback_-20_40_0_40_0_320_80_450:gt ['-20', '40', '0', '40', '0']:pred [20.993546 19.961565 18.197992 21.567902 16.501427]
hybrid_-40_40_-20_20_40_240_80_450:gt ['-40', '40', '-20', '20', '40']:pred [20.74841  21.407543 20.       20.88747  21.098099]
suv_-20_0_0_40_20_0_40_450:gt ['-20', '0', '0', '40', '20']:pred [19.583067  0.       18.322514 40.       19.63712 ]
hatchback_0_40_-40_20_0_160_20_450:gt ['0', '40', '-40', '20', '0']:pred [ 0.       20.939137 40.       18.008034  0.      ]
sedan2door_-20_40_0_40_40_160_40_400:gt ['-20', '40', '0', '40', '40']:pred [20.       20.930567  0.       40.       22.342365]
hybrid_-40_0_0_40_40_160_20_400:gt ['-40', '0', '0', '40', '40']:pred [40.       17.392832  0.       40.       40.      ]
sedan4door_0_40_0_20_40_320_40_450:gt ['0', '40', '0', '20', '40']:pred [14.632227 40.       16.61957  20.       17.979847]
hybrid_0_20_-40_0_40_0_60_450:gt ['0', '20', '-40', '0', '40']:pred [15.557556 22.800463 20.122828  0.       20.957207]
hatchback_-20_0_-20_20_20_0_40_450:gt ['-20', '0', '-20', '20', '20']:pred [21.11256   0.       19.072987 20.       21.40395 ]
hatchback_-20_0_-20_0_20_240_80_450:gt ['-20', '0', '-20', '0', '20']:pred [17.101295 15.9584   21.721292 17.645382 21.093365]
hybrid_0_0_-40_20_40_80_20_450:gt ['0', '0', '-40', '20', '40']:pred [18.475927  0.       40.       20.       40.      ]
hatchback_0_20_-40_20_0_160_40_400:gt ['0', '20', '-40', '20', '0']:pred [ 0.       20.527557 40.       19.872303 20.508026]
sedan2door_0_20_-20_0_40_160_80_400:gt ['0', '20', '-20', '0', '40']:pred [18.888224 19.033598 20.       23.242146 19.440632]
hatchback_-40_0_-40_20_20_80_60_450:gt ['-40', '0', '-40', '20', '20']:pred [25.293724 20.201168 20.626528 21.657492 19.601545]
sedan2door_0_40_0_20_40_320_80_450:gt ['0', '40', '0', '20', '40']:pred [15.043884 17.234322 17.575886 20.       18.408491]
sedan4door_-20_40_-20_40_0_320_40_450:gt ['-20', '40', '-20', '40', '0']:pred [20.13404  40.       19.91496  40.       19.075745]
hybrid_-20_40_0_20_20_160_60_400:gt ['-20', '40', '0', '20', '20']:pred [20.160196 21.37647   0.       20.871378 17.624176]
sedan2door_0_20_0_40_40_160_40_400:gt ['0', '20', '0', '40', '40']:pred [ 0.       19.25094   0.       40.       22.881292]
sedan4door_-40_40_-40_40_0_320_60_450:gt ['-40', '40', '-40', '40', '0']:pred [27.306423 25.940968 20.086117 25.405155 18.562204]
suv_0_40_-40_20_20_0_40_400:gt ['0', '40', '-40', '20', '20']:pred [18.271334 40.       18.376617 20.       18.237848]
sedan2door_-20_0_-20_20_0_160_40_450:gt ['-20', '0', '-20', '20', '0']:pred [20.       16.943699 20.       20.       17.91989 ]
hatchback_0_0_-40_0_0_0_60_450:gt ['0', '0', '-40', '0', '0']:pred [16.792759 21.8906   19.938135  0.       16.840084]
suv_0_40_-20_0_40_320_60_400:gt ['0', '40', '-20', '0', '40']:pred [19.944563 26.739605 20.81144   0.       24.1651  ]
hybrid_0_0_-20_40_20_240_60_450:gt ['0', '0', '-20', '40', '20']:pred [16.146627 15.17873  20.       18.991873 18.417805]
hybrid_0_0_-40_40_0_0_40_400:gt ['0', '0', '-40', '40', '0']:pred [12.235157  0.       16.435104 40.       17.238632]
